time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-25.2,-27.6,-22.8,0.0,94.0,10.0,1016.4
2021-01-02,-21.5,-26.6,-16.4,0.2,122.0,26.5,998.5
2021-01-03,-25.1,-26.3,-23.8,0.7,284.0,11.2,1001.5
2021-01-04,-27.7,-34.7,-20.6,0.0,107.0,16.3,1007.0
2021-01-05,-26.7,-33.1,-20.3,0.0,14.0,10.4,996.6
2021-01-06,-27.3,-29.5,-25.1,0.0,305.0,6.9,995.5
2021-01-07,-24.1,-27.7,-20.4,0.0,98.0,7.7,1006.9
2021-01-08,-18.4,-26.3,-10.5,0.0,103.0,9.0,1009.3
2021-01-09,-17.0,-22.6,-11.4,0.0,109.0,5.6,1007.8
2021-01-10,-15.0,-21.9,-8.1,0.0,91.0,11.0,996.8
2021-01-11,-18.5,-22.1,-14.8,0.0,321.0,6.0,992.0
2021-01-12,-22.3,-27.8,-16.7,0.0,346.0,4.5,994.6
2021-01-13,-18.4,-21.9,-14.9,0.0,282.0,19.1,1005.7
2021-01-14,-21.1,-25.8,-16.3,1.0,38.0,4.7,1022.9
2021-01-15,-17.6,-20.2,-15.0,1.2,101.0,12.9,1010.9
2021-01-16,-22.0,-25.9,-18.1,0.4,76.0,5.3,1016.0
2021-01-17,-25.0,-28.4,-21.6,0.0,10.0,5.0,1014.5
2021-01-18,-17.2,-21.6,-12.8,0.0,95.0,10.7,1016.5
2021-01-19,-12.7,-14.8,-10.6,1.7,274.0,22.2,995.1
2021-01-20,-13.7,-15.3,-12.1,0.0,279.0,15.7,1018.3
2021-01-21,-15.3,-16.6,-13.9,0.4,83.0,4.9,1027.1
2021-01-22,-20.8,-26.6,-14.9,0.0,102.0,10.5,1028.4
2021-01-23,-27.7,-29.8,-25.5,0.0,99.0,8.0,1023.1
2021-01-24,-25.0,-25.6,-24.4,0.0,288.0,4.6,1023.7
2021-01-25,-25.8,-27.3,-24.3,0.0,98.0,6.3,1027.6
2021-01-26,-27.5,-28.8,-26.2,0.0,88.0,4.3,1031.9
2021-01-27,-33.1,-37.6,-28.6,0.0,98.0,6.1,1032.2
2021-01-28,-35.5,-40.5,-30.4,0.0,94.0,6.0,1019.1
2021-01-29,-37.4,-41.5,-33.3,0.0,83.0,5.0,1015.3
2021-01-30,-32.7,-35.1,-30.3,0.0,329.0,3.3,1024.4
2021-01-31,-29.7,-31.4,-28.0,0.0,280.0,8.0,1033.9
2021-02-01,-28.7,-30.2,-27.2,0.4,285.0,17.5,1040.1
2021-02-02,-28.4,-29.3,-27.4,0.0,288.0,16.8,1039.7
2021-02-03,-36.7,-43.7,-29.6,0.0,280.0,9.5,1035.3
2021-02-04,-43.0,-47.1,-38.8,0.0,23.0,5.1,1037.0
2021-02-05,-37.1,-42.9,-31.2,0.0,285.0,15.2,1042.4
2021-02-06,-38.1,-43.9,-32.2,0.0,127.0,6.7,1032.9
2021-02-07,-32.9,-38.3,-27.4,0.0,283.0,9.1,1041.1
2021-02-08,-38.4,-44.0,-32.8,0.0,306.0,7.2,1054.8
2021-02-09,-40.7,-44.8,-36.6,0.0,308.0,6.0,1058.9
2021-02-10,-33.7,-41.4,-25.9,0.0,61.0,6.2,1053.5
2021-02-11,-22.6,-29.1,-16.0,0.0,102.0,12.5,1043.4
2021-02-12,-25.4,-31.5,-19.2,0.0,104.0,6.5,1033.3
2021-02-13,-26.6,-32.4,-20.8,0.0,89.0,7.1,1026.3
2021-02-14,-29.7,-37.4,-21.9,0.0,315.0,4.1,1019.7
2021-02-15,-23.1,-24.7,-21.4,0.0,267.0,7.1,1017.1
2021-02-16,-28.0,-33.5,-22.4,0.0,353.0,4.5,1018.8
2021-02-17,-23.4,-28.3,-18.5,0.0,100.0,7.1,1018.2
2021-02-18,-24.8,-29.3,-20.2,0.0,251.0,4.6,1006.6
2021-02-19,-23.4,-26.0,-20.8,0.2,285.0,27.6,1002.0
2021-02-20,-27.5,-30.2,-24.7,0.0,282.0,12.9,1004.3
2021-02-21,-33.4,-39.3,-27.4,0.0,51.0,3.8,998.4
2021-02-22,-32.6,-40.4,-24.7,0.0,66.0,4.0,1005.2
2021-02-23,-26.0,-30.2,-21.7,0.0,72.0,6.5,1019.1
2021-02-24,-25.2,-31.5,-18.9,0.2,234.0,6.6,1018.9
2021-02-25,-29.5,-37.5,-21.5,0.0,108.0,11.2,1017.8
2021-02-26,-33.5,-39.6,-27.3,0.0,291.0,7.8,1025.1
2021-02-27,-32.4,-40.3,-24.5,0.0,104.0,12.3,1023.6
2021-02-28,-28.1,-31.0,-25.2,0.0,168.0,27.8,1016.6
2021-03-01,-29.7,-36.8,-22.5,0.0,108.0,16.9,1014.6
2021-03-02,-24.4,-27.2,-21.5,0.0,269.0,16.7,1002.8
2021-03-03,-27.3,-32.6,-22.0,0.0,299.0,4.8,1017.4
2021-03-04,-25.9,-36.9,-14.8,0.0,68.0,12.4,1023.7
2021-03-05,-20.4,-28.5,-12.2,0.0,81.0,7.7,1007.1
2021-03-06,-20.4,-27.2,-13.6,0.0,291.0,12.2,1003.6
2021-03-07,-18.7,-20.5,-16.9,0.0,284.0,22.0,1018.6
2021-03-08,-22.1,-28.1,-16.1,0.0,263.0,7.3,1026.9
2021-03-09,-23.3,-33.2,-13.4,0.0,102.0,9.5,1021.7
2021-03-10,-19.0,-28.7,-9.3,0.0,108.0,11.3,1017.8
2021-03-11,-12.8,-16.9,-8.6,0.2,286.0,21.8,1005.5
2021-03-12,-19.0,-20.8,-17.1,0.0,296.0,29.3,1027.7
2021-03-13,-23.1,-27.4,-18.7,0.0,268.0,9.3,1038.0
2021-03-14,-21.2,-22.8,-19.5,1.7,,,
2021-03-15,-25.2,-33.5,-16.8,0.0,104.0,6.5,1010.6
2021-03-16,-27.1,-36.4,-17.7,0.0,323.0,3.6,1015.0
2021-03-17,-24.6,-34.3,-14.8,0.0,90.0,4.8,1013.1
2021-03-18,-20.1,-26.2,-14.0,0.2,259.0,10.8,1006.8
2021-03-19,-17.8,-19.9,-15.6,0.0,280.0,28.2,1016.4
2021-03-20,-24.2,-31.2,-17.1,0.0,283.0,20.4,1022.1
2021-03-21,-25.3,-35.6,-15.0,0.0,104.0,7.1,1023.4
2021-03-22,-25.7,-33.9,-17.5,0.0,94.0,7.6,1029.9
2021-03-23,-18.6,-26.0,-11.1,0.0,104.0,24.0,1024.9
2021-03-24,-19.1,-27.2,-10.9,0.0,106.0,10.5,1016.0
2021-03-25,-12.4,-23.6,-1.2,0.0,111.0,8.5,1012.0
2021-03-26,-9.5,-19.4,0.4,0.0,100.0,9.7,1011.4
2021-03-27,-12.8,-15.9,-9.7,0.0,282.0,20.6,1016.1
2021-03-28,-22.1,-28.3,-15.9,0.0,284.0,26.5,1028.6
2021-03-29,-20.3,-30.4,-10.5,0.0,114.0,11.8,1024.2
2021-03-30,-11.5,-16.6,-6.3,0.9,111.0,8.6,1011.4
2021-03-31,-14.1,-17.5,-10.6,0.8,122.0,5.8,1008.0
2021-04-01,-14.5,-17.3,-11.7,1.7,281.0,19.5,1010.0
2021-04-02,-15.9,-20.5,-11.2,0.0,249.0,10.3,1019.4
2021-04-03,-17.2,-24.6,-9.7,0.0,112.0,8.0,1016.4
2021-04-04,-10.7,-22.2,0.8,0.0,111.0,11.0,1010.5
2021-04-05,-10.2,-17.8,-2.5,0.0,280.0,22.8,1012.6
2021-04-06,-20.5,-29.5,-11.5,0.0,238.0,6.3,1025.6
2021-04-07,-20.5,-28.8,-12.2,0.0,306.0,8.5,1026.0
2021-04-08,-20.1,-31.0,-9.2,0.0,112.0,16.3,1016.9
2021-04-09,-18.0,-22.0,-13.9,0.0,282.0,22.9,1024.5
2021-04-10,-22.4,-24.4,-20.4,0.5,285.0,17.1,1034.2
2021-04-11,-23.5,-35.9,-11.0,0.0,110.0,12.0,1034.2
2021-04-12,-10.0,-19.4,-0.6,0.0,107.0,12.7,1022.1
2021-04-13,-2.9,-12.3,6.5,0.0,108.0,11.3,1022.2
2021-04-14,0.8,-8.5,10.1,0.0,105.0,15.1,1022.7
2021-04-15,3.4,-7.8,14.6,0.0,309.0,6.9,1022.8
2021-04-16,0.5,-8.5,9.4,0.0,271.0,6.8,1032.1
2021-04-17,1.6,-7.2,10.4,0.0,310.0,8.0,1036.4
2021-04-18,1.1,-7.6,9.8,0.0,115.0,7.3,1037.7
2021-04-19,5.2,-2.7,13.0,0.0,119.0,8.2,1025.8
2021-04-20,-2.8,-7.1,1.6,0.0,302.0,24.9,1021.6
2021-04-21,-4.1,-9.2,1.1,0.0,288.0,30.2,1030.8
2021-04-22,-4.4,-7.2,-1.5,0.0,299.0,20.2,1028.5
2021-04-23,-7.2,-16.3,2.0,0.0,277.0,11.6,1025.7
2021-04-24,1.0,-4.8,6.8,0.0,272.0,9.7,1018.6
2021-04-25,-2.3,-8.1,3.6,0.0,307.0,19.9,1011.3
2021-04-26,-8.4,-13.1,-3.7,0.0,102.0,10.3,1022.6
2021-04-27,-11.1,-21.1,-1.1,0.0,239.0,11.2,1026.3
2021-04-28,-3.1,-7.2,1.1,0.0,123.0,17.3,1019.7
2021-04-29,2.2,-4.9,9.3,0.0,120.0,18.0,1008.3
2021-04-30,0.9,-7.5,9.3,0.0,264.0,10.1,1001.9
2021-05-01,2.1,-7.7,9.0,0.0,298.0,9.6,1013.5
2021-05-02,0.5,-6.5,7.4,0.0,277.0,8.7,1022.1
2021-05-03,3.5,-3.1,10.1,0.0,186.0,13.3,1018.4
2021-05-04,3.0,0.0,6.0,0.0,271.0,11.9,1020.1
2021-05-05,6.0,1.5,10.5,0.0,109.0,10.4,1023.0
2021-05-06,7.2,-1.9,16.2,0.0,127.0,9.9,1021.1
2021-05-07,4.5,-1.5,10.5,0.0,281.0,14.7,1015.3
2021-05-08,4.9,-2.7,12.5,0.0,255.0,12.8,1015.9
2021-05-09,4.4,2.1,6.7,0.0,283.0,25.1,1020.3
2021-05-10,5.5,0.7,10.2,0.0,248.0,14.9,1024.1
2021-05-11,6.8,-2.7,16.3,0.0,119.0,15.0,1017.9
2021-05-12,6.6,3.4,9.8,0.0,290.0,17.0,1019.1
2021-05-13,3.7,0.3,7.0,0.0,117.0,21.0,1027.3
2021-05-14,4.9,1.4,8.4,0.0,115.0,22.9,1019.9
2021-05-15,5.9,0.6,11.1,0.0,118.0,19.0,1014.4
2021-05-16,6.3,2.8,9.7,0.0,114.0,18.3,1011.5
2021-05-17,5.9,2.3,9.5,0.0,126.0,19.2,1014.2
2021-05-18,5.9,1.3,10.5,0.0,126.0,11.8,1017.7
2021-05-19,7.4,0.9,13.9,0.2,121.0,10.5,1022.3
2021-05-20,8.9,1.5,16.3,0.0,116.0,17.0,1019.3
2021-05-21,12.4,1.9,22.9,0.0,112.0,17.3,1012.0
