time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-3.3,-4.3,-2.3,0.2,290.0,38.5,1024.6
2021-01-02,-3.2,-5.3,-1.0,2.4,73.0,24.0,1016.9
2021-01-03,-2.3,-3.1,-1.5,0.2,26.0,25.6,1020.0
2021-01-04,-1.6,-3.0,-0.1,0.0,70.0,14.7,1020.0
2021-01-05,-0.2,-0.9,0.5,0.0,52.0,37.7,1017.0
2021-01-06,-0.4,-1.5,0.7,2.8,18.0,30.3,1008.2
2021-01-07,-0.2,-1.2,0.8,2.9,346.0,20.5,1005.8
2021-01-08,-1.9,-2.8,-1.0,1.7,300.0,40.5,1002.7
2021-01-09,-0.6,-1.5,0.3,3.2,332.0,26.3,1006.3
2021-01-10,-1.6,-3.0,-0.1,0.0,346.0,36.2,1013.4
2021-01-11,-4.1,-6.5,-1.6,0.4,244.0,18.0,1020.1
2021-01-12,-3.5,-5.4,-1.5,0.0,274.0,19.8,1015.2
2021-01-13,-1.7,-2.8,-0.5,0.0,234.0,17.0,1013.6
2021-01-14,-1.6,-3.7,0.5,0.0,200.0,10.2,1012.8
2021-01-15,-1.2,-2.6,0.1,0.0,325.0,10.5,1018.1
2021-01-16,-1.4,-3.2,0.5,2.2,122.0,21.9,1016.7
2021-01-17,2.0,0.0,3.9,14.7,152.0,43.5,985.7
2021-01-18,-2.4,-5.7,0.8,0.0,237.0,43.9,993.4
2021-01-19,-6.9,-8.6,-5.3,0.0,287.0,44.8,1004.0
2021-01-20,-7.7,-9.6,-5.8,0.2,285.0,35.9,1007.5
2021-01-21,-8.6,-10.2,-7.0,0.2,269.0,21.4,1006.0
2021-01-22,-5.5,-7.9,-3.0,0.0,98.0,15.5,1006.5
2021-01-23,-4.6,-6.5,-2.8,0.0,287.0,30.3,1000.3
2021-01-24,-3.2,-6.5,0.2,1.5,291.0,33.0,993.2
2021-01-25,-0.1,-0.7,0.5,0.2,307.0,41.2,1002.1
2021-01-26,-0.2,-0.5,0.1,0.2,3.0,28.3,1013.5
2021-01-27,-1.9,-3.8,-0.1,0.2,13.0,15.3,1016.7
2021-01-28,-3.6,-4.3,-2.9,0.0,24.0,15.1,1013.1
2021-01-29,-5.2,-6.8,-3.7,0.0,15.0,33.8,1009.3
2021-01-30,-5.5,-7.1,-3.9,0.0,316.0,28.3,1014.5
2021-01-31,-3.5,-5.4,-1.7,0.0,349.0,21.0,1021.8
2021-02-01,-3.0,-3.9,-2.1,0.0,355.0,14.2,1028.1
2021-02-02,-1.3,-3.5,1.0,22.9,75.0,43.3,1017.8
2021-02-03,0.8,-0.7,2.4,14.0,17.0,24.7,991.4
2021-02-04,-0.9,-1.5,-0.2,0.4,53.0,8.2,1002.4
2021-02-05,-0.5,-1.9,1.0,0.0,248.0,18.4,1006.9
2021-02-06,-0.9,-3.5,1.7,8.7,197.0,39.4,1003.7
2021-02-07,-3.7,-4.9,-2.5,0.2,237.0,35.6,1017.1
2021-02-08,-4.9,-8.2,-1.5,0.7,325.0,46.7,1010.1
2021-02-09,-7.0,-9.6,-4.4,0.0,285.0,48.9,1020.4
2021-02-10,-6.8,-8.9,-4.7,0.0,304.0,37.5,1016.5
2021-02-11,-9.8,-11.8,-7.8,0.2,271.0,49.0,1012.5
2021-02-12,-7.1,-12.0,-2.1,0.6,291.0,28.0,1015.5
2021-02-13,-6.2,-8.0,-4.3,0.4,292.0,24.4,1021.2
2021-02-14,-7.2,-9.5,-4.8,0.0,239.0,16.7,1024.1
2021-02-15,-6.1,-7.3,-4.9,0.0,292.0,18.3,1023.9
2021-02-16,-4.0,-6.7,-1.3,14.9,40.0,19.4,1014.8
2021-02-17,-5.3,-8.9,-1.7,0.0,300.0,37.3,1008.3
2021-02-18,-8.6,-10.6,-6.6,0.2,285.0,34.4,1025.9
2021-02-19,-7.6,-9.5,-5.7,0.2,308.0,14.7,1024.4
2021-02-20,-4.9,-5.9,-4.0,0.0,25.0,25.7,1014.5
2021-02-21,-4.5,-6.4,-2.7,0.0,303.0,29.2,1019.4
2021-02-22,-4.4,-7.0,-1.7,0.0,227.0,22.0,1018.6
2021-02-23,-1.2,-1.9,-0.5,7.8,45.0,29.9,996.9
2021-02-24,-0.4,-1.6,0.8,0.0,255.0,17.3,1002.8
2021-02-25,-5.0,-9.8,-0.2,5.2,295.0,34.7,1000.0
2021-02-26,-9.5,-12.2,-6.9,0.2,286.0,42.1,1019.8
2021-02-27,-5.0,-11.8,1.8,6.4,189.0,20.0,1025.4
2021-02-28,-2.9,-6.0,0.3,1.2,282.0,26.5,1015.7
2021-03-01,-2.2,-3.8,-0.7,15.0,121.0,28.8,1005.9
2021-03-02,-8.5,-15.2,-1.7,5.0,258.0,59.6,981.3
2021-03-03,-8.0,-12.0,-4.0,0.0,282.0,39.3,991.8
2021-03-04,-7.6,-9.4,-5.9,0.0,267.0,41.2,989.1
