time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,0.1,-2.0,3.0,,304.0,8.3,1012.0
2021-01-02,2.0,-0.2,3.5,0.4,325.0,11.3,1016.3
2021-01-03,2.5,-0.2,4.7,0.2,9.0,13.2,1017.6
2021-01-04,3.1,1.5,4.7,0.4,16.0,21.5,1019.3
2021-01-05,2.6,1.1,3.7,0.6,5.0,20.1,1020.2
2021-01-06,2.0,-0.7,4.5,0.5,350.0,11.9,1019.7
2021-01-07,-1.0,-2.2,0.0,0.0,289.0,9.3,1019.0
2021-01-08,-0.1,-1.2,1.4,0.0,331.0,8.0,1018.4
2021-01-09,-0.3,-1.7,0.6,0.0,353.0,7.1,1026.4
2021-01-10,-0.4,-3.4,3.0,0.0,252.0,9.5,1026.5
2021-01-11,6.2,3.0,8.0,0.2,238.0,25.2,1018.7
2021-01-12,6.7,1.7,9.1,3.3,296.0,18.4,1014.6
2021-01-13,7.0,1.0,9.6,2.7,239.0,17.8,1018.8
2021-01-14,7.0,2.0,9.7,5.3,291.0,19.2,1016.6
2021-01-15,0.4,-2.5,2.0,0.0,6.0,8.7,1029.8
2021-01-16,5.2,0.6,8.6,6.8,215.0,21.3,1020.0
2021-01-17,4.9,2.5,7.2,0.0,265.0,15.8,1024.2
2021-01-18,5.2,2.6,9.0,1.8,218.0,19.4,1021.6
2021-01-19,9.8,9.1,11.0,7.8,212.0,35.2,1004.5
2021-01-20,9.2,5.5,9.7,14.0,189.0,39.3,987.3
2021-01-21,5.2,3.4,7.6,0.9,221.0,26.3,985.3
2021-01-22,3.2,0.5,7.2,0.0,226.0,15.7,992.5
2021-01-23,0.6,-2.9,3.5,0.0,255.0,10.3,996.0
2021-01-24,-0.1,-3.0,2.0,4.1,228.0,11.1,997.0
2021-01-25,1.0,-2.5,4.7,0.0,275.0,15.0,1010.3
2021-01-26,3.4,0.5,7.5,3.0,197.0,17.7,1015.6
2021-01-27,8.2,7.1,9.2,4.0,222.0,11.0,1011.2
2021-01-28,10.7,8.5,13.1,10.2,225.0,24.6,1001.9
2021-01-29,8.9,7.5,10.6,2.5,245.0,24.1,999.0
2021-01-30,4.8,3.0,7.0,9.2,73.0,21.7,996.8
2021-01-31,1.3,-1.9,3.1,3.0,48.0,12.5,997.6
2021-02-01,2.5,2.2,3.0,0.8,1.0,10.4,996.9
2021-02-02,9.3,3.2,12.0,5.2,199.0,26.0,994.5
2021-02-03,7.5,4.7,9.5,5.8,219.0,15.4,996.9
2021-02-04,6.3,1.7,9.0,4.7,147.0,13.4,1007.8
2021-02-05,6.2,3.0,9.1,1.9,183.0,11.5,1008.0
2021-02-06,3.3,-1.5,7.5,3.8,330.0,8.7,1006.9
2021-02-07,1.3,-0.5,3.0,4.1,10.0,27.5,1004.6
2021-02-08,-1.7,-2.2,-0.7,0.1,23.0,23.9,1003.7
2021-02-09,-1.2,-2.0,-0.2,0.3,50.0,18.6,1006.4
2021-02-10,-0.9,-3.5,2.0,0.2,32.0,14.1,1015.2
2021-02-11,-2.1,-4.0,0.0,0.0,76.0,18.9,1024.9
2021-02-12,-1.7,-4.0,1.0,0.0,85.0,23.5,1028.1
2021-02-13,-1.6,-5.0,1.0,0.0,112.0,23.1,1030.7
2021-02-14,2.4,1.1,3.7,3.7,140.0,30.6,1024.5
2021-02-15,8.2,4.1,11.2,3.5,180.0,20.0,1017.9
2021-02-16,8.9,7.5,10.2,3.5,195.0,24.3,1009.9
2021-02-17,9.3,8.1,10.2,7.5,195.0,29.7,1009.6
2021-02-18,7.3,4.0,10.0,3.5,199.0,25.4,1003.8
2021-02-19,8.1,4.5,11.0,2.1,179.0,27.2,1006.9
2021-02-20,11.6,10.0,13.2,0.3,176.0,27.5,1001.9
2021-02-21,10.1,7.2,12.2,1.8,153.0,12.0,1007.7
2021-02-22,8.2,3.5,9.2,1.2,184.0,9.0,1014.8
2021-02-23,9.0,3.1,13.5,0.0,171.0,27.3,1022.7
2021-02-24,12.7,11.7,14.5,0.2,185.0,28.6,1022.1
2021-02-25,9.0,4.6,11.1,0.2,256.0,14.0,1027.1
2021-02-26,5.3,0.5,10.7,0.0,278.0,7.0,1037.5
2021-02-27,5.5,-0.5,12.0,0.0,355.0,6.8,1040.9
2021-02-28,4.7,0.1,9.0,0.0,35.0,11.5,1036.8
2021-03-01,5.8,2.6,11.2,0.0,52.0,14.7,1031.3
2021-03-02,4.4,2.2,8.7,0.0,36.0,9.8,1029.7
2021-03-03,5.4,2.5,8.9,3.4,71.0,6.6,1027.3
2021-03-04,4.8,3.5,7.2,0.5,10.0,12.7,1025.0
2021-03-05,3.1,-2.2,5.5,0.0,25.0,14.9,1031.7
2021-03-06,2.3,-2.5,5.7,0.0,30.0,8.0,1033.7
2021-03-07,1.7,-1.5,5.7,0.0,310.0,6.8,1027.8
2021-03-08,4.0,-0.7,9.7,0.0,241.0,7.7,1024.1
2021-03-09,5.9,0.6,11.7,0.0,232.0,15.7,1020.4
2021-03-10,7.5,5.6,10.7,7.9,194.0,36.6,1007.4
2021-03-11,7.8,4.2,10.7,2.4,235.0,39.2,997.4
2021-03-12,6.4,3.7,9.1,2.0,223.0,29.9,1002.7
2021-03-13,6.1,3.6,9.1,2.0,247.0,36.1,996.8
2021-03-14,7.0,4.5,9.1,1.1,259.0,26.3,1013.9
2021-03-15,8.6,6.7,11.5,0.5,299.0,16.8,1021.2
2021-03-16,9.7,6.0,14.5,0.1,298.0,16.4,1028.0
2021-03-17,6.6,3.7,9.7,0.4,327.0,11.2,1033.6
2021-03-18,7.0,3.2,9.5,0.0,321.0,13.9,1029.2
2021-03-19,7.7,4.1,10.7,0.7,14.0,18.4,1028.0
2021-03-20,6.3,1.1,9.5,0.0,298.0,8.7,1031.5
2021-03-21,7.8,3.2,10.7,0.1,350.0,12.1,1028.9
2021-03-22,7.9,3.7,12.7,0.0,240.0,9.3,1026.6
2021-03-23,6.9,2.0,11.0,0.0,208.0,14.5,1024.4
2021-03-24,7.8,3.5,11.5,0.4,208.0,15.6,1021.1
2021-03-25,7.6,2.5,10.7,1.9,208.0,20.9,1018.6
2021-03-26,7.8,4.5,10.7,5.7,214.0,28.2,1011.0
2021-03-27,6.5,2.5,10.5,0.1,227.0,24.2,1021.2
2021-03-28,,,,,,,
2021-03-29,11.0,7.5,16.5,0.0,211.0,21.4,1027.0
2021-03-30,11.9,1.5,22.0,0.0,153.0,8.7,1027.5
2021-03-31,14.2,9.5,18.7,0.0,147.0,9.0,1020.4
2021-04-01,10.3,6.5,14.5,0.0,39.0,16.4,1023.7
2021-04-02,6.4,4.0,9.7,0.0,29.0,21.5,1029.8
2021-04-03,6.0,4.1,8.7,0.0,13.0,18.5,1032.1
2021-04-04,6.7,-0.7,14.5,0.0,265.0,10.2,1026.5
2021-04-05,5.4,1.5,6.7,0.3,312.0,21.1,1018.8
2021-04-06,2.1,-0.5,6.0,0.1,300.0,16.6,1021.3
2021-04-07,2.2,-1.9,5.2,0.0,274.0,14.3,1024.3
2021-04-08,6.4,2.2,10.5,0.0,214.0,16.3,1022.1
2021-04-09,7.5,3.7,12.1,0.1,240.0,14.1,1013.8
2021-04-10,5.5,3.7,7.2,1.2,16.0,11.9,1013.0
2021-04-11,3.6,0.6,7.2,0.8,335.0,12.8,1019.4
2021-04-12,3.5,-0.5,8.7,1.4,297.0,8.7,1028.8
2021-04-13,5.6,-1.2,10.6,2.6,201.0,9.6,1032.6
2021-04-14,6.6,1.0,11.7,0.4,32.0,9.3,1032.5
2021-04-15,4.5,-1.7,10.5,0.4,18.0,9.3,1033.1
2021-04-16,4.9,-2.4,10.5,0.0,8.0,8.0,1031.1
2021-04-17,6.1,-1.2,12.5,0.0,7.0,8.6,1029.0
2021-04-18,7.4,-0.2,13.7,0.0,17.0,7.0,1025.0
2021-04-19,8.6,0.2,16.6,0.0,182.0,6.7,1021.3
2021-04-20,9.8,2.2,16.1,0.0,101.0,5.5,1017.9
2021-04-21,9.4,4.1,14.7,0.5,47.0,13.2,1020.5
2021-04-22,7.7,0.7,14.5,0.0,59.0,13.8,1026.5
2021-04-23,9.0,1.0,17.2,0.0,80.0,14.6,1027.9
2021-04-24,9.8,3.0,16.1,0.0,65.0,16.3,1026.9
2021-04-25,8.0,1.6,13.7,0.0,52.0,18.0,1027.5
2021-04-26,7.2,1.5,13.6,0.0,42.0,14.0,1021.3
2021-04-27,8.1,-0.5,15.5,0.9,153.0,6.7,1010.5
2021-04-28,6.8,5.1,9.0,10.5,34.0,13.1,1006.3
2021-04-29,6.4,2.1,10.0,0.5,334.0,11.8,1011.5
2021-04-30,6.8,4.2,10.7,0.3,7.0,8.9,1015.1
2021-05-01,6.2,-0.5,11.2,2.5,308.0,8.2,1016.6
2021-05-02,7.3,0.0,12.0,1.0,244.0,9.1,1020.6
2021-05-03,8.6,4.7,12.1,7.5,208.0,32.4,1013.3
2021-05-04,9.2,5.7,12.2,1.0,253.0,36.3,1000.9
2021-05-05,6.1,1.7,11.7,0.8,259.0,15.2,1009.2
2021-05-06,6.8,2.6,11.0,0.6,261.0,11.6,1007.5
2021-05-07,8.1,3.0,12.5,0.1,245.0,14.3,1015.6
2021-05-08,11.2,6.1,15.0,10.5,172.0,28.9,1005.4
2021-05-09,14.5,11.0,17.5,1.8,183.0,22.7,997.1
2021-05-10,11.6,8.5,14.7,3.3,191.0,27.3,1000.0
2021-05-11,10.5,4.2,15.2,2.4,159.0,19.6,1006.8
2021-05-12,11.3,8.2,15.2,2.5,180.0,16.3,1008.3
2021-05-13,10.1,8.5,12.6,8.5,75.0,14.5,1005.5
2021-05-14,9.3,7.1,11.7,1.1,12.0,9.5,1009.1
2021-05-15,10.0,8.1,13.5,7.9,166.0,13.4,1001.0
2021-05-16,10.2,7.6,13.1,9.8,203.0,14.4,997.9
2021-05-17,11.0,8.7,15.2,3.7,263.0,14.0,1005.1
2021-05-18,10.1,6.5,14.5,2.9,230.0,14.5,1013.5
2021-05-19,11.2,7.7,15.7,4.0,277.0,13.9,1017.9
2021-05-20,10.0,7.0,12.7,1.5,192.0,27.6,1013.2
2021-05-21,10.4,9.2,11.5,1.7,215.0,40.4,997.5
2021-05-22,10.2,7.7,12.5,7.1,253.0,17.8,1003.2
2021-05-23,8.9,4.6,12.0,10.5,197.0,23.2,1008.1
2021-05-24,9.1,6.5,12.5,10.5,219.0,19.1,1003.2
2021-05-25,9.7,6.5,14.2,1.3,243.0,20.2,1014.1
2021-05-26,10.8,5.5,16.0,0.9,279.0,12.3,1015.1
2021-05-27,13.1,5.7,18.7,0.0,225.0,7.1,1020.1
2021-05-28,13.6,8.2,17.7,0.6,117.0,7.1,1023.1
2021-05-29,15.5,11.2,20.5,0.0,53.0,10.1,1026.1
2021-05-30,13.3,8.5,19.6,0.0,47.0,11.3,1027.1
2021-05-31,15.1,6.5,23.5,0.0,66.0,10.0,1021.1
2021-06-01,17.9,9.0,24.7,0.0,70.0,12.9,1014.6
2021-06-02,18.1,9.5,26.7,0.3,103.0,10.6,1012.4
2021-06-03,16.4,13.5,20.1,0.4,222.0,12.7,1018.6
2021-06-04,13.1,11.5,15.7,1.0,318.0,8.7,1023.1
2021-06-05,15.5,9.2,20.7,0.0,251.0,10.2,1024.6
2021-06-06,15.9,12.0,21.2,0.8,212.0,9.2,1024.7
2021-06-07,15.5,12.0,20.2,0.6,192.0,9.7,1024.0
2021-06-08,16.1,10.3,21.2,0.0,219.0,11.0,1023.5
2021-06-09,16.8,9.7,23.1,0.0,223.0,13.2,1022.0
2021-06-10,17.5,14.5,21.0,1.2,209.0,13.6,1021.2
2021-06-11,17.9,14.8,21.5,0.0,230.0,14.7,1020.2
2021-06-12,18.1,13.0,22.5,0.0,298.0,11.3,1023.5
2021-06-13,19.4,13.0,25.2,0.0,191.0,7.7,1026.2
2021-06-14,20.2,12.5,26.5,0.0,275.0,9.9,1021.0
2021-06-15,18.8,14.0,24.6,0.0,24.0,10.3,1020.6
2021-06-16,19.5,12.6,26.6,3.8,189.0,10.7,1012.2
2021-06-17,17.7,16.2,21.1,36.6,343.0,9.0,1010.6
