time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-3.6,,-2.0,0.0,,,
2021-01-02,-3.8,-5.0,-2.6,0.0,307.0,5.3,1030.8
2021-01-03,-3.6,-5.0,-0.8,0.0,327.0,6.5,1030.2
2021-01-04,-0.3,-6.2,6.0,0.0,314.0,9.4,1030.3
2021-01-05,-3.2,-7.0,5.0,0.0,292.0,7.7,1030.2
2021-01-06,-4.4,-9.0,3.0,0.0,315.0,8.6,1030.2
2021-01-07,-4.4,-8.6,2.8,0.0,314.0,8.4,1030.2
2021-01-08,-4.0,-9.3,3.6,0.0,300.0,7.4,1028.9
2021-01-09,-3.1,-8.0,4.8,0.0,310.0,7.7,1027.3
2021-01-10,-2.6,-8.0,5.6,0.0,294.0,8.8,1025.9
2021-01-11,-1.2,-8.0,6.6,0.0,292.0,8.2,1025.7
2021-01-12,1.0,-5.6,8.6,0.0,282.0,7.4,1025.7
2021-01-13,1.6,-4.8,9.0,0.0,313.0,5.7,1020.8
2021-01-14,6.0,-2.6,14.0,0.0,198.0,15.9,1010.5
2021-01-15,4.1,-1.5,11.0,0.0,246.0,12.4,1010.0
2021-01-16,2.4,-3.0,9.4,0.0,311.0,9.6,1015.2
2021-01-17,4.2,-4.0,10.4,0.0,210.0,9.2,1009.3
2021-01-18,4.5,1.0,10.6,0.0,214.0,20.2,1008.2
2021-01-19,2.9,-0.2,7.6,0.5,196.0,21.5,1011.6
2021-01-20,0.7,-4.0,5.0,0.5,254.0,11.8,1010.3
2021-01-21,-5.1,-9.0,0.0,3.8,319.0,10.3,1023.6
2021-01-22,-7.4,-11.0,-0.8,0.0,234.0,10.0,1032.9
2021-01-23,-7.8,-11.6,-1.6,0.0,247.0,10.5,1031.3
2021-01-24,-7.2,-12.2,-1.0,0.0,219.0,8.7,1029.8
2021-01-25,-6.7,-11.4,0.6,0.0,235.0,8.8,1027.4
2021-01-26,-4.1,-9.0,3.0,0.0,277.0,8.4,1026.2
2021-01-27,-2.6,-7.4,3.6,0.0,278.0,8.4,1023.9
2021-01-28,-1.0,-5.5,2.0,10.4,342.0,6.5,1017.1
2021-01-29,3.9,-2.3,10.8,1.1,230.0,8.9,1011.4
2021-01-30,3.0,-1.0,7.3,0.0,261.0,14.6,1009.9
2021-01-31,1.1,-5.2,6.0,0.0,197.0,8.4,1018.3
2021-02-01,1.4,-5.3,9.0,0.0,247.0,8.5,1024.9
2021-02-02,1.6,-4.0,9.6,0.0,282.0,9.1,1025.9
2021-02-03,1.3,-3.1,9.2,0.0,292.0,8.3,1023.8
2021-02-04,3.1,-3.3,9.1,0.0,291.0,8.5,1021.9
2021-02-05,4.8,1.8,8.4,0.0,336.0,6.9,1015.9
2021-02-06,3.8,0.0,10.2,2.8,322.0,6.2,1018.1
2021-02-07,3.4,-2.2,11.8,0.0,288.0,9.1,1018.2
2021-02-08,5.3,-3.4,13.8,0.0,268.0,8.2,1022.6
2021-02-09,7.9,0.8,17.0,0.0,278.0,10.2,1023.2
2021-02-10,5.5,-2.3,14.0,0.0,265.0,8.7,1021.0
2021-02-11,5.8,-2.0,15.0,0.0,314.0,10.0,1018.5
2021-02-12,5.4,-1.0,13.0,0.0,262.0,9.5,1017.0
2021-02-13,8.3,-3.0,15.6,0.0,237.0,10.2,1016.1
2021-02-14,7.0,-0.2,15.0,0.0,215.0,11.1,1019.4
2021-02-15,6.4,-3.0,16.0,0.0,295.0,9.1,1016.6
2021-02-16,9.7,1.8,18.7,0.0,254.0,19.1,1009.2
2021-02-17,6.0,2.0,13.2,31.8,198.0,23.0,1001.2
2021-02-18,1.7,-2.0,7.0,2.8,242.0,14.0,1008.0
2021-02-19,0.8,-6.0,7.0,0.0,259.0,10.7,1016.7
2021-02-20,0.8,-3.0,7.0,0.4,232.0,11.2,1016.5
2021-02-21,-3.1,-5.0,2.0,1.9,354.0,10.4,1021.7
2021-02-22,-2.1,-7.4,4.6,0.0,257.0,9.1,1025.6
2021-02-23,0.6,-6.0,7.6,0.0,236.0,10.1,1022.5
2021-02-24,1.6,-4.0,8.0,0.0,322.0,13.3,1021.3
2021-02-25,-0.3,-4.1,4.8,0.0,1.0,9.3,1024.2
2021-02-26,-0.1,-6.3,6.8,0.0,302.0,9.8,1023.6
2021-02-27,1.8,-4.4,8.8,0.0,226.0,9.9,1019.9
2021-02-28,2.8,-4.6,11.4,0.0,290.0,8.1,1015.6
2021-03-01,4.9,-5.0,13.2,0.0,251.0,10.2,1015.5
2021-03-02,3.9,-2.0,11.2,0.0,353.0,7.0,1019.3
2021-03-03,5.7,-3.1,13.6,0.0,266.0,10.3,1017.8
2021-03-04,2.2,-2.4,6.0,0.3,313.0,6.9,1017.6
2021-03-05,1.7,-1.0,7.0,21.6,305.0,5.4,1015.3
2021-03-06,3.6,-2.8,11.2,4.1,249.0,9.3,1022.1
2021-03-07,5.2,-3.6,13.0,0.0,266.0,10.2,1016.1
2021-03-08,6.6,-1.7,14.0,0.0,259.0,11.1,1010.9
2021-03-09,5.2,-1.2,12.6,0.0,291.0,10.1,1012.4
2021-03-10,6.5,-2.7,13.8,0.0,241.0,9.4,1016.2
2021-03-11,10.1,4.3,16.2,3.0,224.0,16.5,1006.0
2021-03-12,5.0,0.0,13.0,0.0,340.0,17.9,1000.7
2021-03-13,0.1,-3.0,5.0,0.3,56.0,11.4,1018.7
2021-03-14,3.0,-4.0,10.0,0.0,341.0,8.1,1018.7
2021-03-15,4.8,-3.6,10.2,0.0,243.0,7.4,1015.6
2021-03-16,9.8,0.4,18.0,0.1,241.0,17.6,1012.3
2021-03-17,15.0,11.8,19.1,0.0,218.0,29.7,1008.0
2021-03-18,10.2,6.0,15.6,0.0,238.0,22.7,1005.8
2021-03-19,6.9,-0.6,13.4,0.0,253.0,15.1,1011.6
