time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,16.5,6.4,23.0,,83.0,13.0,1022.9
2021-01-02,14.5,6.8,19.1,,89.0,14.2,1017.6
2021-01-03,12.7,7.7,18.3,,47.0,11.2,1013.2
2021-01-04,15.7,4.6,23.4,,333.0,10.0,
2021-01-05,14.2,1.8,21.2,,86.0,13.7,1017.8
2021-01-06,12.0,4.0,23.6,,67.0,13.8,1018.3
2021-01-07,11.7,6.2,18.0,5.6,16.0,10.4,1022.0
2021-01-08,8.9,6.2,15.4,6.6,32.0,9.8,1022.6
2021-01-09,9.8,5.7,14.5,,37.0,10.2,1017.1
2021-01-10,10.7,6.3,15.5,,16.0,10.9,1014.5
2021-01-11,13.6,3.8,21.0,3.3,69.0,11.1,1020.9
2021-01-12,14.8,5.2,21.0,0.0,58.0,11.0,1020.8
2021-01-13,11.6,5.6,20.2,24.9,78.0,12.6,1022.5
2021-01-14,12.7,6.2,17.6,1.8,68.0,14.7,1019.6
2021-01-15,14.4,8.4,21.0,1.3,31.0,9.7,1019.8
2021-01-16,12.2,7.0,17.2,,202.0,8.3,1012.8
2021-01-17,10.7,7.7,14.6,,116.0,11.6,1011.4
2021-01-18,11.5,6.8,19.4,0.5,61.0,14.7,1021.1
2021-01-19,13.7,6.4,17.0,5.6,76.0,10.8,1022.4
2021-01-20,13.7,7.8,19.0,0.0,61.0,13.7,1021.3
2021-01-21,11.7,8.0,18.4,,57.0,14.4,1020.5
2021-01-22,12.4,6.2,18.0,,63.0,18.0,1023.5
2021-01-23,10.0,5.2,17.9,,56.0,14.9,
2021-01-24,10.1,5.6,15.3,,37.0,11.9,1014.5
2021-01-25,10.4,6.2,22.2,6.1,1.0,9.5,1020.9
2021-01-26,11.2,4.6,16.4,5.1,226.0,9.2,1019.6
2021-01-27,13.2,0.4,20.0,0.0,79.0,7.2,1021.0
2021-01-28,10.3,4.0,17.7,,194.0,8.8,
2021-01-29,10.0,2.3,18.0,,168.0,8.9,1015.9
2021-01-30,10.6,2.9,17.8,,137.0,8.5,1013.4
2021-01-31,11.6,4.7,18.3,,32.0,11.6,1013.0
2021-02-01,13.9,5.2,22.0,3.3,17.0,11.5,
2021-02-02,15.6,8.2,19.0,0.0,12.0,11.7,1020.5
2021-02-03,13.2,6.2,20.8,0.8,25.0,11.1,1022.8
2021-02-04,13.4,6.6,19.5,0.0,36.0,13.5,1021.9
2021-02-05,14.6,5.8,21.0,,57.0,10.5,1022.4
2021-02-06,10.8,6.7,22.2,12.7,48.0,10.8,1018.0
2021-02-07,14.1,5.6,22.4,4.8,34.0,10.0,1020.1
2021-02-08,13.1,5.9,21.6,0.5,23.0,10.5,1022.9
2021-02-09,15.7,5.0,21.0,1.0,35.0,10.3,1019.0
2021-02-10,12.6,6.5,19.0,,20.0,7.9,1022.1
2021-02-11,11.5,4.4,19.0,,18.0,9.0,1020.8
2021-02-12,12.1,3.0,21.0,,107.0,10.1,1019.9
2021-02-13,10.9,5.4,20.8,,12.0,11.6,1015.1
2021-02-14,12.0,7.2,18.9,,69.0,8.9,1013.5
2021-02-15,14.7,3.0,22.4,,137.0,10.4,1023.1
2021-02-16,10.7,4.2,21.0,,144.0,10.4,1015.8
2021-02-17,13.1,4.8,21.2,,121.0,12.6,1020.3
2021-02-18,13.9,5.6,21.0,,99.0,12.5,1020.9
2021-02-19,11.4,7.0,18.0,,107.0,10.0,1022.1
2021-02-20,11.0,7.0,15.3,,82.0,9.6,1019.0
2021-02-21,11.8,6.5,17.8,,83.0,12.9,1015.5
2021-02-22,14.7,4.4,20.0,6.6,84.0,13.6,1022.7
