time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,16.2,13.0,21.3,,16.0,9.5,1018.5
2021-01-02,15.7,11.6,21.5,,23.0,10.3,1020.2
2021-01-03,15.2,11.8,22.5,,14.0,12.5,1019.9
2021-01-04,15.2,11.0,20.7,,9.0,9.9,1015.7
2021-01-05,15.9,11.7,23.0,,55.0,14.0,1016.0
2021-01-06,16.2,12.4,22.0,,52.0,11.7,1021.2
2021-01-07,16.3,12.0,23.0,,51.0,10.9,1021.0
2021-01-08,15.9,11.0,22.0,,61.0,12.7,1020.2
2021-01-09,15.6,11.0,21.0,,353.0,10.6,1019.9
2021-01-10,15.3,11.7,21.0,,33.0,9.9,1022.2
2021-01-11,15.7,11.0,22.0,,51.0,9.3,1024.1
2021-01-12,17.5,11.0,23.0,,88.0,18.2,1019.3
2021-01-13,19.1,17.0,21.0,,202.0,24.4,1008.6
2021-01-14,15.9,13.0,17.0,,280.0,27.2,1006.9
2021-01-15,16.7,15.0,18.0,,250.0,22.8,1012.7
2021-01-16,17.1,14.0,19.0,,236.0,21.4,1008.5
2021-01-17,15.1,13.0,18.0,,283.0,33.7,1007.0
2021-01-18,13.2,11.0,16.0,,306.0,24.6,1013.7
2021-01-19,12.0,8.0,14.0,,302.0,23.8,1013.9
2021-01-20,9.8,5.0,14.0,,335.0,19.3,1020.3
2021-01-21,10.0,4.0,16.3,,54.0,11.4,1029.8
2021-01-22,11.3,6.0,17.0,,53.0,11.1,1027.9
2021-01-23,11.3,6.0,17.0,,29.0,10.2,1022.6
2021-01-24,11.6,7.0,18.0,,26.0,11.7,1020.9
2021-01-25,13.0,8.6,18.0,,57.0,12.1,1021.1
2021-01-26,14.4,11.5,18.0,,80.0,13.9,1020.3
2021-01-27,14.9,10.0,20.2,,112.0,19.7,1010.7
2021-01-28,13.2,10.0,15.2,,279.0,23.0,1012.8
2021-01-29,12.4,9.0,15.0,,298.0,25.9,1013.3
2021-01-30,15.3,11.0,18.0,,223.0,20.9,1013.3
2021-01-31,16.2,10.6,20.0,,304.0,18.7,1013.9
2021-02-01,14.6,10.0,21.0,,78.0,18.5,1019.3
2021-02-02,15.8,10.0,23.9,,48.0,10.5,1016.4
2021-02-03,17.0,12.2,23.0,,49.0,11.3,1013.5
2021-02-04,16.7,13.0,23.0,,350.0,15.0,1015.1
2021-02-05,14.9,10.0,21.0,,42.0,10.7,1015.1
2021-02-06,14.7,10.0,21.0,,21.0,11.3,1019.6
2021-02-07,14.1,9.8,19.0,,349.0,10.9,1021.8
2021-02-08,14.7,11.0,19.0,,80.0,16.6,1022.0
2021-02-09,15.4,10.0,21.2,,73.0,11.9,1020.2
2021-02-10,13.8,9.0,19.0,,344.0,16.4,1020.0
2021-02-11,13.4,8.3,19.1,,0.0,11.3,1019.6
2021-02-12,13.9,8.9,19.0,,333.0,12.1,1016.6
2021-02-13,14.1,9.6,19.6,,35.0,9.0,1018.2
2021-02-14,14.1,10.0,19.0,,32.0,11.2,1016.9
2021-02-15,13.6,9.7,19.0,,41.0,10.9,1013.3
2021-02-16,12.5,9.8,16.0,,285.0,20.9,1005.4
2021-02-17,9.1,5.0,12.6,,337.0,18.5,1005.2
2021-02-18,9.9,4.0,14.1,,340.0,14.9,1016.7
2021-02-19,10.8,6.0,17.0,,17.0,14.5,1020.9
2021-02-20,9.9,4.1,16.3,,14.0,11.6,1024.4
2021-02-21,10.6,6.7,15.4,,70.0,14.0,1024.5
2021-02-22,9.8,3.0,17.0,,356.0,11.3,1024.8
2021-02-23,12.0,6.0,19.0,,352.0,12.4,1023.4
2021-02-24,13.8,7.0,20.0,,338.0,13.0,1020.7
2021-02-25,14.2,9.0,21.0,,61.0,13.5,1020.6
2021-02-26,13.6,9.0,19.2,,348.0,12.8,1021.4
2021-02-27,13.2,7.5,19.0,,342.0,14.8,1017.9
2021-02-28,13.6,9.0,19.0,,341.0,15.5,1016.4
2021-03-01,14.1,9.0,19.0,,74.0,12.7,1016.9
2021-03-02,14.7,10.0,19.2,,60.0,13.6,1017.5
2021-03-03,12.2,8.5,16.0,,15.0,13.1,1017.5
2021-03-04,13.9,8.0,21.0,,344.0,14.8,1019.2
2021-03-05,13.8,8.9,18.4,,324.0,13.7,1016.0
2021-03-06,13.2,9.0,18.4,,339.0,13.8,1022.4
2021-03-07,14.7,9.0,19.0,,318.0,19.0,1018.3
2021-03-08,17.1,15.0,20.0,,292.0,19.0,1015.2
2021-03-09,15.2,10.5,18.8,,70.0,9.6,1016.0
2021-03-10,18.1,11.7,24.5,,95.0,18.8,1009.6
2021-03-11,15.3,10.6,19.0,,299.0,24.1,1007.6
2021-03-12,14.3,8.6,18.0,,319.0,24.1,1011.8
