time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,28.7,20.0,37.5,,,,
2021-01-02,28.1,20.4,36.4,,,,
2021-01-03,28.6,22.5,35.9,,,,
2021-01-04,29.9,23.3,37.1,,,,
2021-01-05,29.5,22.4,37.1,,,,
2021-01-06,29.1,22.5,37.5,,,,
2021-01-07,29.7,22.0,,,,,
2021-01-08,28.6,21.5,37.1,,,,
2021-01-09,29.2,21.1,37.4,,,,
2021-01-10,29.2,20.8,36.3,,,,
2021-01-11,29.1,22.0,36.3,,,,
2021-01-12,29.1,22.3,36.4,,,,
2021-01-13,28.8,21.5,35.7,,,,
2021-01-14,28.3,20.7,36.5,,,,
2021-01-15,28.1,20.1,35.7,,,,
2021-01-16,27.9,20.0,35.3,,,,
2021-01-17,28.1,20.4,35.9,,,,
2021-01-18,27.7,20.4,34.5,,,,
2021-01-19,27.7,19.7,34.5,,,,
2021-01-20,26.4,19.5,34.5,,,,
2021-01-21,26.9,19.4,35.5,,,,
2021-01-22,26.1,19.5,33.5,,,,
2021-01-23,26.3,21.0,33.2,,,,
2021-01-24,27.6,21.6,35.4,,,,
2021-01-25,28.3,19.6,36.0,,,,
2021-01-26,29.1,21.4,37.0,,,,
2021-01-27,28.8,19.9,36.6,,,,
2021-01-28,28.3,21.1,36.5,,,,
2021-01-29,29.2,23.2,36.1,,,,
2021-01-30,28.4,20.6,35.9,,,,
2021-01-31,27.8,21.6,35.1,,,,
2021-02-01,28.1,23.0,35.4,,,,
2021-02-02,28.9,20.9,36.9,,,,
2021-02-03,29.5,21.5,37.0,,,,
2021-02-04,29.8,23.6,37.0,,,,
2021-02-05,29.3,22.9,36.5,,,,
2021-02-06,29.3,22.9,36.0,,,,
2021-02-07,30.0,23.5,37.3,,,,
2021-02-08,30.2,22.2,38.0,,,,
2021-02-09,30.0,22.0,38.0,,,,
2021-02-10,25.1,21.4,,,,,
2021-02-11,,,,,,,
2021-02-12,,,,,,,
2021-02-13,34.7,,39.0,,,,
2021-02-14,30.8,23.5,39.0,,,,
2021-02-15,31.3,24.7,38.5,,,,
2021-02-16,30.9,24.5,38.1,,,,
2021-02-17,30.2,24.1,36.8,,,,
2021-02-18,28.4,21.8,36.0,,,,
2021-02-19,22.9,20.0,,,,,
2021-02-20,,,,,,,
2021-02-21,,,,,,,
2021-02-22,28.4,21.5,35.6,,,,
2021-02-23,28.8,22.1,36.5,,,,
2021-02-24,29.9,23.6,,,,,
2021-02-25,29.9,22.9,36.5,,,,
2021-02-26,29.6,23.0,35.9,,,,
2021-02-27,30.2,23.7,37.0,,,,
2021-02-28,31.2,24.9,38.3,,,,
2021-03-01,31.5,24.3,38.5,,,,
2021-03-02,31.5,24.9,39.0,,,,
2021-03-03,31.7,23.9,39.4,,,,
2021-03-04,30.8,23.6,,,,,
2021-03-05,31.1,24.8,39.0,,,,
2021-03-06,31.4,25.0,38.7,,,,
2021-03-07,31.5,25.7,38.5,,,,
2021-03-08,31.8,24.0,40.0,,,,
2021-03-09,31.3,24.5,39.3,,,,
2021-03-10,30.0,24.1,38.5,,,,
2021-03-11,29.1,23.0,38.5,0.0,,,
2021-03-12,30.4,25.3,37.7,,,,
2021-03-13,29.8,23.5,37.5,0.0,,,
2021-03-14,30.4,25.0,37.8,,,,
2021-03-15,30.6,24.3,38.0,,,,
2021-03-16,30.8,23.8,38.0,,,,
2021-03-17,30.1,25.0,39.0,,,,
2021-03-18,26.3,23.1,33.6,,,,
2021-03-19,27.8,22.0,36.9,,,,
2021-03-20,28.3,22.9,34.9,,,,
2021-03-21,30.3,24.4,38.3,,,,
2021-03-22,30.8,24.3,38.2,,,,
2021-03-23,29.2,23.9,36.0,,,,
2021-03-24,27.7,23.7,33.9,,,,
2021-03-25,29.3,,31.8,,,,
2021-03-26,29.9,23.4,39.1,,,,
2021-03-27,29.7,23.8,36.5,66.0,,,
2021-03-28,30.4,25.0,36.5,0.0,,,
2021-03-29,31.2,25.9,37.7,,,,
2021-03-30,31.3,26.2,36.7,,,,
2021-03-31,32.1,26.5,38.1,,,,
2021-04-01,31.6,24.5,38.0,,,,
2021-04-02,31.6,24.0,39.4,,,,
2021-04-03,30.4,23.5,38.0,,,,
2021-04-04,31.3,24.4,38.9,,,,
2021-04-05,31.9,24.7,40.1,,,,
2021-04-06,32.2,25.0,40.5,,,,
2021-04-07,32.0,24.9,40.0,,,,
2021-04-08,31.7,25.1,39.3,,,,
2021-04-09,30.7,24.5,38.3,,,,
2021-04-10,30.4,24.4,39.9,,,,
2021-04-11,29.7,23.2,38.3,,,,
2021-04-12,28.1,23.1,37.9,,,,
2021-04-13,27.3,23.0,34.6,,,,
2021-04-14,28.1,21.6,36.2,,,,
2021-04-15,30.3,23.4,37.9,,,,
2021-04-16,29.5,23.9,36.5,,,,
2021-04-17,29.4,,36.3,,,,
2021-04-18,27.3,21.9,31.6,2.0,,,
2021-04-19,28.6,22.2,36.4,0.0,,,
2021-04-20,29.9,24.0,38.0,,,,
2021-04-21,29.4,,37.0,,,,
2021-04-22,28.2,22.4,35.7,15.0,,,
2021-04-23,29.3,24.5,35.4,0.0,,,
2021-04-24,29.5,24.3,36.3,,,,
2021-04-25,28.4,23.0,33.5,,,,
2021-04-26,30.4,24.6,37.5,,,,
2021-04-27,27.0,20.6,31.4,8.9,,,
2021-04-28,28.3,24.0,35.1,0.0,,,
2021-04-29,28.0,23.5,36.4,,,,
2021-04-30,29.5,23.6,36.0,,,,
2021-05-01,30.3,24.1,36.9,,,,
2021-05-02,28.6,,37.4,,,,
2021-05-03,28.9,24.2,34.5,,,,
2021-05-04,26.8,21.2,32.6,3.0,,,
2021-05-05,28.5,24.0,35.4,0.0,,,
2021-05-06,28.1,24.4,34.0,,,,
2021-05-07,26.6,21.8,33.0,3.0,,,
2021-05-08,27.7,22.1,34.9,0.0,,,
2021-05-09,28.4,23.4,35.4,,,,
2021-05-10,28.9,23.8,35.2,,,,
2021-05-11,30.5,23.9,37.4,,,,
2021-05-12,29.3,24.2,35.9,,,,
2021-05-13,29.0,22.6,35.5,,,,
2021-05-14,29.2,23.5,35.0,,,,
2021-05-15,27.9,,36.0,,,,
2021-05-16,27.4,21.1,33.4,29.0,,,
2021-05-17,29.2,24.5,34.4,0.0,,,
2021-05-18,27.6,22.4,32.0,,,,
2021-05-19,27.5,20.4,33.8,5.1,,,
2021-05-20,29.1,23.8,35.0,0.0,,,
2021-05-21,27.4,24.5,31.5,,,,
2021-05-22,25.9,20.3,32.7,22.1,,,
2021-05-23,27.4,21.5,34.0,0.0,,,
2021-05-24,28.8,23.8,34.5,,,,
2021-05-25,28.8,23.9,34.1,,,,
2021-05-26,29.5,24.3,35.1,,,,
2021-05-27,28.5,24.8,34.5,,,,
2021-05-28,29.5,23.3,35.5,,,,
2021-05-29,29.3,24.5,35.9,,,,
2021-05-30,27.2,21.7,32.7,11.9,,,
2021-05-31,29.0,23.0,35.7,0.0,,,
2021-06-01,27.2,20.0,32.0,24.9,,,
2021-06-02,27.9,22.7,34.2,1.0,,,
2021-06-03,28.5,24.1,33.9,0.0,,,
2021-06-04,26.4,20.4,30.9,33.0,,,
2021-06-05,25.9,21.1,31.6,0.0,,,
2021-06-06,26.7,22.3,31.9,,,,
2021-06-07,27.8,22.7,33.4,,,,
2021-06-08,27.2,21.8,31.5,2.0,,,
2021-06-09,27.7,22.6,33.4,0.0,,,
2021-06-10,27.6,22.0,33.6,,,,
2021-06-11,27.8,23.7,33.3,,,,
2021-06-12,27.2,,34.9,,,,
2021-06-13,26.6,21.0,32.6,55.1,,,
2021-06-14,26.4,,32.8,0.0,,,
2021-06-15,29.2,24.3,34.8,,,,
2021-06-16,23.9,20.1,27.5,7.9,,,
2021-06-17,27.4,22.8,33.5,0.0,,,
2021-06-18,26.9,22.0,32.6,0.0,,,
2021-06-19,28.3,24.0,34.2,0.0,,,
2021-06-20,,,,,,,
