time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,4.4,-2.0,11.0,,234.0,3.3,1011.4
2021-01-02,8.0,1.9,15.0,,210.0,12.4,1007.4
2021-01-03,10.3,8.1,13.0,,237.0,12.7,1009.3
2021-01-04,6.8,2.0,11.4,,229.0,7.0,1010.3
2021-01-05,5.1,0.0,11.0,,215.0,5.6,1009.4
2021-01-06,9.1,5.0,13.0,,227.0,16.5,1011.3
2021-01-07,5.6,0.0,9.6,,241.0,6.7,1014.0
2021-01-08,5.9,5.0,7.0,,250.0,6.6,1012.0
2021-01-09,5.2,4.0,6.2,,236.0,7.4,1015.5
2021-01-10,5.7,4.8,7.0,,242.0,8.8,1013.8
2021-01-11,6.0,5.0,7.3,,292.0,7.9,1015.6
2021-01-12,5.0,0.0,8.0,,258.0,8.6,1015.2
2021-01-13,3.4,-2.0,11.0,,267.0,7.7,1014.1
2021-01-14,5.8,-2.0,14.0,,340.0,8.0,1011.0
2021-01-15,6.6,3.0,9.3,,298.0,7.9,1015.3
2021-01-16,3.9,0.0,6.3,,254.0,10.8,1020.0
2021-01-17,2.1,-3.0,7.0,,230.0,5.8,1016.5
2021-01-18,4.2,0.0,10.0,,229.0,8.4,1023.3
2021-01-19,3.9,-3.0,13.0,,220.0,8.0,1025.5
2021-01-20,6.0,-1.0,15.0,,228.0,6.6,1022.4
2021-01-21,11.2,2.0,17.0,,207.0,12.7,1016.2
2021-01-22,15.5,11.0,18.0,,237.0,17.1,1007.1
2021-01-23,12.1,9.0,15.0,,227.0,20.7,999.4
2021-01-24,11.3,5.0,14.0,,252.0,17.0,997.5
2021-01-25,8.0,2.6,11.9,,254.0,15.2,1002.7
2021-01-26,6.4,1.0,10.0,,306.0,13.6,1013.7
2021-01-27,3.9,-1.0,11.0,,237.0,7.1,1017.2
2021-01-28,4.8,-2.3,13.0,,199.0,9.4,1014.4
2021-01-29,8.4,0.0,19.0,,224.0,7.7,1006.1
2021-01-30,11.7,2.0,21.0,,220.0,9.7,1002.6
2021-01-31,11.5,8.0,18.0,,358.0,8.9,994.9
2021-02-01,9.9,7.5,13.0,,49.0,6.7,1000.6
2021-02-02,9.7,7.0,12.0,,30.0,6.0,1011.4
2021-02-03,9.5,5.8,15.0,,225.0,7.6,1015.8
2021-02-04,9.1,4.0,15.0,,226.0,4.9,1017.4
2021-02-05,10.7,8.0,15.0,,326.0,6.4,1017.9
2021-02-06,11.0,9.5,14.0,,146.0,6.2,1013.6
2021-02-07,13.7,9.0,20.0,,266.0,13.2,1000.9
2021-02-08,14.9,14.0,17.0,,234.0,22.3,997.1
2021-02-09,14.9,11.0,17.7,,218.0,21.9,1001.0
2021-02-10,15.2,10.0,18.0,,223.0,21.3,1001.7
2021-02-11,9.2,4.0,13.0,,355.0,8.2,1010.8
2021-02-12,6.8,4.0,8.0,,70.0,6.9,1022.6
2021-02-13,1.9,0.3,4.0,,341.0,12.6,1024.7
2021-02-14,2.8,0.7,5.0,,354.0,18.9,1032.7
2021-02-15,3.5,-2.0,8.0,,270.0,10.2,1036.9
2021-02-16,3.5,-3.2,12.0,,191.0,7.4,1028.4
2021-02-17,7.7,-1.0,16.0,,207.0,8.0,1022.8
2021-02-18,8.0,1.3,15.0,,194.0,8.3,1024.2
2021-02-19,7.6,2.0,16.0,,214.0,8.7,1025.2
2021-02-20,8.4,2.0,16.4,,206.0,8.0,1026.7
2021-02-21,7.8,1.9,14.0,,169.0,7.9,1027.3
2021-02-22,8.2,4.0,13.0,,249.0,8.3,1031.2
2021-02-23,8.9,5.8,13.3,,263.0,7.2,1036.0
2021-02-24,9.9,4.0,17.2,,209.0,8.7,1034.5
2021-02-25,10.1,4.0,18.0,,227.0,8.9,1032.0
2021-02-26,9.8,4.0,17.0,,213.0,8.8,1027.5
2021-02-27,10.2,2.8,18.0,,261.0,9.3,1024.1
2021-02-28,8.9,4.0,13.2,,236.0,8.9,1030.2
2021-03-01,6.9,1.0,13.0,,264.0,10.9,1030.4
2021-03-02,7.6,1.8,14.0,,260.0,9.3,1033.2
2021-03-03,7.1,0.6,14.0,,179.0,8.5,1032.0
2021-03-04,7.4,0.0,16.0,,169.0,8.9,1023.4
2021-03-05,8.3,1.0,15.0,,184.0,8.4,1018.5
2021-03-06,8.5,6.0,10.2,,260.0,7.0,1025.7
2021-03-07,8.1,6.0,10.0,,143.0,5.6,1024.7
2021-03-08,8.0,5.7,10.0,,232.0,3.6,1017.2
2021-03-09,7.3,5.8,9.0,,231.0,8.8,1013.7
2021-03-10,8.3,4.0,12.0,,288.0,13.6,1016.5
2021-03-11,9.3,1.8,18.0,,211.0,10.2,1020.8
2021-03-12,15.5,10.0,18.8,,233.0,20.9,1015.0
2021-03-13,13.6,8.0,18.0,,76.0,9.8,1014.0
2021-03-14,13.9,7.0,19.5,,242.0,20.5,1008.2
2021-03-15,9.0,3.0,14.0,,323.0,14.2,1010.5
2021-03-16,7.1,0.7,13.1,,256.0,12.3,1013.2
