time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,7.3,1.0,14.0,,225.0,8.9,1014.4
2021-01-02,3.2,-1.0,9.0,,91.0,5.1,1021.7
2021-01-03,5.2,0.0,9.0,1.1,288.0,6.8,1019.6
2021-01-04,7.4,6.0,11.0,9.4,95.0,7.8,1012.4
2021-01-05,8.7,4.0,14.0,0.4,253.0,11.2,1011.4
2021-01-06,4.0,0.0,8.0,0.0,154.0,5.0,1018.2
2021-01-07,6.5,2.0,11.0,1.2,297.0,8.6,1014.2
2021-01-08,6.6,4.0,10.0,3.4,299.0,5.9,1009.0
2021-01-09,6.2,3.0,11.0,6.0,106.0,18.5,1014.8
2021-01-10,3.3,2.0,4.0,12.1,81.0,7.1,1019.0
2021-01-11,5.0,4.0,6.0,16.0,315.0,7.2,1014.8
2021-01-12,5.1,4.0,6.0,14.8,312.0,13.1,1010.4
2021-01-13,4.4,2.0,8.0,0.0,291.0,27.1,1007.7
2021-01-14,2.8,1.0,5.0,0.5,290.0,20.4,1009.2
2021-01-15,1.6,-3.0,5.0,0.0,268.0,22.7,1014.1
2021-01-16,-0.1,-2.0,2.0,0.7,283.0,22.7,1013.6
2021-01-17,-2.5,-5.0,1.0,0.0,284.0,22.6,1015.2
2021-01-18,-3.8,-10.0,2.0,0.0,277.0,12.8,1020.7
2021-01-19,-0.8,-6.0,4.0,0.0,284.0,22.4,1023.7
2021-01-20,0.8,-6.0,9.0,0.0,84.0,6.2,1023.6
2021-01-21,0.5,-4.0,7.0,0.0,324.0,5.8,1023.7
2021-01-22,2.0,-3.0,8.0,0.0,149.0,4.9,1019.5
2021-01-23,1.8,-2.0,6.0,0.0,136.0,5.0,1011.4
2021-01-24,9.0,3.0,15.0,0.1,257.0,8.1,1004.4
2021-01-25,8.3,3.0,13.0,2.5,293.0,13.5,1000.5
2021-01-26,2.4,-1.0,8.0,7.8,268.0,18.6,1003.8
2021-01-27,1.0,0.0,2.0,4.5,274.0,31.2,1006.1
2021-01-28,1.3,-2.0,5.0,0.0,269.0,27.1,1011.0
2021-01-29,0.9,-5.0,8.0,0.0,103.0,7.5,1007.8
2021-01-30,4.9,0.0,12.0,3.3,288.0,18.3,1000.7
2021-01-31,4.1,0.0,8.0,0.0,103.0,6.7,1004.4
2021-02-01,9.0,2.0,16.0,4.7,123.0,11.1,1001.4
2021-02-02,6.9,4.0,8.0,0.0,40.0,6.2,1011.6
2021-02-03,8.6,3.0,15.0,0.0,107.0,7.5,1015.9
2021-02-04,11.0,6.0,20.0,0.0,306.0,11.3,1015.3
