time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,0.6,-3.0,3.7,,1.0,6.6,1013.3
2021-01-02,2.3,0.1,4.6,,345.0,9.4,1018.0
2021-01-03,2.9,0.0,5.0,,31.0,17.8,1017.6
2021-01-04,4.0,3.0,5.2,,28.0,22.6,1019.4
2021-01-05,2.9,1.2,4.2,,30.0,21.5,1020.8
2021-01-06,3.1,1.0,6.0,,14.0,14.1,1020.4
2021-01-07,1.3,-1.5,5.2,,9.0,5.1,1019.7
2021-01-08,2.3,0.0,4.6,,7.0,9.0,1018.3
2021-01-09,1.4,-0.5,3.7,,42.0,11.8,1025.6
2021-01-10,1.6,-3.2,6.2,,322.0,6.0,1027.9
2021-01-11,7.3,5.7,8.5,,257.0,22.8,1022.3
2021-01-12,9.6,8.2,10.5,,275.0,26.5,1017.9
2021-01-13,9.5,9.0,10.2,,263.0,24.7,1022.1
2021-01-14,8.9,6.6,10.1,,295.0,25.9,1020.4
2021-01-15,5.8,3.0,7.7,,96.0,12.9,1028.9
2021-01-16,8.7,6.7,10.2,,270.0,24.1,1020.9
2021-01-17,6.5,5.2,8.5,,294.0,13.7,1027.3
2021-01-18,7.4,4.0,10.2,,230.0,20.6,1021.8
2021-01-19,10.0,9.0,10.6,,219.0,40.6,1005.4
2021-01-20,9.3,4.2,10.6,,207.0,46.4,985.7
2021-01-21,5.9,3.2,8.2,,270.0,21.8,987.7
2021-01-22,3.2,0.1,8.2,,279.0,9.9,994.3
2021-01-23,2.5,-1.0,6.2,,10.0,10.1,997.2
2021-01-24,3.4,0.1,5.8,,283.0,20.6,997.9
2021-01-25,2.1,-2.0,6.5,,329.0,9.1,1012.8
2021-01-26,7.2,0.7,9.7,,201.0,20.9,1014.3
2021-01-27,9.4,8.5,10.4,,228.0,13.2,1012.2
2021-01-28,10.5,9.7,11.2,,237.0,29.4,1004.2
2021-01-29,9.3,7.6,11.1,,250.0,27.5,1002.5
2021-01-30,8.6,4.5,10.6,,115.0,26.1,991.0
2021-01-31,5.2,3.7,7.0,,78.0,16.8,994.9
2021-02-01,6.3,4.6,9.7,,109.0,14.7,995.4
2021-02-02,10.3,9.0,11.2,,223.0,36.9,994.2
2021-02-03,8.4,6.7,10.6,,249.0,17.5,997.9
2021-02-04,8.3,5.0,10.2,,187.0,14.7,1005.7
2021-02-05,6.8,2.7,9.2,,243.0,15.5,1007.7
2021-02-06,3.9,0.2,9.5,,80.0,7.0,1006.6
2021-02-07,3.5,1.2,5.7,,43.0,20.2,1005.7
2021-02-08,1.0,-0.2,2.7,,48.0,26.0,1003.8
2021-02-09,0.5,-0.2,1.5,,66.0,30.5,1002.1
2021-02-10,0.8,-0.5,2.2,,54.0,22.5,1013.9
2021-02-11,1.8,-0.4,3.1,,97.0,28.2,1020.2
2021-02-12,3.2,1.5,5.5,,95.0,32.2,1022.8
2021-02-13,2.5,1.7,5.2,,105.0,28.2,1025.2
2021-02-14,8.1,5.5,10.0,,159.0,37.4,1018.2
2021-02-15,9.9,8.5,11.6,,193.0,23.9,1016.1
2021-02-16,9.4,8.5,11.0,,209.0,28.8,1009.3
2021-02-17,9.7,9.1,10.2,,196.0,39.1,1007.1
2021-02-18,8.3,5.7,10.2,,221.0,29.6,1003.0
2021-02-19,9.9,8.5,11.1,,180.0,43.2,1003.2
2021-02-20,10.4,9.6,11.7,,166.0,33.8,998.1
2021-02-21,9.4,7.5,10.7,,170.0,14.7,1006.1
2021-02-22,8.3,5.6,12.1,,244.0,12.5,1015.3
2021-02-23,10.3,8.2,12.2,,172.0,40.7,1019.2
2021-02-24,11.2,8.2,12.6,,190.0,41.6,1019.7
2021-02-25,8.4,3.5,11.7,,280.0,12.4,1028.7
2021-02-26,5.4,1.0,11.2,,160.0,6.5,1038.2
2021-02-27,5.8,0.7,12.1,,60.0,6.8,1040.5
2021-02-28,7.8,5.1,12.0,,67.0,15.8,1034.5
2021-03-01,7.3,5.6,10.2,,73.0,20.7,1028.5
2021-03-02,6.4,4.5,8.7,,80.0,20.2,1026.9
2021-03-03,8.7,7.0,12.2,,138.0,11.0,1025.4
2021-03-04,7.4,5.0,9.2,,3.0,9.8,1024.9
2021-03-05,4.8,2.7,6.7,,60.0,15.6,1030.9
2021-03-06,3.3,-0.2,6.7,,59.0,11.1,1032.9
2021-03-07,2.1,-2.7,7.6,,13.0,7.3,1028.2
2021-03-08,2.7,-2.9,9.1,,322.0,6.2,1025.5
2021-03-09,4.9,-1.4,10.1,,232.0,16.7,1021.5
2021-03-10,9.1,8.0,10.2,,205.0,44.6,1006.3
2021-03-11,8.2,6.2,10.6,,254.0,41.1,1001.7
2021-03-12,8.0,6.6,9.0,,243.0,35.8,1004.5
2021-03-13,6.5,4.7,8.1,,277.0,36.5,1002.1
2021-03-14,8.3,6.2,10.5,,290.0,25.4,1019.1
2021-03-15,10.3,9.0,13.0,,307.0,19.3,1025.1
2021-03-16,10.2,7.2,14.2,,312.0,15.6,1031.2
