time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.1,17.9,37.6,,50.0,5.1,1010.5
2021-01-02,27.3,18.4,37.6,0.0,73.0,8.2,1009.2
2021-01-03,28.0,20.0,36.8,0.0,122.0,6.4,1009.1
2021-01-04,29.4,23.1,38.3,0.0,40.0,7.2,1008.7
2021-01-05,28.6,20.7,38.0,0.0,19.0,10.8,1008.7
2021-01-06,28.7,20.4,38.1,0.0,26.0,11.1,1009.3
2021-01-07,28.7,19.4,38.5,0.0,62.0,11.4,1009.8
2021-01-08,28.7,20.2,38.3,0.0,77.0,9.7,1009.8
2021-01-09,28.4,20.5,38.3,0.0,41.0,7.8,1009.4
2021-01-10,28.8,20.2,38.1,0.0,41.0,10.4,1008.6
2021-01-11,27.5,18.8,36.8,0.0,48.0,8.7,1008.8
2021-01-12,29.3,20.4,37.1,0.0,37.0,10.4,1010.1
2021-01-13,27.0,18.0,36.6,0.0,37.0,10.9,1011.4
2021-01-14,26.1,16.8,35.9,0.0,34.0,10.9,1011.2
2021-01-15,25.8,15.8,35.5,0.0,26.0,10.7,1010.1
2021-01-16,26.3,17.9,36.4,0.0,32.0,10.4,1009.1
2021-01-17,26.6,17.8,36.1,0.0,32.0,11.7,1009.7
2021-01-18,26.9,19.0,36.5,0.0,33.0,11.1,1010.2
2021-01-19,26.8,18.1,35.6,0.0,46.0,12.2,1011.3
2021-01-20,25.7,16.8,34.4,0.0,46.0,13.5,1011.6
2021-01-21,25.6,18.6,33.8,0.0,41.0,12.4,1011.9
2021-01-22,25.1,17.6,32.9,0.0,37.0,12.0,1012.4
2021-01-23,24.6,17.4,33.2,0.0,28.0,10.7,1012.0
2021-01-24,25.6,15.3,34.7,0.0,31.0,10.6,1010.8
2021-01-25,26.1,16.9,36.0,0.0,33.0,10.5,1010.6
2021-01-26,27.1,18.8,36.2,0.0,32.0,10.8,1010.7
2021-01-27,27.7,18.9,36.6,0.0,30.0,11.7,1010.5
2021-01-28,27.4,18.2,37.2,0.0,33.0,10.6,1010.2
2021-01-29,27.6,20.0,36.7,0.0,45.0,11.7,1011.0
2021-01-30,27.0,19.5,35.4,0.0,39.0,11.0,1011.1
2021-01-31,26.8,19.6,34.8,0.0,27.0,9.8,1010.5
2021-02-01,26.2,17.7,35.2,0.0,29.0,10.7,1011.1
2021-02-02,26.6,18.5,36.1,0.0,24.0,10.2,1011.4
2021-02-03,27.7,19.5,36.9,0.0,34.0,10.1,1011.2
2021-02-04,27.8,19.2,37.3,0.0,49.0,9.4,1010.2
2021-02-05,28.6,21.0,37.2,0.0,60.0,9.6,1010.4
2021-02-06,27.9,21.2,36.0,0.0,58.0,9.0,1010.2
2021-02-07,29.1,23.3,37.2,0.0,52.0,8.9,1009.2
2021-02-08,28.6,22.6,36.4,0.0,22.0,11.0,1009.1
2021-02-09,28.7,20.7,37.8,0.0,32.0,10.5,1009.3
2021-02-10,23.4,18.7,37.9,0.0,34.0,10.9,1009.5
2021-02-11,29.8,21.9,38.7,0.0,35.0,11.0,1009.2
2021-02-12,30.1,22.7,38.5,0.0,56.0,11.2,1008.7
2021-02-13,34.4,22.6,38.9,0.0,62.0,10.7,1007.7
2021-02-14,29.5,20.2,38.8,0.0,71.0,9.4,1007.1
2021-02-15,30.8,22.9,39.0,0.0,82.0,8.8,1007.4
2021-02-16,30.9,22.9,38.7,0.0,91.0,9.3,1007.3
2021-02-17,31.1,25.6,37.4,0.0,85.0,12.5,1008.9
