time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-1.9,-6.0,0.6,0.0,41.0,7.2,1027.0
2021-01-02,-0.1,-5.5,4.4,0.0,195.0,20.9,1022.2
2021-01-03,2.1,0.0,4.4,0.3,205.0,25.9,1019.6
2021-01-04,0.8,-6.6,7.8,2.8,323.0,16.9,1019.5
2021-01-05,2.3,-5.5,3.3,1.5,225.0,22.7,1023.6
2021-01-06,-3.1,-8.8,4.4,0.0,22.0,9.7,1028.8
2021-01-07,-1.3,-5.5,1.7,0.0,297.0,12.2,1027.0
2021-01-08,-1.3,-6.0,3.3,0.0,28.0,7.2,1027.1
2021-01-09,-3.4,-8.2,-0.5,0.0,275.0,5.4,1029.9
2021-01-10,-2.2,-6.0,-0.5,0.0,29.0,5.8,1032.0
2021-01-11,-4.7,-11.0,1.1,0.0,26.0,6.8,1033.8
2021-01-12,-6.4,-11.6,2.8,0.0,28.0,8.6,1030.5
2021-01-13,4.2,-3.8,9.4,0.3,217.0,31.0,1024.2
2021-01-14,-0.7,-6.6,2.8,0.0,214.0,13.7,1035.0
2021-01-15,-4.1,-9.9,2.8,0.0,17.0,9.4,1034.1
2021-01-16,-0.7,-2.1,2.2,0.0,270.0,10.1,1030.9
2021-01-17,0.1,-2.1,6.7,0.0,285.0,15.5,1026.5
2021-01-18,-0.1,-8.2,2.2,0.0,306.0,9.7,1026.7
2021-01-19,-5.3,-13.2,3.9,0.0,26.0,4.7,1033.0
2021-01-20,-6.4,-14.3,2.8,0.0,31.0,6.1,1027.9
2021-01-21,-3.7,-7.1,2.8,0.3,18.0,5.8,1020.3
2021-01-22,0.0,-3.8,5.0,0.0,31.0,8.6,1012.8
2021-01-23,-1.7,-6.6,2.8,0.0,273.0,14.8,1011.8
2021-01-24,-3.3,-9.3,1.1,0.0,4.0,4.3,1012.5
2021-01-25,-4.6,-9.9,1.1,0.0,18.0,7.2,1008.0
2021-01-26,-6.1,-11.6,-1.6,0.0,258.0,9.4,1011.3
2021-01-27,-2.5,-6.0,2.2,0.0,165.0,36.7,1015.6
2021-01-28,3.1,1.1,7.2,0.0,177.0,21.6,1013.2
2021-01-29,5.7,0.0,7.8,1.8,186.0,24.5,1006.0
2021-01-30,1.1,-4.3,3.9,0.0,216.0,25.6,1020.7
2021-01-31,-2.1,-10.5,6.7,0.0,0.0,7.9,1030.9
2021-02-01,-2.9,-9.3,7.8,0.0,15.0,9.0,1026.0
2021-02-02,0.1,-6.6,11.7,0.0,117.0,15.5,1017.9
2021-02-03,2.2,-2.7,5.6,7.4,226.0,24.8,1015.2
2021-02-04,-2.2,-4.3,-0.5,0.0,229.0,28.8,1024.4
2021-02-05,0.4,-1.0,5.0,0.0,240.0,33.5,1015.8
