time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.4,,,,,,
2021-01-02,24.6,18.0,33.0,0.0,32.0,6.9,1011.7
2021-01-03,25.5,19.0,33.0,0.0,28.0,5.9,1011.6
2021-01-04,26.4,17.1,36.0,0.0,38.0,7.5,1011.9
2021-01-05,27.4,19.3,35.0,0.0,37.0,8.4,1011.8
2021-01-06,27.9,20.0,36.0,0.0,41.0,6.5,1011.7
2021-01-07,29.3,21.0,39.0,0.0,51.0,6.8,1011.6
2021-01-08,27.5,20.0,35.4,0.0,23.0,7.7,1012.1
2021-01-09,24.3,19.8,30.0,0.0,24.0,9.2,1013.5
2021-01-10,21.8,16.0,27.0,0.0,34.0,16.0,1014.3
2021-01-11,21.3,17.7,26.3,0.0,36.0,13.6,1015.1
2021-01-12,23.3,20.0,28.7,0.0,38.0,8.1,1015.2
2021-01-13,23.7,16.9,31.0,0.0,35.0,8.9,1015.4
2021-01-14,24.6,17.0,32.0,0.0,36.0,8.9,1014.6
2021-01-15,24.2,18.0,31.8,0.0,41.0,9.2,1013.8
2021-01-16,23.1,18.7,28.9,0.0,44.0,10.3,1012.9
2021-01-17,23.3,17.8,29.7,0.0,49.0,8.8,1013.6
2021-01-18,23.3,17.0,29.0,0.0,44.0,8.8,1014.2
2021-01-19,24.1,16.0,32.5,0.0,43.0,8.2,1014.4
2021-01-20,25.1,17.0,34.5,0.0,40.0,8.1,1013.5
2021-01-21,26.1,18.0,36.0,0.0,42.0,9.1,1013.3
2021-01-22,25.8,18.0,33.6,0.0,43.0,11.1,1014.3
2021-01-23,24.2,16.0,34.0,0.0,50.0,9.8,1014.1
2021-01-24,24.8,15.0,35.0,0.0,44.0,8.0,1012.9
2021-01-25,25.0,14.0,36.0,0.0,45.0,14.6,1012.4
2021-01-26,24.7,15.0,37.0,0.0,43.0,9.4,1012.7
2021-01-27,25.7,15.0,37.0,0.0,48.0,7.8,1012.3
2021-01-28,25.8,16.0,37.0,0.0,46.0,8.9,1012.2
2021-01-29,26.7,17.0,37.0,0.0,38.0,8.2,1013.0
2021-01-30,26.6,17.0,37.4,0.0,43.0,7.6,1013.2
2021-01-31,26.3,20.2,33.5,0.0,51.0,10.8,1013.2
2021-02-01,25.7,18.0,35.4,0.0,46.0,7.8,1012.6
2021-02-02,26.6,18.0,37.5,0.0,42.0,7.0,1012.4
2021-02-03,26.8,17.6,38.0,0.0,47.0,7.0,1012.0
2021-02-04,27.1,18.9,37.0,0.0,9.0,6.1,1011.1
2021-02-05,22.5,18.8,27.5,0.0,26.0,10.6,1013.5
2021-02-06,21.6,16.9,27.0,0.0,23.0,10.5,1015.6
2021-02-07,21.8,14.0,29.5,0.0,37.0,11.0,1014.8
2021-02-08,23.5,16.6,31.0,0.0,40.0,8.6,1013.9
2021-02-09,25.4,17.0,33.1,0.0,43.0,7.9,1013.0
2021-02-10,21.8,18.0,34.0,0.0,40.0,7.0,1012.3
2021-02-11,27.1,19.0,36.0,0.0,35.0,6.7,1011.9
2021-02-12,27.2,19.0,37.0,0.0,35.0,8.3,1011.4
2021-02-13,30.9,20.0,36.0,0.0,34.0,8.9,1010.5
2021-02-14,28.3,19.0,37.5,0.0,40.0,8.8,1009.5
2021-02-15,28.2,23.0,35.5,0.0,44.0,8.5,1009.7
2021-02-16,27.6,21.1,35.0,0.0,45.0,7.6,1009.9
2021-02-17,26.8,22.0,32.2,0.2,17.0,3.4,1010.7
2021-02-18,28.9,21.3,36.5,0.0,10.0,4.4,1012.0
2021-02-19,23.8,22.0,36.0,0.0,27.0,6.7,1013.3
2021-02-20,27.8,20.0,36.0,0.0,22.0,7.8,1013.6
2021-02-21,29.3,13.0,35.0,0.0,18.0,10.3,1012.9
2021-02-22,29.0,19.5,38.6,0.0,26.0,10.2,1012.3
2021-02-23,29.7,21.0,39.5,0.0,44.0,10.1,1012.6
2021-02-24,29.3,21.0,39.0,0.0,38.0,8.6,1012.8
2021-02-25,28.4,19.0,37.9,0.0,40.0,9.9,1012.9
2021-02-26,26.7,21.0,32.0,0.0,41.0,11.2,1013.4
2021-02-27,25.1,18.0,32.0,0.0,29.0,10.2,1012.4
2021-02-28,24.9,17.0,33.0,0.0,19.0,6.9,1010.7
2021-03-01,25.8,17.0,34.5,0.0,29.0,7.6,1010.7
2021-03-02,28.4,19.0,37.5,0.0,38.0,7.8,1010.8
2021-03-03,29.4,20.0,38.0,0.0,27.0,7.3,1011.1
2021-03-04,29.3,23.0,36.9,0.0,34.0,8.2,1010.4
2021-03-05,30.7,21.0,39.5,0.0,29.0,6.4,1008.9
2021-03-06,30.3,23.0,38.5,0.0,8.0,7.7,1010.2
2021-03-07,29.8,25.0,35.6,0.0,19.0,9.6,1012.4
2021-03-08,27.6,20.5,34.2,0.0,5.0,10.2,1012.1
2021-03-09,26.2,20.0,33.0,0.0,7.0,9.1,1011.7
2021-03-10,25.5,19.0,32.0,0.0,19.0,9.7,1012.0
2021-03-11,27.8,17.6,35.0,0.0,29.0,9.8,1011.6
2021-03-12,27.8,21.0,35.0,0.0,43.0,12.0,1011.6
2021-03-13,27.7,21.0,35.0,0.0,41.0,10.5,1011.6
2021-03-14,28.3,18.0,38.0,0.0,31.0,6.9,1011.5
