time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,0.1,-3.1,4.7,2.8,48.0,7.9,1010.0
2021-01-02,0.1,-1.8,2.5,0.3,339.0,10.4,1015.6
2021-01-03,1.4,-2.7,3.5,0.0,169.0,5.6,1013.6
2021-01-04,0.5,-2.9,2.0,0.0,13.0,9.0,1012.3
2021-01-05,1.8,1.0,2.7,0.3,4.0,10.6,1014.0
2021-01-06,1.7,0.9,2.5,0.0,340.0,7.3,1016.9
2021-01-07,1.3,-1.6,3.2,0.0,336.0,5.8,1018.7
2021-01-08,-0.9,-4.0,1.3,0.0,10.0,6.6,1019.3
2021-01-09,0.1,-1.5,2.4,0.3,40.0,20.2,1019.6
2021-01-10,0.0,-2.7,2.9,0.0,22.0,22.7,1022.8
2021-01-11,-0.2,-4.4,3.2,0.0,319.0,8.4,1026.6
2021-01-12,6.6,1.5,9.8,0.0,231.0,21.7,1024.3
2021-01-13,9.3,8.0,10.3,0.5,267.0,18.2,1026.1
2021-01-14,8.4,6.7,11.1,0.5,251.0,19.2,1023.5
2021-01-15,4.3,-1.5,9.7,1.5,337.0,17.2,1027.3
2021-01-16,1.3,-4.8,8.0,0.5,213.0,14.4,1027.9
2021-01-17,5.9,2.7,9.3,4.1,311.0,12.0,1026.9
2021-01-18,2.8,-2.3,8.7,0.0,212.0,7.2,1029.3
2021-01-19,4.5,-0.7,10.1,0.0,179.0,16.9,1018.9
2021-01-20,9.0,5.9,11.0,0.0,179.0,28.3,1002.1
2021-01-21,9.6,7.7,11.2,4.3,206.0,34.0,997.9
2021-01-22,6.9,4.0,11.1,14.5,256.0,23.8,997.6
2021-01-23,4.6,0.9,8.5,11.7,237.0,19.1,999.0
2021-01-24,2.7,-2.5,7.7,0.5,225.0,13.2,1004.0
2021-01-25,2.1,-0.9,6.0,0.8,295.0,10.5,1011.8
2021-01-26,0.8,-4.5,4.7,0.0,174.0,9.7,1022.9
2021-01-27,7.7,3.0,11.3,0.0,215.0,16.2,1018.3
2021-01-28,11.1,11.1,13.6,5.1,236.0,25.7,1014.7
2021-01-29,11.1,9.8,13.0,5.8,240.0,25.0,1011.7
2021-01-30,9.4,9.2,12.4,4.8,214.0,25.4,1000.3
2021-01-31,9.7,1.0,11.2,3.3,235.0,15.5,997.0
2021-02-01,10.4,9.8,11.8,6.1,255.0,21.1,999.3
2021-02-02,11.2,9.4,14.1,8.6,220.0,26.7,1007.0
2021-02-03,10.4,2.0,13.3,6.9,207.0,27.9,1005.9
2021-02-04,8.6,1.0,13.6,1.8,177.0,12.0,1011.1
2021-02-05,9.2,0.0,11.1,7.6,89.0,8.3,1011.1
2021-02-06,7.9,6.5,9.1,1.0,3.0,16.2,1003.3
2021-02-07,4.7,1.4,8.0,16.0,274.0,14.9,1002.5
2021-02-08,2.4,0.2,5.2,0.0,13.0,10.8,998.9
2021-02-09,2.1,-2.3,4.8,0.0,84.0,8.3,999.3
2021-02-10,2.9,-2.5,6.2,9.9,11.0,13.9,1006.6
2021-02-11,-0.8,-3.0,1.2,,63.0,15.9,1019.1
2021-02-12,-2.0,-4.0,0.0,,43.0,16.7,1019.4
2021-02-13,-2.4,-6.0,1.0,,47.0,11.1,1028.2
2021-02-14,1.8,-4.4,8.0,0.3,119.0,9.2,1029.4
2021-02-15,8.4,5.5,13.2,0.0,180.0,24.5,1027.1
2021-02-16,9.3,6.6,13.7,0.0,201.0,23.9,1020.4
2021-02-17,10.2,7.6,14.7,0.0,183.0,16.1,1020.3
2021-02-18,9.7,5.5,12.5,0.0,195.0,20.4,1012.3
2021-02-19,8.7,5.2,16.0,3.6,174.0,15.7,1014.6
2021-02-20,13.5,11.0,17.8,,165.0,25.4,1009.1
2021-02-21,14.0,11.0,18.1,0.0,162.0,19.8,1009.1
2021-02-22,12.4,10.4,15.0,0.0,142.0,8.7,1016.9
2021-02-23,12.7,9.2,17.5,0.5,183.0,17.2,1029.5
2021-02-24,13.1,8.4,19.3,0.0,164.0,13.4,1029.2
2021-02-25,12.0,7.8,16.1,0.3,195.0,12.4,1028.1
2021-02-26,9.7,5.5,13.2,0.0,15.0,14.7,1034.1
2021-02-27,6.1,0.9,11.4,0.0,22.0,19.6,1034.8
2021-02-28,6.5,0.7,12.2,0.0,49.0,14.4,1028.8
2021-03-01,8.9,0.5,17.5,0.0,56.0,7.3,1025.7
2021-03-02,10.1,5.2,16.4,0.0,153.0,8.4,1027.0
2021-03-03,11.2,4.8,16.6,0.0,198.0,8.5,1028.5
2021-03-04,9.3,5.1,14.6,0.0,334.0,8.1,1023.6
2021-03-05,6.2,3.8,10.0,0.0,27.0,19.8,1024.0
2021-03-06,4.5,-0.5,10.4,0.0,39.0,13.8,1025.8
2021-03-07,6.4,2.7,10.3,0.0,9.0,8.8,1022.6
