time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.9,23.0,32.0,,,,
2021-01-02,25.9,23.4,30.1,,,,
2021-01-03,25.8,23.9,29.2,6.7,178.0,4.9,1008.8
2021-01-04,26.2,24.4,32.0,9.3,333.0,6.2,1008.5
2021-01-05,27.3,23.3,31.2,3.5,19.0,5.0,1008.1
2021-01-06,27.4,23.4,32.5,9.9,345.0,4.2,1007.2
2021-01-07,26.2,24.0,32.2,16.1,353.0,5.8,1006.7
2021-01-08,26.5,24.0,31.6,6.4,319.0,4.9,1006.7
2021-01-09,27.1,23.4,31.8,15.6,339.0,2.5,1006.9
2021-01-10,26.3,23.7,31.8,21.8,320.0,5.6,1007.2
2021-01-11,26.7,23.9,31.4,14.3,314.0,5.2,1008.0
2021-01-12,26.9,24.0,32.0,7.6,18.0,8.1,1008.0
2021-01-13,24.4,22.0,29.0,23.7,326.0,8.8,1008.4
2021-01-14,25.1,21.4,29.8,24.4,354.0,5.7,1009.8
2021-01-15,26.0,22.8,29.2,5.5,42.0,4.4,1009.2
2021-01-16,26.8,22.9,31.0,0.0,326.0,8.3,1008.5
2021-01-17,27.1,24.0,32.1,2.7,355.0,7.4,1008.7
2021-01-18,25.6,24.0,29.2,0.5,325.0,8.6,1009.4
2021-01-19,26.6,22.4,31.5,0.5,290.0,8.3,1009.4
2021-01-20,26.8,22.8,31.8,1.5,305.0,10.8,1009.5
2021-01-21,27.6,23.4,31.4,0.4,324.0,8.4,1009.8
2021-01-22,27.1,23.2,33.0,0.5,308.0,8.0,1009.5
2021-01-23,27.6,23.3,32.4,0.3,334.0,5.3,1009.4
2021-01-24,26.5,23.8,30.0,0.0,30.0,5.3,1009.7
2021-01-25,27.4,24.7,32.0,4.0,352.0,4.0,1009.3
2021-01-26,26.3,24.0,30.1,24.6,352.0,5.8,1008.7
2021-01-27,25.8,24.0,29.8,9.4,355.0,6.1,1008.7
2021-01-28,25.3,22.8,31.6,4.6,38.0,6.3,1009.4
2021-01-29,25.9,23.0,31.0,8.9,324.0,10.8,1009.4
2021-01-30,26.7,23.6,32.1,3.3,355.0,7.0,1009.5
2021-01-31,26.2,23.6,32.3,8.8,346.0,3.8,1009.8
2021-02-01,25.6,24.0,31.5,12.5,17.0,3.2,1010.5
2021-02-02,26.7,23.3,32.2,8.9,350.0,6.2,1009.9
2021-02-03,26.0,23.4,31.0,13.1,330.0,10.0,1010.4
2021-02-04,26.4,23.6,31.2,9.0,345.0,9.7,1010.5
2021-02-05,25.3,23.8,29.6,18.0,317.0,6.8,1009.9
2021-02-06,27.1,22.7,32.0,0.7,308.0,7.7,1008.8
2021-02-07,26.6,24.0,31.6,2.0,318.0,9.8,1008.8
2021-02-08,26.9,23.0,32.3,2.5,309.0,8.3,1008.7
2021-02-09,27.3,22.9,32.2,0.6,330.0,6.5,1008.3
2021-02-10,28.7,23.6,33.0,0.1,332.0,7.5,1008.4
2021-02-11,27.2,23.9,33.0,0.3,329.0,7.2,1008.6
2021-02-12,27.3,24.0,32.0,1.2,329.0,8.9,1009.5
2021-02-13,25.9,24.0,33.5,3.1,313.0,9.3,1010.5
2021-02-14,26.9,24.0,33.3,0.0,327.0,8.8,1011.2
2021-02-15,26.6,23.0,33.3,0.0,328.0,9.5,1010.3
2021-02-16,26.3,21.2,33.6,0.0,337.0,8.0,1009.6
2021-02-17,26.9,21.6,31.8,0.0,307.0,8.1,1010.7
2021-02-18,26.8,23.9,32.5,0.7,334.0,8.5,1010.8
2021-02-19,29.2,22.5,33.0,1.5,358.0,8.6,1010.3
2021-02-20,27.0,24.0,31.0,1.8,6.0,5.6,1010.0
2021-02-21,24.5,22.0,33.0,0.9,351.0,6.4,1010.2
2021-02-22,26.6,22.6,31.0,1.4,341.0,5.8,1010.1
2021-02-23,27.4,23.0,33.0,0.8,334.0,9.5,1009.2
2021-02-24,27.1,22.8,31.6,0.0,323.0,10.2,1008.5
2021-02-25,26.3,22.8,33.6,0.0,331.0,8.8,1007.6
2021-02-26,28.1,20.1,34.6,0.0,337.0,10.7,1007.3
2021-02-27,27.7,21.6,34.0,0.0,311.0,9.9,1008.0
2021-02-28,26.2,22.1,33.9,0.2,333.0,6.7,1009.3
2021-03-01,28.3,22.1,35.4,0.0,351.0,6.1,1010.6
2021-03-02,27.6,23.4,34.4,0.3,2.0,5.8,1010.2
2021-03-03,26.9,24.0,32.8,12.1,8.0,3.6,1010.3
