time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,0.8,-2.7,10.6,26.4,102.0,16.6,1017.5
2021-01-02,5.7,2.8,8.3,0.0,292.0,10.4,1015.9
2021-01-03,3.7,1.1,4.4,2.0,290.0,11.2,1014.8
2021-01-04,1.6,-1.6,2.2,0.0,286.0,5.8,1017.0
2021-01-05,0.1,-2.7,2.2,0.0,329.0,9.4,1016.5
2021-01-06,1.7,1.1,2.8,0.0,335.0,10.1,1025.4
2021-01-07,1.7,0.0,2.8,0.0,35.0,12.6,1025.3
2021-01-08,0.4,-2.1,3.9,0.0,15.0,16.9,1020.0
2021-01-09,-0.8,-3.2,4.4,0.0,350.0,9.4,1023.6
2021-01-10,-1.4,-6.6,5.0,0.0,351.0,2.2,1027.3
2021-01-11,-1.1,-4.3,0.0,0.0,277.0,10.1,1025.5
2021-01-12,-3.3,-4.9,-1.6,0.0,212.0,11.9,1023.4
2021-01-13,-0.8,-5.5,7.2,0.0,186.0,11.2,1015.9
2021-01-14,3.8,0.0,7.8,0.0,163.0,13.3,1007.7
2021-01-15,4.7,-1.0,6.1,6.1,170.0,13.0,1002.6
2021-01-16,0.2,-1.0,1.7,1.0,234.0,13.3,1003.8
2021-01-17,1.2,-0.5,1.7,1.8,239.0,14.8,1007.3
2021-01-18,-0.5,-1.0,0.0,0.3,244.0,15.1,1013.2
2021-01-19,0.0,-4.3,3.9,0.0,243.0,14.0,1021.1
2021-01-20,0.3,-2.7,2.8,0.0,263.0,16.6,1020.6
2021-01-21,1.7,-2.1,8.9,0.0,232.0,20.2,1009.4
2021-01-22,1.2,-6.6,2.8,0.0,282.0,22.3,1014.9
2021-01-23,-4.9,-8.8,-0.5,0.0,343.0,10.4,1027.9
2021-01-24,-3.3,-5.5,-0.5,0.3,113.0,11.2,1022.8
2021-01-25,-1.2,-1.6,1.1,1.5,50.0,9.4,1015.5
2021-01-26,2.5,0.6,6.7,1.3,238.0,18.7,1008.3
2021-01-27,0.4,-3.8,1.1,0.0,2.0,17.3,1022.8
2021-01-28,-4.7,-7.1,-3.8,0.0,328.0,18.4,1032.6
2021-01-29,-4.1,-7.7,0.0,0.0,322.0,7.9,1030.9
2021-01-30,-3.5,-6.6,1.7,1.3,101.0,13.3,1025.3
2021-01-31,0.3,-2.1,2.2,15.2,74.0,16.6,1010.2
2021-02-01,-0.9,-3.2,0.0,2.8,341.0,21.2,1012.8
2021-02-02,-3.2,-4.9,-2.1,1.3,325.0,23.0,1016.4
2021-02-03,-4.0,-8.8,0.0,0.0,307.0,14.4,1017.8
2021-02-04,-4.2,-9.9,2.8,3.8,142.0,14.0,1012.5
2021-02-05,-0.4,-3.8,2.8,0.0,241.0,25.6,1006.6
2021-02-06,-4.5,-8.8,-1.0,0.0,273.0,13.7,1018.0
2021-02-07,-7.3,-11.0,-4.9,0.0,306.0,15.8,1021.3
2021-02-08,-8.0,-11.0,-0.5,1.0,53.0,6.1,1026.5
2021-02-09,-3.4,-8.8,-2.7,4.3,351.0,10.8,1024.9
2021-02-10,-7.3,-10.5,-4.3,2.8,25.0,12.2,1026.8
2021-02-11,-5.7,-7.1,-3.2,0.5,20.0,18.0,1026.1
2021-02-12,-4.1,-6.0,-1.0,0.0,12.0,14.0,1024.0
2021-02-13,-3.8,-5.5,-2.1,0.3,7.0,12.2,1021.5
2021-02-14,-5.0,-7.1,-2.7,0.0,357.0,15.8,1025.9
2021-02-15,-5.8,-7.1,-3.8,12.4,15.0,18.4,1018.6
2021-02-16,-6.8,-12.1,-4.9,1.5,286.0,16.6,1014.7
2021-02-17,-10.0,-14.9,-4.3,0.0,38.0,6.1,1028.7
2021-02-18,-4.5,-6.0,-1.0,3.0,6.0,9.4,1023.8
2021-02-19,-4.9,-9.3,-4.3,0.0,289.0,16.9,1025.4
2021-02-20,-6.7,-11.0,-3.2,0.0,271.0,12.2,1029.9
2021-02-21,-6.2,-14.3,2.8,0.0,99.0,13.0,1029.2
2021-02-22,3.2,1.7,6.1,0.0,218.0,21.6,1012.0
2021-02-23,4.3,-1.0,7.8,0.0,233.0,18.7,1010.9
2021-02-24,5.4,-2.1,14.4,1.8,221.0,17.6,1013.4
2021-02-25,2.8,-3.2,6.7,0.0,326.0,9.0,1025.9
2021-02-26,1.7,-2.7,7.2,0.5,90.0,14.4,1024.3
2021-02-27,7.3,5.0,11.1,1.3,354.0,10.1,1018.1
2021-02-28,9.4,6.1,15.6,19.3,146.0,14.0,1012.2
2021-03-01,7.4,-2.1,13.3,1.0,306.0,24.5,1017.4
2021-03-02,-1.0,-6.6,5.0,0.0,250.0,10.8,1025.8
2021-03-03,3.9,-3.8,15.6,0.0,226.0,13.3,1016.4
2021-03-04,3.7,-4.3,6.7,0.0,344.0,16.9,1021.3
