time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,28.3,22.2,,,,,
2021-01-02,29.1,24.0,33.2,1.3,246.0,5.2,1010.0
2021-01-03,28.4,23.0,35.0,2.1,273.0,3.8,1009.6
2021-01-04,26.5,24.0,35.0,3.2,245.0,5.3,1009.0
2021-01-05,27.6,22.4,34.0,3.8,298.0,3.8,1008.7
2021-01-06,27.8,23.0,33.0,7.0,253.0,5.3,1009.3
2021-01-07,27.7,23.9,33.0,1.1,251.0,7.5,1010.0
2021-01-08,26.6,22.8,34.7,1.5,243.0,5.5,1010.3
2021-01-09,28.0,22.0,34.8,1.0,277.0,5.1,1009.5
2021-01-10,28.2,23.2,34.7,0.5,257.0,6.4,1009.0
2021-01-11,26.9,22.8,34.0,1.9,325.0,4.0,1008.7
2021-01-12,26.1,23.6,33.0,1.3,318.0,5.3,1009.9
2021-01-13,27.3,20.8,33.0,3.7,282.0,5.9,1011.0
2021-01-14,27.1,21.0,33.4,1.4,291.0,4.4,1010.7
2021-01-15,27.3,22.5,33.8,0.2,247.0,5.9,1009.4
2021-01-16,26.8,20.8,33.0,2.7,287.0,4.5,1008.6
2021-01-17,26.8,21.0,33.0,0.0,337.0,3.2,1009.0
2021-01-18,28.0,22.4,34.0,0.4,304.0,4.1,1009.4
2021-01-19,27.9,23.3,33.1,0.3,285.0,5.0,1010.4
2021-01-20,28.3,22.0,34.4,0.0,351.0,5.0,1010.0
2021-01-21,25.3,19.2,33.0,0.0,332.0,3.1,1010.3
2021-01-22,26.0,19.1,33.6,0.0,318.0,4.6,1010.3
2021-01-23,26.0,19.2,33.0,33.5,334.0,4.0,1010.1
2021-01-24,26.6,20.0,33.6,0.0,312.0,5.1,1009.5
2021-01-25,29.1,23.0,33.8,1.0,296.0,4.4,1009.7
2021-01-26,29.4,23.0,34.9,0.2,253.0,5.3,1009.9
2021-01-27,28.7,23.0,35.1,0.9,293.0,6.5,1009.3
2021-01-28,27.6,21.6,33.2,2.5,308.0,4.7,1009.6
2021-01-29,28.2,23.0,34.6,8.9,297.0,4.4,1010.0
2021-01-30,30.2,22.5,34.2,0.0,282.0,6.2,1009.9
2021-01-31,29.0,23.0,35.5,0.0,287.0,6.0,1009.2
2021-02-01,28.6,23.9,35.5,1.1,282.0,4.6,1010.2
2021-02-02,29.1,23.5,34.0,0.8,253.0,5.2,1010.5
2021-02-03,27.7,24.6,34.6,1.7,324.0,3.6,1010.5
2021-02-04,28.1,22.0,35.2,0.0,350.0,3.7,1010.0
2021-02-05,28.8,23.0,35.8,0.1,264.0,4.9,1010.2
2021-02-06,30.3,24.4,35.4,0.0,296.0,5.6,1009.9
2021-02-07,29.3,24.0,35.8,0.1,301.0,5.0,1009.0
2021-02-08,28.3,24.0,35.4,0.9,260.0,5.3,1008.5
2021-02-09,28.4,23.6,35.0,2.7,275.0,5.7,1009.0
2021-02-10,26.4,23.0,35.0,0.3,250.0,5.7,1009.1
2021-02-11,28.6,23.0,35.0,0.4,249.0,6.5,1009.0
2021-02-12,28.5,24.0,35.0,0.2,252.0,4.7,1008.7
2021-02-13,31.9,24.0,36.0,0.0,249.0,5.0,1008.1
2021-02-14,27.8,23.0,35.2,2.4,253.0,6.0,1008.0
2021-02-15,27.4,23.0,34.4,6.1,281.0,5.0,1008.3
2021-02-16,29.0,23.0,35.8,1.2,245.0,6.2,1008.4
2021-02-17,28.9,23.5,35.5,0.2,356.0,4.7,1009.0
2021-02-18,29.1,22.5,35.6,0.0,317.0,7.1,1010.2
2021-02-19,25.0,20.6,35.0,0.0,339.0,6.1,1011.6
2021-02-20,26.6,19.0,33.3,0.0,284.0,6.3,1011.8
2021-02-21,28.6,20.0,35.0,0.0,327.0,3.5,1010.3
