time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,8.6,6.1,12.4,2.9,38.0,6.1,1020.3
2021-01-03,8.4,5.4,12.7,4.3,315.0,3.9,1016.7
2021-01-04,11.5,3.0,19.0,6.1,10.0,6.2,1021.7
2021-01-05,11.3,3.0,16.0,7.0,38.0,9.0,1022.1
2021-01-06,7.9,4.0,14.0,2.3,356.0,5.7,1023.2
2021-01-07,10.9,3.0,14.0,15.7,342.0,6.3,1022.9
2021-01-08,10.2,4.2,15.0,0.0,329.0,5.6,1023.4
2021-01-09,8.2,4.5,12.9,1.8,330.0,5.1,1016.9
2021-01-10,8.2,5.1,12.7,2.4,309.0,6.1,1018.2
2021-01-11,9.3,6.2,13.9,5.7,178.0,4.0,1016.4
2021-01-12,8.4,6.1,11.4,2.1,74.0,6.6,1018.8
2021-01-13,7.6,4.7,10.5,7.0,53.0,5.8,1021.1
2021-01-14,7.6,5.5,10.7,3.7,76.0,6.8,1020.0
2021-01-15,8.9,5.0,13.1,3.3,76.0,4.5,1016.2
2021-01-16,10.2,6.0,15.2,2.1,94.0,3.8,1012.5
2021-01-17,7.7,5.9,10.1,12.4,41.0,6.5,1015.5
2021-01-18,5.4,4.4,7.3,2.6,46.0,7.8,1020.6
2021-01-19,6.7,3.6,10.0,5.6,44.0,7.3,1020.0
2021-01-20,6.7,4.2,10.1,8.6,34.0,8.4,1020.3
2021-01-21,5.4,2.7,8.5,9.5,44.0,9.3,1021.9
2021-01-22,5.5,3.2,8.8,6.6,42.0,11.7,1023.4
2021-01-23,6.4,3.4,10.3,4.8,18.0,9.0,1022.2
2021-01-24,7.2,4.2,11.3,5.9,13.0,7.1,1019.1
2021-01-25,7.5,5.2,10.6,11.4,318.0,6.0,1016.5
2021-01-26,8.8,4.3,13.9,1.3,244.0,10.7,1014.3
2021-01-27,7.0,1.5,13.0,1.5,45.0,7.0,1016.8
2021-01-28,8.3,2.7,14.3,0.1,272.0,7.1,1014.7
2021-01-29,8.6,4.0,13.7,1.5,239.0,4.8,1014.4
2021-01-30,9.3,3.8,14.7,1.4,280.0,5.0,1014.9
2021-01-31,9.5,4.7,14.9,0.9,317.0,4.3,1016.0
2021-02-01,9.8,6.1,14.6,2.4,328.0,4.5,1015.1
2021-02-02,9.0,5.5,13.9,2.6,331.0,6.0,1016.8
2021-02-03,8.5,6.2,12.1,2.9,357.0,7.5,1020.4
2021-02-04,8.2,6.0,10.6,12.4,27.0,7.2,1022.7
2021-02-05,8.6,5.3,11.9,7.2,32.0,5.5,1020.5
2021-02-06,8.9,6.2,12.5,7.2,23.0,7.1,1019.6
2021-02-07,8.2,6.0,12.4,15.9,348.0,4.9,1020.1
2021-02-08,7.7,5.7,10.9,11.8,352.0,5.9,1019.6
2021-02-09,7.5,5.5,10.8,13.8,350.0,6.6,1017.9
2021-02-10,6.3,4.3,9.5,13.5,1.0,8.8,1018.0
2021-02-11,6.3,2.8,10.9,6.8,327.0,6.0,1017.4
2021-02-12,7.0,3.4,12.3,2.2,346.0,6.3,1017.6
2021-02-13,8.2,3.8,14.1,1.4,326.0,7.6,1016.6
2021-02-14,9.1,4.7,14.3,2.0,271.0,6.6,1015.4
2021-02-15,8.0,4.4,12.4,4.6,339.0,5.9,1017.5
2021-02-16,7.4,4.1,11.8,5.7,13.0,5.2,1017.6
2021-02-17,6.9,4.2,10.4,4.5,357.0,6.6,1018.4
2021-02-18,7.0,4.1,10.6,8.3,2.0,7.2,1019.4
2021-02-19,7.6,4.6,11.5,14.5,27.0,5.6,1019.6
2021-02-20,7.4,5.7,11.4,14.9,17.0,7.2,1021.6
2021-02-21,8.2,5.0,12.9,2.2,359.0,8.3,1021.0
2021-02-22,8.5,3.9,13.4,1.3,2.0,7.0,1020.5
2021-02-23,8.7,5.7,13.3,1.2,70.0,7.2,1021.5
2021-02-24,8.0,3.9,12.3,0.4,63.0,6.9,1023.5
2021-02-25,7.8,4.5,12.3,7.2,73.0,4.0,1021.8
2021-02-26,7.7,5.1,11.5,4.7,108.0,5.8,1020.2
2021-02-27,7.5,3.8,11.6,3.2,111.0,7.8,1021.0
2021-02-28,7.3,3.6,11.8,4.1,99.0,5.9,1020.3
2021-03-01,8.8,3.0,16.0,4.3,48.0,7.4,1023.2
2021-03-02,9.8,3.0,14.0,2.8,40.0,7.3,1023.2
2021-03-03,9.4,1.5,14.0,0.8,17.0,6.1,1024.9
2021-03-04,11.5,3.0,16.0,0.5,29.0,7.0,1024.5
2021-03-05,4.6,2.5,16.0,8.1,66.0,6.4,1024.6
2021-03-06,5.9,1.3,10.6,2.7,140.0,4.5,1021.3
2021-03-07,6.5,1.9,11.5,3.6,157.0,4.0,1021.1
2021-03-08,10.1,1.0,15.0,0.0,113.0,7.7,1027.4
2021-03-09,7.2,-3.0,15.0,0.3,93.0,8.1,1028.3
2021-03-10,8.9,-2.0,15.0,3.2,94.0,6.7,1025.1
2021-03-11,8.4,0.0,16.0,11.7,94.0,6.0,1024.4
2021-03-12,5.2,1.2,9.3,4.7,40.0,6.0,1022.4
2021-03-13,5.9,2.7,10.3,6.3,0.0,6.2,1021.9
2021-03-14,6.0,2.4,9.2,5.6,14.0,6.8,1021.7
2021-03-15,9.5,-2.0,15.0,3.8,346.0,4.6,1024.6
2021-03-16,10.8,2.5,16.0,1.3,241.0,6.0,1021.2
2021-03-17,7.6,5.6,10.7,5.1,53.0,6.0,1018.2
2021-03-18,7.0,4.7,10.3,3.4,22.0,6.0,1019.2
2021-03-19,7.4,4.2,11.0,2.8,324.0,5.7,1016.3
2021-03-20,7.6,5.0,11.4,6.4,357.0,4.2,1017.2
2021-03-21,6.2,4.6,9.0,7.4,46.0,7.2,1022.8
2021-03-22,9.4,4.0,11.0,15.7,12.0,7.4,1025.9
2021-03-23,8.2,2.5,14.0,2.0,356.0,5.2,1024.2
2021-03-24,11.0,3.5,16.5,0.0,354.0,4.4,1024.3
2021-03-25,10.3,1.0,16.0,1.4,259.0,4.2,1022.0
2021-03-26,11.1,3.0,19.5,1.7,290.0,5.0,1020.4
2021-03-27,6.9,4.6,9.9,7.5,355.0,6.4,1019.5
2021-03-28,6.5,4.1,10.9,7.3,333.0,7.2,1019.8
2021-03-29,10.4,2.0,16.0,5.8,335.0,5.3,1019.8
2021-03-30,9.8,1.0,16.0,1.5,349.0,4.6,1019.7
2021-03-31,10.4,2.5,18.0,0.3,334.0,5.7,1018.0
2021-04-01,8.5,1.0,16.5,7.9,345.0,3.3,1016.8
2021-04-02,6.6,2.6,11.8,1.0,339.0,5.8,1019.7
2021-04-03,7.0,3.8,11.7,0.5,351.0,7.4,1021.2
2021-04-04,6.3,3.7,9.8,4.5,331.0,4.9,1021.1
2021-04-05,7.8,0.0,18.0,3.8,249.0,4.6,1019.3
2021-04-06,8.9,0.0,14.0,0.0,71.0,5.1,1021.1
2021-04-07,9.9,1.0,15.0,0.4,79.0,3.9,1023.9
2021-04-08,10.4,1.5,18.5,0.4,289.0,5.0,1023.5
2021-04-09,11.6,2.0,21.0,1.0,7.0,4.7,1023.6
2021-04-10,9.4,5.4,14.3,1.0,333.0,4.5,1017.1
2021-04-11,7.0,4.9,9.2,2.2,47.0,5.7,1020.1
2021-04-12,6.6,3.2,10.6,2.6,342.0,5.1,1022.9
2021-04-13,7.4,4.7,11.7,2.0,333.0,4.6,1022.3
2021-04-14,7.6,4.8,12.1,3.1,297.0,5.4,1019.9
2021-04-15,8.1,3.5,13.7,0.1,271.0,5.5,1016.8
2021-04-16,7.7,3.4,13.6,0.7,305.0,5.3,1018.1
2021-04-17,7.3,3.0,12.6,0.2,325.0,5.8,1019.7
2021-04-18,7.0,2.7,12.9,0.1,313.0,4.8,1020.1
2021-04-19,7.0,3.3,12.0,0.3,309.0,5.0,1020.9
2021-04-20,7.2,2.7,12.3,0.4,251.0,4.8,1020.0
2021-04-21,8.7,4.5,14.4,0.0,268.0,5.7,1017.0
2021-04-22,8.3,3.7,14.5,0.0,267.0,7.0,1015.6
2021-04-23,7.1,2.5,12.9,1.1,255.0,8.0,1015.8
2021-04-24,5.3,0.7,12.2,0.6,294.0,8.9,1018.4
2021-04-25,4.6,1.1,11.2,0.6,312.0,6.5,1020.8
2021-04-26,5.4,0.7,11.0,0.5,267.0,5.4,1019.1
2021-04-27,5.4,1.6,11.5,0.2,305.0,4.9,1019.3
2021-04-28,4.6,1.1,8.5,0.2,343.0,6.0,1021.0
2021-04-29,3.9,0.8,9.1,0.9,345.0,6.8,1023.9
2021-04-30,5.3,0.7,11.5,0.1,295.0,5.5,1020.6
2021-05-01,7.8,2.6,13.3,0.0,220.0,6.3,1017.7
2021-05-02,8.5,4.1,13.5,0.0,257.0,4.1,1017.6
2021-05-03,9.7,4.9,15.2,0.0,252.0,5.3,1016.5
2021-05-04,10.2,5.9,15.3,0.0,7.0,7.1,1018.3
2021-05-05,8.5,3.6,15.5,0.3,296.0,9.8,1020.2
2021-05-06,8.5,3.6,14.1,0.1,275.0,5.0,1018.6
2021-05-07,7.8,4.9,12.7,0.1,296.0,5.1,1019.3
2021-05-08,9.0,5.8,13.9,0.0,289.0,6.0,1019.3
2021-05-09,9.0,5.8,14.3,0.0,300.0,6.0,1019.2
2021-05-10,8.5,2.0,14.0,0.2,298.0,5.1,1021.4
2021-05-11,8.3,4.2,13.6,1.0,274.0,6.8,1017.6
2021-05-12,7.2,3.6,11.6,0.8,271.0,5.4,1018.5
2021-05-13,7.4,2.7,12.7,0.4,252.0,10.7,1019.4
2021-05-14,5.2,-1.0,11.3,0.0,255.0,6.3,1020.6
2021-05-15,6.7,2.4,11.5,0.1,268.0,5.8,1020.3
2021-05-16,6.4,2.1,12.1,0.0,231.0,4.3,1020.9
2021-05-17,6.2,3.0,12.0,0.0,332.0,5.8,1023.8
2021-05-18,7.6,-1.5,16.5,0.2,302.0,4.7,1025.0
2021-05-19,6.1,-1.0,12.8,0.0,241.0,9.1,1018.5
2021-05-20,5.2,-0.7,11.8,0.0,268.0,13.5,1017.7
2021-05-21,4.3,-2.0,12.0,0.0,246.0,14.0,1020.9
2021-05-22,5.1,-0.3,12.2,0.0,273.0,12.0,1018.0
2021-05-23,6.6,1.4,13.1,0.0,261.0,9.2,1018.2
2021-05-24,7.1,-1.5,17.0,0.0,248.0,8.1,1022.2
2021-05-25,9.1,-1.0,19.0,0.0,270.0,8.0,1025.0
2021-05-26,8.6,0.0,17.5,0.6,244.0,6.9,1028.1
2021-05-27,9.8,1.5,16.0,0.8,290.0,7.6,1025.5
2021-05-28,7.4,1.0,17.0,0.3,256.0,14.4,1022.2
2021-05-29,4.3,-0.9,11.1,0.0,282.0,8.8,1020.3
2021-05-30,5.3,0.8,11.6,0.0,262.0,10.1,1020.4
2021-05-31,3.1,-6.0,13.0,0.0,219.0,8.4,1027.6
2021-06-01,6.3,-4.0,15.5,0.0,223.0,12.1,1024.5
2021-06-02,5.7,-2.5,17.0,0.0,4.0,8.1,1023.1
2021-06-03,6.6,2.2,12.5,0.0,290.0,6.2,1019.2
2021-06-04,7.6,-2.0,19.0,0.0,279.0,4.9,1022.0
2021-06-05,6.8,2.7,12.4,0.8,273.0,9.6,1017.4
2021-06-06,4.1,-0.2,10.0,0.1,262.0,10.6,1020.2
2021-06-07,6.1,-3.5,16.0,0.0,237.0,10.3,1022.6
2021-06-08,2.3,-5.5,15.0,0.0,246.0,7.6,1025.0
2021-06-09,6.2,-3.5,15.0,0.0,244.0,12.7,1024.5
2021-06-10,3.3,-7.5,13.0,0.0,240.0,6.0,1027.5
2021-06-11,2.8,-8.0,14.0,0.0,53.0,3.9,1030.2
2021-06-12,3.1,-1.9,8.5,0.0,171.0,3.1,1023.4
2021-06-13,4.5,-0.9,10.4,0.0,226.0,5.0,1020.0
2021-06-14,4.3,-4.0,13.5,0.0,233.0,6.5,1025.2
2021-06-15,4.2,-6.5,16.0,0.0,332.0,5.1,1026.8
2021-06-16,5.3,-2.5,14.0,0.0,261.0,8.8,1024.2
