time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,24.9,,,,,,
2021-01-02,28.3,22.1,31.0,0.5,319.0,6.3,1011.5
2021-01-03,29.3,23.0,32.4,4.0,3.0,8.5,1009.4
2021-01-04,28.9,22.8,31.8,11.8,333.0,7.3,1008.3
2021-01-05,25.6,22.5,27.0,35.9,320.0,7.1,1009.3
2021-01-06,24.2,22.3,28.0,22.4,348.0,6.3,1011.2
2021-01-07,25.9,21.7,28.0,9.5,15.0,4.3,1013.7
2021-01-08,27.7,21.6,30.5,0.0,322.0,5.0,1012.4
2021-01-09,29.2,22.5,32.2,0.0,2.0,7.4,1011.1
2021-01-10,30.2,23.1,33.0,5.4,351.0,7.1,1010.9
2021-01-11,30.1,23.7,33.0,1.4,357.0,8.9,1010.9
2021-01-12,30.1,23.9,32.5,2.5,2.0,9.4,1010.2
2021-01-13,29.5,23.9,32.1,0.8,3.0,10.1,1009.9
2021-01-14,29.3,23.2,32.0,8.5,12.0,9.8,1009.0
2021-01-15,27.4,23.2,30.2,12.0,359.0,7.1,1009.2
2021-01-16,29.2,23.8,32.6,1.7,354.0,6.3,1007.9
2021-01-17,29.9,23.6,32.2,1.6,4.0,10.2,1007.2
2021-01-18,31.1,23.1,33.0,5.2,345.0,8.8,1008.5
2021-01-19,24.7,22.8,25.0,24.6,142.0,8.8,1011.5
2021-01-20,25.4,21.6,27.0,12.0,215.0,5.6,1012.3
2021-01-21,27.4,21.9,31.0,0.4,289.0,5.0,1011.5
2021-01-22,29.7,21.7,33.0,1.7,88.0,7.6,1011.1
2021-01-23,25.9,22.5,33.4,57.5,235.0,6.9,1011.8
2021-01-24,26.4,22.3,29.4,37.7,121.0,4.9,1011.1
2021-01-25,27.4,22.4,30.0,9.9,109.0,6.7,1010.3
2021-01-26,28.6,22.9,32.0,0.3,359.0,9.6,1009.7
2021-01-27,29.1,23.2,32.0,0.4,358.0,9.8,1009.7
2021-01-28,30.5,21.0,33.0,0.2,2.0,10.1,1008.8
2021-01-29,30.8,23.4,33.0,6.6,343.0,8.7,1008.3
2021-01-30,26.2,22.6,33.5,24.8,223.0,7.1,1010.6
2021-01-31,27.4,22.9,30.0,12.4,28.0,5.2,1011.1
2021-02-01,29.3,23.4,33.0,4.4,359.0,7.1,1010.1
2021-02-02,29.5,23.8,33.0,6.0,0.0,9.6,1009.9
2021-02-03,29.4,22.9,31.3,11.0,13.0,7.7,1010.9
2021-02-04,26.6,23.0,31.6,25.4,295.0,6.2,1012.4
2021-02-05,28.4,23.1,32.0,6.9,74.0,5.3,1011.5
2021-02-06,26.7,22.7,30.7,9.7,259.0,4.6,1011.8
2021-02-07,29.9,22.6,33.0,1.1,318.0,7.0,1010.4
2021-02-08,30.8,23.3,33.0,11.4,349.0,7.7,1009.6
2021-02-09,27.0,22.8,29.1,8.8,5.0,5.7,1009.2
2021-02-10,25.7,23.0,30.0,30.8,327.0,6.3,1008.4
2021-02-11,23.2,22.0,24.0,38.4,175.0,5.7,1009.5
2021-02-12,24.9,22.2,28.0,81.2,193.0,5.9,1010.5
2021-02-13,29.5,22.0,32.4,1.0,356.0,5.3,1009.9
2021-02-14,30.3,22.6,33.0,3.9,349.0,7.7,1009.2
2021-02-15,28.1,22.8,31.6,12.1,343.0,9.6,1010.1
2021-02-16,27.3,22.9,31.0,5.2,356.0,7.2,1009.8
2021-02-17,27.5,22.2,30.0,10.1,41.0,6.2,1009.2
2021-02-18,23.8,21.6,26.0,20.6,216.0,5.3,1010.9
2021-02-19,25.8,22.3,30.0,8.3,58.0,5.7,1010.8
2021-02-20,27.5,22.9,32.0,0.1,12.0,7.8,1010.3
2021-02-21,28.0,23.4,31.0,7.7,211.0,7.6,1010.3
2021-02-22,27.2,23.1,30.0,41.3,70.0,4.2,1010.9
2021-02-23,28.7,22.6,33.0,2.4,332.0,4.5,1010.9
2021-02-24,28.7,23.0,31.0,9.1,345.0,6.1,1011.5
2021-02-25,27.5,22.7,31.2,16.4,309.0,5.3,1010.9
2021-02-26,28.3,22.9,32.6,0.2,342.0,6.0,1008.8
2021-02-27,25.7,23.0,29.0,12.2,120.0,5.9,1009.8
2021-02-28,26.8,22.8,31.0,3.5,332.0,4.6,1009.1
2021-03-01,26.7,23.5,31.6,4.6,359.0,7.1,1007.9
2021-03-02,26.9,23.1,30.0,6.8,353.0,6.3,1009.0
2021-03-03,28.3,23.0,31.4,6.4,351.0,5.9,1010.7
2021-03-04,28.3,22.9,31.0,2.1,28.0,7.4,1011.0
2021-03-05,29.1,22.4,31.6,3.1,17.0,5.9,1010.2
2021-03-06,28.5,22.7,30.0,15.0,341.0,5.6,1011.0
2021-03-07,28.5,23.4,31.0,9.0,174.0,5.6,1011.8
2021-03-08,27.6,22.9,31.0,0.6,337.0,6.4,1011.0
2021-03-09,29.3,23.5,31.0,16.0,5.0,6.1,1011.3
2021-03-10,25.4,22.0,29.0,11.6,322.0,5.4,1011.4
2021-03-11,29.1,22.5,32.0,0.2,14.0,5.5,1010.4
2021-03-12,30.1,23.2,33.0,9.3,360.0,6.4,1011.2
2021-03-13,23.6,22.0,27.8,6.9,101.0,5.3,1011.8
2021-03-14,26.1,22.8,28.0,26.0,337.0,4.6,1011.4
2021-03-15,28.3,22.9,30.2,0.9,321.0,4.3,1011.0
2021-03-16,26.1,22.2,28.0,31.7,343.0,8.2,1011.3
2021-03-17,26.3,20.9,31.0,0.0,352.0,8.2,1009.3
2021-03-18,27.0,21.8,33.0,6.1,347.0,9.2,1009.2
2021-03-19,27.2,23.4,33.2,16.4,345.0,6.9,1009.3
2021-03-20,23.7,22.6,26.0,21.7,142.0,4.8,1009.8
2021-03-21,23.0,21.6,25.0,24.5,60.0,4.9,1012.7
2021-03-22,25.6,21.1,30.3,0.0,271.0,4.9,1012.1
2021-03-23,24.0,21.6,26.0,3.7,134.0,4.9,1012.2
2021-03-24,25.2,21.9,30.1,6.4,234.0,6.1,1012.2
2021-03-25,24.3,22.5,28.8,9.7,337.0,5.6,1012.0
2021-03-26,26.4,22.4,31.2,1.2,149.0,4.8,1010.8
2021-03-27,27.4,23.4,33.0,11.6,7.0,6.7,1009.3
2021-03-28,28.5,22.8,33.6,15.6,141.0,6.1,1010.6
2021-03-29,23.5,22.0,26.0,19.3,197.0,4.4,1011.9
2021-03-30,25.1,22.2,30.0,18.2,198.0,5.4,1011.8
2021-03-31,25.9,22.6,31.0,3.4,33.0,5.4,1010.2
2021-04-01,26.4,22.9,32.0,4.0,345.0,5.5,1008.7
2021-04-02,26.4,22.6,30.2,5.8,102.0,7.3,1009.6
2021-04-03,23.9,22.6,26.6,29.6,178.0,7.7,1011.9
2021-04-04,25.5,22.7,30.1,5.3,206.0,6.7,1011.3
2021-04-05,25.2,22.5,29.0,5.1,262.0,4.8,1011.1
2021-04-06,25.4,22.8,30.1,11.5,250.0,4.0,1011.1
2021-04-07,27.0,22.9,32.1,0.7,348.0,5.7,1010.9
2021-04-08,27.5,23.9,32.4,0.3,13.0,7.7,1010.4
2021-04-09,25.9,22.9,32.0,28.3,318.0,5.9,1011.1
2021-04-10,23.9,22.8,25.0,5.5,323.0,4.6,1011.8
2021-04-11,26.1,22.8,31.0,1.1,348.0,4.2,1010.8
2021-04-12,24.8,22.5,29.0,23.3,211.0,6.3,1012.8
2021-04-13,26.0,22.6,30.6,11.5,165.0,7.6,1013.4
2021-04-14,26.4,22.4,31.4,6.9,158.0,8.1,1012.9
2021-04-15,26.9,22.4,32.0,4.9,334.0,4.4,1011.1
2021-04-16,27.1,23.3,33.0,1.6,347.0,4.4,1010.3
2021-04-17,26.3,23.3,32.0,4.8,3.0,6.5,1011.4
2021-04-18,26.5,22.8,31.6,9.7,42.0,5.9,1011.9
2021-04-19,25.6,22.4,29.3,10.7,353.0,6.7,1012.6
2021-04-20,26.9,23.0,31.2,1.6,4.0,7.4,1012.3
2021-04-21,27.0,23.0,32.2,3.4,350.0,7.2,1011.3
2021-04-22,27.6,23.6,32.2,3.1,17.0,7.2,1010.5
2021-04-23,26.8,22.9,32.2,5.0,355.0,7.3,1010.6
2021-04-24,26.8,23.0,32.0,5.3,353.0,7.8,1010.9
2021-04-25,28.0,23.6,33.0,6.1,354.0,7.6,1009.8
2021-04-26,22.9,21.0,27.0,40.8,171.0,11.2,1012.4
2021-04-27,22.6,21.3,24.0,1.8,153.0,11.1,1013.7
2021-04-28,24.5,21.5,28.0,1.3,162.0,8.0,1013.5
2021-04-29,24.7,21.8,28.0,3.2,167.0,13.5,1014.7
2021-04-30,24.8,21.8,30.0,0.0,178.0,11.1,1014.8
2021-05-01,25.6,20.3,31.7,0.0,218.0,5.3,1014.0
2021-05-02,26.5,21.6,32.0,0.2,292.0,4.5,1012.6
2021-05-03,26.7,22.1,31.6,3.7,345.0,4.6,1012.2
2021-05-04,27.0,23.1,33.0,0.5,359.0,6.0,1012.4
2021-05-05,27.4,23.1,32.4,7.1,4.0,5.5,1012.7
2021-05-06,25.3,22.2,30.0,9.8,159.0,6.9,1013.4
2021-05-07,22.5,20.6,24.0,17.7,151.0,15.9,1015.2
2021-05-08,23.3,20.7,26.7,0.8,122.0,11.4,1016.6
2021-05-09,24.8,19.3,29.4,0.0,171.0,5.6,1015.8
2021-05-10,25.4,19.5,30.6,0.0,155.0,5.4,1014.5
