time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.2,20.0,,40.4,,,
2021-01-02,30.6,25.6,36.8,0.0,227.0,5.4,1009.4
2021-01-03,30.1,25.8,35.2,1.2,337.0,5.7,1006.7
2021-01-04,26.0,22.0,30.0,29.7,0.0,8.1,1007.9
2021-01-05,28.1,21.6,33.0,51.8,359.0,5.6,1009.1
2021-01-06,27.3,22.2,31.0,30.5,345.0,3.5,1011.1
2021-01-07,28.2,22.5,33.0,25.1,22.0,2.8,1011.6
2021-01-08,29.1,22.4,34.0,0.0,49.0,5.0,1010.4
2021-01-09,29.5,24.8,35.0,0.5,42.0,6.8,1008.6
2021-01-10,29.9,26.4,34.8,1.0,7.0,7.8,1008.7
2021-01-11,31.3,22.0,35.0,0.0,58.0,10.7,1008.5
2021-01-12,32.2,23.4,36.0,0.4,40.0,6.8,1008.8
2021-01-13,27.2,22.2,31.0,49.8,343.0,4.8,1009.9
2021-01-14,28.9,22.5,32.0,2.3,349.0,1.1,1008.7
2021-01-15,28.3,23.0,32.2,28.2,11.0,9.0,1007.4
2021-01-16,26.9,24.2,31.4,4.1,4.0,14.9,1005.8
2021-01-17,27.4,24.0,31.9,8.9,356.0,13.2,1006.3
2021-01-18,22.6,18.0,24.5,90.2,208.0,12.5,1010.3
2021-01-19,24.3,18.0,27.0,16.8,316.0,5.6,1011.2
2021-01-20,25.2,19.3,28.0,3.8,26.0,2.0,1011.6
2021-01-21,27.4,22.0,33.0,30.0,53.0,3.7,1011.9
2021-01-22,27.7,20.0,33.0,35.1,63.0,7.2,1013.8
2021-01-23,27.0,24.0,30.8,2.1,53.0,5.0,1012.1
2021-01-24,27.3,23.8,32.1,8.3,39.0,6.2,1010.1
2021-01-25,25.8,21.0,31.0,0.0,31.0,6.9,1010.3
2021-01-26,29.9,21.0,34.5,1.3,13.0,10.4,1008.8
2021-01-27,28.4,22.0,33.0,1.3,5.0,8.6,1009.9
2021-01-28,26.1,23.9,30.6,17.5,7.0,9.7,1008.3
2021-01-29,29.1,23.7,33.0,0.3,11.0,11.8,1009.2
2021-01-30,28.0,24.9,31.9,0.9,12.0,14.0,1009.0
2021-01-31,28.7,25.6,33.9,0.4,5.0,10.6,1009.2
2021-02-01,31.8,23.0,35.0,0.4,9.0,10.5,1009.7
2021-02-02,32.6,25.0,36.0,1.1,13.0,8.3,1009.6
2021-02-03,30.4,23.3,34.0,9.4,50.0,6.1,1011.7
2021-02-04,26.1,20.9,28.2,5.5,220.0,14.4,1013.7
2021-02-05,28.3,21.0,32.0,0.0,216.0,12.8,1011.9
2021-02-06,26.1,21.4,30.8,0.0,183.0,10.2,1010.3
2021-02-07,26.7,21.7,32.4,0.0,173.0,6.3,1009.6
2021-02-08,28.7,18.0,33.0,0.0,8.0,4.5,1010.4
2021-02-09,29.9,20.0,33.0,0.0,68.0,9.6,1010.6
2021-02-10,26.9,23.0,32.0,0.7,222.0,10.7,1011.8
2021-02-11,24.7,21.9,29.0,1.7,181.0,9.7,1012.8
2021-02-12,23.8,20.0,28.0,12.9,110.0,3.6,1013.0
2021-02-13,26.5,22.2,30.8,0.6,26.0,4.5,1009.5
2021-02-14,26.3,23.9,31.9,7.4,12.0,5.7,1008.4
2021-02-15,28.2,21.0,33.7,6.6,346.0,4.9,1010.2
2021-02-16,26.7,21.0,32.0,18.8,341.0,6.3,1010.3
2021-02-17,27.9,20.8,32.0,19.6,274.0,6.2,1010.0
2021-02-18,29.8,18.0,34.0,0.0,353.0,4.4,1010.4
2021-02-19,27.9,22.0,36.0,0.0,102.0,4.8,1010.9
2021-02-20,28.1,21.9,34.9,0.0,132.0,5.1,1009.7
2021-02-21,28.4,22.3,34.7,0.0,114.0,5.4,1009.4
2021-02-22,31.4,23.0,35.2,0.3,20.0,9.3,1009.6
2021-02-23,31.6,22.5,35.0,0.5,20.0,5.3,1009.9
2021-02-24,31.7,24.0,34.0,1.1,25.0,4.5,1010.0
2021-02-25,31.4,22.4,37.0,3.2,4.0,6.6,1009.0
2021-02-26,29.1,20.0,34.0,13.7,24.0,6.1,1008.4
2021-02-27,27.8,24.2,31.8,2.5,145.0,4.5,1008.5
2021-02-28,28.3,24.0,32.9,0.3,134.0,7.2,1007.2
2021-03-01,30.9,21.0,36.0,0.0,67.0,7.8,1006.0
