time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2020-01-01,-18.0,-20.0,-16.0,0.5,167.0,7.4,1007.9
2020-01-02,-17.9,-21.0,-16.0,0.0,134.0,3.8,1003.7
2020-01-03,-15.9,-20.0,-14.0,0.6,144.0,14.5,1005.1
2020-01-04,-25.2,-28.0,-21.0,0.0,36.0,13.3,1002.7
2020-01-05,-31.1,-35.0,-28.0,0.0,15.0,13.6,997.0
2020-01-06,-35.1,-37.0,-34.0,0.0,111.0,7.3,992.0
2020-01-07,-32.7,-37.0,-28.0,0.0,160.0,8.7,989.8
2020-01-08,-26.7,-30.0,-24.0,0.1,88.0,4.2,997.0
2020-01-09,-25.4,-33.0,-21.0,0.3,338.0,16.1,1002.6
2020-01-10,-25.3,-27.0,-22.0,0.0,147.0,10.3,1000.4
2020-01-11,-27.7,-30.0,-26.0,0.0,181.0,8.7,997.8
2020-01-12,-28.1,-30.0,-26.0,0.0,160.0,7.6,1003.3
2020-01-13,-28.2,-30.0,-26.0,0.0,181.0,10.1,1008.1
2020-01-14,-25.5,-28.0,-24.0,0.0,174.0,14.4,1001.1
2020-01-15,-25.5,-28.0,-24.0,0.0,171.0,9.9,1000.6
2020-01-16,-23.0,-25.0,-20.0,0.0,164.0,8.1,1006.2
2020-01-17,-22.4,-24.0,-22.0,0.0,196.0,14.4,1010.4
2020-01-18,-24.7,-26.0,-23.0,0.0,189.0,15.2,1003.4
2020-01-19,-29.3,-33.0,-26.0,0.0,171.0,4.2,992.6
2020-01-20,-30.5,-32.0,-29.0,0.0,176.0,4.7,1001.7
2020-01-21,-28.9,-30.0,-27.0,0.0,200.0,16.7,1000.6
2020-01-22,-28.7,-32.0,-27.0,0.0,170.0,6.4,1002.3
2020-01-23,-27.6,-31.0,-23.0,0.1,130.0,6.8,1006.2
2020-01-24,-24.5,-27.0,-22.0,0.3,254.0,20.1,1004.3
2020-01-25,-29.2,-30.0,-27.0,0.0,138.0,7.9,1009.5
2020-01-26,-30.7,-32.0,-30.0,0.0,160.0,5.4,1012.0
2020-01-27,-30.7,-32.0,-29.0,0.0,150.0,5.0,1009.6
2020-01-28,-29.0,-32.0,-27.0,0.0,183.0,12.4,1011.0
2020-01-29,-27.8,-29.0,-27.0,0.0,202.0,16.9,1008.5
2020-01-30,-26.4,-30.0,-24.0,0.0,113.0,9.5,1002.3
2020-01-31,-26.9,-29.0,-25.0,0.0,186.0,10.3,1005.9
2020-02-01,-23.6,-26.0,-23.0,2.6,45.0,7.9,1005.1
2020-02-02,-27.5,-32.0,-24.0,0.1,30.0,9.2,1011.4
2020-02-03,-32.3,-35.0,-31.0,0.0,39.0,2.9,1014.9
2020-02-04,-28.3,-31.0,-26.0,0.0,41.0,13.8,1006.9
2020-02-05,-25.4,-29.0,-23.0,0.0,58.0,19.4,999.1
2020-02-06,-22.7,-27.0,-19.0,0.0,22.0,17.1,993.5
2020-02-07,-27.9,-30.0,-26.0,0.0,127.0,6.5,998.2
2020-02-08,-28.1,-31.0,-27.0,0.0,45.0,6.3,993.2
2020-02-09,-27.9,-30.0,-27.0,0.0,187.0,12.4,993.2
2020-02-10,-27.3,-31.0,-25.0,0.0,188.0,16.0,999.2
2020-02-11,-27.8,-30.0,-25.0,0.0,4.0,5.4,1002.9
2020-02-12,-30.1,-33.0,-27.0,0.0,153.0,9.3,1005.2
2020-02-13,-28.3,-30.0,-26.0,0.0,173.0,7.7,1002.2
2020-02-14,-22.0,-27.0,-20.0,0.2,312.0,16.8,992.8
2020-02-15,-25.1,-27.0,-22.0,0.0,200.0,19.8,988.0
2020-02-16,-27.8,-30.0,-27.0,0.0,170.0,8.8,991.4
2020-02-17,-28.1,-30.0,-26.0,0.0,154.0,3.5,999.2
2020-02-18,-28.8,-31.0,-27.0,0.2,175.0,5.8,1004.8
