time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.0,-1.0,6.0,12.2,142.0,15.1,1001.0
2021-01-02,4.3,1.0,8.0,0.8,157.0,15.3,991.5
2021-01-03,1.6,-7.0,3.0,0.0,152.0,10.0,1003.9
2021-01-04,-3.2,-8.0,2.0,1.7,122.0,6.2,1003.3
2021-01-05,-1.1,-5.0,5.0,0.4,161.0,22.1,1007.0
2021-01-06,4.3,-5.0,7.0,0.0,145.0,13.8,1010.7
2021-01-07,-4.2,-8.0,-1.0,0.0,19.0,2.3,1024.7
2021-01-08,-3.9,-9.0,4.0,0.0,139.0,6.6,1022.5
2021-01-09,-4.3,-9.0,3.0,0.0,139.0,6.8,1025.3
2021-01-10,2.6,2.0,5.0,0.1,147.0,16.4,1016.0
2021-01-11,5.8,-2.0,8.0,0.0,149.0,16.5,1009.0
2021-01-12,4.1,2.0,7.0,3.2,138.0,15.9,999.1
2021-01-13,1.7,-5.0,4.0,3.1,20.0,9.0,1014.5
2021-01-14,-3.7,-6.0,2.0,0.0,153.0,10.4,1029.1
2021-01-15,1.3,-2.0,5.0,0.0,151.0,13.6,1023.8
2021-01-16,-0.7,-3.0,1.0,2.1,162.0,8.2,1026.6
2021-01-17,0.7,-5.0,4.0,3.8,157.0,9.2,1025.8
2021-01-18,-1.8,-4.0,3.0,0.0,10.0,2.1,1035.8
2021-01-19,0.4,-5.0,8.0,0.0,173.0,17.3,1022.1
2021-01-20,-3.2,-9.0,0.0,0.0,13.0,2.1,1025.1
2021-01-21,-8.2,-12.0,-5.0,0.0,7.0,1.0,1028.7
2021-01-22,-10.2,-11.0,-9.0,0.0,188.0,3.9,1028.1
2021-01-23,-10.3,-12.0,-5.0,0.0,154.0,11.3,1021.4
2021-01-24,-4.9,-6.0,-3.0,0.3,138.0,9.4,1009.0
2021-01-25,-5.3,-8.0,-2.0,1.4,359.0,0.8,1011.7
2021-01-26,-3.8,-8.0,-1.0,0.0,40.0,2.7,1007.4
2021-01-27,-5.8,-12.0,-4.0,1.1,327.0,16.2,1007.8
2021-01-28,-12.2,-14.0,-12.0,0.0,342.0,14.0,1018.5
2021-01-29,-11.3,-15.0,-6.0,0.0,41.0,4.4,1013.3
2021-01-30,-8.1,-12.0,-4.0,0.0,12.0,2.5,1012.6
2021-01-31,-5.2,-9.0,1.0,0.8,346.0,5.1,1011.8
2021-02-01,-0.7,-2.0,0.0,3.0,335.0,8.6,1009.6
2021-02-02,-2.1,-8.0,-2.0,1.3,337.0,12.2,1008.6
2021-02-03,-8.2,-10.0,-4.0,1.1,61.0,8.8,1023.9
2021-02-04,-3.6,-4.0,0.0,12.6,76.0,6.8,1019.9
2021-02-05,-1.9,-7.0,0.0,2.0,352.0,2.8,1019.9
2021-02-06,-4.1,-13.0,-3.0,5.1,346.0,14.8,1018.1
2021-02-07,-13.6,-22.0,-12.0,0.0,11.0,9.5,1024.2
2021-02-08,-21.6,-29.0,-18.0,0.0,1.0,6.4,1033.3
2021-02-09,-24.3,-29.0,-20.0,0.9,342.0,11.9,1035.8
2021-02-10,-23.2,-34.0,-19.0,0.0,334.0,7.4,1043.4
2021-02-11,-29.4,-34.0,-19.0,0.0,329.0,5.3,1044.9
2021-02-12,-26.8,-30.0,-19.0,0.0,306.0,2.5,1037.1
2021-02-13,-24.9,-29.0,-18.0,0.0,350.0,2.1,1024.9
2021-02-14,-16.3,-20.0,-4.0,0.0,48.0,4.5,1016.0
2021-02-15,-5.1,-7.0,-1.0,0.0,157.0,10.0,1006.2
2021-02-16,-2.9,-11.0,-1.0,2.8,46.0,4.3,1013.9
2021-02-17,-9.3,-17.0,-3.0,0.0,8.0,2.1,1029.4
2021-02-18,-9.0,-16.0,0.0,0.1,149.0,13.4,1018.1
2021-02-19,-1.3,-11.0,2.0,0.1,158.0,10.8,1010.5
2021-02-20,-1.7,-11.0,2.0,0.5,156.0,10.8,1011.8
2021-02-21,6.3,2.0,11.0,2.7,179.0,17.6,1005.6
2021-02-22,3.1,-6.0,7.0,1.8,182.0,6.9,1011.3
2021-02-23,-0.2,-8.0,1.0,1.9,163.0,5.3,1021.1
2021-02-24,-5.4,-13.0,2.0,1.8,118.0,10.9,1027.6
2021-02-25,0.4,-1.0,4.0,1.7,151.0,14.8,1004.2
2021-02-26,1.1,-5.0,2.0,1.8,322.0,10.0,1009.7
2021-02-27,-4.9,-14.0,2.0,3.6,130.0,10.9,1018.6
2021-02-28,0.2,-1.0,4.0,2.0,130.0,18.4,1012.7
2021-03-01,3.2,-3.0,7.0,1.6,156.0,11.3,1010.8
2021-03-02,-1.1,-7.0,4.0,0.0,124.0,8.7,1010.1
2021-03-03,2.4,0.0,6.0,0.0,149.0,14.1,1007.2
2021-03-04,2.6,-3.0,12.0,0.0,146.0,9.4,1010.9
2021-03-05,6.7,0.0,12.0,1.4,148.0,14.8,1006.4
2021-03-06,3.7,-1.0,8.0,0.0,148.0,9.7,1008.8
2021-03-07,0.2,-5.0,6.0,0.0,54.0,4.4,1012.1
2021-03-08,0.4,-5.0,7.0,0.0,36.0,3.3,1018.2
2021-03-09,-0.8,-7.0,7.0,0.1,343.0,3.5,1015.4
2021-03-10,-0.7,-8.0,2.0,0.2,335.0,15.7,1020.5
2021-03-11,-5.6,-11.0,3.0,0.0,150.0,11.2,1023.5
2021-03-12,4.1,2.0,9.0,0.0,141.0,16.0,1019.1
2021-03-13,6.8,4.0,11.0,0.0,143.0,15.1,1014.5
2021-03-14,8.6,-2.1,12.6,0.0,,,
2021-03-15,-3.1,-9.0,3.0,0.0,161.0,5.1,1023.2
2021-03-16,-0.5,-6.0,8.0,0.0,138.0,5.6,1021.0
2021-03-17,2.1,-2.0,10.0,0.0,128.0,6.2,1015.3
2021-03-18,1.4,-4.0,13.0,0.6,25.0,5.5,1007.2
2021-03-19,5.6,-1.0,11.0,0.1,154.0,12.0,1008.3
2021-03-20,4.1,0.0,5.0,2.6,5.0,11.6,1013.7
2021-03-21,1.4,-1.0,6.0,5.3,150.0,12.8,1014.0
2021-03-22,2.3,-2.0,6.0,0.2,135.0,4.8,1016.4
2021-03-23,0.1,-4.0,5.0,0.2,140.0,10.9,1023.5
2021-03-24,4.8,2.0,9.0,3.9,59.0,10.8,1006.1
2021-03-25,3.2,-1.0,7.0,1.5,359.0,7.1,1012.3
2021-03-26,1.8,-2.0,7.0,1.0,151.0,5.1,1018.2
