time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,13.7,11.0,18.5,,91.0,11.9,1020.1
2021-01-02,14.2,9.6,20.0,,110.0,11.6,1021.6
2021-01-03,13.4,10.7,16.4,,116.0,13.9,1020.0
2021-01-04,14.4,12.0,18.6,,66.0,8.3,1019.4
2021-01-05,14.0,8.8,19.0,,45.0,4.9,1020.8
2021-01-06,12.5,7.4,19.2,,351.0,5.4,1022.8
2021-01-07,11.9,6.0,18.0,,16.0,6.5,1022.7
2021-01-08,10.9,4.5,17.5,,84.0,3.5,1022.6
2021-01-09,10.6,3.8,17.5,,115.0,7.8,1022.5
2021-01-10,11.3,4.7,18.5,,91.0,7.9,1023.2
2021-01-11,10.5,3.8,18.0,,342.0,5.0,1025.0
2021-01-12,10.5,4.5,18.2,,314.0,6.5,1024.9
2021-01-13,12.4,5.5,20.4,,201.0,9.4,1020.3
2021-01-14,17.3,10.1,23.5,,187.0,22.9,1012.0
2021-01-15,12.8,9.0,18.4,,303.0,16.7,1014.8
2021-01-16,12.6,4.8,19.5,,134.0,11.0,1015.0
2021-01-17,12.7,8.4,18.4,,269.0,17.3,1012.7
2021-01-18,12.5,7.0,19.4,,256.0,10.3,1018.1
2021-01-19,12.6,4.4,20.2,,161.0,9.9,1019.2
2021-01-20,12.6,8.0,18.2,,274.0,21.6,1016.0
2021-01-21,7.4,4.0,12.2,,311.0,21.5,1026.8
2021-01-22,5.0,-1.3,11.2,,315.0,12.4,1028.2
2021-01-23,5.8,-1.0,12.5,,9.0,2.9,1025.3
2021-01-24,10.3,3.0,17.0,,100.0,10.3,1023.2
2021-01-25,13.4,6.0,21.6,,117.0,18.3,1020.3
2021-01-26,13.1,5.3,20.2,,79.0,11.9,1020.4
2021-01-27,16.5,7.7,25.6,,124.0,20.8,1017.7
2021-01-28,17.7,13.0,24.6,,269.0,21.3,1012.8
2021-01-29,15.1,8.0,24.0,,215.0,16.4,1013.8
2021-01-30,10.8,7.0,16.2,,284.0,13.1,1020.3
2021-01-31,12.8,4.0,21.4,,178.0,9.1,1020.8
2021-02-01,14.9,6.0,23.2,,130.0,11.0,1022.0
2021-02-02,16.5,8.6,23.5,,125.0,19.0,1021.7
2021-02-03,18.2,12.5,25.5,,118.0,26.2,1017.6
2021-02-04,18.9,11.4,24.6,,120.0,17.5,1013.9
2021-02-05,14.6,12.6,20.8,,116.0,13.7,1011.8
2021-02-06,12.4,10.8,15.0,13.5,293.0,16.7,1013.8
2021-02-07,12.4,11.0,15.1,0.5,312.0,22.7,1018.8
2021-02-08,12.9,6.4,19.2,,337.0,3.5,1025.9
2021-02-09,14.1,8.6,22.0,,312.0,5.0,1025.5
2021-02-10,14.1,9.3,23.0,,174.0,8.9,1020.8
2021-02-11,16.6,11.0,24.0,,305.0,8.6,1018.3
2021-02-12,15.9,9.0,23.0,,146.0,6.2,1016.9
2021-02-13,21.4,11.0,27.7,,129.0,20.1,1015.2
2021-02-14,19.4,12.4,27.7,,127.0,19.8,1017.2
2021-02-15,21.9,13.8,31.4,,170.0,18.7,1012.0
2021-02-16,23.4,14.6,30.0,,181.0,20.4,1006.1
2021-02-17,17.8,14.0,24.2,,296.0,20.6,1007.0
2021-02-18,11.9,9.0,16.3,,313.0,19.1,1017.1
2021-02-19,9.7,5.0,17.0,,302.0,6.3,1022.8
2021-02-20,13.1,7.0,19.0,,129.0,13.8,1021.0
2021-02-21,13.4,8.0,16.4,,65.0,14.1,1022.0
2021-02-22,13.4,7.9,18.2,,72.0,22.4,1023.4
2021-02-23,11.1,9.0,15.4,,106.0,18.3,1022.6
2021-02-24,8.7,7.0,11.0,6.1,27.0,11.7,1018.0
2021-02-25,11.8,4.9,19.0,,289.0,15.9,1019.0
2021-02-26,12.7,5.9,20.0,,295.0,11.0,1019.1
2021-02-27,14.3,5.5,20.3,,180.0,6.3,1018.2
2021-02-28,16.2,11.8,23.7,,103.0,26.6,1012.7
2021-03-01,15.6,8.5,21.8,,66.0,13.6,1015.8
2021-03-02,15.9,8.0,22.5,,137.0,6.6,1019.8
2021-03-03,18.2,9.4,25.0,,132.0,18.6,1017.3
2021-03-04,19.4,14.0,27.5,,199.0,27.1,1011.5
2021-03-05,14.8,9.3,21.0,,313.0,18.0,1020.2
