time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,0.9,-8.8,10.0,0.0,310.0,6.5,1020.3
2021-01-02,-2.3,-9.3,8.9,0.0,11.0,13.0,1012.1
2021-01-03,1.3,-6.0,10.0,0.0,299.0,14.4,1009.4
2021-01-04,3.5,-6.0,9.4,0.0,309.0,10.8,1017.3
2021-01-05,0.4,-5.5,10.0,0.0,353.0,32.4,1012.0
2021-01-06,3.4,-7.7,8.3,0.0,347.0,15.5,1022.6
2021-01-07,-4.8,-11.6,2.8,0.0,91.0,11.5,1024.6
2021-01-08,-2.9,-4.9,-1.0,0.0,0.0,4.7,1027.9
2021-01-09,-2.2,-2.7,-0.5,0.0,10.0,7.9,1030.5
2021-01-10,-1.3,-9.3,6.7,0.0,148.0,9.4,1026.5
2021-01-11,0.0,-7.1,11.7,0.0,296.0,8.3,1021.4
2021-01-12,2.1,-4.9,12.8,0.0,303.0,7.2,1016.2
2021-01-13,5.2,1.1,11.1,0.0,321.0,24.1,1006.9
2021-01-14,2.9,-2.1,3.3,0.0,320.0,72.4,1016.0
2021-01-15,-1.2,-7.1,3.3,0.0,340.0,38.9,1020.9
2021-01-16,0.8,-6.6,6.7,0.0,325.0,32.0,1017.6
2021-01-17,-0.8,-8.2,5.6,0.8,322.0,13.0,1015.5
2021-01-18,0.3,-10.5,2.8,0.0,331.0,31.3,1018.1
2021-01-19,-1.1,-7.1,3.9,0.0,311.0,27.4,1026.0
2021-01-20,0.4,-7.7,8.9,0.0,331.0,15.8,1013.2
2021-01-21,-1.6,-6.0,3.3,0.0,345.0,19.8,1019.0
2021-01-22,-4.3,-7.7,0.6,0.0,135.0,10.4,1020.6
2021-01-23,-4.1,-8.2,0.0,0.0,338.0,20.2,1015.1
2021-01-24,-5.2,-12.1,0.6,0.0,149.0,18.7,1014.1
2021-01-25,-6.7,-8.8,-5.5,0.0,13.0,16.9,1014.9
2021-01-26,-8.5,-10.5,-7.1,0.3,127.0,12.6,1020.6
2021-01-27,-9.2,-14.9,-2.1,0.0,107.0,9.4,1022.9
2021-01-28,-3.5,-11.0,10.6,0.0,114.0,11.5,1019.6
2021-01-29,-0.7,-6.6,7.8,0.0,52.0,6.5,1009.3
2021-01-30,-3.6,-6.6,3.3,0.0,348.0,26.6,1014.3
2021-01-31,-0.7,-10.5,10.6,0.0,347.0,7.2,1028.0
2021-02-01,-0.7,-9.9,10.6,0.0,11.0,5.0,1023.2
2021-02-02,0.0,-8.2,12.8,0.0,14.0,2.5,1015.6
2021-02-03,3.9,-6.6,15.0,0.0,338.0,30.6,1006.7
2021-02-04,-3.6,-12.1,3.9,0.0,325.0,23.8,1013.6
2021-02-05,-4.0,-11.0,-2.7,2.3,20.0,12.2,1012.6
2021-02-06,-13.6,-19.3,-11.0,1.8,73.0,16.2,1022.3
2021-02-07,-17.2,-24.9,-16.6,1.8,50.0,11.2,1021.7
2021-02-08,-21.2,-27.1,-16.0,0.3,17.0,8.3,1025.7
2021-02-09,-19.1,-23.2,-17.1,0.0,351.0,9.7,1030.4
2021-02-10,-19.2,-22.7,-16.0,0.5,95.0,8.3,1032.2
2021-02-11,-18.8,-24.3,-17.1,2.8,13.0,20.5,1035.8
2021-02-12,-23.5,-24.3,-20.5,1.8,39.0,6.1,1036.2
2021-02-13,-22.9,-31.0,-19.9,0.3,342.0,10.4,1035.8
2021-02-14,-24.9,-30.5,-22.1,0.0,94.0,9.4,1038.7
2021-02-15,-23.7,-27.1,-16.0,0.0,144.0,21.6,1023.6
2021-02-16,-20.8,-24.3,-15.5,0.3,27.0,4.7,1014.0
2021-02-17,-13.2,-16.6,-7.7,0.0,337.0,9.4,1021.5
2021-02-18,-11.5,-18.2,-6.6,0.0,303.0,7.6,1030.3
2021-02-19,-13.7,-20.5,-3.2,0.0,22.0,3.6,1022.8
2021-02-20,-5.7,-12.1,2.8,0.0,344.0,14.8,1015.0
2021-02-21,-1.2,-7.7,4.4,0.0,304.0,16.9,1016.2
2021-02-22,3.9,-2.1,13.9,0.0,283.0,24.5,1010.8
2021-02-23,3.3,-5.5,9.4,0.0,325.0,27.4,1009.3
2021-02-24,-1.6,-8.8,3.9,0.0,322.0,20.2,1024.8
2021-02-25,-2.6,-12.1,8.3,0.0,196.0,17.3,1020.5
2021-02-26,2.0,-7.1,7.8,0.0,309.0,9.4,1006.1
2021-02-27,-2.6,-9.9,2.2,3.0,348.0,17.3,1011.2
2021-02-28,-4.7,-12.1,0.6,0.0,355.0,11.2,1020.7
2021-03-01,-1.4,-8.8,12.2,0.0,204.0,11.2,1022.5
2021-03-02,5.8,-3.2,15.0,0.0,349.0,15.5,1012.8
2021-03-03,6.7,-1.6,17.2,0.0,314.0,13.7,1015.3
2021-03-04,6.1,-3.8,17.2,0.0,31.0,7.9,1019.6
2021-03-05,7.4,-1.0,17.8,0.0,355.0,11.5,1023.2
2021-03-06,7.1,-3.2,21.1,0.0,191.0,15.8,1012.8
2021-03-07,11.3,0.0,16.1,0.0,349.0,16.2,1015.4
2021-03-08,5.9,-2.1,16.7,0.0,125.0,11.5,1014.2
2021-03-09,8.5,2.2,12.2,0.0,357.0,28.1,1009.4
2021-03-10,1.4,-7.1,2.2,1.5,342.0,21.2,1013.0
2021-03-11,-0.8,-8.2,7.8,0.0,171.0,10.8,1022.7
2021-03-12,0.9,-6.0,10.0,0.0,135.0,12.6,1027.5
2021-03-13,1.9,-5.5,11.7,2.5,27.0,6.1,1026.1
2021-03-14,2.4,-2.1,4.4,14.0,,23.4,
2021-03-15,-1.8,-3.2,0.6,3.0,46.0,7.9,1013.4
2021-03-16,-2.3,-6.0,1.1,0.0,296.0,10.4,1015.4
2021-03-17,0.6,-4.3,5.6,0.0,359.0,18.4,1022.3
2021-03-18,-0.3,-4.9,3.9,0.0,140.0,19.8,1027.8
2021-03-19,3.0,-2.7,13.9,0.0,155.0,14.0,1019.7
2021-03-20,7.9,0.0,20.0,0.0,102.0,16.6,1009.2
2021-03-21,7.3,-1.6,11.7,0.0,329.0,29.9,1013.6
2021-03-22,4.5,-4.9,13.3,0.0,206.0,15.5,1013.5
2021-03-23,5.3,0.0,10.6,0.0,336.0,36.4,1013.2
2021-03-24,3.7,-3.2,10.6,0.0,227.0,21.2,1013.5
2021-03-25,3.5,-5.5,13.9,0.0,32.0,9.7,1003.9
2021-03-26,5.3,0.0,8.9,1.5,348.0,23.8,1011.7
2021-03-27,3.1,-3.8,10.0,0.0,304.0,24.5,1020.2
2021-03-28,5.5,-5.5,21.7,0.0,262.0,14.8,1014.8
2021-03-29,12.6,0.0,21.1,0.0,282.0,44.6,998.8
2021-03-30,0.2,-8.8,5.0,0.0,331.0,30.2,1018.8
2021-03-31,-1.3,-11.6,9.4,0.0,331.0,13.3,1030.8
2021-04-01,4.5,-6.6,22.2,0.0,153.0,13.7,1020.9
2021-04-02,12.4,2.2,25.6,0.0,25.0,16.6,1012.3
2021-04-03,13.3,2.2,25.6,0.0,0.0,16.9,1016.6
2021-04-04,14.2,1.1,26.7,0.0,334.0,11.9,1012.4
2021-04-05,14.1,6.1,21.1,0.0,332.0,27.4,1005.1
2021-04-06,6.3,0.0,6.1,5.6,337.0,28.1,1012.9
2021-04-07,5.2,0.0,14.4,0.0,325.0,26.3,1015.0
2021-04-08,8.4,-1.6,20.0,0.0,327.0,17.6,1006.3
2021-04-09,6.7,-3.2,9.4,0.0,324.0,43.9,1014.1
2021-04-10,5.3,-5.5,18.9,0.0,146.0,12.6,1008.6
2021-04-11,7.3,-2.1,10.0,0.0,329.0,45.7,1010.4
2021-04-12,1.9,-3.2,6.7,0.0,320.0,41.4,1021.1
2021-04-13,1.2,-3.2,5.6,0.0,338.0,40.7,1025.7
2021-04-14,0.1,-2.7,3.9,0.0,354.0,19.1,1028.5
2021-04-15,0.1,-2.1,1.7,5.6,20.0,8.6,1025.7
2021-04-16,1.5,-1.6,6.7,2.0,339.0,24.8,1025.7
2021-04-17,3.3,-4.9,12.8,0.0,338.0,16.6,1024.0
2021-04-18,7.9,-1.6,18.3,3.0,330.0,24.1,1017.7
2021-04-19,-1.0,-5.5,0.0,3.8,339.0,23.0,1024.9
2021-04-20,-2.1,-7.1,2.8,1.0,318.0,25.9,1026.4
2021-04-21,-0.5,-7.7,7.8,0.0,232.0,10.1,1024.8
2021-04-22,3.0,-5.5,13.3,0.0,140.0,15.1,1010.4
2021-04-23,3.1,-2.1,3.9,0.0,353.0,31.7,1014.9
2021-04-24,2.5,-1.6,12.2,0.0,137.0,16.9,1015.5
2021-04-25,7.9,0.6,16.1,0.0,32.0,13.3,1004.2
2021-04-26,11.2,2.8,17.2,1.0,18.0,14.0,1002.0
2021-04-27,8.9,2.2,13.3,2.3,358.0,17.6,1012.4
2021-04-28,9.4,0.6,20.0,0.0,336.0,11.2,1017.4
2021-04-29,13.1,2.8,23.3,0.0,319.0,15.5,1021.1
2021-04-30,17.8,6.7,30.0,0.0,34.0,14.4,1015.5
2021-05-01,19.5,12.2,26.7,2.0,342.0,16.6,1004.6
2021-05-02,13.8,7.2,14.4,0.8,333.0,30.6,1004.4
2021-05-03,9.3,0.6,15.0,0.0,344.0,21.2,1017.9
2021-05-04,8.2,-0.5,17.8,0.5,233.0,16.9,1017.1
2021-05-05,8.8,1.1,15.6,2.3,324.0,21.6,1020.9
2021-05-06,8.4,1.7,18.3,0.0,354.0,8.3,1024.9
2021-05-07,11.1,1.7,21.1,0.0,108.0,22.0,1015.5
2021-05-08,9.6,2.2,10.0,0.0,68.0,18.4,1011.2
2021-05-09,4.9,2.2,10.0,1.3,53.0,9.0,1020.8
2021-05-10,6.3,0.6,12.2,0.0,67.0,8.6,1024.7
2021-05-11,7.6,-0.5,16.1,0.0,113.0,9.4,1025.8
2021-05-12,8.7,-0.5,18.3,0.3,171.0,15.1,1023.8
2021-05-13,10.4,-0.5,20.0,0.5,327.0,12.6,1020.5
2021-05-14,11.7,3.3,19.4,0.0,294.0,12.2,1018.3
2021-05-15,14.2,6.7,19.4,0.8,302.0,5.8,1016.8
2021-05-16,14.0,8.3,22.8,0.0,71.0,9.4,1015.4
2021-05-17,12.7,5.0,22.2,0.0,138.0,15.1,1015.2
2021-05-18,17.1,10.0,27.2,0.0,162.0,25.9,1008.5
2021-05-19,18.9,9.4,26.7,0.0,25.0,16.9,1007.4
2021-05-20,19.6,9.4,28.9,9.7,155.0,22.0,1005.3
2021-05-21,11.6,4.4,13.3,1.8,347.0,38.2,1014.4
2021-05-22,6.7,3.9,13.3,0.0,0.0,24.5,1024.1
2021-05-23,10.6,6.7,18.3,34.3,63.0,12.6,1015.7
2021-05-24,12.9,5.6,23.9,0.0,204.0,26.6,1010.2
2021-05-25,16.7,7.2,23.9,0.0,322.0,19.8,1013.2
2021-05-26,10.2,4.4,11.1,8.9,35.0,16.9,1019.8
2021-05-27,6.8,4.4,8.3,0.0,28.0,16.9,1022.2
2021-05-28,8.7,3.9,18.9,0.0,159.0,25.9,1018.1
2021-05-29,13.9,6.7,19.4,0.0,358.0,19.4,1017.2
2021-05-30,14.3,5.6,22.2,0.0,346.0,7.2,1022.0
2021-05-31,15.1,5.0,23.9,0.0,217.0,16.2,1021.3
2021-06-01,18.1,10.0,25.6,0.8,27.0,9.4,1017.0
2021-06-02,19.1,8.9,27.8,0.0,334.0,10.8,1013.6
2021-06-03,20.8,9.4,30.6,0.0,349.0,8.3,1010.9
2021-06-04,23.9,12.2,35.6,0.0,352.0,7.9,1007.0
2021-06-05,25.2,13.9,35.0,0.0,208.0,12.2,1001.5
2021-06-06,24.2,13.3,30.6,0.0,16.0,24.8,1003.1
2021-06-07,22.0,13.3,34.4,0.0,174.0,23.0,1004.4
2021-06-08,25.7,15.0,36.7,48.5,206.0,23.0,1006.3
2021-06-09,22.9,14.4,30.0,0.0,128.0,8.3,1012.0
2021-06-10,25.1,18.3,33.3,0.0,152.0,25.9,1005.2
2021-06-11,20.9,9.4,22.8,0.0,345.0,18.4,1012.4
2021-06-12,17.8,8.3,31.1,0.0,88.0,9.0,1014.7
2021-06-13,22.3,14.4,30.6,0.0,359.0,15.8,1015.8
2021-06-14,23.0,15.0,31.1,0.0,79.0,14.4,1017.3
2021-06-15,26.2,17.8,37.2,0.0,142.0,20.5,1013.8
2021-06-16,26.8,13.3,31.7,0.0,12.0,25.6,1012.2
2021-06-17,21.7,11.7,30.6,0.0,64.0,9.4,1012.6
2021-06-18,23.6,11.7,31.7,0.0,359.0,15.8,1012.8
2021-06-19,20.6,11.1,31.1,1.5,128.0,16.9,1008.5
2021-06-20,19.1,11.7,22.8,0.8,332.0,29.2,1010.5
2021-06-21,16.8,8.9,25.6,0.3,327.0,12.6,1016.8
2021-06-22,19.7,7.8,31.1,0.0,98.0,11.2,1007.5
2021-06-23,25.3,10.6,36.7,0.0,16.0,12.6,1004.7
2021-06-24,23.7,16.1,28.9,7.1,355.0,16.2,1011.9
2021-06-25,17.9,13.9,22.2,0.3,352.0,16.6,1012.8
2021-06-26,18.1,10.6,25.0,0.0,334.0,19.1,1015.1
2021-06-27,18.8,11.7,26.7,4.8,337.0,13.7,1016.7
2021-06-28,19.6,12.2,26.7,0.0,359.0,16.9,1020.2
2021-06-29,20.4,10.0,28.9,0.0,177.0,9.0,1020.5
2021-06-30,22.6,11.7,31.1,0.0,124.0,7.6,1017.6
2021-07-01,23.7,15.0,32.2,0.0,143.0,15.1,1016.4
2021-07-02,24.7,16.7,33.9,0.0,163.0,23.0,1014.1
2021-07-03,26.5,18.9,35.6,0.0,187.0,13.0,1009.0
2021-07-04,27.2,17.8,35.0,0.0,38.0,13.7,1010.8
2021-07-05,27.1,17.8,37.2,17.5,336.0,15.5,1012.5
2021-07-06,21.4,16.1,27.8,0.0,13.0,19.8,1017.2
2021-07-07,21.9,16.1,31.7,0.0,122.0,14.4,1014.3
2021-07-08,23.7,16.1,32.2,1.3,77.0,12.2,1009.2
2021-07-09,23.5,16.7,30.6,1.5,11.0,19.4,1013.4
2021-07-10,21.7,13.9,28.9,1.3,357.0,16.9,1019.0
2021-07-11,21.9,11.7,32.2,0.0,181.0,13.7,1016.9
2021-07-12,24.4,14.4,31.7,0.0,15.0,18.7,1014.9
2021-07-13,22.2,13.9,27.2,25.7,98.0,15.8,1017.1
2021-07-14,18.8,13.9,24.4,1.3,103.0,7.9,1016.8
2021-07-15,21.1,13.9,31.1,0.0,146.0,16.6,1013.4
2021-07-16,23.9,16.1,31.7,3.3,128.0,15.5,1010.5
2021-07-17,22.7,15.6,31.7,0.3,130.0,11.5,1014.7
2021-07-18,24.0,14.4,33.9,0.0,55.0,6.8,1017.9
2021-07-19,25.0,16.1,33.3,0.0,81.0,10.8,1019.3
