time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,5.8,1.0,11.8,0.0,,1.4,1024.0
2021-01-02,6.5,1.1,11.4,0.0,95.0,1.4,1026.5
2021-01-03,8.2,6.0,10.2,0.0,289.0,3.5,1031.7
2021-01-04,7.6,6.3,8.0,14.0,263.0,6.5,1034.5
2021-01-05,7.1,3.7,11.0,3.6,330.0,5.5,1033.0
2021-01-06,6.0,1.6,11.0,0.0,173.0,2.5,1031.3
2021-01-07,5.6,1.6,10.0,0.0,173.0,3.5,1030.2
2021-01-08,5.4,0.4,11.6,0.0,147.0,1.1,1024.0
2021-01-09,6.1,-0.6,13.0,0.0,263.0,2.8,1020.3
2021-01-10,7.2,1.0,15.0,0.0,329.0,1.8,1017.0
2021-01-11,7.8,1.0,13.0,0.3,10.0,5.6,1019.7
2021-01-12,8.6,3.4,11.0,1.5,324.0,1.8,1022.7
2021-01-13,8.7,4.2,13.4,0.0,39.0,3.0,1016.9
2021-01-14,16.8,5.4,25.0,0.0,173.0,11.8,1006.7
2021-01-15,17.1,7.8,24.0,0.0,193.0,16.4,1006.8
2021-01-16,11.1,4.0,20.0,0.0,29.0,7.3,1014.6
2021-01-17,11.2,8.0,15.0,0.0,301.0,5.3,1008.2
2021-01-18,16.8,7.8,24.0,0.0,187.0,18.0,1006.5
2021-01-19,9.5,6.6,12.4,0.0,337.0,6.4,1015.1
2021-01-20,5.9,0.0,9.6,9.7,255.0,15.4,1018.1
2021-01-21,1.2,-0.7,3.0,35.1,204.0,8.6,1029.8
2021-01-22,2.7,-2.2,8.2,0.0,79.0,5.9,1034.9
2021-01-23,3.8,-1.8,11.0,0.0,25.0,4.4,1029.9
2021-01-24,4.8,-0.6,11.0,0.0,198.0,3.7,1026.0
2021-01-25,5.3,0.2,12.0,0.0,219.0,3.8,1023.0
2021-01-26,5.5,1.0,11.0,0.0,322.0,3.0,1021.1
2021-01-27,6.4,0.8,14.0,0.0,358.0,1.9,1018.6
2021-01-28,10.6,5.2,19.4,0.0,294.0,6.2,1011.0
2021-01-29,13.8,8.6,21.4,0.0,246.0,15.2,1011.6
2021-01-30,10.0,7.4,15.0,0.0,320.0,6.8,1010.2
2021-01-31,9.2,3.6,17.0,0.0,291.0,5.2,1012.1
2021-02-01,9.3,6.3,14.0,0.0,351.0,3.5,1022.4
2021-02-02,7.4,4.4,10.0,0.0,339.0,3.9,1022.3
2021-02-03,8.2,6.2,12.4,0.0,336.0,3.7,1020.2
2021-02-04,8.4,6.8,12.0,0.0,36.0,3.1,1017.5
2021-02-05,16.9,7.6,26.2,0.0,205.0,15.0,1009.9
2021-02-06,12.3,9.3,15.0,5.1,348.0,4.2,1019.0
2021-02-07,10.9,8.4,15.6,0.0,333.0,4.0,1014.6
2021-02-08,10.6,8.6,12.8,0.0,359.0,4.7,1020.7
2021-02-09,10.4,8.0,13.0,0.0,22.0,1.8,1018.6
2021-02-10,12.4,6.0,22.0,0.0,52.0,5.2,1018.0
2021-02-11,10.9,8.0,15.0,0.0,302.0,4.5,1016.6
2021-02-12,9.1,6.0,13.0,0.0,324.0,3.4,1014.9
2021-02-13,9.7,7.8,12.0,0.0,12.0,6.5,1015.4
2021-02-14,10.5,7.9,13.0,0.0,75.0,4.6,1021.6
2021-02-15,10.7,8.8,13.0,0.0,60.0,1.9,1017.5
2021-02-16,10.4,9.0,12.0,0.0,57.0,4.7,1013.4
2021-02-17,9.9,8.3,11.0,0.0,5.0,4.2,1008.1
2021-02-18,7.1,4.8,9.8,23.9,357.0,8.7,1015.8
2021-02-19,6.7,4.3,9.0,0.3,266.0,8.9,1022.7
2021-02-20,7.0,5.2,9.0,5.9,252.0,14.3,1026.1
2021-02-21,5.2,4.0,7.0,10.3,259.0,19.8,1031.2
2021-02-22,6.7,4.0,10.0,2.0,295.0,7.3,1028.1
2021-02-23,7.6,2.0,12.0,0.0,326.0,4.4,1022.8
2021-02-24,4.3,1.7,8.4,31.0,356.0,12.1,1032.5
2021-02-25,3.1,2.0,5.0,6.1,247.0,15.3,1035.5
2021-02-26,5.0,0.8,10.0,0.0,167.0,4.5,1029.2
2021-02-27,6.8,0.4,14.2,0.0,90.0,2.9,1021.2
2021-02-28,9.4,5.5,15.0,0.0,314.0,2.9,1015.2
2021-03-01,7.6,3.4,11.0,0.0,297.0,6.8,1020.9
2021-03-02,7.5,6.8,9.0,1.9,263.0,14.8,1026.9
2021-03-03,9.3,6.5,13.0,0.0,336.0,5.6,1019.9
2021-03-04,8.7,5.0,11.0,0.0,329.0,6.0,1025.9
2021-03-05,7.3,6.1,8.0,8.6,263.0,8.1,1020.2
2021-03-06,10.8,2.0,19.0,0.0,36.0,7.4,1019.6
2021-03-07,9.3,3.8,17.2,0.3,315.0,11.9,1018.1
2021-03-08,7.9,6.5,9.2,3.8,353.0,3.8,1017.6
2021-03-09,8.2,6.7,10.0,1.5,317.0,6.5,1017.6
2021-03-10,10.0,6.7,15.0,0.0,79.0,6.3,1020.3
2021-03-11,9.2,7.6,10.2,6.6,336.0,7.1,1013.0
2021-03-12,4.9,1.5,7.0,29.1,266.0,22.7,1014.7
2021-03-13,3.0,0.0,7.0,14.0,199.0,9.3,1027.1
2021-03-14,5.4,0.6,9.0,0.0,161.0,5.0,1024.5
2021-03-15,6.5,3.0,9.4,0.0,175.0,3.6,1022.4
2021-03-16,8.1,5.8,11.6,0.0,359.0,2.6,1015.8
2021-03-17,8.9,5.4,13.0,0.0,322.0,4.9,1009.4
2021-03-18,12.1,7.0,19.0,0.0,313.0,9.4,1003.4
2021-03-19,12.3,7.8,18.0,0.0,356.0,7.1,1012.5
2021-03-20,12.0,6.6,18.0,0.0,20.0,6.8,1016.3
2021-03-21,12.5,8.4,18.0,0.0,357.0,8.0,1013.4
2021-03-22,,,,,,,
2021-03-23,10.8,7.4,15.4,0.0,334.0,4.6,1008.5
2021-03-24,22.5,12.2,32.0,0.0,136.0,12.6,997.1
2021-03-25,13.0,10.4,19.2,0.0,333.0,8.7,1004.4
2021-03-26,12.2,10.0,17.0,0.0,13.0,7.6,1014.7
2021-03-27,10.4,7.7,11.4,2.4,337.0,7.5,1015.8
2021-03-28,10.2,7.0,15.0,2.5,28.0,9.7,1027.5
2021-03-29,10.4,5.9,15.0,0.0,27.0,5.8,1028.1
2021-03-30,10.3,6.0,14.0,0.0,353.0,6.1,1028.3
2021-03-31,11.8,8.8,15.0,0.0,331.0,4.6,1027.1
2021-04-01,12.6,8.2,18.0,0.5,6.0,5.9,1020.5
2021-04-02,13.0,8.0,19.0,0.0,356.0,4.1,1010.2
2021-04-03,13.1,10.0,17.0,0.0,315.0,7.8,1012.4
2021-04-04,14.5,8.0,23.0,0.0,17.0,5.2,1017.2
2021-04-05,17.6,9.0,28.0,0.0,14.0,6.7,1013.8
2021-04-06,16.2,11.4,27.0,0.0,352.0,7.5,1014.9
2021-04-07,15.1,10.0,22.0,0.0,36.0,5.6,1017.7
2021-04-08,17.4,11.0,26.0,0.0,19.0,4.7,1012.1
2021-04-09,19.7,15.4,27.4,0.0,329.0,5.5,1007.5
2021-04-10,14.3,11.8,17.0,0.4,256.0,10.3,1014.6
2021-04-11,13.0,11.0,16.0,0.0,281.0,7.5,1016.7
2021-04-12,15.3,10.0,22.2,0.0,353.0,5.6,1016.2
2021-04-13,14.6,12.6,18.0,0.0,341.0,3.1,1017.9
2021-04-14,16.0,11.0,21.0,0.0,312.0,4.9,1014.1
2021-04-15,16.7,11.8,22.2,0.0,4.0,7.0,1016.8
2021-04-16,16.0,10.0,22.0,0.0,1.0,3.7,1018.4
2021-04-17,17.6,11.0,25.0,0.0,29.0,3.9,1019.1
