time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,0.0,-3.2,5.5,1.5,12.0,5.0,1011.2
2021-01-02,1.2,-3.2,5.4,0.0,284.0,4.7,1016.3
2021-01-03,2.1,-0.8,5.0,1.0,31.0,6.7,1014.0
2021-01-04,1.9,-0.5,4.3,0.5,13.0,11.3,1014.3
2021-01-05,2.8,0.0,5.6,0.3,18.0,12.1,1016.0
2021-01-06,1.3,-1.3,4.1,0.0,335.0,4.5,1017.8
2021-01-07,0.8,-2.4,5.0,0.0,266.0,4.1,1019.0
2021-01-08,-0.4,-4.6,5.2,0.0,140.0,6.1,1019.0
2021-01-09,0.1,-4.6,5.7,0.0,34.0,12.2,1022.9
2021-01-10,1.1,-2.4,6.2,0.0,358.0,9.1,1026.6
2021-01-11,3.4,-2.7,7.9,0.0,233.0,8.6,1026.1
2021-01-12,9.4,6.0,11.5,0.0,257.0,18.5,1021.8
2021-01-13,9.9,8.6,11.5,0.0,266.0,14.7,1025.2
2021-01-14,9.8,8.4,13.1,0.0,266.0,20.2,1022.3
2021-01-15,5.3,0.7,9.5,1.0,350.0,12.7,1028.6
2021-01-16,5.2,0.3,10.8,0.0,194.0,13.8,1025.2
2021-01-17,6.1,2.7,10.3,3.6,297.0,10.8,1027.3
2021-01-18,4.9,-0.3,8.7,0.0,195.0,9.4,1027.3
2021-01-19,9.2,6.5,11.2,,196.0,21.5,1014.6
2021-01-20,7.9,1.0,11.7,2.3,183.0,27.3,995.5
2021-01-21,7.8,5.5,11.9,7.1,226.0,22.5,991.8
2021-01-22,5.5,2.6,10.2,7.9,248.0,9.2,996.9
2021-01-23,4.2,0.7,7.5,2.3,242.0,13.8,997.0
2021-01-24,3.3,-1.3,9.1,1.0,228.0,16.0,1001.7
2021-01-25,3.1,-0.7,7.4,0.5,318.0,11.6,1011.8
2021-01-26,1.9,-2.7,5.4,0.0,148.0,13.4,1020.3
2021-01-27,9.2,3.3,12.1,0.5,206.0,7.4,1016.2
2021-01-28,12.8,11.5,14.1,9.7,226.0,18.1,1010.7
2021-01-29,11.4,9.5,13.6,1.0,246.0,22.0,1008.1
2021-01-30,10.8,9.7,12.1,6.4,194.0,19.4,994.9
2021-01-31,9.8,8.2,11.6,3.3,252.0,11.8,995.2
2021-02-01,10.7,9.7,14.0,4.3,251.0,13.2,997.3
2021-02-02,12.5,9.6,15.4,6.1,212.0,20.3,1002.1
2021-02-03,7.2,0.0,12.4,20.1,217.0,19.0,1001.2
2021-02-04,9.7,6.2,13.7,1.3,167.0,11.9,1009.3
2021-02-05,8.8,7.0,11.3,0.0,200.0,7.2,1010.4
2021-02-06,6.6,2.3,9.6,0.0,334.0,12.1,1006.1
2021-02-07,4.0,2.0,7.1,0.0,332.0,11.8,1003.0
2021-02-08,2.8,1.4,4.6,0.0,12.0,13.7,1000.0
2021-02-09,0.9,-0.5,3.0,0.0,74.0,19.0,999.7
2021-02-10,-1.3,-3.0,0.4,9.9,51.0,16.4,1009.0
2021-02-11,-2.8,-5.0,-1.0,,93.0,19.3,1020.4
2021-02-12,-0.1,-2.0,3.0,,82.0,17.9,1021.6
2021-02-13,-0.6,-3.1,0.4,,109.0,15.8,1028.6
2021-02-14,2.0,-1.4,5.7,0.0,125.0,16.7,1027.1
2021-02-15,9.6,4.1,13.6,0.0,178.0,21.6,1022.8
2021-02-16,9.7,7.3,12.6,0.5,190.0,19.7,1016.4
2021-02-17,10.6,8.1,14.1,0.0,194.0,21.3,1016.3
2021-02-18,8.7,2.0,12.4,0.3,198.0,17.0,1008.5
2021-02-19,7.2,3.8,15.0,0.5,167.0,18.7,1011.2
2021-02-20,14.0,11.0,19.0,,166.0,23.8,1004.6
2021-02-21,12.2,9.5,14.4,0.0,136.0,13.2,1007.4
2021-02-22,9.8,6.9,12.3,0.5,75.0,8.0,1015.8
2021-02-23,10.5,5.5,16.3,4.6,175.0,19.8,1026.8
2021-02-24,13.1,9.8,17.6,0.0,170.0,17.2,1026.4
2021-02-25,8.7,4.6,13.4,0.0,346.0,11.8,1028.3
2021-02-26,7.3,0.9,12.6,0.0,2.0,10.7,1036.6
2021-02-27,6.7,0.2,12.8,0.0,30.0,14.8,1037.9
2021-02-28,6.4,1.9,12.0,0.0,53.0,15.3,1031.2
2021-03-01,7.4,-0.1,14.7,0.0,68.0,8.1,1026.6
2021-03-02,9.4,1.6,16.2,0.0,115.0,8.7,1026.1
2021-03-03,10.5,6.9,15.8,0.0,185.0,9.1,1027.7
2021-03-04,9.0,6.8,12.8,0.0,312.0,10.2,1024.1
2021-03-05,6.1,4.4,9.4,0.0,41.0,17.9,1027.0
2021-03-06,4.4,-0.5,9.5,0.0,40.0,16.2,1028.9
2021-03-07,3.6,-3.0,9.6,0.0,354.0,10.8,1024.8
2021-03-08,2.8,-2.1,7.5,0.0,357.0,10.5,1023.8
2021-03-09,4.5,-2.4,11.4,0.0,247.0,7.0,1022.9
2021-03-10,6.7,1.7,11.6,0.0,189.0,20.0,1016.3
2021-03-11,8.4,2.0,14.1,4.6,239.0,24.0,1009.8
2021-03-12,7.9,4.4,13.0,2.0,227.0,22.4,1013.4
2021-03-13,7.4,0.0,11.7,3.3,252.0,27.8,1008.3
2021-03-14,7.6,3.4,13.1,3.3,282.0,18.8,1021.3
2021-03-15,10.5,7.2,13.1,0.0,301.0,20.9,1025.1
2021-03-16,11.3,8.0,15.4,0.0,320.0,16.2,1030.4
2021-03-17,8.7,4.9,13.1,0.0,343.0,14.4,1033.0
2021-03-18,6.7,1.1,10.7,0.0,343.0,15.3,1029.3
2021-03-19,8.9,4.6,12.0,0.5,10.0,23.1,1024.0
2021-03-20,6.2,0.2,11.5,0.0,0.0,14.5,1031.1
2021-03-21,7.1,2.7,10.6,0.0,329.0,8.7,1028.8
2021-03-22,6.5,-1.0,12.4,0.0,13.0,9.5,1027.9
2021-03-23,7.2,0.0,14.3,0.0,137.0,7.0,1026.0
2021-03-24,7.9,0.2,14.0,0.0,219.0,8.5,1023.8
2021-03-25,9.6,3.8,15.2,0.5,238.0,11.5,1023.1
2021-03-26,9.1,5.0,14.6,0.0,214.0,19.1,1018.2
2021-03-27,7.9,2.5,13.3,4.3,231.0,14.2,1027.2
2021-03-28,9.5,1.9,17.1,0.0,,,
2021-03-29,12.6,1.5,22.2,0.0,131.0,7.8,1028.8
2021-03-30,14.8,4.6,24.1,0.0,113.0,9.2,1026.4
2021-03-31,15.4,8.6,21.5,0.0,118.0,7.5,1020.4
2021-04-01,17.6,8.6,25.4,0.0,88.0,9.4,1018.1
2021-04-02,12.0,7.4,21.8,0.0,21.0,19.0,1022.1
2021-04-03,7.6,2.8,13.0,0.0,27.0,19.6,1027.1
2021-04-04,7.7,1.9,14.5,0.0,6.0,13.4,1026.1
2021-04-05,6.8,2.0,12.2,0.0,310.0,15.3,1020.4
2021-04-06,4.2,-2.3,9.5,0.0,336.0,14.7,1022.9
2021-04-07,5.7,-1.0,11.5,0.8,300.0,8.1,1026.0
2021-04-08,8.0,0.0,14.6,0.0,204.0,5.9,1023.6
2021-04-09,7.5,1.4,15.7,0.0,275.0,4.7,1014.9
2021-04-10,8.1,7.2,10.9,17.5,1.0,13.0,1010.3
2021-04-11,5.2,2.3,10.1,3.0,331.0,13.5,1017.7
2021-04-12,5.8,-1.3,12.6,5.1,300.0,7.4,1030.5
2021-04-13,6.7,-0.5,12.5,0.0,49.0,11.2,1031.8
2021-04-14,7.5,-0.5,13.8,0.0,42.0,17.1,1030.3
2021-04-15,6.9,1.7,12.5,0.0,38.0,18.2,1029.5
2021-04-16,7.0,-1.3,13.0,0.0,11.0,13.3,1028.1
2021-04-17,7.1,-0.2,13.9,0.0,350.0,11.2,1027.1
2021-04-18,7.7,-0.2,15.0,0.0,353.0,9.8,1024.7
2021-04-19,8.0,0.6,17.0,0.0,168.0,6.6,1020.5
2021-04-20,12.2,4.1,19.0,0.0,48.0,7.0,1016.1
2021-04-21,12.9,4.0,20.0,0.0,29.0,10.7,1016.1
2021-04-22,14.1,7.2,20.3,0.0,72.0,17.7,1020.0
2021-04-23,14.6,7.0,21.5,0.0,92.0,18.0,1022.0
2021-04-24,15.9,8.0,23.0,0.0,85.0,16.8,1019.8
2021-04-25,13.7,8.4,20.8,0.0,57.0,22.0,1019.1
2021-04-26,11.3,6.4,16.9,0.0,34.0,18.4,1014.7
2021-04-27,10.3,2.4,18.0,0.0,348.0,13.1,1009.4
2021-04-28,9.0,2.4,16.4,0.0,311.0,11.3,1005.5
2021-04-29,8.6,2.0,13.5,0.0,339.0,10.5,1010.4
2021-04-30,9.2,2.4,15.5,0.0,13.0,12.5,1013.7
2021-05-01,8.3,1.6,14.1,,335.0,11.4,1015.8
2021-05-02,8.3,0.4,16.0,0.0,302.0,7.4,1021.6
2021-05-03,10.1,2.4,16.9,0.0,230.0,14.2,1020.6
2021-05-04,11.1,6.7,14.1,0.0,267.0,20.1,1010.8
2021-05-05,9.6,3.8,14.6,1.8,270.0,15.2,1014.4
2021-05-06,9.5,4.0,17.6,0.8,232.0,18.0,1007.8
2021-05-07,10.1,2.8,15.4,2.3,217.0,8.6,1016.9
2021-05-08,16.1,10.7,21.4,0.5,196.0,22.0,1010.3
2021-05-09,15.5,10.7,21.6,0.0,175.0,10.8,999.7
2021-05-10,13.6,10.7,18.2,0.8,205.0,20.8,1003.8
2021-05-11,11.8,7.9,16.4,0.5,207.0,18.4,1009.7
2021-05-12,9.7,5.0,16.7,6.1,167.0,15.6,1009.5
2021-05-13,10.4,5.0,16.9,6.4,250.0,12.0,1008.2
2021-05-14,11.0,3.0,16.3,3.3,256.0,17.3,1010.7
2021-05-15,10.0,3.0,16.3,3.6,218.0,17.8,1005.3
2021-05-16,12.0,10.7,17.1,4.8,230.0,20.9,1004.1
2021-05-17,12.8,10.3,17.3,5.3,264.0,21.3,1011.3
2021-05-18,12.3,7.8,17.8,0.5,237.0,12.4,1017.6
2021-05-19,12.9,8.6,17.8,0.5,299.0,17.0,1022.0
2021-05-20,12.6,7.6,17.1,0.0,195.0,19.2,1019.8
2021-05-21,13.1,9.9,17.0,0.0,232.0,26.0,1010.1
2021-05-22,9.4,1.0,16.3,0.5,255.0,19.8,1010.4
2021-05-23,11.1,5.0,16.6,3.8,205.0,20.2,1014.0
2021-05-24,9.2,8.9,14.5,7.9,234.0,20.3,1010.0
2021-05-25,11.7,5.8,18.4,3.3,247.0,16.7,1021.0
2021-05-26,12.0,10.1,14.1,1.3,289.0,10.8,1018.4
2021-05-27,14.4,10.0,19.4,1.8,70.0,5.9,1020.4
2021-05-28,16.2,8.6,22.4,0.0,60.0,9.0,1020.5
2021-05-29,16.9,11.5,23.0,0.0,15.0,8.3,1022.7
2021-05-30,18.8,14.8,23.3,1.0,62.0,10.8,1022.6
2021-05-31,18.7,9.2,25.0,0.0,61.0,10.1,1017.5
2021-06-01,21.5,13.0,28.7,0.0,92.0,11.1,1010.5
2021-06-02,18.2,14.9,27.1,0.0,187.0,13.2,1012.0
2021-06-03,14.8,11.5,20.1,0.3,319.0,9.5,1019.7
2021-06-04,14.5,11.4,19.3,11.2,335.0,15.5,1023.5
2021-06-05,15.1,6.4,22.3,0.3,301.0,7.8,1026.5
2021-06-06,16.4,9.8,22.3,0.0,345.0,6.6,1025.6
2021-06-07,17.7,10.4,24.6,0.0,10.0,7.5,1024.0
2021-06-08,19.0,10.6,26.4,0.0,284.0,7.9,1023.2
2021-06-09,18.4,11.9,25.3,0.0,320.0,11.2,1023.0
2021-06-10,19.0,13.5,25.2,0.0,343.0,9.7,1022.8
2021-06-11,19.3,14.0,26.4,0.0,349.0,11.6,1022.1
2021-06-12,17.7,13.9,23.6,0.0,358.0,13.6,1024.6
2021-06-13,21.1,11.8,28.5,0.3,61.0,9.3,1024.7
2021-06-14,22.2,14.8,30.1,0.0,342.0,10.1,1021.0
2021-06-15,20.9,14.6,28.2,0.0,354.0,11.6,1020.2
2021-06-16,21.1,14.8,29.6,0.0,319.0,8.1,1011.7
2021-06-17,16.1,15.2,21.9,1.5,340.0,13.7,1010.5
2021-06-18,16.1,15.2,17.4,24.1,314.0,14.8,1012.4
2021-06-19,16.4,12.9,20.9,0.8,84.0,8.8,1013.1
2021-06-20,17.4,13.5,21.2,14.5,120.0,10.5,1006.9
2021-06-21,16.3,12.9,21.4,0.5,207.0,9.2,1007.4
2021-06-22,14.1,12.2,16.8,13.5,347.0,19.0,1014.9
2021-06-23,14.3,11.9,18.2,1.3,7.0,16.8,1022.2
2021-06-24,15.4,7.4,23.1,0.0,333.0,8.3,1023.7
2021-06-25,16.1,12.6,21.9,0.0,244.0,7.4,1021.0
2021-06-26,15.5,14.4,17.0,5.1,86.0,5.8,1015.9
2021-06-27,16.3,13.2,20.4,28.4,187.0,11.2,1012.0
2021-06-28,13.4,10.5,19.7,3.3,100.0,8.4,1013.0
2021-06-29,16.0,9.0,22.6,28.7,305.0,6.4,1014.8
2021-06-30,16.9,14.7,21.3,0.0,312.0,8.6,1018.1
2021-07-01,18.4,12.0,25.2,0.3,338.0,6.8,1019.0
2021-07-02,17.4,13.5,22.8,0.0,260.0,9.7,1017.1
2021-07-03,18.7,15.4,23.6,1.5,210.0,13.4,1014.5
2021-07-04,17.9,15.5,21.4,0.0,213.0,15.0,1011.3
2021-07-05,15.9,13.5,17.6,15.7,210.0,14.2,1007.5
2021-07-06,16.1,14.2,19.9,11.2,222.0,23.5,1007.1
2021-07-07,15.3,9.8,20.5,0.5,220.0,11.5,1015.3
2021-07-08,16.4,12.2,21.5,0.5,236.0,8.9,1022.4
2021-07-09,16.4,13.6,20.1,0.0,253.0,7.4,1023.4
2021-07-10,16.5,13.5,22.1,0.5,203.0,8.3,1017.3
2021-07-11,17.3,14.7,21.0,8.1,147.0,8.4,1015.8
2021-07-12,16.8,14.3,21.7,0.0,293.0,11.2,1011.5
2021-07-13,17.4,14.3,21.4,5.1,305.0,16.8,1016.0
2021-07-14,17.8,15.3,23.0,0.0,319.0,16.9,1020.5
2021-07-15,18.4,12.0,24.7,0.0,323.0,13.2,1022.8
2021-07-16,19.4,14.7,24.0,0.3,1.0,14.6,1024.8
2021-07-17,20.1,10.4,27.1,0.0,25.0,13.0,1025.5
2021-07-18,23.5,14.5,30.0,0.0,28.0,11.0,1022.7
2021-07-19,24.9,16.2,31.2,0.0,42.0,12.3,1019.6
2021-07-20,25.0,16.7,30.4,0.0,49.0,11.9,1018.5
2021-07-21,25.2,16.8,31.3,0.0,55.0,11.6,1020.8
2021-07-22,25.3,19.0,30.5,0.0,86.0,13.1,1019.5
2021-07-23,22.8,18.6,30.0,0.0,106.0,20.5,1011.0
2021-07-24,18.1,16.7,22.6,0.5,195.0,18.9,1007.3
2021-07-25,18.4,15.9,22.9,12.2,254.0,12.8,1008.4
2021-07-26,18.6,14.4,23.2,6.6,244.0,9.3,1013.5
2021-07-27,18.0,16.2,22.6,0.5,214.0,12.1,1012.3
2021-07-28,17.3,12.4,22.4,7.9,231.0,15.9,1014.3
2021-07-29,17.6,11.9,22.5,0.3,223.0,13.0,1014.9
2021-07-30,17.7,13.5,22.2,0.5,236.0,19.3,1011.7
2021-07-31,16.6,13.5,21.5,0.0,279.0,10.8,1014.0
2021-08-01,16.2,12.0,21.8,0.0,263.0,7.3,1014.3
2021-08-02,16.8,14.3,19.8,3.0,262.0,5.4,1016.0
2021-08-03,15.1,12.5,18.3,0.0,216.0,8.3,1015.1
2021-08-04,15.8,14.1,18.6,6.4,43.0,12.3,1012.1
2021-08-05,16.9,14.2,20.6,7.1,192.0,16.5,1008.6
2021-08-06,17.6,14.8,21.4,1.3,226.0,19.7,1006.4
2021-08-07,17.1,14.3,21.3,0.5,216.0,18.9,1004.1
2021-08-08,16.3,11.7,21.0,0.3,228.0,16.0,1012.8
2021-08-09,17.7,14.8,21.4,1.0,215.0,13.4,1016.6
2021-08-10,18.7,15.7,23.6,2.5,241.0,10.2,1018.0
2021-08-11,18.0,11.2,24.5,0.0,302.0,6.1,1019.8
2021-08-12,19.7,12.9,27.4,0.3,315.0,6.9,1019.5
2021-08-13,20.3,15.2,26.9,0.0,329.0,7.7,1023.6
2021-08-14,20.7,11.7,29.2,0.0,287.0,5.5,1021.0
2021-08-15,17.6,12.3,28.1,0.3,274.0,12.7,1017.7
2021-08-16,17.6,15.9,21.4,0.3,299.0,19.1,1020.6
2021-08-17,16.6,14.0,18.3,0.5,294.0,12.6,1024.6
2021-08-18,15.9,13.7,18.1,0.0,250.0,8.3,1022.1
2021-08-19,17.2,13.6,20.4,0.8,236.0,6.5,1018.0
2021-08-20,19.1,16.3,23.3,0.0,222.0,5.6,1017.0
2021-08-21,17.3,13.5,22.0,0.0,187.0,9.0,1016.6
2021-08-22,16.9,12.6,22.7,3.3,298.0,11.8,1022.6
2021-08-23,17.4,11.0,24.1,0.3,335.0,11.6,1025.7
2021-08-24,18.4,12.6,25.0,0.0,27.0,15.8,1024.3
2021-08-25,19.1,13.3,24.8,0.0,41.0,17.1,1020.8
2021-08-26,16.4,11.3,22.8,0.0,21.0,13.1,1020.1
2021-08-27,16.7,11.5,21.0,0.0,22.0,14.3,1021.0
2021-08-28,16.4,9.6,22.5,0.3,10.0,13.4,1023.4
2021-08-29,16.7,11.8,22.5,0.3,15.0,13.7,1023.0
2021-08-30,17.1,11.9,22.1,0.0,21.0,14.7,1022.0
2021-08-31,18.4,15.5,22.5,0.0,45.0,17.4,1024.8
2021-09-01,17.8,12.9,23.2,0.0,39.0,18.0,1025.2
2021-09-02,19.1,12.4,25.5,0.0,42.0,16.1,1021.6
2021-09-03,19.7,13.5,26.7,0.0,23.0,8.0,1017.7
2021-09-04,20.1,13.4,28.2,0.0,307.0,6.6,1015.3
2021-09-05,21.2,14.8,28.7,0.3,267.0,4.9,1017.9
2021-09-06,23.3,14.4,31.2,0.3,39.0,10.3,1020.6
2021-09-07,24.7,15.8,31.3,0.0,97.0,16.7,1016.4
2021-09-08,21.8,17.6,28.3,9.7,220.0,10.4,1011.2
2021-09-09,19.8,17.5,23.9,5.8,199.0,13.4,1010.5
2021-09-10,19.2,16.9,22.7,3.3,251.0,11.2,1014.2
2021-09-11,17.6,12.2,22.5,0.0,312.0,6.6,1020.0
2021-09-12,17.3,12.7,23.1,0.0,24.0,6.6,1019.1
2021-09-13,19.0,12.0,26.1,0.3,74.0,6.7,1014.2
2021-09-14,21.3,18.6,25.2,0.5,161.0,12.0,1009.7
2021-09-15,17.9,13.9,22.9,0.0,332.0,12.7,1013.7
2021-09-16,17.3,13.5,22.6,0.3,336.0,8.7,1018.9
2021-09-17,16.6,10.4,23.5,0.3,209.0,7.2,1015.1
2021-09-18,17.4,14.7,22.1,0.0,158.0,10.7,1012.8
2021-09-19,15.9,12.7,22.0,3.8,293.0,11.6,1016.5
2021-09-20,14.7,10.0,20.3,0.8,313.0,15.4,1023.1
2021-09-21,15.7,10.0,22.3,0.3,356.0,11.7,1029.0
2021-09-22,15.2,7.7,22.3,0.0,10.0,8.5,1027.7
2021-09-23,14.3,7.6,21.4,0.3,326.0,9.7,1023.7
2021-09-24,14.1,8.2,21.0,0.0,320.0,6.5,1019.5
2021-09-25,14.6,7.5,20.6,0.3,125.0,5.8,1014.4
2021-09-26,18.9,16.7,22.8,0.3,204.0,13.7,1014.2
2021-09-27,16.7,12.8,20.4,2.8,223.0,21.0,1016.7
2021-09-28,14.3,10.6,20.4,0.5,192.0,14.4,1020.6
2021-09-29,13.6,9.7,18.2,1.5,288.0,15.8,1024.3
2021-09-30,10.3,4.7,19.4,0.0,197.0,10.7,1027.1
2021-10-01,15.1,12.6,20.6,0.0,202.0,15.4,1016.6
2021-10-02,15.0,10.8,18.2,12.7,187.0,20.1,1004.3
2021-10-03,13.8,11.3,18.2,53.6,258.0,14.6,1002.8
2021-10-04,14.2,10.2,19.7,0.3,198.0,16.4,1013.3
