time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-0.4,-3.0,3.0,,87.0,10.1,1021.6
2021-01-02,5.3,1.2,8.1,10.7,120.0,19.9,1013.8
2021-01-03,7.1,4.0,9.0,8.6,169.0,31.0,1013.0
2021-01-04,2.7,1.4,7.8,0.7,200.0,19.2,1021.1
2021-01-05,1.6,1.0,2.9,2.2,137.0,5.9,1021.5
2021-01-06,-0.9,-7.0,3.0,0.0,322.0,21.0,1022.4
2021-01-07,-5.2,-7.4,0.0,1.9,108.0,11.4,1028.6
2021-01-08,2.9,-5.0,5.7,16.8,242.0,31.4,1002.0
2021-01-09,-4.8,-7.1,0.7,0.8,16.0,17.6,1014.9
2021-01-10,-7.4,-10.0,-4.0,0.0,86.0,7.9,1014.7
2021-01-11,-5.7,-10.0,-1.0,0.0,97.0,7.8,1012.5
2021-01-12,0.3,-3.0,3.0,1.2,82.0,23.8,1011.7
2021-01-13,3.7,0.5,5.3,13.9,106.0,28.8,1002.1
2021-01-14,4.0,3.0,5.0,1.0,138.0,19.9,1008.4
2021-01-15,4.0,2.4,5.1,12.3,75.0,16.7,1006.5
2021-01-16,2.6,1.7,5.4,15.2,312.0,20.8,998.0
2021-01-17,1.7,0.0,3.0,4.7,276.0,20.0,1000.6
2021-01-18,1.5,-0.1,3.0,1.2,348.0,22.6,1004.9
2021-01-19,0.6,-0.3,2.0,0.4,16.0,33.8,1008.0
2021-01-20,-1.1,-4.0,3.6,0.0,21.0,24.6,1011.3
2021-01-21,-0.5,-3.6,0.4,0.0,20.0,28.5,1010.8
2021-01-22,-2.2,-3.0,-2.0,0.0,12.0,36.8,1010.7
2021-01-23,-1.2,-3.0,0.0,0.0,19.0,36.2,1008.5
2021-01-24,-1.2,-3.0,0.0,0.0,40.0,19.0,1011.5
2021-01-25,-2.0,-2.6,-1.8,2.7,71.0,23.2,1013.6
2021-01-26,-2.2,-3.1,-1.8,0.5,81.0,31.1,1013.7
2021-01-27,-0.3,-3.1,1.0,0.0,79.0,27.4,1015.1
2021-01-28,-3.8,-6.0,-1.0,0.0,83.0,13.6,1011.5
2021-01-29,-1.3,-6.6,2.1,0.0,76.0,7.1,1010.9
2021-01-30,-2.3,-6.0,1.6,0.0,72.0,6.3,1013.7
2021-01-31,-3.3,-7.0,-1.0,0.1,73.0,19.9,1008.7
2021-02-01,-2.5,-4.9,1.0,0.0,78.0,17.3,1007.7
2021-02-02,1.0,-2.0,2.3,0.0,86.0,25.8,1006.7
2021-02-03,1.1,0.0,3.0,0.0,88.0,23.6,1014.1
2021-02-04,1.9,-0.4,3.0,0.0,108.0,29.5,1023.3
2021-02-05,2.6,0.2,4.0,0.0,103.0,28.3,1022.3
2021-02-06,2.1,1.0,4.0,0.0,86.0,26.5,1026.2
