time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.7,24.6,35.2,0.2,,,1005.9
2021-01-02,28.1,23.9,33.4,6.8,50.0,10.2,1005.2
2021-01-03,27.7,24.3,32.9,0.2,347.0,11.6,1004.5
2021-01-04,26.8,23.2,33.7,1.6,105.0,18.5,1002.9
2021-01-05,28.9,24.2,35.2,1.8,110.0,19.7,1003.8
2021-01-06,29.1,22.9,35.7,0.2,123.0,16.9,1004.9
2021-01-07,29.8,23.0,36.5,0.0,125.0,15.2,1005.5
2021-01-08,28.8,24.2,35.5,0.0,96.0,10.5,1006.2
2021-01-09,29.1,23.6,35.5,0.0,118.0,17.1,1006.1
2021-01-10,28.2,23.5,34.4,0.0,113.0,21.7,1007.2
2021-01-11,29.6,22.9,36.8,0.0,107.0,13.5,1006.5
2021-01-12,29.9,24.5,36.5,0.0,83.0,13.9,1006.7
2021-01-13,30.6,23.8,37.1,0.0,107.0,19.2,1007.7
2021-01-14,30.3,21.3,37.5,0.0,113.0,19.3,1007.1
2021-01-15,29.8,19.5,37.5,0.0,98.0,15.8,1005.4
2021-01-16,31.3,19.6,39.7,0.0,100.0,14.7,1004.7
2021-01-17,32.2,24.1,39.9,0.0,113.0,11.5,1005.7
2021-01-18,31.1,24.1,36.9,0.0,61.0,10.1,1006.6
2021-01-19,32.3,26.5,39.0,0.0,114.0,18.0,1007.9
2021-01-20,32.7,26.8,39.1,0.0,90.0,13.3,1008.9
2021-01-21,31.7,25.0,37.8,0.0,65.0,15.1,1008.6
2021-01-22,31.2,23.7,37.7,0.0,70.0,14.9,1007.7
2021-01-23,31.3,25.1,38.3,0.0,34.0,11.3,1007.3
2021-01-24,31.3,23.9,38.7,0.0,77.0,14.8,1006.5
2021-01-25,31.3,23.3,39.5,0.0,39.0,11.7,1004.2
2021-01-26,32.3,25.0,39.4,0.0,16.0,14.1,1002.1
2021-01-27,33.4,26.1,40.0,0.0,49.0,16.4,1002.3
2021-01-28,32.4,25.6,39.3,0.0,66.0,16.4,1003.1
2021-01-29,32.0,24.5,39.0,0.0,86.0,15.3,1003.4
2021-01-30,32.5,25.3,39.4,0.0,83.0,16.5,1004.2
2021-01-31,33.0,23.8,40.3,0.0,86.0,15.7,1004.8
2021-02-01,32.9,23.8,40.5,0.0,71.0,14.1,1005.2
2021-02-02,31.3,25.2,40.1,0.0,345.0,17.5,1003.8
2021-02-03,29.4,24.6,38.8,0.4,323.0,12.6,1003.3
2021-02-04,29.8,24.3,38.8,1.0,3.0,17.0,1004.0
2021-02-05,31.7,25.1,39.9,0.0,15.0,16.6,1003.2
2021-02-06,28.3,24.1,35.3,34.2,97.0,13.5,1003.7
2021-02-07,27.6,24.2,32.5,19.6,144.0,11.3,1003.9
2021-02-08,27.5,23.5,36.1,20.4,6.0,9.5,1004.6
2021-02-09,29.1,24.5,36.2,9.4,295.0,10.3,1005.4
2021-02-10,29.1,23.1,36.8,11.8,348.0,11.1,1005.6
2021-02-11,29.6,25.1,36.3,7.0,353.0,13.8,1006.7
2021-02-12,28.6,22.9,35.6,10.4,8.0,11.3,1008.0
2021-02-13,27.7,25.6,33.0,0.2,351.0,9.0,1008.4
2021-02-14,27.2,24.4,33.6,24.0,323.0,11.9,1006.3
2021-02-15,28.7,24.2,35.3,1.4,61.0,7.8,1004.9
2021-02-16,28.5,23.4,35.2,1.8,61.0,14.0,1005.9
2021-02-17,28.8,22.1,35.3,0.0,98.0,16.4,1007.3
2021-02-18,27.9,22.2,34.9,0.0,48.0,15.1,1008.0
2021-02-19,27.3,22.3,34.1,0.0,51.0,14.1,1008.0
2021-02-20,27.8,20.4,35.1,0.0,52.0,9.4,1009.1
2021-02-21,28.9,22.9,36.7,0.0,346.0,7.5,1008.2
2021-02-22,29.8,21.6,38.6,0.0,316.0,8.8,1006.8
2021-02-23,30.9,24.9,40.0,0.0,313.0,14.8,1005.4
