time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,17.6,12.5,25.7,0.5,,12.7,999.2
2021-01-02,18.6,11.8,27.0,0.2,257.0,38.3,996.8
2021-01-03,13.2,5.0,24.2,0.0,248.0,34.2,1005.0
2021-01-04,12.8,6.4,19.4,0.0,254.0,23.2,1015.8
2021-01-05,14.6,6.7,21.4,0.1,259.0,15.4,1015.1
2021-01-06,16.3,10.9,21.9,2.9,6.0,11.7,1004.9
2021-01-07,14.3,6.6,22.0,2.0,235.0,29.3,1003.1
2021-01-08,15.0,10.2,21.2,0.0,286.0,26.3,999.9
2021-01-09,12.9,7.4,20.2,1.7,339.0,15.7,986.7
2021-01-10,11.1,3.9,19.0,0.6,237.0,28.9,983.9
2021-01-11,8.9,3.6,17.7,8.9,244.0,32.7,1000.9
2021-01-12,11.1,4.9,15.5,0.0,226.0,38.8,1007.3
2021-01-13,13.7,5.0,22.5,0.0,279.0,12.3,1013.8
2021-01-14,15.0,8.9,23.5,0.0,232.0,15.0,1010.3
2021-01-15,15.0,11.9,22.6,0.4,18.0,19.5,1012.9
2021-01-16,15.6,10.6,22.7,0.3,272.0,19.7,1012.5
2021-01-17,13.8,8.0,23.5,0.3,291.0,23.5,1005.0
2021-01-18,15.2,9.3,22.7,3.0,231.0,20.8,1003.8
2021-01-19,15.2,8.0,21.4,0.0,323.0,24.6,1009.6
2021-01-20,17.3,13.9,22.5,1.4,299.0,24.5,1002.7
2021-01-21,14.1,6.4,23.5,3.6,264.0,25.9,1002.7
2021-01-22,12.9,6.9,20.2,0.0,297.0,18.9,1004.4
2021-01-23,13.4,4.1,20.8,0.0,266.0,21.2,1006.3
2021-01-24,16.3,11.2,26.0,1.1,309.0,25.0,996.7
2021-01-25,10.9,3.5,26.0,0.0,260.0,33.2,992.2
2021-01-26,9.4,5.4,17.5,0.3,253.0,41.7,998.7
2021-01-27,8.9,3.8,15.5,0.0,255.0,31.9,1001.1
2021-01-28,9.8,7.0,15.6,3.0,244.0,32.2,996.4
2021-01-29,7.7,2.7,15.8,0.0,225.0,33.1,1003.6
2021-01-30,12.4,4.9,18.8,0.0,231.0,24.6,1013.5
2021-01-31,15.2,6.0,24.7,0.0,255.0,26.1,1011.9
2021-02-01,16.7,13.0,25.2,0.0,254.0,35.3,1004.8
2021-02-02,17.7,10.7,27.7,0.3,251.0,28.3,1007.6
2021-02-03,18.9,13.6,28.5,0.0,250.0,32.6,1013.2
2021-02-04,19.4,12.4,26.2,0.0,256.0,30.4,1010.8
2021-02-05,13.0,5.9,18.2,0.0,219.0,31.3,1016.6
2021-02-06,11.7,5.4,18.7,0.0,225.0,16.0,1021.3
2021-02-07,13.0,3.0,22.0,0.0,315.0,17.6,1020.2
2021-02-08,18.5,7.5,28.4,0.0,261.0,10.8,1012.9
2021-02-09,19.4,9.2,29.5,0.0,80.0,9.9,1017.0
2021-02-10,14.1,11.6,25.2,0.0,65.0,19.2,1008.9
2021-02-11,17.5,11.0,22.0,1.3,261.0,31.6,1000.0
2021-02-12,14.3,4.0,24.0,0.0,311.0,21.0,1009.8
2021-02-13,13.4,6.5,20.2,1.9,254.0,22.1,1002.2
2021-02-14,11.0,4.4,21.5,0.0,254.0,27.5,1013.7
2021-02-15,14.1,5.3,22.2,0.0,345.0,11.8,1012.4
