time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,27.0,24.4,31.2,1.2,92.0,24.9,1012.6
2021-01-03,26.3,22.8,30.5,0.2,102.0,19.9,1012.5
2021-01-04,25.5,21.5,31.7,0.0,99.0,13.3,1011.5
2021-01-05,25.8,21.1,31.5,0.1,99.0,10.8,1011.1
2021-01-06,26.0,22.4,31.7,0.4,78.0,11.3,1011.7
2021-01-07,27.1,23.0,31.9,1.4,76.0,11.4,1011.8
2021-01-08,26.5,23.8,30.0,5.3,88.0,14.7,1012.1
2021-01-09,27.2,24.5,31.3,0.5,90.0,17.6,1011.4
2021-01-10,27.5,24.3,31.7,0.0,98.0,21.0,1011.9
2021-01-11,27.8,25.2,31.6,0.2,93.0,25.7,1012.2
2021-01-12,27.3,24.1,31.8,0.3,99.0,22.5,1012.3
2021-01-13,27.2,23.6,32.1,0.0,95.0,20.6,1010.7
2021-01-14,27.4,23.7,32.6,0.0,96.0,17.9,1010.0
2021-01-15,27.5,23.8,32.9,0.1,94.0,15.9,1010.3
2021-01-16,27.2,23.5,33.8,0.0,85.0,15.9,1011.0
2021-01-17,27.3,23.0,32.8,0.0,106.0,17.6,1011.0
2021-01-18,27.4,22.9,33.1,0.2,84.0,16.6,1012.1
2021-01-19,27.7,24.0,32.2,0.5,95.0,23.3,1012.1
2021-01-20,27.7,24.2,32.3,0.6,90.0,20.8,1011.1
2021-01-21,27.2,23.6,32.8,0.0,80.0,17.0,1011.1
2021-01-22,27.4,23.3,33.4,0.0,81.0,15.4,1011.2
2021-01-23,27.9,23.5,33.6,0.0,85.0,17.1,1011.1
2021-01-24,28.2,24.6,33.3,0.2,85.0,19.1,1010.8
2021-01-25,27.6,23.7,32.9,0.1,91.0,19.6,1010.9
2021-01-26,27.5,24.0,32.3,0.0,96.0,24.4,1010.9
2021-01-27,27.7,24.1,32.3,0.0,94.0,24.6,1010.9
2021-01-28,27.4,23.8,32.2,1.1,88.0,17.3,1011.9
2021-01-29,26.2,22.3,32.0,0.0,72.0,15.9,1011.5
2021-01-30,27.0,23.0,32.4,0.8,94.0,20.1,1011.3
2021-01-31,27.9,24.4,33.0,0.1,96.0,27.3,1010.2
2021-02-01,28.5,24.7,34.0,0.0,97.0,23.3,1009.4
2021-02-02,27.8,23.9,34.1,0.0,78.0,15.9,1008.7
2021-02-03,26.6,23.8,31.6,0.1,52.0,12.8,1010.3
2021-02-04,28.2,23.6,33.8,0.2,77.0,14.0,1010.7
2021-02-05,29.1,25.1,34.5,0.0,96.0,24.1,1010.2
2021-02-06,28.2,24.2,33.0,0.0,97.0,24.6,1011.1
2021-02-07,28.1,24.0,33.0,0.0,93.0,20.3,1010.5
2021-02-08,28.0,24.1,33.8,0.0,82.0,19.3,1011.3
2021-02-09,27.9,24.0,33.5,0.3,94.0,20.2,1011.9
2021-02-10,27.8,23.4,33.7,0.0,89.0,17.4,1011.7
2021-02-11,27.4,22.9,33.0,0.0,93.0,20.2,1010.7
2021-02-12,28.1,23.9,33.9,0.1,92.0,20.6,1009.8
2021-02-13,28.7,24.3,34.8,0.0,93.0,18.3,1009.9
2021-02-14,28.6,25.1,33.8,0.1,94.0,18.7,1011.6
2021-02-15,28.6,24.4,33.9,0.0,93.0,23.0,1011.9
2021-02-16,28.1,24.4,33.2,0.1,94.0,20.6,1012.9
2021-02-17,27.7,24.2,32.3,0.0,93.0,21.9,1012.8
2021-02-18,27.7,23.7,32.7,0.7,95.0,22.2,1013.1
2021-02-19,27.8,23.1,33.6,0.0,95.0,19.3,1013.3
2021-02-20,27.5,23.6,33.4,0.0,80.0,17.7,1013.0
2021-02-21,26.7,22.4,31.7,1.0,74.0,13.4,1013.3
2021-02-22,26.4,22.9,31.9,1.2,73.0,16.7,1012.6
2021-02-23,28.1,23.3,34.3,0.0,89.0,17.8,1011.3
