time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,16.2,13.0,20.0,,32.0,4.5,1024.8
2021-01-02,15.6,11.0,22.0,,114.0,8.7,1023.8
2021-01-03,16.8,14.0,21.0,,52.0,6.8,1023.3
2021-01-04,15.4,11.0,22.0,,,7.2,
2021-01-05,16.1,13.0,22.0,,,7.0,1022.1
2021-01-06,15.9,13.0,21.0,,65.0,8.1,1024.2
2021-01-07,16.8,13.8,22.0,,46.0,11.4,1024.9
2021-01-08,16.0,13.2,19.0,,48.0,8.9,1024.8
2021-01-09,16.6,13.0,22.0,,70.0,7.1,1024.0
2021-01-10,17.0,13.0,23.0,,79.0,7.1,1024.5
2021-01-11,16.9,13.0,22.0,,109.0,7.6,1024.4
2021-01-12,17.8,14.0,23.0,,76.0,10.4,1024.4
2021-01-13,17.4,13.0,23.0,,58.0,6.7,1023.8
2021-01-14,17.9,14.0,24.0,,55.0,6.6,1022.6
2021-01-15,17.6,13.0,23.0,,45.0,7.5,1023.2
2021-01-16,17.1,12.0,23.0,,39.0,7.8,1024.4
2021-01-17,16.2,12.0,23.0,,51.0,5.8,1023.5
2021-01-18,16.9,13.0,23.0,,59.0,7.3,1024.3
2021-01-19,16.4,12.0,23.0,,45.0,6.3,1023.4
2021-01-20,16.2,12.0,22.0,,48.0,6.9,1023.0
2021-01-21,17.1,14.0,22.0,,53.0,8.4,1023.4
2021-01-22,17.4,13.0,23.0,,64.0,7.6,1022.1
2021-01-23,16.9,13.0,21.0,,63.0,6.0,1023.5
2021-01-24,17.0,14.0,23.0,,51.0,8.7,1023.5
2021-01-25,17.8,15.0,23.0,,63.0,7.7,1022.8
2021-01-26,16.8,14.0,21.0,,53.0,7.2,1020.7
2021-01-27,16.8,13.0,23.0,,69.0,7.5,1019.4
2021-01-28,17.4,14.0,22.0,,35.0,8.0,1023.7
2021-01-29,16.4,12.0,22.0,,38.0,7.6,1023.0
2021-01-30,17.3,14.0,24.0,,64.0,8.8,1022.9
2021-01-31,16.4,11.0,23.0,,71.0,8.7,1021.8
2021-02-01,16.8,10.0,23.0,,60.0,7.2,
2021-02-02,18.1,14.0,24.0,,60.0,8.7,1023.4
2021-02-03,17.5,15.0,23.0,,60.0,7.3,1023.1
2021-02-04,18.1,14.0,24.0,,77.0,8.5,1024.2
2021-02-05,17.8,15.0,23.0,,78.0,7.6,1023.2
2021-02-06,17.6,13.0,24.0,,50.0,9.0,1024.5
2021-02-07,18.1,13.0,24.0,,57.0,8.2,1023.7
2021-02-08,17.2,14.0,22.0,,38.0,6.2,1024.3
2021-02-09,17.4,14.0,21.0,,52.0,6.5,1024.4
2021-02-10,14.8,14.0,22.0,,,7.3,1024.2
2021-02-11,16.1,11.0,22.0,,42.0,6.3,1023.3
2021-02-12,16.3,13.0,21.0,,34.0,6.3,1022.9
2021-02-13,17.3,13.0,21.0,,40.0,6.1,1023.1
2021-02-14,16.9,14.0,22.0,,47.0,6.3,1025.4
2021-02-15,17.7,13.0,24.0,,67.0,8.7,1026.2
2021-02-16,16.3,11.0,23.0,,63.0,8.2,1025.8
2021-02-17,16.0,12.0,22.0,,51.0,5.9,1024.1
2021-02-18,16.0,13.0,20.0,,307.0,6.9,1023.7
2021-02-19,14.3,14.0,19.0,,53.0,6.3,1025.4
2021-02-20,14.9,10.0,21.0,,47.0,6.1,1025.5
2021-02-21,17.8,13.0,19.0,,32.0,6.6,1025.0
2021-02-22,16.4,14.0,21.0,,59.0,7.2,1024.7
2021-02-23,16.7,14.0,21.0,,39.0,6.9,1024.0
2021-02-24,17.5,15.0,22.0,,50.0,8.4,1023.5
2021-02-25,18.3,15.0,24.0,,53.0,8.0,1023.3
2021-02-26,17.8,15.0,24.0,,47.0,7.5,1022.8
2021-02-27,16.6,13.0,21.0,,43.0,6.8,1022.4
2021-02-28,16.8,14.0,23.0,,40.0,6.3,1020.6
2021-03-01,16.6,12.0,22.0,,29.0,7.6,1021.1
2021-03-02,15.8,12.0,22.0,,61.0,7.3,1022.9
2021-03-03,15.6,13.0,21.0,,67.0,5.3,1024.8
2021-03-04,15.6,13.0,20.0,,58.0,6.8,1025.2
2021-03-05,15.5,12.0,20.0,,77.0,6.2,1024.4
2021-03-06,17.1,15.0,22.0,,51.0,7.1,1024.0
2021-03-07,17.2,14.0,22.0,,80.0,7.4,1024.6
2021-03-08,17.1,14.0,21.0,,33.0,7.5,1025.2
2021-03-09,16.2,13.0,22.0,,54.0,7.3,1023.9
2021-03-10,15.9,13.0,20.0,,30.0,5.1,1023.9
2021-03-11,15.1,13.0,20.0,,78.0,6.0,1024.7
2021-03-12,14.3,13.0,18.0,,59.0,4.6,1025.5
2021-03-13,15.3,13.7,19.0,,40.0,4.1,1025.6
2021-03-14,15.8,13.0,21.0,,42.0,6.4,1025.6
2021-03-15,15.7,11.0,22.0,,36.0,5.7,1024.0
2021-03-16,16.0,12.0,23.0,,66.0,7.3,1024.2
2021-03-17,16.4,14.0,22.0,,68.0,7.8,1022.8
2021-03-18,15.4,13.0,21.0,,317.0,6.3,1022.5
2021-03-19,15.6,13.0,22.0,,6.0,6.2,1020.3
2021-03-20,14.7,12.0,19.0,,345.0,7.6,1022.9
2021-03-21,15.2,12.0,22.0,,337.0,6.6,1024.1
2021-03-22,15.4,14.0,18.0,,16.0,4.6,1023.4
2021-03-23,15.6,13.0,20.0,,358.0,5.8,1022.9
2021-03-24,16.1,13.0,22.0,,42.0,6.8,1022.7
2021-03-25,16.4,13.0,22.0,,49.0,7.8,1021.4
2021-03-26,17.1,13.0,23.0,,66.0,7.1,1024.0
2021-03-27,16.3,14.0,22.0,,39.0,7.3,1019.6
2021-03-28,16.8,14.0,21.0,,49.0,7.1,1015.0
2021-03-29,17.9,13.5,22.0,,63.0,8.6,
2021-03-30,17.6,12.0,24.0,,62.0,8.5,1013.8
2021-03-31,18.4,15.0,25.0,,43.0,7.8,1012.9
2021-04-01,17.5,14.0,21.0,,174.0,9.0,1012.4
2021-04-02,17.3,14.0,22.0,,112.0,7.3,1013.1
2021-04-03,16.8,14.0,23.0,,45.0,6.9,1014.6
2021-04-04,17.3,14.0,22.0,,40.0,8.2,1013.8
2021-04-05,18.3,14.2,24.0,,56.0,8.3,1013.9
2021-04-06,17.2,13.0,24.0,,48.0,6.8,1014.5
2021-04-07,17.3,13.0,23.0,,51.0,7.4,1021.2
2021-04-08,17.9,14.0,24.0,,52.0,6.7,1024.2
2021-04-09,16.7,14.0,22.0,,27.0,6.3,1024.8
2021-04-10,17.8,15.0,22.0,,57.0,10.6,1023.9
2021-04-11,17.9,15.0,23.0,,24.0,6.9,1023.0
2021-04-12,17.9,13.0,22.0,,35.0,8.0,1023.4
2021-04-13,17.2,11.0,24.0,,45.0,8.1,1024.0
2021-04-14,17.3,14.0,22.0,,22.0,8.5,1024.5
2021-04-15,18.4,14.0,24.0,,61.0,7.8,1022.9
2021-04-16,17.6,14.0,23.0,,104.0,7.6,1023.1
2021-04-17,18.3,14.0,24.0,,80.0,8.9,1024.8
2021-04-18,17.7,13.0,23.0,,59.0,7.7,1024.6
2021-04-19,18.2,15.0,24.0,,79.0,9.6,1025.7
2021-04-20,17.7,14.0,23.0,,70.0,6.2,1025.3
2021-04-21,16.6,13.0,22.0,,117.0,7.3,1024.9
2021-04-22,17.8,14.0,23.0,,68.0,7.5,1024.0
2021-04-23,16.8,13.0,20.0,,322.0,7.3,1024.4
2021-04-24,16.4,12.0,22.0,,47.0,8.1,1024.7
2021-04-25,18.4,13.8,24.0,,51.0,7.3,1024.1
2021-04-26,17.8,14.1,24.0,,39.0,7.1,1023.5
2021-04-27,16.1,15.0,17.0,,304.0,4.8,1023.9
2021-04-28,15.8,14.0,20.0,,212.0,9.8,1025.2
2021-04-29,15.4,13.0,19.0,,194.0,5.5,1025.1
2021-04-30,15.1,13.0,18.0,,322.0,4.3,1025.9
2021-05-01,14.5,10.0,19.0,,211.0,4.8,1025.1
2021-05-02,15.4,12.0,20.0,,21.0,5.2,1026.5
2021-05-03,14.4,11.0,20.0,,352.0,5.6,1026.2
2021-05-04,15.7,12.0,22.0,,16.0,6.5,1026.0
2021-05-05,15.9,13.0,22.0,,15.0,7.0,1026.3
2021-05-06,15.1,12.0,22.0,,349.0,6.0,1026.2
2021-05-07,15.8,13.0,23.0,,345.0,5.9,1026.0
2021-05-08,16.4,14.0,22.0,,41.0,5.5,1024.6
2021-05-09,16.7,12.0,23.0,,35.0,7.1,1024.3
2021-05-10,17.3,14.0,23.0,,15.0,5.9,1023.9
2021-05-11,17.5,14.0,24.0,,58.0,7.4,1023.7
2021-05-12,18.6,15.0,24.0,,79.0,8.8,1024.8
2021-05-13,18.3,14.0,24.0,,45.0,7.8,1024.6
2021-05-14,18.4,15.0,24.0,,55.0,7.7,1024.5
2021-05-15,18.2,13.0,24.0,,64.0,7.7,1024.3
2021-05-16,16.6,13.0,22.0,,67.0,7.1,1025.2
2021-05-17,16.6,13.0,23.0,,27.0,7.2,1026.0
2021-05-18,15.9,13.0,22.0,,274.0,6.8,1026.1
2021-05-19,17.5,14.0,24.0,,53.0,9.4,1024.1
2021-05-20,18.7,15.0,24.0,,52.0,9.1,1024.2
2021-05-21,17.8,13.0,22.0,,43.0,6.4,1024.4
2021-05-22,18.2,14.0,24.0,,61.0,7.5,1024.6
2021-05-23,17.8,14.0,23.0,,77.0,7.7,1024.8
2021-05-24,17.9,14.0,22.0,,75.0,7.3,1025.0
2021-05-25,18.1,13.0,24.0,,62.0,8.3,1024.8
2021-05-26,17.9,14.0,24.0,,82.0,7.1,1025.7
2021-05-27,17.2,15.0,21.0,,21.0,5.9,1024.7
2021-05-28,16.4,13.0,21.0,,29.0,4.9,1024.8
2021-05-29,16.2,15.0,19.0,,62.0,5.9,1024.9
2021-05-30,16.2,14.0,21.0,,60.0,5.2,1025.1
2021-05-31,17.8,14.0,23.0,,39.0,7.5,1025.5
2021-06-01,16.5,14.0,22.0,,89.0,6.5,1025.5
2021-06-02,17.0,13.0,24.0,,76.0,7.3,1023.8
2021-06-03,18.8,14.1,24.0,,53.0,6.5,1022.6
2021-06-04,18.1,14.0,24.0,,68.0,7.2,1025.2
2021-06-05,17.9,14.0,24.0,,55.0,8.5,1024.0
2021-06-06,17.6,14.0,23.0,,54.0,7.7,1024.2
2021-06-07,16.9,14.0,22.0,,96.0,5.9,1024.3
2021-06-08,16.6,13.8,21.0,,98.0,5.7,1023.4
2021-06-09,16.1,14.0,19.0,,157.0,6.6,1027.0
2021-06-10,16.4,14.0,22.0,,87.0,6.2,1025.6
2021-06-11,16.6,13.0,23.0,,126.0,8.3,1025.8
2021-06-12,15.9,12.0,23.0,,40.0,8.3,1025.3
2021-06-13,15.9,14.0,20.0,,15.0,6.6,1025.6
2021-06-14,16.3,14.0,21.0,,54.0,6.0,1027.0
2021-06-15,16.8,14.0,21.0,,75.0,6.7,1027.5
2021-06-16,17.2,14.0,23.0,,58.0,7.5,1025.8
2021-06-17,17.7,14.0,23.0,,66.0,8.6,1023.8
2021-06-18,17.3,12.0,23.0,,98.0,8.1,1024.3
2021-06-19,17.4,13.0,23.0,,69.0,7.9,1026.1
2021-06-20,17.4,13.0,22.0,,51.0,8.2,1026.3
2021-06-21,16.1,12.0,23.0,,83.0,8.7,1025.5
2021-06-22,16.5,13.0,21.0,,16.0,6.4,1026.3
2021-06-23,16.6,13.0,23.0,,65.0,6.9,1026.3
2021-06-24,15.9,12.0,22.0,,117.0,6.8,1025.9
2021-06-25,16.8,14.0,22.0,,161.0,8.3,1025.3
