time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.6,0.2,3.7,,86.0,7.5,1007.0
2021-01-02,0.7,0.0,1.7,,341.0,4.8,1013.7
2021-01-03,1.1,-1.0,2.6,,38.0,16.4,1024.2
2021-01-04,-0.3,-2.0,1.0,,28.0,18.0,1025.2
2021-01-05,0.7,0.2,1.5,,37.0,20.1,1023.9
2021-01-06,0.9,0.5,1.5,,43.0,21.9,1015.4
2021-01-07,0.5,0.2,1.0,,32.0,14.3,1009.9
2021-01-08,1.4,0.5,2.5,,30.0,14.4,1011.5
2021-01-09,0.5,-2.5,1.7,,355.0,8.7,1019.8
2021-01-10,-0.1,-2.2,2.1,,239.0,9.0,1018.4
2021-01-11,1.9,-0.7,4.2,,226.0,16.1,1008.1
2021-01-12,1.0,-1.7,4.1,,243.0,12.3,995.9
2021-01-13,-1.0,-3.7,0.7,,68.0,13.8,1000.7
2021-01-14,-0.6,-3.4,1.0,,8.0,17.1,1016.6
2021-01-15,-6.7,-9.4,-4.0,,355.0,14.9,1023.8
2021-01-16,-5.3,-10.4,-1.9,,344.0,10.2,1020.7
2021-01-17,-2.6,-3.7,-1.0,,49.0,6.9,1020.7
2021-01-18,-1.7,-5.5,1.0,,142.0,6.2,1016.6
2021-01-19,1.7,0.7,2.2,,154.0,9.5,1005.7
2021-01-20,3.8,2.0,5.3,,185.0,13.1,997.1
2021-01-21,4.9,3.3,7.1,,197.0,16.7,991.8
2021-01-22,5.0,4.2,7.5,,205.0,23.6,986.6
2021-01-23,3.1,1.0,4.5,,234.0,8.0,995.4
2021-01-24,-0.1,-1.0,1.5,,343.0,6.2,997.0
2021-01-25,-0.6,-1.3,1.2,,304.0,4.8,999.3
2021-01-26,-2.1,-4.2,-0.4,,311.0,9.3,1006.7
2021-01-27,-3.1,-7.0,1.1,,252.0,5.4,1008.7
2021-01-28,-1.7,-3.3,0.4,,308.0,13.0,999.0
2021-01-29,-3.3,-5.7,-1.0,,355.0,11.0,999.9
2021-01-30,-6.6,-9.7,-3.4,,307.0,9.0,1001.0
2021-01-31,-4.3,-9.4,-0.5,,311.0,4.1,999.8
2021-02-01,-7.1,-13.7,-0.9,,22.0,5.0,1002.9
2021-02-02,-1.8,-3.5,-0.2,,13.0,7.7,1001.3
2021-02-03,-3.1,-4.7,-1.3,,36.0,16.8,1006.3
2021-02-04,-5.7,-11.2,-3.0,,17.0,16.4,1016.2
2021-02-05,-10.2,-14.9,-4.5,,13.0,11.4,1025.3
2021-02-06,-8.2,-11.8,-3.7,,27.0,17.0,1027.5
2021-02-07,-6.5,-10.7,-2.7,,45.0,20.0,1024.1
2021-02-08,-4.3,-6.2,-3.0,,61.0,22.1,1016.6
2021-02-09,-4.6,-6.0,-3.5,,43.0,24.7,1011.6
2021-02-10,-5.3,-8.0,-3.0,,22.0,22.5,1014.4
2021-02-11,-7.5,-12.0,-4.0,,3.0,14.6,1028.3
2021-02-12,-7.7,-13.0,-1.0,,348.0,10.3,1035.7
2021-02-13,-4.3,-10.1,1.7,,327.0,9.7,1037.5
2021-02-14,-3.7,-7.0,1.2,,315.0,11.6,1037.1
2021-02-15,-6.1,-16.0,0.5,,92.0,6.9,1032.5
2021-02-16,-0.4,-1.4,0.2,,144.0,11.0,1019.5
2021-02-17,-0.8,-1.5,0.0,,92.0,17.1,1014.6
2021-02-18,-0.5,-1.5,0.7,,110.0,13.4,1020.0
2021-02-19,2.0,0.6,4.0,,204.0,10.2,1013.0
2021-02-20,2.4,0.1,5.1,,179.0,7.0,1018.7
2021-02-21,2.1,-2.5,6.1,,143.0,5.5,1017.8
2021-02-22,1.3,-3.2,8.7,,70.0,5.9,1021.3
2021-02-23,3.9,-1.2,10.2,,256.0,5.5,1026.2
2021-02-24,6.2,1.0,11.6,,208.0,7.4,1025.7
2021-02-25,8.6,3.9,13.1,,216.0,11.4,1021.0
2021-02-26,6.1,3.7,9.1,,279.0,18.0,1020.9
2021-02-27,4.8,0.6,10.7,,310.0,10.5,1031.4
2021-02-28,5.8,2.0,12.7,,313.0,12.2,1031.5
2021-03-01,3.4,-3.0,12.6,,288.0,9.8,1031.2
2021-03-02,4.2,-2.5,12.0,,297.0,8.9,1031.5
2021-03-03,0.5,-3.2,8.2,,281.0,7.8,1024.2
2021-03-04,1.6,-2.2,5.0,,350.0,11.1,1016.9
2021-03-05,-0.6,-4.6,5.1,,317.0,9.9,1023.1
2021-03-06,0.0,-7.4,5.5,,275.0,15.3,1021.5
2021-03-07,2.1,-2.4,4.4,,311.0,17.1,1013.2
2021-03-08,-1.4,-5.2,3.2,,347.0,8.0,1021.8
2021-03-09,-2.1,-9.0,2.8,,280.0,7.8,1020.5
2021-03-10,-0.3,-4.7,3.0,,101.0,8.0,1019.9
2021-03-11,2.1,0.2,4.5,,172.0,23.7,996.1
2021-03-12,4.9,3.5,6.8,,247.0,16.2,991.4
2021-03-13,2.5,1.2,4.0,,197.0,10.7,991.1
2021-03-14,2.4,0.2,5.2,,298.0,8.7,993.9
2021-03-15,2.9,0.1,4.7,,215.0,8.0,1002.5
2021-03-16,1.4,-2.2,4.7,,21.0,9.5,1015.0
2021-03-17,1.3,-4.2,7.2,,16.0,6.3,1022.3
2021-03-18,0.5,-5.1,5.5,,347.0,6.8,1021.3
2021-03-19,-1.1,-4.0,1.7,,31.0,18.9,1025.9
2021-03-20,0.9,-3.8,4.1,,252.0,10.4,1019.1
2021-03-21,5.1,-0.7,8.6,,329.0,16.5,1008.6
2021-03-22,4.0,-1.7,10.5,,289.0,11.7,1015.7
2021-03-23,5.4,-0.7,12.1,,295.0,11.1,1018.3
2021-03-24,6.9,4.9,10.0,,240.0,11.7,1017.9
2021-03-25,7.2,1.1,12.2,,237.0,9.3,1016.8
2021-03-26,4.6,-1.0,10.7,,169.0,8.7,1017.8
2021-03-27,5.2,1.6,10.1,,171.0,12.5,1011.5
2021-03-28,,,,,,,
2021-03-29,7.6,5.7,10.0,,230.0,12.9,1019.1
2021-03-30,12.5,9.2,18.0,,266.0,15.3,1022.9
2021-03-31,11.0,8.1,16.2,,265.0,12.5,1020.3
2021-04-01,5.9,0.7,10.2,,18.0,11.6,1018.3
2021-04-02,3.2,-2.2,8.6,,320.0,7.5,1016.8
2021-04-03,4.0,-1.2,8.7,,342.0,10.8,1020.4
2021-04-04,3.1,-4.2,8.2,,260.0,13.1,1013.0
2021-04-05,2.5,0.0,5.7,,265.0,18.8,990.3
2021-04-06,3.4,-0.2,7.0,,265.0,12.8,994.1
2021-04-07,2.5,-2.0,7.2,,265.0,8.0,999.9
2021-04-08,3.3,-3.4,8.5,,291.0,13.0,1009.7
2021-04-09,5.2,3.7,8.0,,234.0,22.4,1006.0
2021-04-10,4.1,-0.9,8.5,,263.0,11.3,1012.7
2021-04-11,1.9,-3.2,5.1,,62.0,14.7,1014.9
2021-04-12,5.1,3.0,7.7,,271.0,13.1,1016.0
2021-04-13,3.8,1.1,7.1,,234.0,10.1,1022.0
2021-04-14,2.9,-2.5,8.2,,348.0,8.4,1026.4
2021-04-15,3.7,-2.9,10.2,,24.0,16.2,1029.9
2021-04-16,5.5,0.5,9.7,,19.0,20.7,1026.8
2021-04-17,9.9,4.2,15.5,,38.0,20.7,1024.6
2021-04-18,10.6,4.1,17.5,,46.0,20.4,1024.3
2021-04-19,10.2,2.7,17.0,,36.0,18.8,1023.6
2021-04-20,9.4,3.0,16.7,,32.0,12.5,1017.6
2021-04-21,5.8,-1.5,13.1,,291.0,13.8,1008.5
2021-04-22,4.1,1.5,7.2,,299.0,21.2,1008.7
2021-04-23,6.5,2.2,10.7,,314.0,15.8,1018.3
2021-04-24,5.2,0.5,9.5,,327.0,13.4,1021.4
2021-04-25,3.3,-1.5,7.5,,330.0,11.7,1021.8
2021-04-26,2.9,-3.5,7.8,,305.0,8.8,1019.9
2021-04-27,3.9,-3.0,10.5,,14.0,9.0,1017.2
2021-04-28,5.1,-1.5,10.2,,121.0,9.2,1014.0
2021-04-29,6.5,1.0,12.0,,53.0,20.4,1008.6
2021-04-30,7.1,1.5,11.5,,42.0,17.9,1010.9
2021-05-01,4.7,-2.2,10.7,,359.0,7.8,1016.9
2021-05-02,6.0,-1.6,11.5,,80.0,10.8,1014.8
2021-05-03,7.4,3.1,11.0,,268.0,9.6,1011.8
2021-05-04,4.5,-1.2,7.0,,119.0,12.0,1001.2
2021-05-05,6.1,5.7,7.0,,204.0,21.0,989.6
2021-05-06,6.0,5.1,7.5,,260.0,13.1,995.3
2021-05-07,3.9,2.0,6.5,,234.0,7.7,1005.4
2021-05-08,5.2,-0.9,10.5,,274.0,6.0,1013.2
2021-05-09,8.8,4.2,14.2,,156.0,12.8,1010.6
2021-05-10,15.6,10.7,21.1,,156.0,13.1,1008.2
2021-05-11,17.5,9.2,24.0,,72.0,12.9,1008.9
2021-05-12,15.1,10.5,19.5,,117.0,12.0,1006.1
2021-05-13,15.0,8.0,22.0,,71.0,8.4,1004.8
2021-05-14,12.3,6.7,17.5,,96.0,9.2,1004.0
2021-05-15,9.3,6.0,11.7,,178.0,8.9,1004.3
2021-05-16,9.5,2.2,14.7,,85.0,10.4,1003.9
2021-05-17,11.7,7.7,14.7,,157.0,9.5,1002.7
2021-05-18,11.5,3.7,16.8,,310.0,6.3,1007.3
2021-05-19,12.1,7.0,16.5,,297.0,12.0,1010.2
2021-05-20,9.2,2.2,13.1,,269.0,11.9,1012.8
2021-05-21,9.3,1.2,14.0,,199.0,9.9,1005.5
2021-05-22,11.2,6.2,14.6,,191.0,11.7,1001.6
2021-05-23,10.4,9.6,11.7,,225.0,15.2,1006.1
2021-05-24,11.1,3.0,15.6,,182.0,12.3,1015.9
