time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-3.0,-12.1,-2.1,4.1,0.0,18.0,
2021-01-02,-6.3,-11.0,-1.0,0.0,1.0,0.7,1019.6
2021-01-03,-6.6,-12.7,1.1,0.0,171.0,9.4,1016.1
2021-01-04,1.1,-4.9,6.1,0.0,233.0,9.0,1017.3
2021-01-05,0.1,-7.7,9.4,0.0,124.0,7.6,1019.9
2021-01-06,4.0,2.2,5.0,9.7,113.0,11.2,1019.7
2021-01-07,2.0,-2.7,3.3,0.0,57.0,14.8,1026.0
2021-01-08,-0.8,-4.3,3.3,0.0,0.0,9.0,1029.1
2021-01-09,-1.7,-2.7,0.6,0.0,349.0,12.6,1029.8
2021-01-10,-2.3,-3.8,0.0,0.0,328.0,10.1,1031.2
2021-01-11,0.6,-4.9,7.8,0.0,204.0,12.2,1026.1
2021-01-12,2.5,-6.0,13.3,0.0,197.0,9.4,1020.3
2021-01-13,4.0,-1.0,13.3,0.0,201.0,13.3,1009.5
2021-01-14,5.1,0.6,8.3,0.0,298.0,34.6,1004.5
2021-01-15,0.7,-1.0,1.1,0.8,310.0,38.5,1004.9
2021-01-16,-0.1,-2.7,2.2,0.0,315.0,16.6,1013.6
2021-01-17,-0.8,-5.5,5.6,0.0,281.0,12.6,1013.3
2021-01-18,-0.6,-6.6,5.6,0.0,38.0,6.1,1015.8
2021-01-19,0.5,-6.0,8.3,0.0,299.0,14.8,1027.4
2021-01-20,1.0,-6.6,13.3,0.0,196.0,16.2,1019.8
2021-01-21,2.3,-8.2,13.9,0.0,347.0,9.0,1015.8
2021-01-22,-1.7,-8.8,0.0,0.0,358.0,11.9,1024.5
2021-01-23,-3.3,-8.8,3.3,0.0,120.0,14.0,1021.4
2021-01-24,2.4,1.1,4.4,0.0,29.0,10.4,1016.6
2021-01-25,0.4,-2.1,1.1,7.6,51.0,18.7,1008.4
2021-01-26,-3.8,-6.6,-2.1,0.3,11.0,18.0,1017.6
2021-01-27,-5.1,-7.1,-2.7,1.3,1.0,12.2,1030.5
2021-01-28,-3.4,-8.2,-0.5,0.0,140.0,12.6,1034.5
2021-01-29,-0.4,-8.2,8.3,0.0,146.0,15.5,1019.4
2021-01-30,5.4,0.6,7.8,23.4,84.0,18.7,1004.7
2021-01-31,0.8,-1.0,0.6,0.0,331.0,28.4,1022.5
2021-02-01,-1.4,-2.7,-0.5,0.0,359.0,11.9,1030.2
2021-02-02,-1.6,-4.3,5.0,0.0,124.0,11.2,1025.4
2021-02-03,2.9,-2.7,14.4,0.0,147.0,15.8,1013.2
2021-02-04,3.5,-6.0,10.0,0.3,307.0,23.4,1007.3
2021-02-05,-3.1,-8.8,0.6,0.0,314.0,14.0,1013.8
2021-02-06,-7.6,-21.0,-5.5,0.8,22.0,15.1,1022.1
2021-02-07,-16.9,-21.6,-14.9,1.3,64.0,14.0,1026.2
2021-02-08,-15.3,-16.0,-13.8,0.0,23.0,15.5,1026.9
2021-02-09,-13.3,-14.9,-10.5,0.0,23.0,13.7,1030.8
2021-02-10,-11.3,-12.7,-9.3,0.0,23.0,18.4,1030.8
2021-02-11,-12.8,-17.7,-10.5,0.0,16.0,19.1,1033.3
2021-02-12,-16.3,-19.3,-15.5,0.0,7.0,24.1,1036.5
2021-02-13,-17.7,-20.5,-14.9,0.0,4.0,19.4,1035.0
