time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,24.6,22.8,28.0,13.5,63.0,6.6,1011.7
2021-01-03,25.5,23.2,29.1,1.1,71.0,9.3,1010.9
2021-01-04,25.1,22.8,29.2,5.4,94.0,7.3,1010.3
2021-01-05,24.5,23.3,26.8,12.5,85.0,8.1,1010.7
2021-01-06,25.1,23.3,28.8,12.2,79.0,8.6,1010.9
2021-01-07,24.5,23.3,27.0,17.9,76.0,8.5,1011.6
2021-01-08,24.2,22.7,27.5,18.0,84.0,8.8,1011.9
2021-01-09,24.1,22.8,26.6,17.8,73.0,9.3,1012.1
2021-01-10,24.8,22.9,27.7,4.6,69.0,10.7,1012.4
2021-01-11,24.7,22.7,27.6,7.2,63.0,10.3,1012.8
2021-01-12,24.7,23.2,27.8,10.2,67.0,9.7,1012.5
2021-01-13,24.8,22.8,27.0,7.3,61.0,10.4,1011.9
2021-01-14,24.7,23.2,27.6,6.4,65.0,10.4,1011.2
2021-01-15,24.3,22.7,27.7,6.4,70.0,10.7,1010.8
2021-01-16,25.4,22.7,29.1,4.0,65.0,12.1,1010.4
2021-01-17,24.9,23.2,27.8,8.8,55.0,10.0,1010.6
2021-01-18,25.8,23.5,29.2,2.0,63.0,12.7,1011.1
2021-01-19,25.7,23.8,28.6,0.7,59.0,12.5,1011.8
2021-01-20,25.2,22.8,28.3,1.3,69.0,10.5,1011.3
2021-01-21,23.6,23.0,24.6,50.6,88.0,4.9,1012.2
2021-01-22,24.2,22.5,27.6,7.3,82.0,9.4,1012.3
2021-01-23,24.5,22.8,27.9,14.3,69.0,10.4,1012.4
2021-01-24,24.6,23.2,27.7,3.3,68.0,9.8,1011.4
2021-01-25,25.3,22.7,28.9,1.7,52.0,9.6,1011.1
2021-01-26,25.0,23.6,28.0,8.1,50.0,10.5,1011.4
2021-01-27,25.5,23.5,28.1,1.3,53.0,12.0,1011.5
2021-01-28,25.4,23.2,29.3,0.6,59.0,10.9,1010.9
2021-01-29,24.5,23.0,27.7,29.8,69.0,8.4,1011.0
2021-01-30,24.5,23.0,27.2,7.2,75.0,11.3,1011.8
2021-01-31,25.5,23.6,28.3,2.7,58.0,13.8,1012.1
2021-02-01,25.3,23.3,27.5,2.2,57.0,12.2,1011.5
2021-02-02,24.7,23.5,26.8,10.4,67.0,10.6,1011.6
2021-02-03,25.1,23.1,27.6,6.0,74.0,12.4,1012.0
2021-02-04,25.8,23.8,28.4,2.2,62.0,14.1,1012.7
2021-02-05,25.1,23.9,26.5,1.7,53.0,12.5,1012.1
2021-02-06,24.2,23.1,27.1,17.6,58.0,9.6,1012.4
