time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,25.1,19.9,,,,,
2021-01-02,22.5,17.0,30.0,0.0,2.0,13.2,1012.0
2021-01-03,23.1,17.0,31.4,0.0,353.0,11.4,1011.5
2021-01-04,25.6,17.9,36.0,0.0,21.0,10.4,1011.5
2021-01-05,26.9,18.4,35.0,0.0,27.0,11.6,1011.4
2021-01-06,27.6,19.0,36.0,0.0,33.0,11.3,1011.4
2021-01-07,26.8,20.9,37.0,0.0,8.0,12.3,1011.5
2021-01-08,23.3,18.2,29.5,0.0,351.0,17.4,1012.5
2021-01-09,21.7,18.1,27.0,0.0,356.0,18.8,1014.2
2021-01-10,22.1,17.0,27.0,0.0,17.0,17.7,1014.2
2021-01-11,20.9,15.5,25.0,0.0,28.0,16.2,1014.7
2021-01-12,22.4,16.0,29.0,0.0,14.0,12.0,1014.9
2021-01-13,22.0,15.1,30.0,0.0,15.0,14.6,1015.2
2021-01-14,23.5,15.5,32.5,0.0,20.0,12.6,1014.0
2021-01-15,23.3,16.0,31.0,0.0,29.0,12.6,1013.1
2021-01-16,23.2,15.5,29.2,0.0,38.0,13.1,1012.1
2021-01-17,24.1,19.0,30.4,0.0,49.0,12.1,1012.6
2021-01-18,23.9,18.0,29.1,0.0,40.0,10.0,1013.7
2021-01-19,23.6,18.4,32.0,0.0,28.0,10.9,1013.7
2021-01-20,23.5,16.9,33.4,0.0,16.0,11.7,1013.0
2021-01-21,24.8,17.1,35.6,0.0,26.0,10.0,1012.8
2021-01-22,27.4,19.8,35.0,0.0,48.0,14.9,1013.7
2021-01-23,24.6,17.0,34.0,0.0,43.0,11.8,1013.5
2021-01-24,25.3,15.0,35.0,0.0,42.0,12.2,1012.3
2021-01-25,25.4,16.0,36.0,0.0,41.0,13.1,1011.8
2021-01-26,25.1,16.0,36.2,0.0,44.0,11.5,1012.2
2021-01-27,25.1,16.0,36.5,0.0,40.0,9.6,1011.7
2021-01-28,26.4,18.0,36.0,0.0,41.0,13.3,1011.8
2021-01-29,26.2,18.0,35.5,0.0,30.0,13.8,1012.6
2021-01-30,26.4,17.0,36.4,0.0,22.0,12.1,1012.6
2021-01-31,27.3,21.0,33.6,0.0,47.0,14.1,1012.5
2021-02-01,25.3,18.0,34.0,0.0,30.0,10.3,1011.9
2021-02-02,24.4,17.0,36.5,0.0,7.0,10.2,1012.0
2021-02-03,24.9,17.0,36.5,0.0,3.0,11.0,1012.0
2021-02-04,21.1,19.0,27.0,0.0,343.0,13.8,1012.1
2021-02-05,19.8,17.0,24.3,0.0,352.0,18.6,1014.0
2021-02-06,19.8,16.5,25.6,0.0,7.0,16.2,1015.7
2021-02-07,21.4,14.3,30.0,0.0,25.0,13.8,1014.2
2021-02-08,21.8,15.0,30.5,0.0,20.0,11.5,1013.4
2021-02-09,23.6,16.5,32.7,0.0,13.0,13.2,1012.7
2021-02-10,20.3,18.0,34.0,0.0,11.0,11.4,1012.1
2021-02-11,24.3,17.0,35.0,0.0,354.0,10.7,1011.9
2021-02-12,24.3,18.0,36.0,0.0,7.0,14.0,1011.4
2021-02-13,27.6,17.0,36.0,0.0,9.0,14.5,1010.6
2021-02-14,23.9,16.5,37.0,0.0,8.0,13.6,1009.5
2021-02-15,27.3,21.0,36.6,0.0,21.0,12.6,1009.3
2021-02-16,26.2,18.0,35.3,0.0,27.0,8.1,1009.6
2021-02-17,25.3,22.5,29.5,0.0,4.0,9.0,1011.5
2021-02-18,23.3,20.0,32.0,0.0,359.0,11.5,1013.1
2021-02-19,20.6,19.0,34.0,0.0,8.0,12.3,1014.2
2021-02-20,22.3,17.0,31.0,0.0,357.0,14.2,1014.5
2021-02-21,22.2,18.0,33.5,0.0,11.0,16.9,1014.1
2021-02-22,25.3,18.0,37.2,0.0,15.0,15.0,1012.8
2021-02-23,26.9,18.9,38.4,0.0,31.0,10.8,1012.7
2021-02-24,27.6,17.5,38.5,0.0,22.0,12.2,1013.1
2021-02-25,27.6,16.0,38.0,0.0,35.0,12.9,1013.0
2021-02-26,27.1,21.0,34.0,0.0,50.0,13.2,1013.2
2021-02-27,23.2,17.5,32.0,0.0,23.0,14.9,1012.6
2021-02-28,21.7,16.0,29.4,0.0,4.0,17.5,1011.7
2021-03-01,21.8,15.7,32.0,0.0,6.0,15.4,1011.5
2021-03-02,25.6,17.0,36.2,0.0,20.0,11.7,1011.0
2021-03-03,25.7,18.2,36.7,0.0,13.0,12.9,1011.6
2021-03-04,24.8,19.0,35.3,0.0,0.0,14.9,1011.3
2021-03-05,24.1,17.5,36.0,0.0,359.0,13.7,1010.0
2021-03-06,24.9,19.2,35.6,0.0,1.0,15.2,1011.1
2021-03-07,24.4,19.0,34.5,0.0,9.0,15.7,1013.3
2021-03-08,23.1,16.0,32.0,0.0,10.0,18.5,1013.2
2021-03-09,22.7,16.5,32.1,0.0,14.0,16.8,1012.6
2021-03-10,22.7,16.8,31.6,0.0,14.0,16.0,1012.5
2021-03-11,23.3,15.5,33.0,0.0,22.0,13.6,1012.0
2021-03-12,27.1,16.5,35.0,0.0,51.0,15.0,1011.4
2021-03-13,26.8,18.5,35.0,0.0,36.0,13.7,1011.6
2021-03-14,27.5,17.5,37.0,0.0,24.0,10.6,1011.6
2021-03-15,23.7,19.0,33.0,0.0,352.0,12.8,1011.3
2021-03-16,21.5,17.0,30.5,0.0,332.0,12.8,1010.2
2021-03-17,19.9,15.0,24.0,0.0,295.0,13.8,1010.3
2021-03-18,21.1,18.0,26.0,0.0,317.0,11.8,1009.5
2021-03-19,21.2,18.0,26.0,0.0,305.0,12.9,1009.7
2021-03-20,22.5,19.0,30.6,0.0,343.0,16.3,1010.1
2021-03-21,21.5,17.7,26.5,0.0,344.0,16.4,1011.2
2021-03-22,21.2,16.6,27.2,0.0,345.0,15.7,1011.0
2021-03-23,21.9,17.0,28.6,0.0,347.0,15.8,1012.9
2021-03-24,23.6,19.0,33.0,0.0,357.0,19.0,1013.8
2021-03-25,22.7,19.0,31.2,0.0,356.0,18.4,1012.5
2021-03-26,22.9,19.0,29.4,0.0,356.0,20.4,1012.3
2021-03-27,22.0,18.6,30.0,0.0,356.0,18.3,1011.7
2021-03-28,21.5,18.6,27.5,0.0,359.0,21.2,1011.9
2021-03-29,21.9,18.0,28.0,0.0,355.0,20.5,1011.3
2021-03-30,20.3,17.5,24.5,0.0,343.0,19.1,1011.0
2021-03-31,20.6,17.0,26.0,0.0,347.0,17.5,1010.6
2021-04-01,23.3,16.5,30.4,0.0,354.0,18.4,1010.0
2021-04-02,26.2,20.0,40.0,0.0,1.0,14.6,1009.5
2021-04-03,28.3,20.7,39.0,0.0,2.0,14.6,1009.2
2021-04-04,27.5,20.0,37.4,0.0,0.0,16.9,1009.2
2021-04-05,27.4,21.0,39.0,0.0,8.0,18.2,1009.1
2021-04-06,27.7,20.0,41.0,0.0,4.0,15.8,1009.2
2021-04-07,26.5,21.2,39.0,0.0,9.0,20.8,1010.3
2021-04-08,25.4,20.0,34.0,0.0,353.0,16.2,1011.0
2021-04-09,22.7,19.6,28.0,0.0,347.0,19.5,1009.6
