time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-9.6,-11.1,-8.0,,129.0,10.1,1031.6
2021-01-02,-11.8,-13.3,-10.0,,128.0,13.5,1030.8
2021-01-03,-7.7,-11.0,-4.6,,164.0,10.2,1032.1
2021-01-04,-3.9,-5.0,-3.0,,168.0,10.2,1038.0
2021-01-05,-5.0,-9.1,-3.0,,188.0,14.6,1037.9
2021-01-06,-14.0,-16.7,-11.0,,144.0,13.2,1037.0
2021-01-07,-13.3,-15.1,-11.0,,135.0,14.4,1030.7
2021-01-08,-8.9,-11.0,-8.0,,127.0,14.9,1024.2
2021-01-09,-5.3,-8.3,-3.0,,119.0,10.1,1017.5
2021-01-10,-4.4,-8.0,-1.7,,231.0,15.3,1005.4
2021-01-11,-14.3,-22.0,-7.3,,311.0,7.2,1014.1
2021-01-12,-21.2,-24.0,-17.2,,277.0,6.8,1021.2
2021-01-13,-21.8,-27.0,-15.7,,54.0,4.4,1028.4
2021-01-14,-12.3,-17.0,-10.0,,116.0,22.4,1019.5
2021-01-15,-7.8,-10.2,-5.5,,80.0,10.4,1008.6
2021-01-16,-6.7,-8.0,-5.0,,187.0,18.8,999.4
2021-01-17,-12.7,-20.0,-6.0,,252.0,13.7,1008.0
2021-01-18,-20.4,-25.0,-16.5,,359.0,3.3,1017.2
2021-01-19,-18.4,-23.0,-15.9,,310.0,7.4,1013.2
2021-01-20,-22.4,-26.0,-18.0,,257.0,4.4,1015.6
2021-01-21,-17.5,-25.0,-10.0,,254.0,8.9,1019.0
2021-01-22,-11.8,-15.0,-9.4,,259.0,7.5,1016.9
2021-01-23,-11.9,-16.0,-7.0,,120.0,8.7,1022.8
2021-01-24,-0.7,-7.0,3.0,,203.0,12.5,1024.0
2021-01-25,-2.3,-4.0,-0.8,,172.0,12.5,1028.9
2021-01-26,-4.8,-7.5,-2.9,,157.0,16.2,1026.8
2021-01-27,-7.5,-9.9,-6.0,,146.0,15.2,1025.1
2021-01-28,-8.1,-10.0,-6.7,,126.0,14.9,1019.2
2021-01-29,-4.4,-7.0,-3.0,,138.0,12.6,1010.2
2021-01-30,-4.1,-6.2,-2.0,,185.0,13.7,1010.6
2021-01-31,-3.3,-6.0,-1.0,,150.0,17.6,1012.1
2021-02-01,-2.7,-6.0,1.0,,228.0,15.0,1015.9
2021-02-02,-1.4,-5.0,1.3,,221.0,18.2,1015.4
2021-02-03,-7.3,-11.0,-4.4,,52.0,7.5,1018.2
2021-02-04,-0.9,-5.0,1.9,,185.0,9.0,1010.4
2021-02-05,1.1,0.0,2.6,,177.0,18.3,999.7
2021-02-06,-9.7,-15.0,1.0,,286.0,18.6,996.7
