time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,29.2,23.0,33.2,,,,
2021-01-02,27.8,24.0,30.8,,,,
2021-01-03,29.1,24.8,32.7,21.0,317.0,5.3,1009.1
2021-01-04,29.1,25.0,31.8,20.5,332.0,5.4,1008.7
2021-01-05,27.8,24.6,31.4,44.5,308.0,5.4,1009.5
2021-01-06,28.5,24.3,32.2,8.8,6.0,3.6,1008.5
2021-01-07,28.0,22.0,32.7,13.1,319.0,3.6,1007.8
2021-01-08,29.5,24.8,33.4,2.0,236.0,5.8,1007.8
2021-01-09,29.9,24.0,33.8,9.6,261.0,3.7,1007.6
2021-01-10,30.4,23.8,33.4,14.5,330.0,4.4,1007.8
2021-01-11,29.3,25.4,33.0,25.6,305.0,3.8,1008.3
2021-01-12,29.1,25.8,30.6,14.5,203.0,3.7,1008.4
2021-01-13,29.5,24.6,33.8,12.1,246.0,5.1,1008.4
2021-01-14,28.6,24.6,31.8,21.3,255.0,6.1,1008.8
2021-01-15,27.1,24.6,29.0,10.7,267.0,7.8,1008.6
2021-01-16,29.7,23.8,33.0,0.0,253.0,8.2,1007.5
2021-01-17,26.7,24.4,30.1,0.1,237.0,4.7,1008.4
2021-01-18,30.4,21.5,34.3,0.5,214.0,6.2,1007.9
2021-01-19,28.9,25.1,33.8,7.7,218.0,5.6,1008.3
2021-01-20,28.7,26.2,33.0,3.8,205.0,5.8,1008.7
2021-01-21,29.1,25.4,33.8,28.0,208.0,5.5,1009.3
2021-01-22,26.7,24.0,29.4,7.2,302.0,3.8,1009.6
2021-01-23,30.1,23.5,32.7,13.3,337.0,3.6,1010.0
2021-01-24,27.3,24.6,30.2,12.8,346.0,5.6,1010.5
2021-01-25,27.8,24.6,29.6,6.3,11.0,5.0,1010.1
2021-01-26,28.8,24.4,34.2,7.1,312.0,4.0,1008.6
2021-01-27,29.0,23.4,34.2,4.1,315.0,6.7,1008.7
2021-01-28,29.6,23.8,32.6,12.2,329.0,5.7,1009.5
2021-01-29,29.7,25.0,33.0,1.8,358.0,5.6,1008.7
2021-01-30,30.7,25.0,34.2,3.4,347.0,5.8,1009.2
2021-01-31,29.9,24.6,33.4,2.0,16.0,7.3,1010.1
2021-02-01,30.3,26.4,33.2,28.5,340.0,4.6,1010.6
