time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,28.2,27.0,31.0,,66.0,21.3,1012.9
2021-01-02,27.6,25.0,30.0,3.3,63.0,21.8,1012.6
2021-01-03,27.8,27.0,29.0,0.7,72.0,23.8,1012.2
2021-01-04,27.3,24.0,29.0,1.2,63.0,17.4,1012.2
2021-01-05,27.0,23.0,29.0,2.7,51.0,13.2,1012.1
2021-01-06,25.4,23.0,29.0,3.0,68.0,9.7,1012.3
2021-01-07,26.9,25.0,29.0,1.8,51.0,15.9,1012.9
2021-01-08,27.3,25.9,29.0,1.4,44.0,14.1,1013.3
2021-01-09,27.6,25.0,29.0,3.3,31.0,18.6,1012.9
2021-01-10,26.2,23.0,37.0,15.9,57.0,19.2,1012.5
2021-01-11,27.4,26.0,28.0,2.9,57.0,22.5,1012.6
2021-01-12,28.1,27.0,29.0,1.9,64.0,25.2,1012.4
2021-01-13,27.9,26.0,30.0,1.7,52.0,24.0,1011.9
2021-01-14,27.5,25.0,30.0,0.4,51.0,18.2,1011.2
2021-01-15,27.7,26.0,29.0,0.6,56.0,17.9,1011.4
2021-01-16,27.4,26.0,30.0,0.4,42.0,15.2,1012.5
2021-01-17,27.5,25.0,30.0,2.8,57.0,16.2,1011.7
2021-01-18,27.1,25.0,29.0,1.8,59.0,18.2,1012.4
2021-01-19,27.9,26.0,30.0,0.7,53.0,26.6,1012.9
2021-01-20,27.4,25.0,30.0,2.7,46.0,29.0,1012.7
2021-01-21,27.6,25.9,29.0,1.6,55.0,25.0,1012.0
2021-01-22,27.4,24.0,30.0,1.1,59.0,21.4,1012.2
2021-01-23,27.2,24.0,30.0,1.7,61.0,20.1,1012.4
2021-01-24,27.5,25.0,30.0,1.0,62.0,27.5,1012.2
2021-01-25,27.7,26.0,30.0,0.0,74.0,18.1,1011.4
2021-01-26,27.8,25.8,30.0,1.9,78.0,20.6,1011.4
2021-01-27,27.4,26.0,29.0,1.5,70.0,21.9,1012.2
2021-01-28,27.9,27.0,30.0,1.2,45.0,25.0,1014.0
2021-01-29,27.8,26.0,30.0,0.1,45.0,21.9,1013.2
2021-01-30,28.0,26.0,30.0,1.1,55.0,27.1,1012.2
2021-01-31,27.5,26.0,30.0,1.1,61.0,23.5,1011.5
2021-02-01,27.8,26.5,30.0,3.0,49.0,21.6,1012.2
2021-02-02,27.7,26.0,30.0,0.6,17.0,22.2,1012.5
2021-02-03,26.5,25.0,28.0,1.3,17.0,25.7,1013.2
2021-02-04,26.4,25.0,28.0,1.8,25.0,18.9,1013.0
2021-02-05,27.1,26.0,29.0,0.8,64.0,13.8,1011.7
2021-02-06,27.9,26.0,30.0,0.8,73.0,17.2,1011.4
2021-02-07,27.8,26.0,30.0,0.1,69.0,25.3,1011.5
2021-02-08,27.8,26.0,30.0,1.2,63.0,19.6,1012.3
2021-02-09,27.9,24.0,30.0,0.6,65.0,16.6,1012.8
2021-02-10,26.2,26.0,29.0,0.7,63.0,16.1,1012.4
2021-02-11,27.6,26.0,30.0,0.0,76.0,16.6,1011.0
2021-02-12,27.3,26.0,30.0,0.0,82.0,15.3,1010.7
2021-02-13,28.3,26.0,30.0,0.7,87.0,12.0,1010.4
2021-02-14,27.8,25.8,31.0,1.3,76.0,8.6,1011.9
2021-02-15,27.7,25.0,31.0,2.0,84.0,12.5,1012.7
2021-02-16,28.2,26.0,31.0,0.2,70.0,19.9,1013.4
2021-02-17,27.6,25.5,30.0,0.5,66.0,19.3,1013.4
2021-02-18,28.1,25.4,30.0,0.4,71.0,21.6,1013.5
2021-02-19,27.0,26.8,30.0,1.4,65.0,19.5,1013.6
2021-02-20,27.5,24.0,31.0,1.0,58.0,19.1,1014.1
2021-02-21,29.0,25.0,30.0,1.8,53.0,24.2,1014.5
2021-02-22,27.4,25.0,30.0,1.2,48.0,22.7,1013.4
2021-02-23,26.8,25.0,29.0,1.1,52.0,22.5,1013.1
2021-02-24,27.3,26.0,30.0,2.1,67.0,19.7,1012.8
2021-02-25,27.9,26.0,30.0,0.0,55.0,23.1,1013.0
2021-02-26,27.5,26.0,30.0,2.2,53.0,24.2,1011.9
2021-02-27,27.6,26.0,30.0,0.8,62.0,26.4,1011.9
2021-02-28,27.8,25.0,30.0,2.0,67.0,28.3,1011.7
2021-03-01,27.9,27.0,30.0,1.2,65.0,24.4,1011.1
2021-03-02,27.9,26.0,30.0,0.9,59.0,22.3,1012.6
2021-03-03,27.7,26.0,31.0,0.8,58.0,19.9,1013.6
2021-03-04,27.0,25.8,30.0,0.8,43.0,14.8,1014.3
2021-03-05,26.9,25.0,30.0,0.0,52.0,16.2,1012.7
2021-03-06,26.4,23.0,29.0,0.0,60.0,12.2,1012.5
2021-03-07,27.1,25.0,30.0,0.9,41.0,16.1,1014.3
2021-03-08,27.7,26.0,31.0,3.0,30.0,23.3,1015.5
2021-03-09,27.7,26.0,30.0,1.2,54.0,26.7,1014.9
2021-03-10,27.4,25.0,30.0,1.0,61.0,21.5,1014.0
2021-03-11,26.9,24.0,30.0,1.1,56.0,19.3,1014.5
2021-03-12,27.0,24.0,30.0,0.8,53.0,21.6,1015.1
2021-03-13,27.4,25.0,30.0,0.9,53.0,19.6,1014.8
2021-03-14,27.6,26.0,30.0,0.1,64.0,19.0,1014.4
2021-03-15,27.4,25.9,29.0,0.4,59.0,17.5,1013.6
2021-03-16,27.4,25.0,30.0,0.8,66.0,18.7,1012.8
2021-03-17,26.8,24.0,30.0,5.6,66.0,20.8,1011.8
2021-03-18,27.8,26.5,30.0,1.4,73.0,19.8,1011.8
2021-03-19,27.8,26.0,31.0,0.8,59.0,22.7,1012.9
2021-03-20,26.3,24.0,28.0,1.6,50.0,20.7,1013.6
2021-03-21,27.2,24.0,30.0,3.0,43.0,23.6,1013.2
2021-03-22,26.9,26.0,29.0,1.4,42.0,15.1,1013.1
2021-03-23,27.5,26.0,30.0,0.0,69.0,14.7,1012.6
2021-03-24,27.7,26.0,31.0,0.2,75.0,16.6,1012.5
2021-03-25,27.8,26.0,30.0,1.8,68.0,19.0,1013.1
2021-03-26,28.3,26.0,39.0,0.2,64.0,22.3,1013.4
2021-03-27,28.0,26.0,31.0,0.3,63.0,23.3,1013.4
2021-03-28,28.1,26.0,31.0,0.3,67.0,20.3,1012.1
2021-03-29,28.1,26.0,31.0,1.8,51.0,25.7,1012.0
2021-03-30,28.0,26.0,31.0,2.7,55.0,27.1,1011.5
2021-03-31,28.5,26.8,31.0,0.6,60.0,28.1,1010.7
2021-04-01,28.4,27.0,31.0,1.3,43.0,23.6,1010.9
2021-04-02,28.0,27.0,31.0,2.0,36.0,23.3,1011.9
2021-04-03,27.9,26.0,30.0,0.5,40.0,19.6,1012.9
2021-04-04,28.5,26.5,31.0,0.2,51.0,21.2,1012.2
2021-04-05,28.1,26.0,31.0,0.0,59.0,19.1,1011.9
2021-04-06,28.1,26.0,30.0,0.0,57.0,16.2,1012.1
2021-04-07,28.2,26.0,31.0,1.8,47.0,19.3,1011.5
2021-04-08,28.1,27.0,30.0,1.2,61.0,19.7,1010.8
2021-04-09,27.6,27.0,29.0,1.2,72.0,17.7,1011.5
2021-04-10,27.9,27.0,30.0,0.1,85.0,15.2,1010.2
2021-04-11,28.5,26.4,31.0,0.5,90.0,13.6,1008.8
2021-04-12,28.5,27.0,31.0,0.4,78.0,14.9,1009.1
2021-04-13,28.4,26.7,31.0,0.9,61.0,19.3,1010.6
2021-04-14,28.3,27.0,31.0,0.6,46.0,21.2,1011.8
2021-04-15,28.6,26.6,31.0,3.6,51.0,22.0,1010.8
2021-04-16,28.6,26.8,31.0,2.8,62.0,20.7,1010.3
2021-04-17,28.6,27.0,31.0,1.8,71.0,19.4,1010.6
2021-04-18,28.6,26.7,32.0,3.5,82.0,15.1,1010.8
2021-04-19,28.6,27.0,31.0,3.1,77.0,19.4,1011.2
2021-04-20,28.6,26.8,31.0,0.5,72.0,20.0,1011.6
2021-04-21,28.5,27.0,31.0,0.1,69.0,21.8,1012.3
2021-04-22,28.4,26.4,31.0,0.5,57.0,22.5,1012.0
2021-04-23,28.4,26.0,31.0,0.4,61.0,18.3,1012.3
2021-04-24,28.2,26.0,31.0,0.2,62.0,16.2,1012.3
2021-04-25,28.4,27.0,31.0,0.6,62.0,17.7,1012.1
2021-04-26,28.4,27.0,31.0,0.1,61.0,17.1,1012.2
2021-04-27,27.6,26.0,30.0,0.3,51.0,16.8,1012.4
2021-04-28,28.0,26.0,31.0,0.3,50.0,14.7,1012.6
2021-04-29,28.2,26.2,31.0,0.1,86.0,13.4,1012.9
2021-04-30,28.2,27.0,31.0,0.0,76.0,13.4,1012.9
2021-05-01,28.2,26.0,31.0,0.0,73.0,12.7,1012.9
2021-05-02,28.2,26.0,31.0,0.0,81.0,11.2,1012.6
2021-05-03,28.4,27.0,31.0,2.2,103.0,13.2,1012.4
2021-05-04,28.3,26.0,32.0,3.5,94.0,15.0,1012.7
2021-05-05,28.6,26.9,32.0,1.6,81.0,15.3,1013.6
2021-05-06,28.7,27.0,31.0,0.8,57.0,17.0,1013.0
2021-05-07,28.6,26.7,31.0,1.2,49.0,18.0,1013.0
2021-05-08,28.6,27.0,31.0,1.3,67.0,19.0,1012.9
2021-05-09,28.9,27.0,31.0,2.9,65.0,19.9,1012.6
2021-05-10,28.3,25.0,31.0,10.2,70.0,25.3,1010.4
2021-05-11,29.1,27.0,31.0,7.9,77.0,24.9,1010.4
2021-05-12,28.9,28.0,31.0,0.7,68.0,22.2,1011.5
2021-05-13,28.8,27.0,31.0,1.5,76.0,24.0,1011.1
2021-05-14,28.9,26.0,32.0,0.4,67.0,23.1,1011.9
2021-05-15,29.0,26.8,32.0,2.1,57.0,21.7,1012.3
2021-05-16,28.7,27.0,31.0,0.4,59.0,16.6,1013.0
2021-05-17,28.6,26.7,31.0,1.0,70.0,15.2,1012.9
2021-05-18,28.7,27.0,31.0,0.7,68.0,13.1,1012.3
2021-05-19,29.1,27.0,32.0,2.4,79.0,16.0,1010.6
2021-05-20,29.2,28.0,32.0,6.1,79.0,17.4,1010.3
2021-05-21,29.1,27.0,32.0,1.2,71.0,21.6,1011.0
2021-05-22,28.9,27.0,32.0,1.2,67.0,22.4,1011.4
2021-05-23,28.7,27.0,31.0,3.7,63.0,23.8,1011.3
2021-05-24,28.9,27.0,32.0,5.9,63.0,24.3,1011.6
2021-05-25,29.2,28.0,32.0,0.6,72.0,25.0,1012.6
2021-05-26,28.9,26.0,31.0,1.5,71.0,27.7,1013.0
2021-05-27,28.9,27.0,31.0,1.6,68.0,23.0,1013.1
2021-05-28,28.8,26.0,32.0,1.5,64.0,19.0,1012.6
2021-05-29,28.9,27.0,31.0,0.5,69.0,18.3,1011.5
2021-05-30,28.8,27.0,32.0,0.2,75.0,19.6,1012.6
2021-05-31,29.1,27.0,32.0,1.0,61.0,20.8,1013.2
2021-06-01,29.1,26.9,32.0,0.9,56.0,18.5,1012.3
2021-06-02,28.6,27.0,31.0,1.7,71.0,21.3,1010.9
2021-06-03,29.1,27.4,31.0,0.4,79.0,23.1,1011.2
2021-06-04,29.1,27.0,32.0,0.0,72.0,19.9,1011.2
2021-06-05,28.9,27.0,32.0,2.3,73.0,18.3,1011.2
2021-06-06,28.8,26.6,31.0,9.8,74.0,25.2,1010.7
2021-06-07,29.3,28.0,32.0,4.8,76.0,24.1,1010.9
2021-06-08,28.3,25.7,31.0,16.6,98.0,17.5,1012.6
2021-06-09,27.1,25.0,30.0,8.4,69.0,13.5,1013.5
