time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,28.5,22.5,,47.0,,,
2021-01-02,24.7,21.8,28.6,4.0,303.0,3.9,1011.1
2021-01-03,28.8,23.0,33.3,5.8,331.0,8.9,1007.4
2021-01-04,28.4,23.9,30.5,39.0,338.0,7.5,1006.9
2021-01-05,23.8,23.0,25.1,105.9,359.0,5.8,1008.3
2021-01-06,23.8,22.5,25.4,139.7,9.0,7.0,1011.1
2021-01-07,24.3,21.7,29.6,5.1,343.0,6.4,1012.1
2021-01-08,29.2,21.8,32.7,0.2,339.0,9.2,1010.0
2021-01-09,30.8,23.0,33.0,0.3,325.0,9.2,1008.8
2021-01-10,31.7,23.5,35.0,0.1,328.0,10.2,1008.5
2021-01-11,32.0,24.0,34.0,4.7,330.0,10.5,1008.3
2021-01-12,30.4,24.2,34.3,14.2,294.0,8.9,1008.7
2021-01-13,25.8,22.9,33.5,22.7,113.0,4.6,1010.2
2021-01-14,27.3,21.8,30.0,14.0,163.0,5.3,1009.5
2021-01-15,28.6,24.0,30.0,14.3,328.0,3.8,1006.9
2021-01-16,28.2,24.0,31.6,9.3,336.0,12.7,1004.9
2021-01-17,27.5,24.0,31.5,31.6,344.0,15.0,1005.2
2021-01-18,20.3,18.5,24.1,113.3,150.0,7.4,1013.0
2021-01-19,28.3,19.6,31.5,7.1,255.0,4.6,1011.5
2021-01-20,30.1,21.7,33.4,0.0,151.0,5.4,1010.4
2021-01-21,30.3,22.4,34.0,0.0,165.0,5.2,1010.3
2021-01-22,28.8,23.0,30.8,16.9,140.0,7.0,1012.1
2021-01-23,23.0,21.5,25.8,14.7,174.0,8.3,1013.5
2021-01-24,27.7,22.6,30.3,49.3,321.0,10.7,1011.0
2021-01-25,28.1,23.0,30.5,0.0,344.0,7.5,1008.8
2021-01-26,26.8,23.0,30.4,4.9,338.0,11.6,1007.4
2021-01-27,27.7,23.7,29.9,2.6,342.0,13.7,1007.5
2021-01-28,25.7,22.3,30.2,3.3,345.0,14.2,1007.0
2021-01-29,24.8,22.3,30.0,7.6,343.0,13.0,1007.5
2021-01-30,25.8,23.5,30.0,1.1,339.0,14.7,1008.4
2021-01-31,26.8,23.0,32.7,2.6,336.0,12.7,1008.8
2021-02-01,27.1,23.5,31.8,3.1,324.0,10.3,1007.8
2021-02-02,26.2,23.3,33.2,14.1,333.0,7.0,1008.6
2021-02-03,29.3,24.4,32.0,22.5,346.0,6.2,1010.8
2021-02-04,27.1,22.2,29.0,5.1,140.0,8.4,1012.9
2021-02-05,29.2,22.4,32.0,6.4,153.0,7.4,1011.8
2021-02-06,30.8,22.0,34.0,0.0,11.0,4.3,1010.6
2021-02-07,28.6,22.6,31.0,6.0,53.0,3.7,1010.1
2021-02-08,28.3,24.4,32.0,7.0,44.0,3.3,1009.5
2021-02-09,28.0,24.4,31.6,42.5,4.0,5.9,1008.4
2021-02-10,22.0,21.1,23.0,76.6,141.0,12.1,1010.7
2021-02-11,22.5,20.7,25.6,6.0,150.0,7.5,1010.9
2021-02-12,24.5,20.4,29.1,0.0,129.0,5.9,1010.1
2021-02-13,27.8,22.6,29.8,1.4,315.0,5.2,1009.3
2021-02-14,27.1,22.0,30.5,6.1,336.0,12.6,1007.9
2021-02-15,24.3,23.0,31.4,0.0,338.0,11.3,1009.2
2021-02-16,25.2,22.6,29.5,16.3,337.0,9.6,1008.7
2021-02-17,25.4,22.0,28.8,0.0,326.0,7.1,1008.7
2021-02-18,24.7,22.4,29.6,23.9,280.0,4.5,1009.7
2021-02-19,25.7,21.3,31.7,15.0,333.0,5.7,1009.1
2021-02-20,24.8,22.2,31.5,35.4,137.0,3.6,1010.5
2021-02-21,25.3,22.8,32.2,23.6,118.0,4.5,1010.6
2021-02-22,27.2,22.6,31.0,4.8,330.0,6.4,1009.5
2021-02-23,26.8,22.6,32.0,1.9,353.0,4.0,1010.0
2021-02-24,26.9,22.9,32.2,8.7,49.0,4.4,1010.7
2021-02-25,30.1,24.0,35.2,2.5,340.0,5.6,1009.0
2021-02-26,25.9,22.2,31.2,9.6,126.0,4.5,1008.5
2021-02-27,28.9,22.0,33.0,13.7,131.0,3.5,1009.4
2021-02-28,28.4,23.0,31.2,9.1,139.0,4.9,1008.4
2021-03-01,32.4,21.4,35.5,13.8,331.0,4.5,1006.5
2021-03-02,32.0,23.0,35.6,10.8,336.0,4.6,1007.4
2021-03-03,30.3,24.0,36.0,13.6,341.0,3.5,1009.7
2021-03-04,25.1,22.0,28.8,23.9,25.0,3.4,1010.3
2021-03-05,23.7,22.2,27.2,16.9,13.0,5.5,1011.2
2021-03-06,28.5,21.8,31.5,31.0,336.0,4.3,1011.1
2021-03-07,26.0,20.8,33.7,0.0,88.0,3.7,1010.6
2021-03-08,26.8,22.0,33.2,2.0,24.0,4.9,1010.2
2021-03-09,25.9,21.6,31.3,28.8,121.0,4.9,1011.6
2021-03-10,26.5,22.2,33.0,0.7,10.0,3.6,1009.6
2021-03-11,30.8,21.4,33.5,4.1,334.0,4.5,1009.3
2021-03-12,28.8,23.3,34.0,5.5,357.0,3.3,1011.5
2021-03-13,29.6,23.0,33.0,5.9,352.0,3.9,1011.2
2021-03-14,27.8,23.3,34.6,4.0,126.0,3.7,1011.2
2021-03-15,26.4,22.5,32.2,24.9,97.0,3.2,1011.3
2021-03-16,28.8,22.5,31.7,0.0,321.0,7.1,1008.4
2021-03-17,29.3,23.0,33.4,13.8,338.0,8.5,1007.6
2021-03-18,22.7,20.5,34.0,27.4,140.0,6.5,1011.0
2021-03-19,24.1,20.5,28.9,0.3,143.0,5.1,1009.6
2021-03-20,26.9,21.0,30.4,6.0,354.0,3.9,1009.2
2021-03-21,25.9,23.0,31.0,51.3,35.0,5.4,1012.5
2021-03-22,23.3,21.5,30.7,79.9,146.0,8.1,1013.8
2021-03-23,27.1,21.4,29.6,11.7,159.0,6.4,1013.2
