time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,25.4,17.0,32.3,,284.0,13.0,1014.3
2021-01-02,26.8,18.8,33.0,0.0,51.0,12.0,1014.8
2021-01-03,25.4,19.0,30.0,0.0,62.0,16.0,1013.2
2021-01-04,25.1,20.8,29.1,0.1,65.0,16.2,1009.4
2021-01-05,25.2,22.6,29.7,9.6,118.0,13.1,1007.5
2021-01-06,22.4,19.5,25.2,0.0,274.0,18.7,1007.3
2021-01-07,25.2,19.0,34.0,0.0,262.0,17.6,1007.4
2021-01-08,25.5,21.1,30.0,0.0,98.0,13.6,1010.2
2021-01-09,23.3,18.0,27.0,7.0,54.0,13.0,1011.8
2021-01-10,26.0,19.0,32.3,0.0,49.0,15.5,1008.3
2021-01-11,21.1,18.0,26.3,4.4,218.0,14.7,1007.1
2021-01-12,21.2,17.0,24.6,0.0,101.0,17.8,1017.8
2021-01-13,22.0,16.0,26.8,0.0,68.0,17.3,1020.8
2021-01-14,23.1,17.9,28.2,0.0,66.0,22.7,1017.9
2021-01-15,21.4,20.0,24.0,0.6,55.0,13.7,1009.2
2021-01-16,23.8,18.8,30.1,2.4,187.0,12.7,1004.1
2021-01-17,20.8,16.0,26.5,1.0,221.0,20.8,1009.6
2021-01-18,22.8,13.2,31.5,0.0,336.0,5.7,1014.2
2021-01-19,25.9,17.0,32.4,0.0,8.0,10.1,1016.8
2021-01-20,26.7,20.0,32.5,0.0,63.0,14.1,1017.8
2021-01-21,25.6,20.0,30.0,0.0,68.0,18.8,1018.5
2021-01-22,26.1,21.0,31.9,0.0,59.0,17.3,1019.0
2021-01-23,28.0,23.0,32.7,0.0,50.0,15.5,1014.7
2021-01-24,29.1,23.0,34.0,0.0,65.0,16.1,1011.0
2021-01-25,29.5,23.0,35.6,0.0,38.0,14.9,1006.1
2021-01-26,28.4,23.0,31.0,2.7,16.0,11.0,1003.1
2021-01-27,26.7,22.7,30.7,0.0,103.0,16.5,1005.2
2021-01-28,22.9,20.5,27.1,3.2,22.0,10.1,1006.0
2021-01-29,22.9,18.4,28.5,20.3,316.0,9.7,1005.3
2021-01-30,20.0,16.9,24.2,24.6,152.0,14.1,1009.5
2021-01-31,18.7,16.0,22.0,1.5,140.0,15.6,1014.7
2021-02-01,20.4,18.0,24.0,17.5,135.0,10.6,1011.6
2021-02-02,21.6,18.8,25.3,1.2,160.0,11.7,1013.2
2021-02-03,22.5,20.4,25.1,5.4,140.0,14.4,1014.0
2021-02-04,22.9,17.6,28.4,1.8,170.0,13.2,1016.5
2021-02-05,21.8,16.8,26.7,0.0,112.0,10.6,1015.2
