time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,11.3,0.0,22.0,0.0,,9.7,
2021-01-02,10.8,-1.0,21.9,0.0,64.0,5.6,1018.5
2021-01-03,9.9,3.0,24.0,0.0,246.0,3.7,1018.4
2021-01-04,11.6,2.0,22.0,0.0,351.0,2.6,1018.9
2021-01-05,11.2,1.0,24.8,0.0,125.0,2.5,1018.1
2021-01-06,11.9,2.0,24.8,0.0,252.0,6.5,1015.4
2021-01-07,12.4,2.2,25.9,0.0,98.0,3.6,1019.7
2021-01-08,11.2,3.0,22.7,0.0,99.0,3.6,1019.7
2021-01-09,9.2,3.0,16.5,0.0,146.0,4.9,1018.9
2021-01-10,11.3,5.3,20.0,9.1,239.0,7.3,1016.3
2021-01-11,10.5,4.5,21.5,0.0,113.0,6.8,1019.4
2021-01-12,6.0,2.5,19.5,0.0,352.0,6.6,1020.3
2021-01-13,6.6,2.5,16.5,0.0,353.0,3.2,1022.9
2021-01-14,12.2,6.0,22.0,0.0,266.0,4.4,1017.7
2021-01-15,10.4,6.0,20.0,0.0,345.0,1.0,1018.2
2021-01-16,9.1,-1.0,20.0,0.0,352.0,3.3,1018.8
2021-01-17,12.2,4.0,24.6,0.0,311.0,4.1,1016.1
2021-01-18,10.9,3.0,23.0,0.0,155.0,3.3,1017.8
2021-01-19,12.4,2.0,24.0,0.0,82.0,4.3,1017.8
2021-01-20,14.7,6.5,23.4,0.0,100.0,9.3,1023.3
2021-01-21,15.3,8.0,27.0,0.0,203.0,6.8,1018.2
2021-01-22,18.0,9.0,27.5,0.0,246.0,5.3,1015.2
2021-01-23,16.7,7.0,27.7,0.0,226.0,2.5,1014.4
2021-01-24,16.4,6.0,26.0,0.0,222.0,5.5,1013.2
2021-01-25,18.8,10.5,27.5,0.0,234.0,12.5,1012.6
2021-01-26,18.8,10.7,27.5,0.0,231.0,11.9,1011.3
2021-01-27,18.9,8.5,27.2,0.0,104.0,13.4,1017.7
2021-01-28,11.4,5.5,26.3,0.0,95.0,11.3,1026.4
2021-01-29,11.7,5.1,20.0,0.0,57.0,6.3,1022.4
2021-01-30,14.2,6.0,27.7,0.0,240.0,4.1,1014.6
2021-01-31,16.8,1.0,28.0,0.0,116.0,14.2,1018.9
