time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.4,18.5,35.4,,75.0,7.1,1007.0
2021-01-02,25.2,18.8,36.1,6.9,137.0,7.3,1007.2
2021-01-03,22.3,14.2,30.9,0.0,33.0,3.6,1009.3
2021-01-04,22.9,16.7,31.6,29.1,35.0,7.6,1008.8
2021-01-05,18.8,16.2,31.5,22.1,211.0,13.3,1014.8
2021-01-06,20.6,15.6,27.0,0.0,289.0,8.0,1013.8
2021-01-07,23.8,14.6,33.1,0.1,15.0,4.8,1008.5
2021-01-08,24.3,18.3,33.7,0.7,156.0,10.2,1010.4
2021-01-09,24.1,15.7,31.1,1.0,13.0,2.5,1006.5
2021-01-10,27.1,19.6,35.2,0.1,13.0,4.3,1001.1
2021-01-11,25.7,18.9,35.5,0.0,170.0,12.0,1005.2
2021-01-12,21.3,15.1,29.8,0.0,295.0,5.9,1013.7
2021-01-13,24.1,16.7,32.2,0.0,21.0,6.1,1010.9
2021-01-14,26.5,19.1,35.4,0.0,39.0,6.7,1005.7
2021-01-15,26.6,19.6,35.5,1.4,137.0,4.3,1003.0
2021-01-16,21.8,14.9,33.5,4.1,120.0,7.0,1009.9
2021-01-17,21.7,13.1,30.3,0.0,2.0,4.2,1013.6
2021-01-18,24.7,14.3,34.4,0.0,22.0,4.9,1010.2
2021-01-19,26.6,16.7,35.2,0.0,24.0,4.1,1010.3
2021-01-20,25.4,18.5,35.8,0.0,29.0,9.4,1010.4
2021-01-21,27.6,17.2,36.5,0.0,28.0,11.2,1011.1
2021-01-22,27.8,18.4,38.1,0.0,20.0,8.3,1009.4
2021-01-23,29.2,19.8,38.1,0.0,16.0,7.5,1005.6
2021-01-24,28.8,21.3,38.7,0.0,22.0,3.3,1003.0
2021-01-25,29.9,23.4,39.6,3.5,347.0,6.0,1000.8
2021-01-26,26.7,20.5,38.1,1.0,91.0,3.2,1003.7
2021-01-27,26.6,21.0,33.0,0.0,35.0,5.4,1005.3
2021-01-28,25.4,19.3,33.5,0.6,153.0,11.1,1003.4
2021-01-29,24.9,17.1,32.7,1.7,152.0,8.4,1001.2
2021-01-30,19.9,15.1,33.2,0.3,176.0,11.8,1009.6
2021-01-31,17.5,14.0,22.3,3.0,180.0,13.5,1012.8
2021-02-01,15.4,11.1,22.7,0.0,154.0,8.3,1014.6
2021-02-02,18.7,13.0,24.5,0.0,176.0,4.4,1013.7
2021-02-03,21.7,13.9,29.0,0.0,0.0,3.5,1015.5
2021-02-04,24.0,15.4,33.0,0.0,340.0,5.4,1015.9
2021-02-05,25.3,15.9,34.3,0.0,25.0,2.0,1010.8
2021-02-06,26.7,17.3,35.2,0.0,30.0,5.6,1007.5
2021-02-07,26.6,19.7,36.3,1.1,128.0,6.7,1008.2
2021-02-08,16.3,14.0,18.5,16.0,177.0,5.6,1017.6
2021-02-09,16.7,12.6,21.7,13.0,47.0,3.7,1019.5
2021-02-10,16.7,14.4,22.2,0.0,77.0,4.9,1015.6
2021-02-11,22.7,16.6,28.7,0.0,50.0,6.5,1011.4
2021-02-12,21.3,17.4,24.7,6.4,174.0,6.5,1011.7
2021-02-13,26.2,15.3,31.5,3.0,315.0,4.8,1008.0
2021-02-14,25.1,17.9,33.4,0.0,193.0,5.4,1005.5
2021-02-15,21.6,15.8,34.0,7.1,61.0,8.3,1012.2
2021-02-16,19.9,14.5,28.3,8.9,20.0,6.0,1011.9
2021-02-17,23.7,17.3,31.2,0.0,4.0,3.8,1007.6
2021-02-18,24.1,17.9,31.5,0.0,84.0,5.1,1007.1
2021-02-19,18.9,16.6,31.0,2.4,130.0,10.3,1014.5
