time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,4.0,1.5,6.1,,230.0,13.7,1013.0
2021-01-02,4.8,1.2,9.5,0.0,105.0,9.3,1019.8
2021-01-03,4.9,2.2,8.2,0.4,109.0,7.8,1017.2
2021-01-04,6.1,4.1,8.5,9.9,30.0,6.2,1014.4
2021-01-05,6.0,4.7,7.2,16.1,218.0,12.8,1009.3
2021-01-06,4.5,1.0,7.0,4.8,125.0,9.2,1015.0
2021-01-07,3.9,1.2,5.2,3.8,212.0,15.8,1013.7
2021-01-08,-0.1,-2.0,2.4,0.0,46.0,6.0,1016.3
2021-01-09,-2.3,-3.5,-0.7,0.0,215.0,5.0,1021.2
2021-01-10,-1.8,-2.5,-0.9,0.0,56.0,3.9,1024.2
2021-01-11,-0.1,-2.7,3.7,0.6,76.0,4.8,1020.9
2021-01-12,0.9,0.1,2.0,1.1,223.0,7.4,1016.8
2021-01-13,-0.7,-3.0,0.3,5.2,233.0,11.9,1010.2
2021-01-14,-0.7,-3.0,0.1,2.4,245.0,17.3,1008.0
2021-01-15,-2.6,-8.7,-1.2,0.4,304.0,11.3,1015.6
2021-01-16,-8.1,-12.2,-4.5,0.3,241.0,9.0,1019.3
2021-01-17,-5.3,-8.0,-3.0,0.3,78.0,4.4,1018.6
2021-01-18,-6.5,-8.7,-5.2,0.0,289.0,7.5,1023.2
2021-01-19,-5.1,-7.0,-3.4,1.9,111.0,7.1,1023.8
2021-01-20,-0.7,-3.7,1.8,7.2,107.0,7.7,1019.6
2021-01-21,4.0,1.4,6.9,0.2,122.0,10.5,1017.6
2021-01-22,5.6,4.0,8.1,0.4,128.0,11.0,1011.8
2021-01-23,7.4,4.0,10.5,0.1,110.0,10.1,1004.8
2021-01-24,6.6,3.1,9.6,8.2,148.0,9.6,1000.0
2021-01-25,3.4,0.5,6.7,9.4,198.0,18.6,997.3
2021-01-26,1.1,-0.4,3.7,0.2,289.0,8.9,1009.5
2021-01-27,-0.8,-4.0,2.4,0.0,303.0,8.4,1013.2
2021-01-28,-0.1,-1.7,2.0,0.5,271.0,12.5,1011.1
2021-01-29,-0.2,-1.0,1.0,10.2,128.0,8.1,1003.2
2021-01-30,4.1,0.5,8.0,4.7,237.0,14.0,998.0
2021-01-31,0.6,-1.0,2.5,0.2,333.0,7.5,1004.5
2021-02-01,0.6,-0.7,2.0,4.9,333.0,5.4,1003.4
2021-02-02,2.0,0.2,3.6,0.0,235.0,4.5,1012.3
2021-02-03,4.5,2.5,6.7,3.6,110.0,5.4,1013.6
2021-02-04,9.5,7.2,12.7,4.8,233.0,20.7,1010.4
2021-02-05,5.4,1.6,7.7,2.1,119.0,5.1,1018.4
2021-02-06,4.9,3.5,5.5,4.7,18.0,8.1,1014.4
2021-02-07,4.7,2.2,8.5,1.2,346.0,5.3,1007.7
2021-02-08,6.5,3.2,8.2,15.1,174.0,7.5,997.1
2021-02-09,4.8,2.1,7.5,6.9,151.0,15.7,1002.7
2021-02-10,5.0,2.6,8.0,4.1,160.0,9.6,1004.8
2021-02-11,-0.5,-7.0,8.0,13.6,312.0,21.7,1006.9
2021-02-12,-8.5,-10.0,-7.0,0.0,319.0,24.4,1024.3
2021-02-13,-6.9,-11.0,-4.2,0.0,297.0,16.5,1031.4
2021-02-14,-2.8,-5.5,0.2,0.2,280.0,9.5,1034.0
2021-02-15,-1.9,-3.9,1.1,0.0,314.0,13.7,1034.1
2021-02-16,-2.2,-7.0,1.7,0.0,183.0,5.7,1029.7
2021-02-17,-0.7,-1.5,1.2,4.4,118.0,7.1,1020.9
2021-02-18,-2.1,-8.4,1.0,2.7,239.0,4.4,1021.9
2021-02-19,-2.7,-12.7,3.0,1.5,112.0,9.0,1025.5
2021-02-20,2.2,-1.7,7.0,4.3,138.0,4.6,1026.4
2021-02-21,1.6,-2.7,7.7,0.0,117.0,5.7,1031.5
2021-02-22,2.7,-2.5,10.6,0.0,84.0,4.2,1031.2
2021-02-23,3.8,-1.7,12.0,0.0,25.0,3.8,1033.6
2021-02-24,4.7,-0.5,13.0,0.0,137.0,5.1,1037.1
2021-02-25,6.8,-0.5,16.2,0.0,87.0,4.7,1035.0
2021-02-26,7.7,0.2,17.0,0.0,118.0,4.7,1028.0
2021-02-27,6.5,3.7,9.5,0.2,331.0,15.2,1026.0
2021-02-28,5.5,2.6,9.5,0.0,305.0,13.7,1032.4
2021-03-01,5.4,0.2,10.5,0.6,323.0,12.2,1031.5
2021-03-02,2.9,-2.5,10.6,0.0,231.0,7.4,1035.0
2021-03-03,5.2,-2.2,14.0,0.0,177.0,4.7,1031.5
