time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-3.3,-7.7,-1.0,0.0,96.0,7.2,1023.3
2021-01-02,-1.2,-1.6,0.0,0.0,214.0,8.3,1016.4
2021-01-03,-0.6,-1.0,0.6,0.0,150.0,9.7,1013.8
2021-01-04,1.0,-0.5,2.2,0.0,149.0,12.2,1012.1
2021-01-05,0.6,-0.5,3.9,0.3,325.0,4.7,1015.6
2021-01-06,1.9,-3.8,3.9,0.0,21.0,5.8,1027.2
2021-01-07,-3.7,-8.8,1.1,0.0,0.0,4.3,1030.9
2021-01-08,-7.1,-13.8,-1.6,0.0,349.0,5.8,1027.7
2021-01-09,-4.3,-8.8,1.7,0.0,347.0,2.9,1025.1
2021-01-10,0.3,-0.5,1.7,1.0,268.0,6.5,1023.8
2021-01-11,-0.7,-2.1,0.0,0.0,223.0,11.9,1017.4
2021-01-12,-0.6,-1.0,1.1,0.0,202.0,5.8,1014.0
2021-01-13,0.7,0.0,1.7,0.3,231.0,9.7,1005.6
2021-01-14,0.9,0.0,2.2,0.0,101.0,9.7,1006.3
2021-01-15,2.6,1.1,3.3,0.5,90.0,15.8,1004.9
2021-01-16,1.4,-1.6,2.2,3.3,30.0,9.4,1000.7
2021-01-17,-2.9,-5.5,-1.0,0.0,4.0,7.2,1004.3
2021-01-18,-5.7,-8.2,-3.8,0.3,82.0,6.1,1008.8
2021-01-19,-4.8,-11.6,-2.1,9.7,310.0,16.9,1013.7
2021-01-20,-9.2,-14.3,-3.8,2.0,133.0,10.4,1011.9
2021-01-21,-0.7,-4.3,2.2,2.8,277.0,19.8,995.0
2021-01-22,-8.4,-13.8,-4.3,0.5,343.0,16.6,1012.8
2021-01-23,-12.8,-15.5,-9.9,0.5,75.0,7.6,1025.8
2021-01-24,-6.6,-9.9,-2.1,3.0,120.0,10.4,1020.8
2021-01-25,-4.0,-8.2,-2.1,0.0,285.0,12.2,1019.1
2021-01-26,-9.0,-14.9,-5.5,0.0,18.0,7.6,1018.8
2021-01-27,-11.8,-17.1,-8.8,0.0,3.0,11.2,1027.8
2021-01-28,-11.4,-14.9,-5.5,0.8,346.0,12.6,1033.0
2021-01-29,-7.6,-12.7,-4.3,0.0,339.0,8.3,1029.8
2021-01-30,-9.2,-14.9,-3.8,0.0,94.0,5.8,1027.6
2021-01-31,-8.2,-12.1,-3.8,0.0,77.0,7.2,1024.9
2021-02-01,-8.7,-14.3,-2.1,0.0,13.0,5.4,1024.5
2021-02-02,-6.4,-9.9,-2.7,0.0,345.0,8.3,1022.8
2021-02-03,-6.2,-14.3,1.7,0.0,336.0,4.7,1018.3
2021-02-04,-1.9,-5.5,3.3,5.6,111.0,15.8,1005.2
2021-02-05,-2.1,-11.6,0.6,14.7,237.0,19.8,989.4
2021-02-06,-11.2,-14.3,-7.7,0.0,243.0,21.2,1006.0
2021-02-07,-14.6,-20.5,-9.3,0.0,245.0,19.4,1015.1
2021-02-08,-14.6,-19.3,-10.5,0.0,236.0,15.8,1023.2
2021-02-09,-17.1,-24.3,-10.5,0.0,249.0,9.4,1024.5
2021-02-10,-16.1,-22.7,-7.7,0.0,333.0,7.6,1026.3
2021-02-11,-13.7,-18.8,-8.2,0.0,63.0,5.8,1031.7
2021-02-12,-13.8,-16.6,-11.0,0.8,105.0,13.0,1031.9
2021-02-13,-14.8,-17.1,-12.1,0.8,98.0,12.6,1029.7
2021-02-14,-12.5,-16.0,-7.7,1.5,317.0,12.6,1026.9
2021-02-15,-14.9,-18.8,-12.7,0.3,328.0,10.8,1029.0
2021-02-16,-13.4,-15.5,-8.8,0.5,349.0,11.2,1020.0
2021-02-17,-8.2,-13.8,-3.2,0.3,272.0,11.9,1026.8
2021-02-18,-11.2,-17.1,-3.8,0.0,22.0,2.9,1030.4
2021-02-19,-6.8,-12.1,-1.6,0.0,329.0,5.0,1023.1
2021-02-20,-7.4,-12.7,-1.0,0.5,299.0,5.8,1024.1
2021-02-21,-4.5,-7.1,0.6,1.8,146.0,13.3,1023.4
2021-02-22,-1.5,-2.7,1.7,6.6,190.0,13.7,1001.0
2021-02-23,1.8,-2.7,3.9,3.3,277.0,17.6,999.4
2021-02-24,-0.8,-7.7,1.7,7.9,354.0,14.4,1010.2
2021-02-25,-9.1,-14.3,-5.5,2.0,64.0,5.4,1023.2
2021-02-26,-4.5,-10.5,3.3,0.0,140.0,14.0,1019.4
2021-02-27,1.9,-1.6,7.8,3.0,75.0,7.6,1012.7
2021-02-28,-0.1,-2.7,3.3,2.3,105.0,19.4,1008.4
2021-03-01,-6.4,-12.1,-2.7,4.6,320.0,23.0,1016.9
2021-03-02,-6.7,-11.0,2.8,0.0,205.0,19.4,1016.2
2021-03-03,-0.2,-5.5,2.2,0.0,308.0,14.0,1013.0
2021-03-04,-6.8,-11.6,-4.9,0.0,328.0,13.0,1026.9
2021-03-05,-4.7,-9.3,-1.0,0.0,314.0,20.9,1024.3
2021-03-06,-6.8,-12.1,-4.3,0.0,319.0,14.8,1026.4
2021-03-07,-9.8,-16.6,-1.6,0.0,91.0,8.3,1030.0
2021-03-08,-0.4,-4.9,6.7,0.0,343.0,9.4,1021.6
2021-03-09,2.1,-3.8,8.3,0.0,110.0,11.2,1025.2
2021-03-10,3.9,2.8,5.6,10.4,100.0,10.4,1012.2
2021-03-11,5.1,-0.5,10.0,7.4,241.0,25.9,1005.5
2021-03-12,-1.9,-6.0,1.7,0.3,293.0,24.8,1025.2
2021-03-13,-2.3,-9.3,7.2,0.0,250.0,15.1,1024.5
2021-03-14,-1.1,-6.0,2.2,0.0,,15.5,
2021-03-15,-5.4,-9.9,-1.6,0.0,92.0,11.2,1032.2
2021-03-16,-2.1,-4.9,2.2,0.0,90.0,6.8,1019.4
2021-03-17,-0.6,-5.5,3.9,0.0,315.0,5.0,1017.8
2021-03-18,2.1,-1.6,6.1,0.0,359.0,11.9,1024.4
2021-03-19,1.2,-5.5,9.4,0.0,288.0,8.3,1032.5
2021-03-20,3.6,-3.8,10.6,0.0,190.0,10.4,1030.6
2021-03-21,5.5,-1.6,15.0,0.0,121.0,13.7,1025.1
2021-03-22,6.8,2.8,12.2,0.5,155.0,8.3,1017.2
2021-03-23,7.1,3.3,15.0,1.0,72.0,6.8,1017.3
2021-03-24,8.3,6.7,10.0,13.0,99.0,12.6,1006.2
2021-03-25,2.7,-1.6,7.8,1.3,291.0,17.6,1011.4
2021-03-26,-0.6,-2.1,1.1,0.0,328.0,12.2,1014.3
2021-03-27,0.1,-1.0,3.3,0.3,133.0,7.9,1017.8
2021-03-28,0.9,-0.5,2.2,6.4,345.0,19.8,1006.0
2021-03-29,-0.2,-4.9,2.8,0.0,110.0,13.7,1016.3
2021-03-30,6.8,1.1,15.6,0.0,165.0,19.4,1003.9
2021-03-31,0.0,-5.5,1.7,0.3,303.0,21.6,1016.3
2021-04-01,-4.7,-8.8,-1.0,0.0,329.0,16.2,1030.0
2021-04-02,-0.8,-8.2,7.8,0.0,278.0,5.8,1030.3
2021-04-03,4.9,-0.5,13.9,0.0,163.0,9.7,1019.0
2021-04-04,7.5,-1.0,16.7,0.0,17.0,7.2,1021.4
2021-04-05,8.7,5.6,12.8,0.0,107.0,17.6,1017.3
2021-04-06,8.6,5.6,13.9,5.6,111.0,13.3,1012.6
2021-04-07,9.3,5.6,15.6,7.9,92.0,12.2,1013.3
2021-04-08,13.8,8.9,20.6,8.1,105.0,18.0,1008.3
2021-04-09,13.3,9.4,15.0,4.8,110.0,13.3,1005.2
2021-04-10,12.6,9.4,17.2,0.3,134.0,9.4,1004.8
2021-04-11,13.9,8.9,16.7,2.8,77.0,12.6,998.0
2021-04-12,12.0,8.3,15.6,1.8,85.0,13.3,1005.5
2021-04-13,8.9,5.6,11.7,0.3,195.0,12.2,1013.8
2021-04-14,4.9,1.7,5.6,4.8,307.0,7.2,1015.8
2021-04-15,3.4,2.2,7.2,0.0,306.0,14.8,1012.2
2021-04-16,4.1,1.1,7.8,0.0,315.0,16.9,1013.5
2021-04-17,4.4,0.0,11.7,0.0,319.0,13.0,1013.6
2021-04-18,6.2,1.1,13.9,0.0,298.0,11.9,1011.0
