time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.7,24.2,30.2,11.6,353.0,8.0,1006.8
2021-01-02,26.6,24.5,32.4,11.8,25.0,8.7,1005.8
2021-01-03,25.5,24.1,28.9,30.6,11.0,7.8,1005.5
2021-01-04,25.2,23.6,28.1,35.2,356.0,8.1,1004.5
2021-01-05,26.8,24.0,31.0,7.0,355.0,9.1,1005.5
2021-01-06,27.7,24.9,32.7,0.0,1.0,8.5,1005.7
2021-01-07,28.4,24.7,33.0,2.0,332.0,7.7,1005.5
2021-01-08,28.9,25.6,34.1,0.2,329.0,6.5,1006.1
2021-01-09,26.5,25.2,32.9,0.8,17.0,5.4,1006.0
2021-01-10,27.2,24.2,32.8,66.8,355.0,6.4,1006.5
2021-01-11,27.2,24.3,32.3,3.8,334.0,7.2,1006.5
2021-01-12,27.5,25.6,32.9,5.0,345.0,6.2,1006.2
2021-01-13,26.7,25.6,32.1,3.8,359.0,5.3,1006.5
2021-01-14,26.9,24.8,30.3,25.2,1.0,6.5,1005.5
2021-01-15,27.2,24.9,33.3,2.8,74.0,8.4,1004.0
2021-01-16,27.3,24.8,31.7,2.0,38.0,7.8,1004.4
2021-01-17,28.3,25.3,34.4,0.0,23.0,6.8,1005.6
2021-01-18,27.9,25.1,33.6,0.6,29.0,5.9,1006.8
2021-01-19,26.8,25.0,33.2,1.2,83.0,6.1,1008.0
2021-01-20,26.2,23.3,32.8,37.6,70.0,7.1,1008.6
2021-01-21,26.3,24.2,32.3,10.2,73.0,5.5,1008.0
2021-01-22,26.7,24.2,34.1,5.4,47.0,7.7,1007.1
2021-01-23,25.6,23.7,32.3,56.0,67.0,7.7,1007.1
2021-01-24,25.5,24.2,30.2,72.4,70.0,10.0,1006.8
2021-01-25,25.9,24.1,29.2,19.2,24.0,9.7,1005.5
2021-01-26,25.7,25.1,27.7,11.0,353.0,8.2,1003.7
2021-01-27,25.8,23.8,29.5,27.4,352.0,9.0,1003.1
2021-01-28,26.5,24.9,30.0,23.3,311.0,11.5,1002.4
2021-01-29,26.6,24.6,29.2,136.6,257.0,10.3,1002.6
2021-01-30,26.4,24.3,31.2,8.6,303.0,5.3,1004.8
2021-01-31,27.4,24.0,32.9,19.4,1.0,8.0,1005.5
2021-02-01,27.5,24.6,33.9,5.2,33.0,10.0,1005.8
2021-02-02,27.5,24.4,33.8,17.2,48.0,8.4,1005.5
2021-02-03,26.2,24.8,28.0,1.2,6.0,8.7,1005.1
2021-02-04,26.6,24.4,31.7,1.2,12.0,9.1,1005.1
2021-02-05,26.7,25.0,30.6,34.4,358.0,8.3,1004.7
2021-02-06,27.0,25.1,32.0,8.2,3.0,11.4,1003.6
2021-02-07,27.0,25.0,31.0,3.8,348.0,10.0,1004.0
2021-02-08,27.8,24.9,33.1,9.4,349.0,8.5,1005.4
2021-02-09,28.2,24.6,32.6,0.6,340.0,7.4,1006.6
2021-02-10,27.4,24.9,30.8,0.0,336.0,5.8,1007.2
2021-02-11,27.2,24.8,31.4,15.4,312.0,6.6,1007.1
2021-02-12,26.8,24.6,31.5,6.4,2.0,8.1,1007.3
2021-02-13,27.3,24.9,30.9,21.6,9.0,6.8,1007.6
2021-02-14,27.4,24.6,32.4,2.2,13.0,6.7,1007.4
2021-02-15,26.8,25.3,30.4,4.2,342.0,6.3,1007.0
2021-02-16,26.8,23.9,31.6,6.0,244.0,6.7,1006.5
2021-02-17,25.9,24.7,28.6,1.6,29.0,8.0,1006.3
