time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,30.4,25.0,34.7,,,,
2021-01-02,30.2,24.0,35.1,0.1,221.0,6.7,1010.2
2021-01-03,29.7,25.9,34.2,0.3,214.0,5.5,1010.4
2021-01-04,27.6,23.7,35.1,6.2,230.0,4.0,1009.9
2021-01-05,28.4,22.2,35.0,1.0,229.0,6.0,1009.5
2021-01-06,27.6,23.0,33.8,0.0,216.0,6.9,1010.5
2021-01-07,26.7,22.6,31.0,0.4,232.0,6.2,1010.9
2021-01-08,28.0,23.6,34.0,0.0,192.0,6.3,1010.9
2021-01-09,29.3,24.8,35.5,0.0,247.0,5.1,1010.2
2021-01-10,28.8,24.7,34.3,0.1,212.0,5.8,1009.4
2021-01-11,29.2,25.1,35.1,0.8,218.0,5.6,1009.4
2021-01-12,27.0,21.5,34.0,6.1,240.0,6.1,1010.9
2021-01-13,27.2,23.7,32.7,2.0,239.0,6.0,1011.6
2021-01-14,27.6,23.4,34.5,0.0,205.0,4.3,1010.8
2021-01-15,27.3,23.0,33.5,0.0,231.0,4.7,1009.6
2021-01-16,26.9,23.3,34.4,0.0,253.0,4.3,1009.1
2021-01-17,30.4,23.4,33.4,0.0,200.0,5.3,1009.4
2021-01-18,28.7,23.9,32.8,3.0,190.0,5.2,1010.3
2021-01-19,26.9,22.0,34.0,1.0,201.0,4.3,1011.0
2021-01-20,27.0,21.4,32.2,35.1,237.0,4.3,1010.5
2021-01-21,29.3,24.0,32.5,0.0,189.0,3.9,1010.6
2021-01-22,26.7,24.3,32.2,0.5,282.0,4.6,1011.0
2021-01-23,26.7,21.3,32.1,0.0,286.0,4.5,1010.7
2021-01-24,26.4,20.1,33.0,0.0,213.0,4.3,1010.1
2021-01-25,27.9,21.9,34.0,0.0,214.0,5.0,1010.3
2021-01-26,27.3,23.3,33.7,0.0,200.0,5.8,1010.5
2021-01-27,28.6,24.2,34.0,0.0,240.0,4.7,1010.1
2021-01-28,29.2,25.8,34.0,0.1,216.0,5.4,1010.1
2021-01-29,28.7,24.0,34.5,0.8,203.0,5.3,1010.9
2021-01-30,28.4,22.4,34.0,1.0,207.0,5.7,1010.9
2021-01-31,30.4,25.7,35.0,0.0,255.0,6.1,1010.0
2021-02-01,30.7,23.9,34.2,0.0,209.0,6.0,1010.4
2021-02-02,29.9,26.3,34.0,0.6,206.0,5.7,1010.8
2021-02-03,29.5,26.5,34.5,3.1,226.0,5.5,1011.1
2021-02-04,30.7,26.5,36.0,0.1,217.0,5.7,1010.2
2021-02-05,27.9,26.8,35.2,2.7,218.0,6.7,1011.1
2021-02-06,28.9,24.0,34.7,0.5,211.0,6.6,1011.0
2021-02-07,30.9,24.0,35.3,0.5,210.0,6.8,1009.6
2021-02-08,30.3,26.7,37.5,1.7,242.0,6.9,1009.3
2021-02-09,31.1,24.9,36.4,0.1,237.0,6.0,1009.5
2021-02-10,28.6,24.6,35.2,0.0,196.0,7.5,1009.8
2021-02-11,28.4,24.2,35.3,0.3,214.0,8.0,1009.9
2021-02-12,28.9,24.5,36.5,0.0,206.0,8.1,1009.1
2021-02-13,28.3,24.4,34.4,0.4,204.0,8.1,1008.7
2021-02-14,29.6,24.5,36.5,7.2,225.0,7.8,1008.6
2021-02-15,29.2,24.0,35.0,5.3,211.0,6.2,1009.0
2021-02-16,26.9,23.1,34.0,7.1,194.0,5.2,1009.1
2021-02-17,27.0,22.5,33.6,4.1,202.0,4.7,1010.0
2021-02-18,26.1,22.5,31.6,2.0,251.0,4.9,1011.4
2021-02-19,27.4,22.8,33.4,0.1,246.0,4.7,1011.8
2021-02-20,27.8,23.8,33.8,0.0,282.0,4.8,1012.3
