time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-33.5,-36.6,,0.8,,,
2021-01-02,-26.0,-26.8,-25.0,1.5,,,
2021-01-03,-26.1,-26.7,-28.7,1.3,358.0,21.9,1017.0
2021-01-04,-25.3,-28.7,-23.7,0.5,359.0,18.3,1022.7
2021-01-05,-26.3,-27.2,-24.6,0.3,3.0,13.5,1024.5
2021-01-06,-28.2,-33.9,-26.2,0.5,107.0,2.7,1021.4
2021-01-07,-38.3,-44.1,-27.2,0.0,251.0,2.2,1014.0
2021-01-08,-44.0,-45.9,-38.0,0.0,344.0,2.2,1008.9
2021-01-09,-38.1,-39.4,-37.7,0.5,49.0,2.3,1011.4
2021-01-10,-38.3,-43.8,-33.3,0.0,48.0,1.8,1018.1
2021-01-11,-37.9,-44.3,-35.9,0.5,133.0,2.1,1018.5
2021-01-12,-35.8,-41.3,-30.8,0.3,194.0,1.5,1019.2
2021-01-13,-41.1,-47.5,-34.5,0.0,23.0,1.5,1021.5
2021-01-14,-42.9,-47.8,-39.0,0.8,11.0,1.5,1021.8
2021-01-15,-47.1,-49.9,-41.9,0.0,300.0,1.2,1021.6
2021-01-16,-50.7,-52.7,-45.1,0.0,6.0,1.5,1025.3
2021-01-17,-47.6,-52.8,-43.7,0.0,46.0,2.3,1030.2
2021-01-18,-40.6,-46.2,-37.4,0.0,58.0,9.1,1028.3
2021-01-19,-42.3,-48.6,-35.9,0.0,19.0,13.2,1025.3
2021-01-20,-47.9,-50.4,-38.3,0.0,38.0,1.9,1024.3
2021-01-21,-47.9,-50.2,-43.7,0.0,31.0,1.5,1022.6
2021-01-22,-45.1,-50.4,-43.1,0.0,54.0,1.4,1021.6
2021-01-23,-37.3,-45.7,-37.0,2.8,109.0,1.3,1024.2
2021-01-24,-37.3,-41.6,-35.1,1.3,306.0,2.3,1028.4
2021-01-25,-43.1,-47.0,-35.8,0.0,2.0,5.7,1036.5
