time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.3,24.4,30.0,3.3,51.0,7.8,1009.4
2021-01-02,26.1,24.9,29.0,0.0,354.0,4.0,1009.4
2021-01-03,23.3,23.0,25.0,37.8,354.0,6.8,1009.4
2021-01-04,26.2,22.8,29.0,9.9,28.0,3.5,1009.4
2021-01-05,27.5,23.0,33.0,0.0,345.0,7.8,1008.5
2021-01-06,25.9,24.6,29.0,1.5,331.0,6.4,1008.2
2021-01-07,27.2,24.2,29.6,0.0,40.0,5.9,1007.7
2021-01-08,27.9,25.5,33.0,0.5,60.0,12.1,1007.2
2021-01-09,27.0,24.0,30.0,2.3,61.0,10.1,1008.3
2021-01-10,27.6,25.0,31.1,0.3,58.0,7.8,1008.7
2021-01-11,27.8,23.7,31.6,0.0,45.0,5.1,1009.2
2021-01-12,27.8,24.3,32.0,,45.0,9.0,1009.6
2021-01-13,27.2,24.5,31.0,,68.0,8.9,1009.8
2021-01-14,27.3,23.8,31.0,1.0,68.0,6.4,1009.9
2021-01-15,27.4,24.0,31.7,0.0,103.0,6.1,1008.5
2021-01-16,28.9,23.7,33.0,7.1,130.0,3.7,1008.1
2021-01-17,28.5,23.9,33.5,0.0,36.0,8.1,1009.0
2021-01-18,27.4,25.7,32.0,0.0,55.0,17.0,1009.9
2021-01-19,26.5,22.5,32.1,,53.0,9.8,1009.8
2021-01-20,27.3,23.2,32.0,,2.0,5.0,1010.2
2021-01-21,27.7,24.1,31.0,0.0,15.0,4.6,1009.8
2021-01-22,27.1,24.5,32.0,0.0,344.0,4.0,1009.5
2021-01-23,27.1,24.6,30.0,,35.0,6.0,1009.6
2021-01-24,27.6,24.7,32.0,,33.0,4.5,1009.5
2021-01-25,27.1,25.0,32.0,,18.0,5.6,1009.4
2021-01-26,27.2,25.0,32.0,,275.0,4.2,1008.8
2021-01-27,26.9,23.4,33.5,,,6.4,1008.9
2021-01-28,26.1,24.0,32.0,,2.0,8.0,1010.1
2021-01-29,27.6,22.6,32.0,,14.0,5.6,1010.6
2021-01-30,27.9,23.5,32.0,,58.0,8.1,1010.5
2021-01-31,27.1,23.0,33.2,0.0,41.0,8.4,1011.0
2021-02-01,28.3,23.4,34.0,57.9,55.0,11.3,1011.1
2021-02-02,28.6,24.4,34.0,0.0,48.0,11.4,1011.3
2021-02-03,27.8,25.0,33.0,,8.0,6.7,1010.8
2021-02-04,27.9,25.0,34.0,,63.0,9.9,1011.0
2021-02-05,28.4,22.6,33.8,,,5.4,1010.7
2021-02-06,28.7,22.8,34.9,0.0,95.0,7.1,1009.5
2021-02-07,28.8,24.3,34.0,0.5,21.0,8.9,1009.3
2021-02-08,27.4,24.0,33.7,0.0,19.0,5.5,1009.4
2021-02-09,28.8,24.5,33.8,3.0,340.0,5.9,1008.8
2021-02-10,29.4,25.0,32.2,0.0,3.0,4.7,1008.4
2021-02-11,27.7,23.0,32.0,,311.0,5.3,1009.1
2021-02-12,28.1,23.0,32.0,,351.0,5.4,1010.0
2021-02-13,27.8,24.0,33.0,,,4.4,1010.6
2021-02-14,29.6,25.0,33.0,0.0,105.0,4.7,1011.1
2021-02-15,29.8,25.6,32.0,,117.0,6.3,1009.9
2021-02-16,29.1,25.5,32.0,,132.0,6.5,1009.5
2021-02-17,27.7,23.6,33.1,,83.0,6.5,1010.1
2021-02-18,28.5,24.0,34.0,,48.0,11.8,1011.1
2021-02-19,29.5,23.5,32.1,0.0,64.0,11.3,1011.2
2021-02-20,27.9,25.0,33.0,,65.0,12.1,1010.7
2021-02-21,26.2,24.0,34.0,,88.0,9.8,1010.3
2021-02-22,29.1,24.4,34.0,,50.0,6.1,1010.1
2021-02-23,29.2,22.6,34.1,,339.0,6.2,1009.1
2021-02-24,29.4,24.8,35.6,,329.0,6.1,1008.8
2021-02-25,28.9,25.0,34.0,,320.0,8.2,1008.1
2021-02-26,29.2,23.0,36.0,0.0,318.0,11.3,1007.7
2021-02-27,29.3,23.5,35.0,,314.0,8.2,1007.6
2021-02-28,28.6,23.0,33.5,,329.0,7.2,1008.7
2021-03-01,29.0,24.2,33.5,,347.0,4.7,1010.5
2021-03-02,27.4,24.5,34.0,,3.0,5.8,1010.1
2021-03-03,27.8,24.0,35.0,,,5.7,1010.7
2021-03-04,29.4,24.3,36.0,,,5.9,1010.5
2021-03-05,29.7,24.7,36.0,0.0,,5.9,1009.9
2021-03-06,27.8,24.0,35.2,2.5,23.0,7.9,1010.5
2021-03-07,25.8,23.7,27.0,28.7,31.0,3.8,1012.0
2021-03-08,28.8,23.4,33.2,7.1,,4.2,1011.1
2021-03-09,29.4,24.0,34.0,0.0,25.0,8.0,1010.7
2021-03-10,30.1,24.7,33.5,,33.0,6.7,1010.6
2021-03-11,27.9,24.0,33.0,,5.0,8.4,1010.6
2021-03-12,26.8,24.2,31.0,,10.0,6.3,1011.6
2021-03-13,26.6,24.0,32.0,,344.0,5.1,1011.2
2021-03-14,28.1,23.9,33.1,41.9,71.0,3.2,1009.4
2021-03-15,28.7,25.0,34.0,,353.0,5.6,1008.7
2021-03-16,26.3,23.7,31.0,,91.0,5.6,1008.7
2021-03-17,27.1,24.0,30.1,,122.0,7.6,1008.7
