time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.0,,32.6,,,,
2021-01-02,27.2,24.5,31.0,,,,
2021-01-03,27.8,24.8,32.0,11.0,91.0,6.5,1007.8
2021-01-04,27.1,24.5,29.0,22.5,95.0,4.0,1007.7
2021-01-05,28.5,25.3,32.4,7.1,93.0,4.7,1007.2
2021-01-06,26.2,23.5,30.0,5.7,93.0,5.0,1007.3
2021-01-07,27.8,23.2,32.8,4.4,339.0,4.7,1006.7
2021-01-08,27.1,23.5,31.6,8.5,358.0,4.3,1007.3
2021-01-09,27.3,24.0,30.5,9.9,3.0,4.1,1007.3
2021-01-10,27.4,24.0,32.7,7.6,71.0,6.3,1007.6
2021-01-11,28.2,24.5,32.0,2.7,57.0,4.2,1007.0
2021-01-12,27.8,25.5,32.0,3.7,98.0,5.5,1007.0
2021-01-13,28.1,24.5,30.8,12.7,100.0,5.8,1007.6
2021-01-14,28.0,24.0,32.3,9.9,74.0,4.2,1007.4
2021-01-15,27.5,25.2,31.8,13.4,109.0,5.6,1006.0
2021-01-16,26.3,24.4,30.2,18.8,299.0,5.3,1005.8
2021-01-17,26.2,24.9,27.7,11.1,267.0,5.9,1007.0
2021-01-18,27.3,24.0,31.0,34.5,313.0,6.3,1007.8
2021-01-19,27.2,24.0,31.2,15.3,92.0,6.2,1009.1
2021-01-20,27.2,24.0,32.4,5.4,74.0,6.4,1009.3
2021-01-21,28.7,24.0,32.0,2.4,72.0,5.3,1008.8
2021-01-22,27.8,25.0,32.3,5.6,54.0,4.3,1008.0
2021-01-23,26.1,25.0,31.6,0.9,319.0,5.7,1008.3
2021-01-24,26.6,24.0,31.3,14.1,311.0,7.6,1008.3
2021-01-25,28.2,23.4,31.9,4.1,310.0,11.2,1007.6
2021-01-26,26.9,23.5,30.5,16.5,308.0,13.1,1006.3
2021-01-27,27.1,24.9,30.0,7.0,322.0,11.7,1006.2
2021-01-28,27.1,24.5,31.8,7.8,315.0,5.1,1006.2
2021-01-29,26.4,25.0,31.0,13.7,300.0,9.3,1006.7
2021-01-30,28.1,23.6,31.2,7.3,308.0,9.5,1007.1
2021-01-31,28.8,25.5,32.7,3.8,307.0,16.3,1007.6
2021-02-01,28.0,25.0,31.8,12.4,315.0,14.0,1008.4
2021-02-02,27.8,25.0,32.4,8.8,321.0,9.5,1008.4
2021-02-03,27.6,22.8,30.6,11.9,302.0,9.0,1008.9
2021-02-04,28.2,24.3,32.0,5.7,25.0,6.1,1008.1
2021-02-05,26.9,25.2,31.4,4.2,297.0,10.4,1008.0
2021-02-06,29.3,24.5,32.3,4.1,303.0,11.8,1007.2
2021-02-07,27.6,24.4,30.8,1.8,310.0,10.6,1007.2
2021-02-08,28.8,25.0,32.8,1.7,295.0,9.4,1007.0
2021-02-09,26.2,24.8,31.0,5.9,301.0,9.7,1008.2
2021-02-10,30.4,24.1,31.8,0.9,311.0,10.8,1008.3
2021-02-11,26.7,25.4,28.1,4.8,293.0,9.4,1008.9
2021-02-12,27.6,26.0,29.1,0.9,298.0,9.4,1008.6
2021-02-13,27.4,25.8,33.0,11.3,290.0,12.2,1009.1
2021-02-14,27.6,25.5,30.0,7.7,317.0,12.5,1008.6
2021-02-15,27.9,24.0,30.4,11.3,305.0,16.3,1008.1
2021-02-16,27.6,25.0,31.0,27.0,304.0,16.5,1008.0
2021-02-17,29.6,25.1,32.5,0.0,298.0,16.8,1006.7
2021-02-18,29.2,27.5,32.0,0.7,298.0,15.9,1007.1
2021-02-19,30.2,24.5,31.2,2.9,295.0,16.7,1007.6
2021-02-20,27.4,25.8,28.9,0.2,301.0,7.0,1008.6
2021-02-21,26.7,25.2,28.8,10.3,287.0,10.6,1009.3
2021-02-22,25.9,23.5,28.0,25.2,108.0,4.7,1009.5
