time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-1.9,-8.3,4.4,0.0,196.0,24.7,993.7
2021-01-02,3.7,1.7,5.7,0.0,202.0,31.4,1002.3
2021-01-03,2.8,0.1,5.6,0.0,224.0,25.7,1001.5
2021-01-04,0.5,-3.9,5.0,0.0,201.0,21.1,1008.6
2021-01-05,1.7,-1.4,4.8,0.0,226.0,23.8,1012.4
2021-01-06,2.7,0.1,5.3,0.0,190.0,25.2,1014.6
2021-01-07,0.3,-4.1,4.7,0.0,220.0,8.2,1024.1
2021-01-08,-0.2,-5.0,4.6,0.0,203.0,13.4,1026.8
2021-01-09,-2.7,-5.5,0.0,0.0,192.0,23.3,1027.8
2021-01-10,0.3,-5.4,6.0,0.0,197.0,26.0,1018.7
2021-01-11,1.8,-3.2,6.8,0.0,202.0,22.2,1016.6
2021-01-12,2.4,-2.4,7.3,0.0,185.0,23.1,1007.7
2021-01-13,5.1,0.1,10.0,0.0,235.0,40.9,1001.7
2021-01-14,-2.8,-7.4,1.9,0.4,288.0,22.3,1029.4
2021-01-15,-1.2,-8.0,5.6,0.0,229.0,15.8,1021.7
2021-01-16,-0.1,-5.0,4.9,0.0,257.0,18.3,1023.3
2021-01-17,-0.7,-5.0,3.7,0.7,246.0,16.7,1015.7
2021-01-18,0.7,-1.4,2.7,0.6,307.0,22.6,1026.0
2021-01-19,-0.2,-6.3,6.0,0.0,211.0,30.3,1019.3
2021-01-20,-0.9,-6.6,4.9,0.0,281.0,19.8,1014.0
2021-01-21,-4.2,-7.8,-0.6,0.0,278.0,12.3,1023.6
2021-01-22,-5.8,-10.6,-1.0,0.0,216.0,14.5,1020.3
2021-01-23,-9.0,-15.2,-2.8,0.4,273.0,16.0,1019.6
2021-01-24,-13.0,-16.2,-9.8,0.0,47.0,15.8,1016.4
2021-01-25,-16.0,-19.2,-12.9,0.0,38.0,9.7,1021.5
2021-01-26,-11.1,-15.7,-6.4,0.0,83.0,11.0,1018.1
2021-01-27,-10.6,-15.2,-6.1,0.0,18.0,7.3,1015.2
2021-01-28,-12.1,-15.1,-9.1,0.0,26.0,10.6,1016.7
2021-01-29,-12.8,-14.8,-10.8,0.4,36.0,8.3,1014.4
2021-01-30,-11.4,-17.4,-5.4,0.0,62.0,4.6,1017.8
2021-01-31,-1.6,-8.3,5.1,0.0,197.0,21.0,1020.5
2021-02-01,2.9,-3.1,8.8,0.0,211.0,19.1,1013.2
2021-02-02,1.5,-8.8,11.7,0.0,238.0,21.9,1006.3
2021-02-03,-12.8,-17.0,-8.6,0.8,315.0,15.3,1022.0
2021-02-04,-9.7,-18.0,-1.5,0.0,250.0,11.5,1019.9
2021-02-05,-15.6,-23.5,-7.7,1.0,26.0,20.0,1025.2
2021-02-06,-22.2,-25.5,-18.9,0.9,35.0,14.0,1029.1
2021-02-07,-25.4,-31.3,-19.4,0.4,12.0,8.2,1031.7
2021-02-08,-27.5,-31.5,-23.4,0.0,308.0,10.4,1035.3
2021-02-09,-28.6,-33.2,-23.9,0.0,251.0,16.2,1038.6
2021-02-10,-28.9,-33.0,-24.8,0.0,295.0,10.4,1042.0
2021-02-11,-29.7,-33.9,-25.4,0.0,269.0,16.9,1047.5
2021-02-12,-27.0,-33.3,-20.6,0.0,309.0,12.8,1040.6
2021-02-13,-26.1,-31.1,-21.1,0.4,37.0,6.5,1039.7
2021-02-14,-24.3,-31.5,-17.1,0.0,164.0,14.6,1034.8
2021-02-15,-19.2,-25.2,-13.2,0.0,31.0,7.2,1015.9
2021-02-16,-17.6,-24.4,-10.7,0.0,260.0,8.4,1015.0
2021-02-17,-14.4,-22.0,-6.7,0.0,299.0,8.0,1026.9
2021-02-18,-13.6,-22.7,-4.5,0.0,197.0,19.1,1026.5
2021-02-19,-2.2,-8.1,3.6,0.0,223.0,28.5,1011.0
2021-02-20,-3.5,-10.9,3.9,0.0,227.0,25.4,1012.1
2021-02-21,1.7,-2.6,6.0,0.0,235.0,46.5,1007.4
2021-02-22,3.8,0.6,6.9,0.4,214.0,26.5,1003.6
2021-02-23,0.1,-2.7,2.9,0.5,277.0,19.5,1012.1
2021-02-24,-3.8,-9.9,2.4,0.0,232.0,17.8,1026.1
2021-02-25,-0.3,-6.4,5.7,0.0,213.0,35.5,1007.6
2021-02-26,-4.7,-11.4,2.0,0.5,324.0,22.3,1004.7
2021-02-27,-12.3,-16.1,-8.5,1.9,275.0,15.1,1020.0
2021-02-28,-3.2,-11.8,5.4,0.0,211.0,17.6,1014.0
2021-03-01,3.0,-1.0,7.0,0.0,202.0,28.0,1011.7
2021-03-02,5.1,-0.8,10.9,0.0,221.0,22.7,1007.9
2021-03-03,5.0,-1.8,11.9,0.0,214.0,16.3,1010.6
2021-03-04,5.4,-0.8,11.5,0.0,218.0,16.1,1016.5
2021-03-05,6.6,1.7,11.5,0.0,200.0,20.1,1016.1
2021-03-06,7.1,-0.2,14.5,0.0,227.0,18.4,1005.8
2021-03-07,4.0,-1.9,9.9,0.0,205.0,22.5,1014.9
2021-03-08,2.7,-2.8,8.2,0.0,256.0,18.2,1016.9
2021-03-09,-1.2,-4.0,1.5,0.0,259.0,11.8,1016.6
2021-03-10,-0.8,-6.5,4.9,0.0,295.0,22.4,1016.3
2021-03-11,-2.8,-11.3,5.7,0.0,198.0,13.6,1022.1
2021-03-12,5.3,-2.9,13.6,0.0,202.0,16.8,1019.1
2021-03-13,6.1,-3.0,15.1,0.0,191.0,14.2,1022.1
2021-03-14,9.3,2.2,16.4,0.0,,,
2021-03-15,2.2,-4.0,8.4,0.0,296.0,25.7,1011.7
2021-03-16,0.2,-8.1,8.6,0.0,23.0,9.8,1019.4
2021-03-17,3.0,-7.0,13.0,0.0,149.0,17.8,1019.3
2021-03-18,8.3,-1.3,17.9,0.0,202.0,20.0,1013.9
2021-03-19,9.5,2.1,16.9,0.0,233.0,22.7,1009.0
2021-03-20,5.9,-2.0,13.7,0.0,235.0,24.5,1010.4
2021-03-21,1.4,-5.9,8.8,0.0,251.0,12.3,1015.7
2021-03-22,4.1,-2.9,11.0,0.0,275.0,23.3,1009.4
2021-03-23,0.7,-2.7,4.0,0.0,307.0,17.1,1025.0
2021-03-24,4.6,-1.9,11.2,0.0,230.0,24.0,1005.7
2021-03-25,-1.1,-5.3,3.2,3.3,316.0,20.5,1008.3
2021-03-26,-0.7,-5.4,4.0,1.4,160.0,9.3,1015.3
2021-03-27,5.4,-2.9,13.7,0.0,227.0,13.2,1017.7
2021-03-28,11.0,4.6,17.4,0.0,232.0,38.3,1000.5
2021-03-29,0.1,-8.7,8.8,1.3,312.0,42.8,1008.9
2021-03-30,-5.4,-14.6,3.8,0.0,284.0,19.2,1024.9
2021-03-31,3.1,-6.4,12.6,0.0,217.0,23.5,1023.7
2021-04-01,11.0,1.0,21.0,0.0,223.0,29.2,1008.5
2021-04-02,9.6,0.8,18.3,0.0,301.0,15.0,1009.9
2021-04-03,6.6,-2.4,15.6,0.0,237.0,10.2,1015.4
2021-04-04,9.6,1.1,18.2,0.0,255.0,24.4,1011.3
2021-04-05,4.0,-4.3,12.2,0.0,231.0,11.9,1016.1
2021-04-06,6.8,-3.7,17.2,0.0,222.0,14.5,1012.9
2021-04-07,9.9,-0.2,19.9,0.0,224.0,25.5,1007.0
2021-04-08,2.3,-3.7,8.4,0.0,294.0,26.5,1009.7
2021-04-09,3.6,-6.6,13.8,0.0,222.0,26.6,1012.9
2021-04-10,5.4,0.3,10.6,0.9,249.0,21.5,1004.8
2021-04-11,0.8,-2.1,3.7,0.0,332.0,24.5,1023.2
2021-04-12,1.3,-5.0,7.5,0.4,345.0,18.4,1032.2
2021-04-13,1.3,-5.1,7.7,0.0,17.0,17.1,1035.9
2021-04-14,2.5,-5.2,10.2,0.0,45.0,10.8,1032.3
2021-04-15,5.2,-3.1,13.4,0.0,25.0,12.1,1026.5
2021-04-16,6.1,-5.1,17.2,0.0,274.0,12.0,1026.4
2021-04-17,10.0,-0.6,20.7,0.0,280.0,16.1,1021.2
2021-04-18,4.8,-1.7,11.2,3.3,18.0,23.3,1027.1
2021-04-19,1.2,-1.9,4.2,0.0,322.0,21.5,1031.3
2021-04-20,1.7,-6.5,9.9,0.0,123.0,7.4,1028.5
2021-04-21,6.2,-4.6,17.1,0.0,200.0,24.6,1014.2
2021-04-22,2.4,-2.5,7.4,1.0,343.0,27.7,1013.6
2021-04-23,-0.1,-6.1,5.8,0.0,7.0,7.8,1021.1
2021-04-24,1.8,-5.1,8.7,0.0,62.0,8.8,1014.3
2021-04-25,3.0,-0.7,6.8,2.8,100.0,6.4,1008.6
2021-04-26,5.7,-4.1,15.5,0.0,242.0,10.8,1004.1
2021-04-27,8.7,-1.9,19.4,0.0,215.0,13.5,1008.9
2021-04-28,9.7,0.1,19.3,0.0,20.0,15.0,1015.3
2021-04-29,11.5,0.5,22.6,0.0,335.0,13.4,1017.4
2021-04-30,17.6,9.0,26.2,0.0,241.0,32.4,1007.8
2021-05-01,13.4,6.0,20.8,0.6,304.0,22.9,1006.0
2021-05-02,7.0,0.3,13.7,0.4,343.0,17.9,1015.3
2021-05-03,6.8,-2.3,15.9,0.0,104.0,7.9,1018.7
2021-05-04,9.7,3.5,15.9,0.0,179.0,14.8,1015.5
2021-05-05,8.5,3.4,13.5,3.3,311.0,14.8,1023.2
2021-05-06,10.6,1.1,20.0,0.0,164.0,13.2,1020.5
2021-05-07,12.9,8.6,17.2,11.4,143.0,16.8,1010.3
2021-05-08,5.6,2.1,9.1,5.7,113.0,13.4,1013.9
2021-05-09,5.1,1.7,8.4,0.5,64.0,13.8,1023.4
2021-05-10,6.7,-0.7,14.2,0.0,184.0,11.3,1023.9
2021-05-11,10.3,3.6,17.0,0.0,195.0,12.8,1020.7
2021-05-12,9.8,1.0,18.6,0.0,228.0,9.8,1020.4
2021-05-13,12.6,6.6,18.6,0.8,220.0,12.4,1017.7
2021-05-14,11.7,2.0,21.3,0.0,259.0,8.4,1017.8
2021-05-15,14.7,5.1,24.3,0.0,230.0,13.0,1013.8
2021-05-16,16.5,6.6,26.4,0.0,220.0,13.0,1010.0
2021-05-17,19.4,8.2,30.6,0.0,219.0,20.1,1002.9
2021-05-18,14.9,6.9,22.8,0.0,237.0,30.9,1003.2
2021-05-19,7.8,2.5,13.2,0.0,342.0,21.8,1013.9
2021-05-20,2.2,-2.4,6.9,6.4,29.0,28.5,1022.8
2021-05-21,0.7,-2.0,3.3,1.5,10.0,10.2,1027.7
2021-05-22,4.0,0.8,7.3,0.4,188.0,12.7,1027.8
2021-05-23,4.3,0.1,8.5,11.1,56.0,10.3,1016.0
2021-05-24,8.5,5.4,11.6,5.1,276.0,28.7,1002.5
2021-05-25,11.2,6.4,16.1,0.7,342.0,20.7,1015.5
2021-05-26,9.3,2.9,15.7,0.4,115.0,16.3,1019.2
2021-05-27,15.0,7.2,22.9,0.0,170.0,37.7,1012.1
2021-05-28,13.1,8.0,18.2,0.0,243.0,30.5,1009.7
2021-05-29,13.5,7.3,19.7,0.7,275.0,13.7,1017.6
2021-05-30,14.1,4.9,23.3,0.0,202.0,13.8,1018.7
2021-05-31,16.9,8.3,25.6,0.0,280.0,17.1,1016.8
2021-06-01,18.9,9.2,28.7,0.0,200.0,11.4,1015.2
2021-06-02,22.0,12.2,31.8,0.0,233.0,11.3,1009.1
2021-06-03,23.9,13.4,34.3,0.0,231.0,17.9,1004.1
2021-06-04,23.6,15.2,31.9,0.0,285.0,17.2,1002.7
2021-06-05,17.1,7.2,27.0,0.0,245.0,24.6,999.8
2021-06-06,12.9,6.4,19.3,0.0,247.0,16.6,1003.8
2021-06-07,12.1,4.0,20.2,0.4,239.0,24.9,1007.1
2021-06-08,12.9,6.9,18.9,1.2,2.0,15.8,1012.7
2021-06-09,12.3,7.2,17.4,0.0,18.0,10.5,1014.4
2021-06-10,12.9,10.3,15.5,8.1,313.0,17.3,1008.0
2021-06-11,13.1,5.2,21.0,0.0,264.0,20.1,1011.5
2021-06-12,14.7,6.0,23.4,0.0,238.0,19.7,1012.9
2021-06-13,18.6,6.5,30.7,0.0,182.0,16.0,1014.1
2021-06-14,28.7,20.0,37.3,0.0,159.0,24.0,1008.3
2021-06-15,25.8,17.5,34.1,0.8,232.0,24.6,1005.8
