time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,22.2,18.0,27.0,,330.0,10.1,1013.8
2021-01-02,22.2,17.0,28.0,,327.0,7.6,1013.0
2021-01-03,24.3,20.0,30.0,,4.0,3.1,1011.5
2021-01-04,26.0,21.0,32.0,,353.0,5.3,1011.0
2021-01-05,26.1,22.0,31.0,,311.0,4.1,1010.9
2021-01-06,26.5,22.0,32.0,,21.0,2.2,1009.6
2021-01-07,26.2,23.0,31.0,,44.0,4.2,1009.1
2021-01-08,26.2,22.0,31.0,,20.0,5.4,1009.5
2021-01-09,22.1,18.0,27.0,,336.0,7.2,1011.8
2021-01-10,23.3,17.0,30.0,,350.0,3.7,1011.5
2021-01-11,23.2,19.0,29.0,,1.0,8.5,1013.3
2021-01-12,20.2,15.0,24.0,,333.0,12.5,1015.2
2021-01-13,19.2,14.0,25.0,,322.0,4.6,1013.4
2021-01-14,21.2,16.0,27.0,,19.0,3.1,1011.6
2021-01-15,22.7,17.0,29.0,,28.0,4.2,1009.3
2021-01-16,23.7,18.0,30.0,,28.0,3.3,1009.5
2021-01-17,25.0,19.0,32.0,,17.0,8.9,1011.8
2021-01-18,23.0,18.0,29.0,,7.0,11.3,1013.5
2021-01-19,21.3,16.0,26.0,,317.0,5.8,1012.7
2021-01-20,22.3,17.0,29.0,,8.0,2.9,1011.4
2021-01-21,24.0,18.0,31.0,,14.0,3.7,1010.0
2021-01-22,25.5,20.0,31.0,,8.0,3.9,1008.9
2021-01-23,26.1,21.0,32.0,,13.0,4.3,1008.7
2021-01-24,27.1,22.0,33.0,,232.0,5.0,1009.5
2021-01-25,27.0,22.0,32.0,,35.0,3.8,1009.3
2021-01-26,26.9,23.0,32.0,,56.0,6.0,1008.8
2021-01-27,26.8,23.0,31.0,,52.0,7.8,1009.3
2021-01-28,27.2,23.0,32.0,,37.0,6.2,1010.3
2021-01-29,26.0,23.0,31.0,,40.0,6.6,1012.3
2021-01-30,24.8,21.0,31.0,,68.0,5.6,1012.1
2021-01-31,24.9,21.0,30.0,,33.0,6.4,1012.1
2021-02-01,25.4,21.0,31.0,,50.0,6.7,1012.0
2021-02-02,25.2,21.0,30.0,,52.0,5.8,1012.0
2021-02-03,25.5,22.0,30.0,,66.0,7.7,1011.6
2021-02-04,25.0,20.0,31.0,,42.0,6.0,1012.6
2021-02-05,25.6,21.0,32.0,,26.0,4.3,1011.6
2021-02-06,26.0,22.0,32.0,,38.0,4.9,1010.3
2021-02-07,26.0,21.0,33.0,,60.0,5.3,1009.9
2021-02-08,27.1,23.0,32.0,,69.0,5.3,1009.0
2021-02-09,26.0,23.0,32.0,,187.0,9.5,1009.0
2021-02-10,24.5,22.0,30.0,,320.0,9.5,1009.9
2021-02-11,25.5,20.0,31.0,,331.0,7.0,1010.3
2021-02-12,25.2,19.0,32.0,,335.0,5.3,1010.8
2021-02-13,24.7,18.0,31.0,,79.0,4.8,1011.2
2021-02-14,24.6,18.0,31.0,,39.0,4.7,1011.3
2021-02-15,25.5,21.0,32.0,,96.0,3.4,1009.9
2021-02-16,25.6,21.0,31.0,,50.0,4.7,1009.3
2021-02-17,25.6,22.0,30.0,,79.0,7.6,1011.2
2021-02-18,25.9,22.0,32.0,,48.0,8.5,1013.7
2021-02-19,25.9,20.0,32.0,,2.0,6.9,1014.1
2021-02-20,24.5,18.0,31.0,,41.0,4.8,1012.9
2021-02-21,24.7,20.0,30.0,,121.0,6.9,1011.8
2021-02-22,24.9,19.0,31.0,,92.0,5.3,1010.2
2021-02-23,26.3,21.0,34.0,,97.0,4.1,1009.0
2021-02-24,26.9,22.0,33.0,,150.0,4.4,1007.6
2021-02-25,28.1,23.0,35.0,,251.0,4.4,1006.2
2021-02-26,28.5,23.0,35.0,,180.0,5.8,1004.7
2021-02-27,28.2,23.0,34.0,,101.0,4.0,1005.3
2021-02-28,28.2,23.0,33.0,,98.0,7.9,1007.4
2021-03-01,28.6,24.0,34.0,,87.0,6.7,1010.2
2021-03-02,28.7,24.0,34.0,,72.0,5.6,1010.0
2021-03-03,28.8,25.0,34.0,,122.0,10.0,1010.3
2021-03-04,28.8,24.0,35.0,,253.0,4.7,1010.9
2021-03-05,28.5,24.0,37.0,,116.0,3.9,1010.4
2021-03-06,28.5,24.0,34.0,,153.0,4.2,1010.9
2021-03-07,29.5,25.0,35.0,,116.0,5.2,1009.7
2021-03-08,28.6,25.0,33.0,,297.0,7.5,1011.2
2021-03-09,28.0,23.0,34.0,,53.0,3.4,1010.8
2021-03-10,28.4,25.0,33.0,,97.0,5.2,1010.7
2021-03-11,28.2,23.0,34.0,,304.0,4.4,1010.5
2021-03-12,28.6,24.0,34.0,,94.0,6.7,1010.7
2021-03-13,28.7,24.0,33.0,,125.0,4.4,1010.1
2021-03-14,29.0,25.0,34.0,,152.0,4.3,1008.6
2021-03-15,29.3,25.0,35.0,,231.0,6.0,1008.0
2021-03-16,29.0,24.0,34.0,,189.0,4.3,1007.5
2021-03-17,29.0,25.0,33.4,,134.0,4.0,1007.6
2021-03-18,29.4,25.0,35.0,,98.0,3.4,1007.3
2021-03-19,29.4,25.0,34.0,,152.0,4.9,1006.8
2021-03-20,30.3,25.0,36.0,,176.0,4.9,1005.8
2021-03-21,30.5,26.0,36.0,,228.0,3.5,1006.1
2021-03-22,30.0,27.0,34.0,,72.0,11.2,1009.5
2021-03-23,29.0,23.0,34.0,,335.0,9.8,1010.6
