time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,8.1,6.7,9.6,32.8,148.0,65.3,996.1
2021-01-02,7.0,4.6,9.4,14.6,198.0,44.4,995.3
2021-01-03,6.8,4.8,7.9,3.2,150.0,40.8,1003.4
2021-01-04,7.3,5.7,9.0,2.4,175.0,37.4,999.5
2021-01-05,7.5,5.2,9.9,30.2,136.0,84.8,996.0
2021-01-06,7.0,5.5,8.5,0.0,134.0,39.0,1012.2
2021-01-07,8.3,7.6,10.4,2.6,115.0,85.6,1010.8
2021-01-08,7.9,4.7,11.1,8.8,138.0,45.1,1018.3
2021-01-09,5.5,3.3,7.7,21.6,112.0,104.2,1011.1
2021-01-10,7.6,6.1,9.1,30.2,127.0,64.4,1009.4
2021-01-11,8.5,6.3,9.3,9.4,136.0,64.5,1003.8
2021-01-12,7.0,4.8,8.7,10.0,170.0,26.3,999.0
2021-01-13,6.0,3.4,8.7,4.0,217.0,42.2,1020.5
2021-01-14,8.4,6.6,10.5,9.2,117.0,81.2,1016.4
2021-01-15,8.6,7.3,9.3,0.3,161.0,26.9,1026.9
2021-01-16,7.3,6.6,8.0,9.2,118.0,61.4,1022.6
2021-01-17,8.1,7.1,9.1,0.0,299.0,23.3,1031.6
2021-01-18,7.1,6.1,8.1,0.2,34.0,23.3,1035.2
2021-01-19,6.6,5.3,7.6,5.8,70.0,44.5,1027.7
2021-01-20,4.9,3.9,5.3,0.0,13.0,14.8,1022.3
2021-01-21,4.7,3.5,5.9,0.0,1.0,23.1,1019.6
2021-01-22,4.2,2.6,5.9,0.0,354.0,36.2,1020.1
2021-01-23,4.4,3.6,5.5,7.6,55.0,35.7,1017.2
2021-01-24,4.3,3.1,5.5,12.4,356.0,43.4,1006.8
2021-01-25,4.1,3.2,5.0,0.0,358.0,25.9,1008.5
2021-01-26,4.5,1.8,6.7,1.4,87.0,43.8,996.1
2021-01-27,2.5,0.1,4.8,13.2,92.0,13.0,999.4
2021-01-28,4.4,2.5,6.9,4.0,45.0,12.9,1006.7
2021-01-29,5.5,3.9,7.0,11.6,133.0,49.3,1001.7
2021-01-30,5.6,3.9,7.3,5.4,115.0,51.3,1002.0
2021-01-31,6.4,4.8,7.9,3.2,132.0,44.6,1005.6
2021-02-01,5.6,4.6,6.6,6.0,103.0,27.2,1004.6
2021-02-02,4.3,1.8,6.9,13.2,151.0,28.0,1004.6
