time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,2.0,0.6,2.8,0.3,155.0,36.7,968.4
2021-01-02,2.7,1.1,3.3,0.3,117.0,29.5,973.1
2021-01-03,2.2,-3.2,2.8,3.0,140.0,10.4,976.3
2021-01-04,,-2.7,0.6,1.5,,24.8,
2021-01-05,-4.1,-7.1,-1.6,3.8,20.0,41.0,981.1
2021-01-06,-4.3,-5.0,-3.4,,344.0,28.5,990.1
2021-01-07,-2.3,-11.0,-2.1,1.5,308.0,15.1,995.4
2021-01-08,-0.8,-14.9,0.0,1.3,204.0,13.3,994.7
2021-01-09,-1.6,-6.6,1.1,1.5,73.0,48.6,985.9
2021-01-10,-5.8,-8.8,-4.9,0.0,359.0,47.2,985.5
2021-01-11,-4.2,-5.5,-3.8,1.8,346.0,47.2,981.8
2021-01-12,-4.8,-5.5,-4.3,0.0,349.0,37.4,987.4
2021-01-13,-5.2,-11.0,-4.3,0.8,342.0,11.5,998.2
2021-01-14,-4.4,-7.1,-3.8,2.3,18.0,24.5,999.7
2021-01-15,-2.9,-6.0,-2.7,1.5,343.0,37.4,998.1
2021-01-16,-1.9,-3.8,-2.1,1.8,340.0,42.1,1002.5
2021-01-17,-4.0,-8.2,-2.7,0.3,337.0,32.0,1009.0
2021-01-18,-6.4,-12.7,-2.1,0.0,50.0,17.3,1002.4
2021-01-19,-3.0,-3.2,-1.0,1.0,105.0,38.2,997.2
2021-01-20,1.7,-2.1,3.3,1.8,130.0,43.6,987.0
2021-01-21,1.8,-1.6,2.8,0.0,64.0,19.1,996.5
2021-01-22,1.7,-0.5,2.8,2.5,93.0,29.9,991.6
2021-01-23,,-2.1,1.7,0.0,,19.4,
2021-01-24,1.2,-1.0,2.2,6.4,162.0,21.6,1007.5
2021-01-25,-0.1,-6.6,2.8,0.8,254.0,16.2,1015.2
2021-01-26,0.6,-7.1,2.8,3.0,138.0,29.2,1017.0
2021-01-27,2.3,1.1,2.8,0.8,187.0,30.6,997.2
2021-01-28,,0.0,2.8,0.0,,40.3,
2021-01-29,-2.9,-6.6,0.0,0.0,322.0,31.7,1013.7
2021-01-30,1.2,-4.9,2.8,1.5,149.0,26.6,1018.5
2021-01-31,,2.8,3.9,5.6,,45.0,
2021-02-01,2.9,1.7,4.4,1.5,260.0,23.4,995.3
2021-02-02,2.0,-1.0,3.3,0.0,264.0,19.4,1003.2
2021-02-03,2.4,0.0,2.8,0.3,183.0,25.9,1007.3
2021-02-04,2.7,1.1,3.3,1.0,193.0,34.2,1005.6
2021-02-05,1.4,-1.6,2.8,1.5,196.0,27.4,1025.0
2021-02-06,2.1,1.0,2.9,,93.0,42.8,1022.3
2021-02-07,2.9,2.2,3.3,0.8,221.0,16.6,1015.7
2021-02-08,1.6,0.0,3.3,0.0,336.0,17.3,1021.0
2021-02-09,0.5,0.0,2.2,2.3,72.0,32.8,1012.7
2021-02-10,0.6,0.0,1.7,0.8,64.0,46.1,1000.8
2021-02-11,0.8,0.6,1.7,3.8,59.0,43.6,983.4
2021-02-12,3.1,1.1,5.0,2.5,123.0,23.0,985.6
2021-02-13,1.7,1.1,3.9,0.0,74.0,43.2,987.6
2021-02-14,2.1,0.6,3.9,1.5,90.0,38.2,981.7
2021-02-15,2.5,2.2,3.9,2.3,76.0,29.5,989.7
2021-02-16,2.3,2.2,3.9,1.0,70.0,20.5,992.7
2021-02-17,0.8,0.0,2.2,0.0,0.0,19.1,1001.2
2021-02-18,-2.1,-3.2,-1.6,0.0,354.0,18.7,1009.6
2021-02-19,0.2,-1.6,0.6,7.9,100.0,47.5,991.1
2021-02-20,-3.2,-3.2,0.0,0.0,54.0,28.4,987.9
2021-02-21,-7.4,-8.8,-6.6,0.5,352.0,22.0,1001.1
2021-02-22,-2.5,-8.8,3.3,3.6,119.0,29.9,1006.5
2021-02-23,2.2,0.6,3.3,2.8,182.0,25.9,998.1
2021-02-24,1.1,0.0,2.8,7.6,216.0,23.4,998.0
2021-02-25,2.8,1.1,3.9,2.0,216.0,27.7,1008.1
2021-02-26,1.8,-1.0,2.8,4.8,235.0,11.9,1005.3
2021-02-27,-5.1,-6.0,1.1,0.3,332.0,25.9,1015.1
2021-02-28,-0.2,-6.0,3.3,2.5,158.0,41.0,1003.6
2021-03-01,1.4,-1.0,2.8,0.3,232.0,49.7,978.8
2021-03-02,-6.2,-8.8,0.6,0.3,325.0,53.3,1005.4
2021-03-03,-4.9,-7.7,0.6,0.0,130.0,28.8,1020.4
2021-03-04,-0.6,-4.3,3.3,10.2,245.0,52.6,994.4
2021-03-05,-0.5,-4.9,2.2,3.6,262.0,38.9,1002.8
2021-03-06,2.7,1.1,3.3,0.8,233.0,37.8,1011.8
2021-03-07,2.7,1.7,3.9,4.1,177.0,47.2,1000.2
2021-03-08,-0.4,-1.6,1.7,2.0,243.0,32.4,1005.5
2021-03-09,-1.0,-5.5,2.2,0.5,263.0,23.4,1016.4
2021-03-10,-2.8,-6.0,-2.1,0.8,41.0,25.6,1025.1
2021-03-11,0.4,-8.2,2.2,3.0,261.0,23.0,1032.2
2021-03-12,2.1,0.6,2.8,0.0,178.0,39.2,1024.1
2021-03-13,1.0,-1.0,2.8,3.8,215.0,40.3,1001.8
2021-03-14,,-2.7,2.2,1.5,,24.8,
2021-03-15,-1.1,-3.8,0.6,1.5,304.0,23.0,1007.3
2021-03-16,-1.8,-3.2,0.6,0.3,297.0,19.4,1021.0
2021-03-17,0.4,-0.5,1.1,0.0,190.0,13.7,1013.0
2021-03-18,-1.8,-2.7,1.1,,88.0,41.8,1010.1
2021-03-19,2.2,1.1,4.4,3.3,205.0,25.9,992.3
2021-03-20,2.6,-0.5,3.9,0.0,253.0,14.4,995.3
2021-03-21,-3.0,-4.9,-0.5,0.0,346.0,25.6,1013.5
2021-03-22,-4.2,-7.1,-3.8,0.0,343.0,23.0,1026.2
2021-03-23,0.7,-10.5,3.3,4.6,220.0,40.3,1019.0
2021-03-24,1.4,-0.5,2.8,10.2,282.0,12.6,1013.8
2021-03-25,1.3,-3.2,4.4,0.5,259.0,15.8,1018.9
2021-03-26,0.4,-1.6,2.2,0.5,265.0,38.5,1019.0
2021-03-27,0.4,-3.2,3.3,0.0,197.0,31.3,1021.2
2021-03-28,3.1,1.7,4.4,4.3,203.0,54.0,1003.0
2021-03-29,,-1.6,2.8,0.8,,40.7,
2021-03-30,-1.8,-3.8,-0.5,0.0,306.0,34.9,1020.9
2021-03-31,,-1.6,3.3,6.4,,18.7,
2021-04-01,0.1,-1.6,3.3,0.5,153.0,21.6,1025.2
2021-04-02,2.6,2.2,4.4,0.0,233.0,36.7,1017.4
2021-04-03,2.4,-0.5,3.9,5.1,229.0,39.2,1011.5
2021-04-04,-0.6,-1.0,1.1,0.8,270.0,15.8,1025.7
2021-04-05,1.6,0.6,2.8,9.1,222.0,34.9,1022.4
2021-04-06,2.5,1.7,3.9,0.5,243.0,13.7,1021.6
2021-04-07,1.7,2.2,2.8,0.3,258.0,23.4,1013.7
2021-04-08,-4.7,-3.8,-2.1,0.0,58.0,32.8,1034.8
2021-04-09,0.8,-2.1,3.3,7.9,154.0,43.2,1012.6
2021-04-10,3.0,0.6,3.9,4.6,185.0,33.5,995.9
2021-04-11,1.6,0.6,3.3,1.3,227.0,32.8,986.9
2021-04-12,-0.8,-3.2,1.1,2.5,257.0,23.4,997.4
2021-04-13,-1.5,-4.3,1.1,1.3,287.0,16.9,1007.5
2021-04-14,-1.5,-2.7,0.6,0.3,311.0,27.0,1022.8
2021-04-15,-0.6,-2.7,2.2,0.0,349.0,12.6,1034.3
2021-04-16,1.1,-8.2,2.8,0.0,157.0,10.1,1035.8
2021-04-17,2.5,-0.5,3.3,0.0,124.0,16.6,1026.5
2021-04-18,2.1,-4.9,4.4,0.0,21.0,16.2,1024.3
2021-04-19,2.3,0.6,5.6,0.0,8.0,37.8,1021.8
2021-04-20,3.0,1.7,6.1,0.0,47.0,35.6,1021.4
