time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-4.3,-9.1,0.4,0.0,279.0,5.5,1028.9
2021-01-02,-4.8,-7.7,-1.9,14.2,32.0,11.1,1014.1
2021-01-03,-7.5,-11.6,-3.4,0.7,325.0,5.7,1020.9
2021-01-04,-2.7,-4.1,-1.2,0.0,16.0,7.6,1017.5
2021-01-05,-0.7,-2.1,0.8,0.0,25.0,14.1,1013.8
2021-01-06,-1.9,-3.1,-0.8,0.0,334.0,13.8,1009.1
2021-01-07,-1.7,-2.6,-0.9,0.5,319.0,16.2,1010.3
2021-01-08,-3.6,-5.8,-1.4,0.3,300.0,13.3,1008.4
2021-01-09,-3.8,-7.9,0.4,0.0,318.0,8.9,1008.7
2021-01-10,-5.3,-11.8,1.2,0.0,316.0,10.5,1016.3
2021-01-11,-6.4,-14.9,2.0,0.0,316.0,2.0,1022.5
2021-01-12,-3.8,-9.5,1.8,0.0,293.0,3.6,1016.7
2021-01-13,-2.1,-6.6,2.4,0.0,315.0,2.2,1014.8
2021-01-14,-0.9,-3.1,1.3,1.6,12.0,2.5,1011.8
2021-01-15,-0.9,-7.6,5.9,0.2,357.0,5.3,1017.9
2021-01-16,-1.2,-7.3,5.0,23.7,76.0,12.9,1010.2
2021-01-17,3.4,1.4,5.4,0.0,211.0,14.8,986.8
2021-01-18,-2.1,-6.9,2.6,0.0,253.0,13.8,998.3
2021-01-19,-6.8,-11.4,-2.2,0.0,287.0,8.8,1010.3
2021-01-20,-7.4,-12.7,-2.1,0.0,304.0,4.1,1011.1
2021-01-21,-10.5,-16.1,-6.1,0.0,327.0,4.0,1008.4
2021-01-22,-3.0,-6.6,0.5,0.1,26.0,5.3,1003.5
2021-01-23,-6.2,-10.4,-2.1,2.0,288.0,11.3,1004.9
2021-01-24,-7.3,-11.2,-3.3,0.3,283.0,18.2,1002.0
2021-01-25,-5.8,-11.4,-0.2,0.0,284.0,12.7,1010.1
2021-01-26,-2.9,-8.1,2.4,0.0,319.0,6.5,1015.7
2021-01-27,-1.2,-3.0,0.7,0.0,31.0,6.9,1016.5
2021-01-28,-2.0,-5.1,1.1,0.9,291.0,4.5,1013.4
2021-01-29,-8.6,-13.6,-3.7,3.9,338.0,14.0,1009.1
2021-01-30,-13.2,-17.8,-8.6,0.0,301.0,8.9,1018.8
2021-01-31,-11.1,-18.4,-3.8,0.0,295.0,6.1,1024.8
2021-02-01,-8.7,-17.3,0.0,0.0,24.0,7.3,1026.4
2021-02-02,-1.5,-4.5,1.5,27.4,45.0,22.8,1006.7
2021-02-03,2.1,0.4,3.9,0.4,322.0,5.6,991.3
2021-02-04,-0.6,-2.7,1.5,0.0,295.0,7.1,1002.6
2021-02-05,-2.4,-8.3,3.5,1.0,221.0,6.8,1007.8
2021-02-06,-1.2,-5.6,3.3,4.0,271.0,8.6,1006.9
2021-02-07,-7.4,-12.5,-2.4,4.8,11.0,5.8,1018.6
2021-02-08,-8.8,-14.9,-2.6,7.4,292.0,13.5,1016.9
2021-02-09,-12.8,-21.5,-4.2,0.0,275.0,4.8,1026.6
2021-02-10,-9.5,-17.0,-1.9,0.0,273.0,7.2,1021.2
2021-02-11,-13.1,-21.4,-4.8,0.0,280.0,11.0,1019.5
2021-02-12,-10.6,-17.4,-3.7,0.0,285.0,8.4,1021.2
2021-02-13,-10.5,-17.8,-3.1,0.0,293.0,7.0,1025.3
2021-02-14,-8.0,-12.3,-3.7,0.0,304.0,2.8,1025.4
2021-02-15,-6.3,-13.6,1.0,0.2,276.0,3.8,1025.0
2021-02-16,-2.7,-5.4,-0.1,13.2,35.0,9.5,1010.1
2021-02-17,-7.2,-11.6,-2.8,0.0,273.0,10.1,1015.5
2021-02-18,-10.8,-17.5,-4.1,0.0,309.0,4.9,1030.3
2021-02-19,-5.9,-11.5,-0.4,0.0,349.0,4.5,1024.7
2021-02-20,-6.7,-10.2,-3.2,0.2,350.0,6.8,1014.6
2021-02-21,-5.7,-12.9,1.5,0.0,309.0,8.0,1023.8
2021-02-22,-8.3,-17.0,0.4,3.0,92.0,4.9,1020.4
2021-02-23,1.9,-0.2,4.1,14.6,287.0,8.7,997.7
2021-02-24,3.5,-0.7,7.6,0.4,281.0,7.0,1006.1
2021-02-25,-3.2,-9.7,3.3,2.9,281.0,16.0,1004.5
2021-02-26,-9.6,-16.0,-3.3,0.0,288.0,10.5,1026.3
2021-02-27,-7.0,-18.7,4.8,10.2,96.0,7.4,1024.6
2021-02-28,1.1,-4.5,6.6,0.0,305.0,11.8,1020.5
2021-03-01,-1.1,-6.4,4.3,14.4,108.0,11.8,1002.8
2021-03-02,-12.0,-17.6,-6.4,0.2,279.0,26.6,996.2
2021-03-03,-4.0,-10.3,2.2,0.0,265.0,16.7,1002.7
2021-03-04,-3.7,-8.4,1.1,0.0,271.0,15.3,997.5
2021-03-05,-8.2,-12.6,-3.8,0.0,276.0,14.2,1000.0
2021-03-06,-8.5,-17.0,0.1,0.0,264.0,10.5,1009.6
2021-03-07,-7.7,-15.4,0.0,0.0,317.0,5.4,1021.4
2021-03-08,-4.9,-12.8,3.0,0.0,309.0,7.4,1025.4
2021-03-09,-5.5,-13.2,2.3,0.9,331.0,4.0,1023.0
2021-03-10,1.3,-6.4,9.0,0.0,261.0,7.1,1031.0
2021-03-11,7.8,1.0,14.6,0.0,170.0,7.3,1020.4
2021-03-12,6.2,1.1,11.2,0.5,241.0,14.6,1006.7
2021-03-13,-0.1,-3.9,3.7,0.0,285.0,17.4,1009.5
2021-03-14,-5.4,-10.2,-0.7,,,,
2021-03-15,-11.0,-13.9,-8.2,0.1,315.0,18.1,1016.6
2021-03-16,-8.2,-14.9,-1.4,0.0,298.0,9.3,1022.2
2021-03-17,-1.2,-13.8,11.5,0.0,259.0,5.3,1019.2
