time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-21.5,-29.6,-18.2,1.0,51.0,2.4,1002.0
2021-01-02,-34.2,-37.4,-31.0,0.4,293.0,1.3,1005.0
2021-01-03,-36.2,-39.3,-33.2,0.0,277.0,1.0,1004.6
2021-01-04,-40.2,-42.2,-37.5,0.0,5.0,0.5,1011.3
2021-01-05,-34.5,-40.7,-28.3,0.2,73.0,1.4,1017.0
2021-01-06,-29.8,-35.9,-23.7,0.0,121.0,26.0,1013.6
2021-01-07,-20.9,-24.0,-17.8,1.9,177.0,20.6,1001.1
2021-01-08,-25.6,-27.3,-24.0,0.0,270.0,20.3,1008.5
2021-01-09,-28.7,-30.8,-26.5,0.0,277.0,8.6,1014.2
2021-01-10,-27.5,-32.7,-22.3,0.2,254.0,3.7,1013.2
2021-01-11,-25.4,-28.6,-22.3,0.0,108.0,1.9,1008.5
2021-01-12,-26.8,-30.1,-23.5,0.0,15.0,0.3,1004.6
2021-01-13,-21.6,-24.4,-18.7,1.8,36.0,1.1,1001.7
2021-01-14,-23.9,-29.3,-19.4,1.2,3.0,4.2,1013.0
2021-01-15,-24.6,-27.4,-21.7,0.0,325.0,7.0,1017.7
2021-01-16,-27.2,-33.3,-21.0,0.0,298.0,7.6,1019.2
2021-01-17,-29.9,-32.7,-27.1,0.0,313.0,5.8,1020.9
2021-01-18,-29.2,-31.0,-27.3,0.0,290.0,6.1,1028.0
2021-01-19,-24.5,-28.6,-20.4,0.0,350.0,2.4,1017.4
2021-01-20,-26.6,-31.6,-20.4,0.0,269.0,4.3,1012.8
2021-01-21,-23.8,-31.6,-21.9,0.0,310.0,3.5,1018.4
2021-01-22,-28.9,-33.4,-21.3,0.0,11.0,1.2,1028.1
2021-01-23,-15.8,-19.2,-12.3,1.3,16.0,2.8,1024.0
2021-01-24,-21.9,-31.9,-11.9,0.0,155.0,17.3,1034.1
2021-01-25,-25.4,-29.6,-21.9,0.2,137.0,17.4,1041.5
2021-01-26,-22.7,-27.5,-20.9,0.5,234.0,5.1,1034.5
2021-01-27,-20.7,-24.0,-17.3,0.4,183.0,10.8,1027.7
2021-01-28,-25.4,-28.2,-22.7,0.0,145.0,14.0,1022.4
2021-01-29,-25.9,-31.1,-20.7,0.0,133.0,25.5,1013.6
2021-01-30,-36.8,-41.0,-31.1,0.0,232.0,12.7,1014.3
2021-01-31,-35.1,-40.0,-30.2,0.0,270.0,22.8,1025.1
2021-02-01,-34.6,-37.7,-31.6,0.2,273.0,20.4,1029.9
2021-02-02,-37.4,-41.4,-31.6,0.3,282.0,20.5,1026.4
2021-02-03,-40.7,-47.9,-33.5,0.0,323.0,6.3,1025.7
