time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-27.8,-31.4,-24.3,0.2,360.0,0.0,1015.0
2021-01-02,-28.3,-31.2,-25.2,0.0,82.0,14.2,1003.9
2021-01-03,-27.3,-31.8,-23.9,0.0,51.0,10.4,1003.5
2021-01-04,-30.1,-33.9,-25.8,0.2,135.0,8.8,1005.7
2021-01-05,-27.1,-30.9,-24.7,0.0,131.0,6.7,995.5
2021-01-06,-31.7,-32.9,-28.8,0.0,219.0,7.7,993.9
2021-01-07,-20.5,-28.1,-14.3,0.0,172.0,15.5,999.5
2021-01-08,-12.4,-13.8,-11.8,0.0,169.0,12.7,1003.6
2021-01-09,-13.8,-18.6,-10.8,0.0,237.0,12.0,1003.7
2021-01-10,-17.3,-20.9,-13.3,0.0,101.0,9.8,997.3
2021-01-11,-16.3,-18.4,-14.1,0.6,58.0,8.6,991.8
2021-01-12,-17.7,-21.4,-15.9,1.3,46.0,12.0,995.3
2021-01-13,-26.0,-29.7,-21.4,0.0,347.0,9.6,1008.8
2021-01-14,-28.7,-31.8,-26.5,0.0,51.0,7.8,1024.8
2021-01-15,-27.0,-28.3,-24.8,0.0,77.0,15.6,1016.5
2021-01-16,-23.6,-27.2,-20.7,0.8,115.0,9.0,1015.4
2021-01-17,-27.3,-29.5,-25.3,0.0,85.0,8.4,1013.9
2021-01-18,-20.8,-25.7,-17.3,0.0,124.0,11.4,1011.1
2021-01-19,-18.2,-20.4,-16.0,0.0,7.0,9.5,998.6
2021-01-20,-21.7,-27.0,-19.1,0.2,61.0,6.6,1020.5
2021-01-21,-23.3,-26.5,-21.7,0.0,103.0,7.9,1027.4
2021-01-22,-22.0,-23.6,-19.6,0.0,114.0,14.4,1026.1
2021-01-23,-22.5,-25.3,-19.5,0.0,104.0,13.6,1021.6
2021-01-24,-26.4,-29.3,-22.6,0.3,1.0,7.0,1023.3
2021-01-25,-21.5,-23.0,-19.8,1.6,237.0,11.3,1022.9
2021-01-26,-23.2,-24.2,-21.6,0.2,277.0,12.3,1029.3
2021-01-27,-28.9,-35.9,-24.4,0.2,241.0,8.1,1029.4
2021-01-28,-36.5,-37.7,-35.3,0.0,124.0,9.7,1018.5
2021-01-29,-36.5,-37.7,-35.0,0.0,152.0,6.3,1014.4
2021-01-30,-35.2,-37.1,-32.0,0.0,314.0,2.7,1023.7
2021-01-31,-30.4,-32.4,-26.0,0.1,2.0,5.7,1034.6
2021-02-01,-28.3,-31.2,-25.4,0.1,312.0,19.3,1043.8
2021-02-02,-31.0,-36.3,-25.6,0.0,330.0,15.8,1030.7
2021-02-03,-33.6,-36.6,-30.7,0.0,22.0,9.9,1036.7
2021-02-04,-36.3,-40.2,-32.4,0.0,290.0,24.9,1035.3
2021-02-05,-32.3,-38.2,-26.4,0.0,256.0,37.4,1038.9
2021-02-06,-27.3,-30.0,-24.7,0.9,270.0,45.0,1026.8
2021-02-07,-31.5,-36.6,-26.3,0.3,282.0,44.5,1038.8
2021-02-08,-38.2,-39.8,-36.6,0.0,280.0,17.5,1056.1
2021-02-09,-35.3,-38.2,-32.3,0.0,251.0,14.3,1058.1
2021-02-10,-32.4,-35.9,-29.0,0.0,156.0,41.4,1049.5
2021-02-11,-22.1,-29.1,-15.1,0.0,173.0,56.0,1035.5
2021-02-12,-15.0,-17.8,-12.2,0.0,194.0,37.1,1025.7
2021-02-13,-20.0,-27.0,-13.0,0.0,265.0,15.2,1023.0
2021-02-14,-23.7,-26.7,-20.6,0.5,307.0,21.6,1019.6
2021-02-15,-24.9,-27.0,-22.8,0.0,299.0,6.4,1018.0
2021-02-16,-29.9,-33.0,-26.9,0.0,276.0,21.5,1020.0
2021-02-17,-30.8,-32.8,-28.8,0.0,276.0,8.7,1019.8
2021-02-18,-30.6,-32.0,-29.1,1.1,315.0,12.0,1011.1
2021-02-19,-32.0,-33.7,-30.3,0.3,286.0,22.1,1006.9
2021-02-20,-27.8,-30.4,-25.2,0.0,240.0,20.4,1003.0
2021-02-21,-27.5,-30.0,-25.1,0.1,254.0,34.0,995.1
2021-02-22,-25.1,-26.7,-23.5,0.6,263.0,37.3,1001.7
2021-02-23,-27.0,-30.3,-23.8,0.0,267.0,41.7,1014.9
