time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,25.0,24.0,27.0,,48.0,15.9,1012.8
2021-01-02,26.2,22.0,30.0,,56.0,14.5,1012.3
2021-01-03,25.8,24.0,29.0,4.3,50.0,13.6,1012.0
2021-01-04,27.2,23.9,31.2,0.1,58.0,14.5,1012.0
2021-01-05,27.5,24.0,32.0,0.8,57.0,10.2,1011.9
2021-01-06,27.7,24.0,32.1,0.0,46.0,11.4,1011.0
2021-01-07,27.2,23.7,32.0,0.0,61.0,11.9,1010.2
2021-01-08,27.2,24.0,31.0,0.2,50.0,13.8,1010.1
2021-01-09,26.8,24.0,31.0,0.1,54.0,17.6,1011.1
2021-01-10,25.5,23.9,29.0,0.0,47.0,21.8,1011.8
2021-01-11,25.7,23.0,29.0,0.0,53.0,20.1,1012.6
2021-01-12,25.4,23.0,29.0,0.0,56.0,14.4,1012.4
2021-01-13,26.0,23.0,29.3,0.0,46.0,10.8,1011.3
2021-01-14,26.9,23.9,31.0,0.0,56.0,12.5,1010.9
2021-01-15,27.4,24.0,32.0,0.0,74.0,10.6,1009.5
2021-01-16,27.2,24.0,31.1,0.0,60.0,14.5,1009.1
2021-01-17,26.8,24.0,30.0,0.5,55.0,12.6,1010.0
2021-01-18,27.2,25.6,31.0,2.4,52.0,17.3,1010.5
2021-01-19,26.9,20.7,31.0,0.0,51.0,16.2,1009.7
2021-01-20,27.1,24.0,31.0,10.1,63.0,11.1,1009.6
2021-01-21,26.8,24.5,31.0,6.6,79.0,12.1,1009.3
2021-01-22,26.5,24.0,29.0,21.6,117.0,7.4,1009.3
2021-01-23,25.3,24.0,27.0,6.8,51.0,6.0,1010.1
2021-01-24,26.8,23.0,31.6,5.1,61.0,8.4,1011.3
2021-01-25,26.9,24.0,31.0,1.9,55.0,8.5,1011.4
2021-01-26,26.6,24.0,31.0,2.1,67.0,12.0,1010.8
2021-01-27,26.5,24.0,30.0,0.5,58.0,10.6,1010.8
2021-01-28,26.4,24.0,30.0,0.3,59.0,12.7,1012.1
2021-01-29,25.7,24.0,29.2,0.0,55.0,23.3,1012.5
2021-01-30,25.2,23.0,29.0,0.0,48.0,25.4,1013.9
2021-01-31,24.9,22.0,29.0,0.0,49.0,21.3,1014.8
2021-02-01,25.3,22.0,29.3,0.0,52.0,12.6,1014.3
2021-02-02,25.9,21.8,31.0,0.0,55.0,13.5,1013.6
2021-02-03,26.6,23.0,31.0,0.0,53.0,19.4,1013.3
2021-02-04,26.9,24.0,30.7,0.0,47.0,19.4,1013.8
2021-02-05,26.8,24.0,31.0,0.0,56.0,14.9,1013.0
2021-02-06,27.3,24.4,31.0,0.0,52.0,14.7,1012.6
2021-02-07,27.1,23.0,32.0,0.0,58.0,13.7,1011.8
2021-02-08,27.7,24.8,31.0,0.1,53.0,15.2,1011.8
2021-02-09,26.1,24.0,29.0,5.3,62.0,15.6,1010.5
2021-02-10,26.6,24.0,30.0,1.5,61.0,14.7,1009.9
2021-02-11,26.5,24.0,30.0,2.7,15.0,9.0,1009.6
2021-02-12,26.5,23.0,30.0,1.7,3.0,10.2,1010.4
2021-02-13,26.3,23.0,30.0,2.9,44.0,9.6,1011.4
2021-02-14,26.3,23.0,30.0,8.9,36.0,9.4,1011.5
2021-02-15,25.8,23.0,30.0,0.5,61.0,10.1,1011.5
2021-02-16,26.3,22.0,30.9,0.5,62.0,13.5,1011.8
2021-02-17,25.7,21.7,30.0,0.7,49.0,10.0,1012.7
2021-02-18,26.3,23.0,30.3,0.0,56.0,16.7,1014.4
2021-02-19,25.0,21.8,29.0,0.0,58.0,21.9,1014.9
2021-02-20,23.9,20.0,29.0,0.0,57.0,15.1,1014.9
2021-02-21,24.8,20.0,30.0,0.5,41.0,12.0,1013.3
2021-02-22,26.7,23.1,30.0,2.0,46.0,10.6,1010.8
2021-02-23,26.4,23.6,29.3,6.4,44.0,5.5,1009.1
2021-02-24,28.3,25.0,33.0,0.6,52.0,10.2,1008.6
2021-02-25,27.9,23.9,33.0,0.0,41.0,11.0,1008.1
2021-02-26,26.6,22.0,31.1,0.5,43.0,8.9,1008.4
2021-02-27,27.3,22.9,33.0,0.5,48.0,8.3,1009.9
2021-02-28,28.2,23.8,33.0,0.7,61.0,13.3,1011.6
2021-03-01,27.8,25.0,32.4,3.5,38.0,9.3,1013.3
2021-03-02,28.0,24.0,33.0,0.6,31.0,9.3,1013.4
2021-03-03,28.2,25.0,32.0,1.2,72.0,14.1,1013.7
2021-03-04,28.2,25.0,32.0,0.0,80.0,13.2,1014.5
2021-03-05,27.8,23.0,33.0,0.0,74.0,11.5,1014.3
2021-03-06,27.6,23.0,33.0,0.0,56.0,12.7,1014.7
2021-03-07,27.5,23.0,33.2,0.0,61.0,12.9,1013.9
2021-03-08,28.1,24.0,33.0,0.0,62.0,15.1,1014.1
2021-03-09,27.5,24.0,33.0,0.8,67.0,15.3,1014.0
2021-03-10,27.4,22.0,32.0,0.0,63.0,17.3,1014.2
2021-03-11,28.4,25.0,33.0,0.0,54.0,16.8,1013.9
2021-03-12,27.6,24.2,32.0,0.1,59.0,11.3,1012.8
2021-03-13,27.0,25.0,31.0,0.5,55.0,14.7,1012.0
2021-03-14,28.2,25.4,32.0,0.2,65.0,16.3,1010.1
2021-03-15,27.4,24.0,32.0,1.6,67.0,11.7,1009.7
2021-03-16,27.4,24.9,30.6,1.9,73.0,7.7,1010.2
2021-03-17,27.9,24.8,31.0,2.8,130.0,8.4,1010.6
2021-03-18,28.6,24.9,33.0,1.8,34.0,9.4,1009.7
2021-03-19,27.9,25.8,32.9,2.2,63.0,8.9,1009.3
2021-03-20,28.3,24.0,34.0,2.7,38.0,9.4,1008.3
2021-03-21,28.7,25.0,33.0,2.5,48.0,10.5,1009.2
2021-03-22,28.7,25.8,33.0,0.9,63.0,16.6,1011.8
2021-03-23,28.5,26.4,33.0,0.1,57.0,19.3,1012.5
2021-03-24,28.3,24.0,33.0,2.0,65.0,11.3,1011.5
2021-03-25,28.5,25.0,34.0,0.1,49.0,12.2,1011.3
2021-03-26,28.6,23.9,34.0,0.1,62.0,14.5,1010.6
2021-03-27,28.9,25.0,34.0,1.3,49.0,11.4,1010.0
2021-03-28,28.6,25.0,34.0,0.8,34.0,10.9,1009.4
2021-03-29,28.8,25.0,34.0,0.1,45.0,9.4,1008.4
2021-03-30,28.8,24.0,35.0,0.0,50.0,11.2,1007.3
2021-03-31,28.9,24.0,34.1,0.0,52.0,11.1,1007.4
2021-04-01,29.6,24.0,35.4,0.5,73.0,10.3,1007.9
2021-04-02,28.6,23.2,35.0,0.0,55.0,10.7,1009.3
2021-04-03,28.4,23.0,35.0,0.0,58.0,10.6,1009.7
2021-04-04,28.7,23.3,35.0,0.3,53.0,12.3,1010.0
2021-04-05,28.8,23.5,35.2,0.3,60.0,11.1,1011.8
2021-04-06,28.9,24.0,34.2,1.5,58.0,11.7,1012.1
2021-04-07,28.7,24.0,33.6,0.4,66.0,13.2,1011.2
2021-04-08,27.5,24.3,33.0,1.5,43.0,9.8,1010.1
2021-04-09,28.8,24.3,34.0,4.9,55.0,11.2,1010.4
2021-04-10,29.0,25.0,34.3,0.0,62.0,14.5,1012.4
2021-04-11,28.6,23.0,35.0,0.0,60.0,14.0,1013.4
2021-04-12,28.3,22.4,35.0,0.5,53.0,11.4,1012.9
2021-04-13,28.1,23.6,32.0,0.9,4.0,9.9,1011.4
2021-04-14,28.4,25.0,32.0,1.5,37.0,7.4,1010.3
2021-04-15,28.5,25.0,33.0,5.1,27.0,9.3,1009.9
2021-04-16,29.5,26.0,35.3,3.0,40.0,11.9,1010.4
2021-04-17,28.6,25.0,32.0,1.5,8.0,9.6,1010.3
2021-04-18,28.9,24.9,34.5,0.7,46.0,13.4,1008.3
2021-04-19,28.7,25.0,32.0,1.1,2.0,11.2,1006.6
2021-04-20,28.3,25.0,32.0,1.2,322.0,9.6,1006.3
2021-04-21,28.9,27.0,32.0,0.6,309.0,9.3,1006.5
2021-04-22,29.1,26.0,33.0,0.3,345.0,10.0,1006.4
2021-04-23,28.3,25.0,32.0,0.1,344.0,11.7,1007.4
2021-04-24,28.0,24.0,32.2,0.0,349.0,9.6,1009.3
2021-04-25,27.4,23.0,32.6,0.0,19.0,10.3,1009.9
2021-04-26,27.0,22.0,32.0,3.1,61.0,11.1,1011.0
2021-04-27,28.6,24.0,34.0,0.5,69.0,14.1,1012.3
2021-04-28,28.4,25.0,34.0,2.9,50.0,12.2,1012.8
2021-04-29,28.4,24.8,32.0,1.6,17.0,12.2,1011.4
2021-04-30,28.8,25.0,32.5,2.1,348.0,10.7,1011.3
2021-05-01,29.2,26.0,35.0,0.1,52.0,11.8,1011.7
2021-05-02,29.8,25.0,36.3,0.0,47.0,12.0,1011.9
2021-05-03,29.7,25.0,35.0,0.0,64.0,14.9,1010.9
2021-05-04,30.4,25.9,35.0,0.0,67.0,15.9,1010.4
2021-05-05,31.1,26.0,36.0,0.0,67.0,14.2,1010.5
2021-05-06,30.8,26.3,36.0,0.0,62.0,18.0,1011.2
2021-05-07,30.8,26.6,35.0,0.3,64.0,13.1,1010.7
2021-05-08,30.4,26.0,36.0,2.1,57.0,10.4,1009.9
2021-05-09,30.8,27.0,36.8,1.2,38.0,9.7,1009.0
2021-05-10,31.2,27.0,37.0,1.5,66.0,10.9,1009.2
2021-05-11,30.0,26.5,35.0,2.9,46.0,9.9,1009.4
2021-05-12,31.1,26.9,37.0,1.3,68.0,12.9,1009.0
2021-05-13,31.2,27.0,36.1,0.1,73.0,14.1,1008.7
2021-05-14,31.2,26.8,36.0,0.0,64.0,16.0,1008.9
2021-05-15,30.9,27.0,36.6,0.2,75.0,14.6,1009.4
2021-05-16,31.2,27.0,36.4,1.8,62.0,11.7,1009.5
2021-05-17,31.3,26.6,38.0,0.0,45.0,11.5,1009.7
2021-05-18,30.7,27.7,36.0,0.6,58.0,13.7,1009.7
2021-05-19,30.9,27.0,35.9,0.0,70.0,14.9,1009.0
2021-05-20,29.9,26.0,35.8,5.6,122.0,13.4,1010.0
2021-05-21,29.3,25.9,33.0,4.4,170.0,12.3,1010.2
2021-05-22,29.6,26.0,33.0,7.9,196.0,12.4,1009.3
2021-05-23,29.3,25.0,33.3,3.9,90.0,11.8,1009.3
2021-05-24,28.8,25.0,33.3,5.6,90.0,10.0,1010.6
2021-05-25,30.2,25.0,37.0,1.8,29.0,10.9,1010.3
2021-05-26,30.2,26.0,34.0,2.6,2.0,10.1,1010.2
2021-05-27,30.3,27.0,33.4,2.3,332.0,11.3,1010.5
2021-05-28,30.6,27.0,35.0,4.9,43.0,10.7,1010.6
2021-05-29,30.6,26.7,34.0,4.0,26.0,12.8,1008.9
2021-05-30,30.1,26.0,34.0,4.6,34.0,11.8,1008.2
2021-05-31,30.1,26.0,33.5,5.6,22.0,10.9,1006.9
2021-06-01,30.3,27.0,35.6,3.1,30.0,11.6,1007.1
