time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,6.6,-1.0,17.0,,347.0,7.5,1024.0
2021-01-02,7.3,-1.6,17.0,0.0,57.0,7.2,1025.4
2021-01-03,9.6,0.0,15.0,0.0,67.0,19.7,1024.2
2021-01-04,8.6,1.4,13.0,0.0,43.0,32.8,1024.5
2021-01-05,9.3,2.4,15.0,0.0,51.0,21.8,1025.6
2021-01-06,5.2,-4.0,14.0,0.0,88.0,10.6,1026.6
2021-01-07,3.7,-4.0,15.0,0.0,98.0,8.8,1026.1
2021-01-08,2.8,-6.0,15.0,0.0,350.0,8.6,1026.3
2021-01-09,3.4,-5.0,15.0,0.0,318.0,8.3,1025.7
2021-01-10,3.1,-6.0,15.0,0.0,356.0,7.2,1025.7
2021-01-11,3.3,-5.0,15.0,0.0,330.0,7.5,1026.5
2021-01-12,5.3,-3.0,17.0,0.0,351.0,7.2,1026.0
2021-01-13,9.5,-1.0,70.0,0.0,34.0,7.2,1022.4
2021-01-14,8.5,3.0,14.0,0.4,288.0,12.3,1016.5
2021-01-15,7.9,3.0,12.0,3.7,122.0,12.5,1017.7
2021-01-16,6.0,0.0,15.0,0.0,357.0,7.8,1017.8
2021-01-17,7.0,2.4,12.0,1.6,171.0,5.6,1014.5
2021-01-18,9.6,4.0,13.0,10.3,195.0,16.5,1017.2
2021-01-19,8.4,2.0,14.0,3.4,176.0,18.0,1019.9
2021-01-20,8.6,3.0,13.0,16.3,183.0,26.0,1015.2
2021-01-21,3.4,1.0,7.0,1.1,19.0,14.5,1024.0
2021-01-22,2.4,-3.9,7.0,0.0,43.0,26.8,1029.9
2021-01-23,3.7,-5.1,10.0,0.0,75.0,17.2,1027.2
2021-01-24,2.3,-7.0,12.0,0.0,77.0,7.3,1026.3
2021-01-25,2.6,-6.0,14.0,0.0,356.0,8.9,1025.0
2021-01-26,4.4,-3.0,15.0,0.0,358.0,8.2,1024.8
2021-01-27,5.4,-2.5,15.0,0.0,60.0,7.6,1022.8
2021-01-28,8.1,3.2,12.0,4.1,15.0,8.9,1017.9
2021-01-29,10.2,6.0,16.0,13.6,120.0,11.0,1015.5
2021-01-30,5.6,0.0,9.0,4.7,240.0,12.9,1019.3
2021-01-31,4.4,-2.0,10.0,0.2,48.0,7.0,1023.3
2021-02-01,7.8,2.0,15.0,0.0,323.0,7.0,1026.9
2021-02-02,6.1,-2.0,16.0,0.0,326.0,9.0,1025.8
2021-02-03,7.1,-2.0,18.0,0.0,344.0,8.2,1022.8
2021-02-04,8.9,0.0,17.0,1.0,293.0,9.5,1021.7
2021-02-05,9.5,7.1,11.0,17.8,100.0,11.5,1019.8
2021-02-06,9.7,7.3,12.0,5.3,115.0,7.9,1019.2
2021-02-07,11.1,6.0,17.0,0.0,55.0,7.4,1020.7
2021-02-08,9.1,2.0,17.0,0.0,301.0,6.8,1027.0
2021-02-09,9.4,4.0,19.0,0.0,330.0,6.4,1027.7
2021-02-10,8.7,0.9,18.0,0.0,35.0,7.8,1023.5
2021-02-11,8.7,1.0,18.0,0.0,306.0,6.8,1021.2
2021-02-12,8.4,0.0,19.0,0.0,51.0,7.7,1018.9
2021-02-13,8.8,0.0,19.0,0.0,313.0,7.0,1020.0
2021-02-14,8.8,1.0,20.0,0.0,318.0,7.5,1022.7
2021-02-15,9.4,0.0,20.0,0.0,6.0,8.9,1018.7
2021-02-16,15.7,5.0,24.0,0.0,140.0,17.0,1011.6
2021-02-17,13.0,9.0,21.0,21.6,189.0,27.2,1008.6
2021-02-18,5.9,2.0,10.0,2.9,193.0,14.7,1015.6
2021-02-19,5.5,2.0,10.0,1.7,133.0,7.5,1023.8
2021-02-20,3.3,-1.6,5.0,5.8,100.0,9.3,1023.5
2021-02-21,4.5,-1.0,10.0,0.8,287.0,9.9,1025.3
2021-02-22,2.5,-5.0,10.0,0.0,283.0,7.7,1026.1
2021-02-23,3.3,-4.2,13.0,0.0,303.0,9.1,1024.3
2021-02-24,7.4,-3.0,17.0,0.0,15.0,18.9,1019.0
2021-02-25,9.9,6.0,14.0,0.0,37.0,28.5,1020.0
2021-02-26,9.4,1.4,15.0,0.0,42.0,21.2,1021.4
2021-02-27,9.5,2.0,17.0,0.0,81.0,6.8,1019.8
2021-02-28,7.5,-1.0,17.0,0.0,290.0,8.9,1018.5
2021-03-01,7.5,-1.0,17.0,0.0,314.0,7.9,1019.4
2021-03-02,7.7,0.7,15.0,0.0,65.0,9.3,1023.2
2021-03-03,8.2,0.3,16.0,0.6,11.0,8.6,1021.5
2021-03-04,11.4,4.0,18.0,1.8,91.0,9.9,1016.9
2021-03-05,8.4,3.0,12.0,8.6,120.0,13.4,1017.4
2021-03-06,8.1,0.7,16.0,0.0,317.0,8.5,1024.2
2021-03-07,8.5,1.0,18.0,0.0,302.0,8.4,1020.0
2021-03-08,9.6,0.0,20.0,0.2,258.0,14.2,1015.6
2021-03-09,9.4,2.0,17.0,0.0,280.0,10.9,1018.0
2021-03-10,10.8,5.0,18.0,0.0,280.0,7.7,1020.2
2021-03-11,15.8,9.0,21.0,3.3,157.0,26.0,1011.1
2021-03-12,12.8,8.0,18.0,21.7,189.0,16.4,1003.9
2021-03-13,9.0,3.0,15.0,0.0,30.0,14.3,1017.6
2021-03-14,9.2,0.0,18.0,0.0,80.0,6.9,1018.6
2021-03-15,11.0,4.0,18.0,0.9,308.0,7.5,1016.8
2021-03-16,12.2,4.0,20.0,1.0,19.0,7.3,1015.6
2021-03-17,14.9,7.0,24.0,1.3,279.0,9.5,1013.5
2021-03-18,12.9,7.0,20.0,0.8,277.0,13.5,1012.5
2021-03-19,9.0,1.0,17.0,0.0,289.0,11.2,1016.9
