time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,23.8,,26.5,5.8,,,
2021-01-02,24.2,22.0,26.0,0.5,15.0,8.8,1012.1
2021-01-03,24.9,21.9,29.0,0.0,17.0,9.6,1011.1
2021-01-04,25.4,22.3,28.0,0.3,17.0,8.4,1010.8
2021-01-05,26.3,22.5,30.1,1.3,26.0,10.5,1011.5
2021-01-06,25.8,23.4,30.0,11.9,19.0,8.0,1010.3
2021-01-07,26.5,23.0,31.0,15.2,30.0,8.0,1009.3
2021-01-08,26.7,22.6,30.0,2.3,36.0,7.2,1008.6
2021-01-09,26.4,23.0,30.0,2.0,34.0,8.2,1009.7
2021-01-10,26.2,22.8,29.0,1.7,26.0,10.9,1010.5
2021-01-11,26.4,22.5,30.0,1.5,31.0,12.1,1011.5
2021-01-12,25.3,22.0,28.0,1.4,30.0,13.1,1011.9
2021-01-13,23.4,22.0,28.0,0.3,15.0,10.0,1012.5
2021-01-14,24.6,19.3,29.1,0.4,19.0,9.3,1011.8
2021-01-15,25.8,19.9,29.6,0.0,20.0,9.3,1009.8
2021-01-16,26.7,21.7,30.0,2.6,32.0,10.6,1009.6
2021-01-17,26.8,23.0,31.0,0.0,34.0,11.7,1011.2
2021-01-18,26.3,22.8,31.0,1.1,35.0,12.8,1011.8
2021-01-19,25.4,21.9,28.8,0.3,23.0,10.4,1011.8
2021-01-20,25.7,20.9,30.0,0.0,21.0,9.4,1011.9
2021-01-21,26.5,21.0,31.2,0.1,27.0,7.1,1011.0
2021-01-22,26.5,21.1,31.1,0.1,26.0,7.1,1010.5
2021-01-23,27.1,21.7,32.0,0.4,30.0,7.1,1010.3
2021-01-24,26.9,21.7,31.5,0.5,17.0,7.0,1010.7
2021-01-25,27.2,22.0,32.4,1.0,36.0,7.1,1010.7
2021-01-26,27.2,21.9,32.0,2.0,29.0,6.8,1009.8
2021-01-27,27.4,22.1,32.3,0.8,35.0,7.0,1010.1
2021-01-28,27.4,22.5,32.0,1.2,37.0,7.8,1011.3
2021-01-29,27.2,22.5,32.0,1.7,48.0,6.7,1011.6
2021-01-30,26.7,22.0,32.0,0.2,39.0,8.3,1012.0
2021-01-31,26.7,21.8,32.0,0.0,37.0,7.6,1012.4
2021-02-01,26.8,21.5,31.0,0.3,30.0,8.2,1012.8
2021-02-02,27.1,22.0,32.0,1.2,27.0,6.8,1012.8
2021-02-03,27.3,22.0,32.2,0.8,37.0,7.4,1012.0
2021-02-04,26.7,21.7,32.0,0.9,48.0,7.2,1012.6
2021-02-05,26.9,21.0,31.4,0.0,39.0,7.6,1012.1
2021-02-06,27.6,22.0,32.9,3.7,25.0,7.5,1010.7
2021-02-07,27.6,22.0,32.5,0.6,34.0,9.2,1010.7
2021-02-08,28.0,21.7,32.8,0.7,28.0,7.0,1010.5
2021-02-09,28.1,22.0,34.0,0.7,15.0,6.9,1009.8
2021-02-10,28.7,22.8,33.0,0.5,34.0,10.2,1009.7
2021-02-11,27.3,22.8,32.0,1.0,39.0,12.8,1010.6
2021-02-12,27.6,23.4,32.0,0.4,35.0,12.1,1011.4
2021-02-13,26.6,21.7,33.2,0.0,27.0,9.9,1012.0
2021-02-14,27.8,21.5,33.2,0.0,31.0,7.8,1012.1
2021-02-15,27.5,21.0,34.2,0.0,30.0,7.3,1011.1
2021-02-16,27.4,21.0,34.1,0.1,41.0,6.6,1010.3
2021-02-17,27.2,21.9,33.0,0.9,62.0,8.2,1011.3
2021-02-18,27.0,21.0,33.6,0.0,85.0,8.2,1012.9
2021-02-19,28.4,20.0,32.0,0.0,52.0,10.2,1013.5
2021-02-20,26.7,21.0,33.0,0.2,64.0,10.8,1012.3
2021-02-21,23.1,21.0,32.0,0.0,68.0,9.6,1012.1
2021-02-22,26.3,18.6,32.4,0.0,25.0,8.8,1011.6
2021-02-23,26.6,18.5,32.0,0.0,34.0,7.1,1010.7
2021-02-24,26.9,19.0,34.4,0.0,9.0,6.9,1010.0
2021-02-25,27.6,19.0,37.2,0.0,12.0,4.6,1009.0
2021-02-26,27.8,18.0,37.6,0.0,323.0,5.0,1008.0
2021-02-27,27.7,18.0,36.5,0.0,4.0,5.9,1007.7
2021-02-28,28.6,20.0,36.0,0.0,353.0,7.4,1009.1
2021-03-01,28.4,23.0,34.2,0.3,22.0,7.7,1011.4
2021-03-02,28.2,22.5,33.0,0.0,33.0,10.3,1011.3
2021-03-03,28.2,22.0,34.4,0.0,36.0,6.6,1011.5
2021-03-04,28.8,22.7,35.4,0.0,56.0,10.0,1011.5
2021-03-05,28.3,21.8,33.0,0.0,32.0,11.3,1011.8
2021-03-06,28.3,21.6,33.5,0.1,30.0,10.6,1012.2
2021-03-07,28.3,21.6,34.9,0.1,18.0,7.5,1011.9
2021-03-08,27.7,21.2,33.0,0.0,31.0,8.3,1012.3
2021-03-09,28.1,21.0,33.8,0.3,30.0,8.4,1012.5
2021-03-10,28.2,21.6,34.6,0.8,31.0,8.6,1012.3
2021-03-11,28.6,22.0,33.5,2.1,48.0,9.4,1012.0
2021-03-12,28.7,22.6,34.5,0.9,38.0,9.0,1012.4
2021-03-13,28.3,22.9,34.4,0.9,26.0,9.3,1012.2
2021-03-14,28.5,22.0,34.8,1.4,28.0,9.0,1010.5
2021-03-15,27.7,21.7,34.1,0.0,28.0,10.5,1009.9
2021-03-16,27.8,21.0,34.3,0.4,27.0,7.3,1009.7
2021-03-17,27.9,21.0,34.7,0.4,48.0,7.8,1009.3
2021-03-18,28.1,21.0,35.0,0.0,1.0,8.5,1009.1
2021-03-19,28.6,21.8,34.5,0.0,10.0,8.1,1008.7
2021-03-20,29.1,22.5,35.7,0.0,19.0,7.9,1007.5
2021-03-21,28.8,22.5,34.7,0.0,6.0,7.6,1007.7
2021-03-22,27.9,23.0,34.4,0.5,20.0,8.9,1010.0
2021-03-23,28.2,22.9,34.2,3.1,47.0,7.4,1010.8
2021-03-24,28.3,23.0,33.0,1.4,29.0,8.6,1009.5
2021-03-25,28.9,24.0,35.2,0.2,40.0,9.5,1008.9
2021-03-26,28.5,23.6,34.0,1.3,28.0,8.8,1009.1
2021-03-27,30.1,23.8,35.2,0.3,46.0,10.7,1008.0
2021-03-28,29.4,25.0,35.0,7.7,34.0,10.9,1008.2
2021-03-29,29.7,25.0,36.4,0.8,53.0,7.2,1008.0
2021-03-30,28.4,24.7,37.4,74.2,214.0,6.3,1007.1
2021-03-31,28.7,24.0,36.0,41.5,216.0,6.2,1006.3
2021-04-01,28.3,24.4,33.3,10.9,206.0,10.0,1006.9
2021-04-02,28.8,24.0,35.8,0.5,217.0,11.1,1007.6
2021-04-03,29.0,24.0,36.5,1.5,223.0,6.2,1007.4
2021-04-04,26.9,24.0,34.0,23.7,266.0,5.5,1008.3
2021-04-05,28.2,23.5,34.5,0.5,308.0,5.2,1009.5
2021-04-06,28.5,23.9,34.0,0.5,302.0,5.2,1010.1
2021-04-07,26.6,23.7,34.0,6.0,289.0,5.6,1011.3
2021-04-08,28.9,23.5,34.5,0.8,17.0,6.7,1009.9
2021-04-09,27.9,23.9,35.0,1.3,304.0,5.4,1009.7
2021-04-10,26.9,23.0,34.0,3.9,255.0,4.1,1010.4
2021-04-11,27.5,24.0,33.0,7.0,357.0,6.2,1011.4
2021-04-12,27.5,24.0,34.0,1.0,22.0,6.5,1011.5
2021-04-13,26.7,23.0,33.0,8.2,325.0,4.7,1011.2
2021-04-14,26.2,23.0,36.0,8.2,284.0,4.8,1011.3
2021-04-15,27.2,22.0,36.0,4.9,323.0,3.4,1010.1
2021-04-16,28.0,23.0,36.2,11.2,272.0,4.9,1010.3
2021-04-17,27.9,23.0,35.0,4.6,306.0,4.6,1011.3
2021-04-18,28.9,24.5,35.5,12.2,279.0,5.5,1011.0
2021-04-19,27.0,24.0,33.6,7.5,207.0,7.2,1010.1
2021-04-20,28.1,23.7,35.0,13.3,294.0,5.3,1009.4
2021-04-21,28.5,24.0,35.0,5.0,249.0,4.7,1009.6
2021-04-22,28.7,24.0,35.1,7.0,288.0,4.5,1009.5
2021-04-23,28.2,24.0,34.5,6.1,205.0,6.1,1008.8
2021-04-24,26.8,24.0,34.0,0.7,258.0,5.6,1008.9
2021-04-25,27.9,23.9,35.4,9.4,241.0,6.7,1009.4
2021-04-26,28.1,23.8,35.0,4.6,268.0,5.9,1009.3
2021-04-27,28.7,24.0,35.5,2.3,241.0,5.8,1010.1
2021-04-28,28.3,24.0,33.7,11.4,6.0,5.2,1010.8
2021-04-29,27.4,24.0,35.0,9.9,303.0,5.1,1010.5
2021-04-30,27.3,23.0,35.0,0.0,340.0,3.9,1010.1
2021-05-01,27.2,23.0,32.0,3.3,12.0,6.1,1010.1
2021-05-02,27.1,24.0,33.2,9.4,22.0,5.1,1009.7
