time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.0,,30.0,0.0,,,
2021-01-02,25.6,23.7,,5.1,,,
2021-01-03,26.6,24.0,29.4,29.2,84.0,23.0,1010.1
2021-01-04,26.3,23.5,29.0,17.8,86.0,24.4,1010.0
2021-01-05,27.2,22.5,30.4,7.9,75.0,24.4,1009.9
2021-01-06,25.7,23.6,27.7,12.2,75.0,22.0,1009.3
2021-01-07,25.1,23.4,26.5,35.6,74.0,19.8,1008.7
2021-01-08,26.5,20.0,29.0,54.1,82.0,14.9,1007.8
2021-01-09,27.7,23.4,30.8,0.5,56.0,11.6,1008.3
2021-01-10,26.3,25.5,29.4,0.0,73.0,18.1,1008.7
2021-01-11,24.8,25.5,25.2,108.0,60.0,22.0,1009.0
2021-01-12,24.7,19.0,25.0,175.5,39.0,18.8,1008.6
2021-01-13,26.0,18.0,28.8,7.1,36.0,22.4,1008.3
2021-01-14,25.9,23.5,27.3,2.5,85.0,11.5,1008.4
2021-01-15,26.9,19.5,29.6,3.4,55.0,9.9,1007.8
2021-01-16,26.2,23.0,29.2,0.0,79.0,12.4,1007.2
2021-01-17,25.9,25.3,29.0,27.7,83.0,20.7,1007.8
2021-01-18,24.9,23.6,26.0,1.8,82.0,23.1,1007.3
2021-01-19,26.2,23.5,28.4,117.3,173.0,14.9,1006.4
2021-01-20,26.8,23.6,30.9,4.1,179.0,7.4,1009.2
2021-01-21,26.6,24.0,30.0,5.1,109.0,11.8,1009.7
2021-01-22,27.3,24.0,30.4,0.0,108.0,7.2,1010.3
2021-01-23,28.0,24.2,32.0,0.0,96.0,10.5,1009.9
2021-01-24,27.8,24.5,30.8,1.0,69.0,12.0,1010.9
2021-01-25,27.3,25.6,31.2,2.8,70.0,20.4,1010.3
2021-01-26,26.4,24.0,29.2,0.8,57.0,19.7,1009.4
2021-01-27,27.1,22.6,30.2,11.7,71.0,20.7,1009.0
2021-01-28,26.4,23.6,29.4,0.0,60.0,20.5,1010.2
2021-01-29,26.6,23.5,29.5,30.0,54.0,28.0,1010.4
2021-01-30,26.4,24.5,29.0,5.6,63.0,33.0,1011.1
2021-01-31,26.9,22.5,29.8,46.7,57.0,32.0,1011.9
2021-02-01,24.8,23.0,25.9,30.7,67.0,28.7,1011.5
