time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,0.4,-1.2,1.8,,,,
2021-01-02,-0.5,-2.5,1.0,0.0,164.0,24.5,1019.4
2021-01-03,-4.3,-7.5,-0.7,0.0,259.0,17.5,1023.9
2021-01-04,-1.6,-3.7,0.2,0.9,224.0,29.6,1026.9
2021-01-05,-2.4,-5.0,-0.1,0.0,221.0,45.6,1023.7
2021-01-06,-3.9,-5.0,-2.4,0.0,223.0,48.0,1021.7
2021-01-07,-5.4,-8.5,-2.8,0.0,224.0,48.7,1020.9
2021-01-08,-7.0,-9.9,-5.0,0.0,214.0,27.8,1021.7
2021-01-09,-6.6,-8.4,-5.0,0.0,206.0,23.0,1023.5
2021-01-10,-6.6,-8.2,-5.5,0.0,182.0,32.3,1018.7
2021-01-11,-7.9,-8.5,-7.0,0.0,195.0,42.6,1019.3
2021-01-12,-9.6,-13.0,-7.2,0.0,215.0,39.8,1023.1
2021-01-13,-14.3,-16.2,-10.3,0.0,228.0,60.4,1023.0
2021-01-14,-5.2,-12.5,0.5,0.0,267.0,36.9,1016.7
2021-01-15,-1.3,-3.3,0.2,0.0,266.0,15.1,1012.2
2021-01-16,1.3,0.5,2.6,1.9,304.0,26.3,1009.9
2021-01-17,1.3,0.1,2.1,0.1,304.0,26.2,1004.5
2021-01-18,-0.6,-3.0,2.0,0.0,295.0,24.4,999.3
2021-01-19,-2.6,-6.5,0.6,0.0,45.0,32.3,1010.5
2021-01-20,-4.1,-5.0,-3.0,1.3,89.0,31.1,1017.8
2021-01-21,-4.6,-6.0,-3.6,1.4,106.0,38.6,1017.9
2021-01-22,-7.4,-9.0,-6.2,0.8,150.0,41.5,1017.1
2021-01-23,-5.8,-7.5,-3.9,0.6,135.0,52.9,1010.8
2021-01-24,-5.9,-7.4,-4.0,1.1,140.0,35.8,1003.7
2021-01-25,-2.5,-4.1,-1.0,6.6,126.0,39.0,1005.8
2021-01-26,-2.1,-3.0,-1.2,5.3,100.0,50.5,1014.0
2021-01-27,-3.4,-4.0,-2.5,0.3,85.0,46.3,1015.0
2021-01-28,-3.5,-5.0,-2.8,0.0,108.0,36.1,1016.0
2021-01-29,-5.6,-7.0,-4.2,2.2,134.0,36.4,1012.2
2021-01-30,-2.1,-3.7,-1.0,6.3,84.0,40.9,1002.7
2021-01-31,-2.7,-3.8,-2.0,2.3,82.0,31.2,994.3
2021-02-01,-2.7,-6.0,-1.0,1.1,74.0,23.3,997.8
2021-02-02,-3.0,-4.5,-1.7,0.5,11.0,33.4,1007.9
2021-02-03,-2.5,-3.9,-0.9,0.2,10.0,42.1,1014.7
2021-02-04,-2.1,-3.0,-1.0,0.8,41.0,35.0,1020.7
