time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-12.7,-18.1,-7.3,0.0,236.0,12.9,1016.6
2021-01-02,-5.4,-14.8,3.9,0.0,232.0,10.9,1002.3
2021-01-03,-0.4,-4.8,4.0,0.0,228.0,16.3,994.6
2021-01-04,-7.7,-15.3,-0.2,0.0,237.0,14.3,1007.4
2021-01-05,-10.1,-17.3,-2.9,0.0,315.0,5.5,1015.5
2021-01-06,-3.3,-7.9,1.3,0.0,228.0,13.3,1018.4
2021-01-07,-3.6,-7.9,0.7,0.0,223.0,18.0,1023.1
2021-01-08,-6.5,-10.6,-2.4,0.0,218.0,17.7,1030.9
2021-01-09,-7.6,-11.2,-3.9,0.0,228.0,21.1,1029.0
2021-01-10,-7.6,-9.6,-5.6,0.0,229.0,22.5,1019.6
2021-01-11,-6.4,-9.8,-2.9,0.0,221.0,22.1,1013.4
2021-01-12,-3.4,-6.9,0.1,0.0,226.0,20.0,1006.7
2021-01-13,-5.5,-10.6,-0.3,1.7,226.0,6.2,996.4
2021-01-14,-1.0,-3.3,1.4,0.6,303.0,19.6,1004.3
2021-01-15,-7.6,-11.9,-3.3,0.1,285.0,11.7,1022.9
2021-01-16,-5.4,-9.9,-1.0,0.3,234.0,19.0,1011.7
2021-01-17,-10.6,-16.3,-4.9,0.7,49.0,13.3,1017.6
2021-01-18,-19.7,-23.5,-15.9,0.8,51.0,9.9,1022.7
2021-01-19,-15.0,-28.5,-1.6,0.0,215.0,16.6,1021.5
2021-01-20,-5.2,-13.4,3.1,1.6,253.0,23.8,992.6
2021-01-21,-16.0,-20.3,-11.7,0.0,236.0,15.8,1019.5
2021-01-22,-12.7,-15.2,-10.3,0.1,206.0,10.5,1020.1
2021-01-23,-19.4,-25.6,-13.2,1.3,329.0,10.9,1017.3
2021-01-24,-30.5,-36.8,-24.2,0.0,219.0,8.8,1029.1
2021-01-25,-30.4,-36.6,-24.2,0.0,228.0,5.5,1035.1
2021-01-26,-29.0,-35.3,-22.8,0.0,215.0,7.0,1036.1
2021-01-27,-26.2,-33.0,-19.3,0.0,224.0,6.0,1037.8
2021-01-28,-22.7,-30.3,-15.1,0.2,25.0,6.4,1032.1
2021-01-29,-16.1,-22.5,-9.7,0.0,0.0,5.8,1021.1
2021-01-30,-9.1,-10.4,-7.7,1.1,358.0,3.6,1020.3
2021-01-31,-7.6,-9.4,-5.9,0.0,221.0,5.7,1028.4
2021-02-01,-11.8,-16.4,-7.3,0.0,80.0,5.8,1025.9
2021-02-02,-9.0,-14.2,-3.9,0.0,272.0,4.2,1013.4
2021-02-03,-7.8,-11.6,-3.9,7.1,271.0,15.3,1008.1
2021-02-04,-16.4,-21.7,-11.1,0.0,295.0,13.3,1013.4
2021-02-05,-23.5,-28.5,-18.5,0.1,303.0,12.6,1019.4
2021-02-06,-30.0,-34.7,-25.2,0.0,251.0,13.6,1030.4
2021-02-07,-33.4,-37.7,-29.1,0.0,224.0,16.8,1031.9
2021-02-08,-31.6,-37.2,-26.0,0.0,227.0,25.3,1024.1
2021-02-09,-26.7,-29.7,-23.6,0.0,269.0,18.9,1024.4
2021-02-10,-30.4,-35.6,-25.2,0.0,269.0,11.4,1035.3
2021-02-11,-33.6,-38.4,-28.8,0.0,226.0,14.7,1040.8
2021-02-12,-33.9,-39.3,-28.5,0.0,247.0,8.3,1039.5
2021-02-13,-33.6,-40.3,-26.9,0.0,216.0,10.9,1044.8
2021-02-14,-27.3,-32.4,-22.1,0.0,220.0,20.7,1040.9
2021-02-15,-23.5,-29.5,-17.6,0.0,219.0,15.5,1031.8
2021-02-16,-25.0,-33.6,-16.4,0.0,212.0,6.2,1024.2
