time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,19.7,13.2,28.2,0.0,,,
2021-01-02,19.7,13.9,26.8,0.0,25.0,3.8,1014.8
2021-01-03,20.4,11.6,28.1,0.0,36.0,4.9,1014.0
2021-01-04,20.1,15.0,28.8,0.0,35.0,3.9,1014.3
2021-01-05,21.0,15.2,29.0,0.0,31.0,5.0,1014.5
2021-01-06,21.3,15.5,28.6,0.0,45.0,4.9,1012.7
2021-01-07,21.1,16.7,28.8,0.0,52.0,4.9,1011.8
2021-01-08,20.8,16.5,28.3,0.0,38.0,4.7,1011.7
2021-01-09,20.2,16.0,26.8,0.0,65.0,4.5,1011.7
2021-01-10,20.2,16.2,25.3,0.0,51.0,4.5,1011.6
2021-01-11,20.5,16.3,27.1,0.0,66.0,4.6,1013.0
2021-01-12,19.8,15.5,26.8,0.0,40.0,4.6,1013.4
2021-01-13,18.1,14.1,26.6,0.0,296.0,3.1,1014.0
2021-01-14,17.4,12.8,24.6,0.0,34.0,4.0,1014.4
2021-01-15,17.9,12.5,25.5,0.0,12.0,4.4,1012.6
2021-01-16,16.8,12.0,24.5,0.0,50.0,3.9,1011.9
2021-01-17,17.5,11.5,25.7,0.0,44.0,3.4,1014.6
2021-01-18,19.9,12.5,26.8,0.0,61.0,4.0,1014.2
2021-01-19,17.5,13.0,23.3,0.0,155.0,5.8,1012.7
2021-01-20,17.6,14.0,21.8,3.5,71.0,5.3,1012.7
2021-01-21,18.2,15.1,23.0,6.4,61.0,4.7,1013.0
2021-01-22,16.6,11.6,23.7,0.0,93.0,6.3,1013.6
2021-01-23,16.5,10.7,23.7,0.0,315.0,6.0,1013.0
2021-01-24,16.6,10.8,23.0,0.0,35.0,5.0,1014.2
2021-01-25,16.7,11.2,23.5,0.0,64.0,5.9,1015.2
2021-01-26,17.2,11.4,23.7,0.0,61.0,5.3,1014.6
2021-01-27,16.5,11.0,23.7,0.0,294.0,5.8,1014.6
2021-01-28,16.5,10.5,24.1,0.0,292.0,5.2,1015.0
2021-01-29,16.8,11.4,23.9,0.0,183.0,5.0,1014.3
2021-01-30,17.1,11.8,23.1,0.0,227.0,6.1,1014.6
2021-01-31,16.5,11.6,22.2,0.0,252.0,5.3,1016.3
2021-02-01,15.7,10.3,23.0,0.0,260.0,5.6,1017.3
2021-02-02,16.6,9.8,24.0,0.0,256.0,5.4,1016.8
2021-02-03,17.7,11.1,25.2,0.0,187.0,5.3,1015.6
2021-02-04,18.5,11.6,26.9,0.0,29.0,5.4,1015.5
2021-02-05,18.9,11.2,27.6,0.0,63.0,5.7,1014.2
2021-02-06,19.5,12.1,26.8,0.0,61.0,6.0,1013.3
2021-02-07,18.5,13.5,24.4,0.4,12.0,6.2,1014.6
2021-02-08,19.0,12.2,26.0,0.0,221.0,6.9,1014.5
2021-02-09,19.8,12.9,28.1,0.0,166.0,6.3,1013.8
2021-02-10,19.4,12.2,27.5,0.0,224.0,6.6,1012.6
2021-02-11,19.6,12.5,26.9,0.0,335.0,6.6,1013.0
2021-02-12,20.1,13.6,27.6,0.0,22.0,6.6,1013.4
2021-02-13,19.9,13.3,27.5,0.0,238.0,6.5,1013.7
2021-02-14,20.3,13.5,27.2,0.0,187.0,6.3,1013.3
2021-02-15,20.7,14.1,27.3,0.0,91.0,6.7,1012.4
2021-02-16,20.6,14.5,27.6,0.0,57.0,7.6,1012.6
2021-02-17,20.9,14.5,28.0,0.0,42.0,6.4,1013.3
2021-02-18,21.9,15.2,29.4,0.0,138.0,6.6,1014.6
2021-02-19,22.5,16.2,29.0,0.0,122.0,6.2,1015.6
2021-02-20,22.6,17.0,28.6,0.0,177.0,5.7,1015.4
2021-02-21,21.8,15.4,29.0,0.0,155.0,5.8,1014.8
2021-02-22,24.1,14.9,31.5,0.0,198.0,6.5,1013.6
2021-02-23,23.4,15.9,32.3,0.0,47.0,5.4,1011.6
2021-02-24,23.4,16.7,30.8,0.0,22.0,6.5,1010.1
2021-02-25,23.4,18.0,29.3,0.0,74.0,5.4,1008.9
2021-02-26,23.4,17.5,29.5,0.1,110.0,5.9,1007.8
2021-02-27,23.8,19.5,30.1,0.4,123.0,6.0,1007.5
2021-02-28,24.5,19.0,30.3,0.0,122.0,6.1,1008.5
2021-03-01,26.2,21.2,32.5,0.0,38.0,4.2,1011.1
2021-03-02,24.7,19.6,31.0,0.8,317.0,6.0,1011.9
2021-03-03,24.6,19.1,30.4,0.0,54.0,5.6,1011.1
2021-03-04,23.6,16.4,30.0,0.0,211.0,7.2,1011.2
2021-03-05,22.9,16.2,31.2,0.1,113.0,7.5,1011.1
2021-03-06,21.6,18.3,25.9,12.5,69.0,8.4,1011.9
2021-03-07,21.9,18.2,27.1,8.2,77.0,6.5,1013.0
2021-03-08,22.4,17.5,27.7,0.6,82.0,5.9,1013.6
2021-03-09,22.0,18.9,27.5,16.7,39.0,6.3,1013.3
2021-03-10,22.4,18.5,27.6,18.6,53.0,7.2,1013.4
2021-03-11,24.2,19.1,29.9,0.9,58.0,5.5,1013.8
2021-03-12,24.1,19.0,30.4,0.0,77.0,6.9,1014.7
2021-03-13,24.2,18.8,30.5,0.0,96.0,6.3,1013.2
2021-03-14,23.2,18.9,29.0,0.0,255.0,6.6,1011.2
