time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.7,24.8,31.2,1.5,,,
2021-01-02,25.9,,28.0,3.3,,,
2021-01-03,26.6,25.0,30.5,1.3,90.0,9.3,1010.5
2021-01-04,26.5,24.6,29.4,9.7,52.0,7.8,1010.5
2021-01-05,27.7,24.4,32.0,7.4,47.0,7.6,1010.3
2021-01-06,27.6,24.3,31.5,0.5,36.0,8.6,1009.5
2021-01-07,26.0,24.7,29.2,8.6,29.0,6.4,1008.7
2021-01-08,26.2,24.4,28.5,39.6,33.0,6.8,1008.1
2021-01-09,26.9,25.0,31.3,4.3,50.0,4.7,1008.5
2021-01-10,25.1,24.6,27.6,0.0,35.0,9.3,1009.2
2021-01-11,24.7,23.6,25.6,135.1,8.0,12.9,1009.7
2021-01-12,24.9,24.2,26.5,83.1,337.0,16.6,1009.2
2021-01-13,25.4,23.7,26.8,13.0,332.0,11.6,1008.8
2021-01-14,27.1,23.6,30.5,2.8,108.0,7.9,1008.5
2021-01-15,26.9,23.9,31.4,0.0,331.0,6.3,1007.9
2021-01-16,26.4,24.5,29.8,33.5,117.0,7.3,1007.1
2021-01-17,26.7,25.0,29.4,1.8,53.0,8.6,1008.1
2021-01-18,24.7,24.5,26.0,13.0,24.0,8.8,1008.3
2021-01-19,26.4,23.4,28.5,64.3,97.0,16.9,1007.0
2021-01-20,26.8,25.2,28.8,10.6,141.0,11.9,1009.2
2021-01-21,26.4,25.6,27.7,5.9,139.0,14.2,1010.0
2021-01-22,26.6,25.2,28.3,5.0,141.0,10.3,1010.4
2021-01-23,26.9,25.4,29.0,1.8,141.0,6.2,1010.1
2021-01-24,26.6,24.7,28.5,0.3,136.0,5.4,1011.0
2021-01-25,27.1,25.5,29.2,1.3,60.0,6.8,1010.6
2021-01-26,26.5,22.8,30.1,1.3,11.0,7.7,1009.6
2021-01-27,26.5,25.1,28.5,3.2,58.0,8.2,1009.6
2021-01-28,26.1,25.2,27.7,5.0,42.0,9.3,1010.8
2021-01-29,25.9,24.0,29.6,1.3,20.0,14.8,1011.0
2021-01-30,25.7,24.9,26.9,5.9,40.0,18.0,1012.2
2021-01-31,25.8,24.3,27.9,1.6,30.0,15.5,1012.8
